Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,11078.000000,5460803.000000,3954077.000000,0.000000,492.941234,356.930583,0.000000,0.000000,6955051.618430,20228314.743897,-6069816.190374,0.000000,0.000000,0.000000,28.163408,81.911438,-24.578783,0.000000,0.000000,110.074847,1702.788667,0.000000,110.074847,41.264859,-0.000000,89.349652,40.314377,0.000000,357,493,0,306,402,0,413,578,0,402,369,0,566,114.784803,188.804910,0.370409,72.112384,    78.877049,     8.881275,   110.000000,    54.000000,    70.000000,798861.000000,11078,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,1,351,369,402,318,578,413,492,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,7048.000000,3962498.000000,2843657.000000,0.000000,562.215947,403.470062,0.000000,0.000000,3025363.683171,5845797.327467,-982483.435016,0.000000,0.000000,0.000000,22.388400,43.260270,-7.270607,0.000000,0.000000,65.648670,915.666506,0.000000,65.648670,30.259981,-0.000000,58.601798,38.936392,0.000000,403,562,0,350,497,0,445,623,0,497,416,0,443,99.573220,132.065533,0.304250,74.201901,   104.038270,    10.199915,   113.000000,    52.000000,    73.000000,522975.000000,7048,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,354,416,497,438,522,439,523,412,623,399,623,386,612,351,580,-99,-99,-99,-99
2,15556.000000,10118390.000000,8096206.000000,0.000000,650.449344,520.455515,0.000000,0.000000,36274960.216744,17388653.083300,11496436.946246,0.000000,0.000000,0.000000,93.413511,44.778412,29.605064,0.000000,0.000000,138.191924,3306.448941,0.000000,138.191924,57.501729,-0.000000,53.428065,99.798654,0.000000,520,650,0,423,575,0,618,725,0,575,447,0,697,165.914309,215.688602,0.441571,70.384353,    76.273156,     8.733450,   128.000000,    51.000000,    69.000000,1094899.000000,15556,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,1,360,618,655,614,672,611,681,608,698,429,596,446,576,-99,-99,-99,-99,-99,-99
3,3872.000000,2393357.000000,1351056.000000,0.000000,618.119059,348.929752,0.000000,0.000000,1386752.892561,1290066.113377,359234.384297,0.000000,0.000000,0.000000,22.807899,21.217693,5.908321,0.000000,0.000000,44.025592,449.022749,0.000000,44.025592,21.190156,-0.000000,31.147729,41.119956,0.000000,349,618,0,309,581,0,394,653,0,581,324,0,323,95.644812,112.914014,0.718513,76.945506,    97.762723,     9.887503,   147.000000,    57.000000,    76.000000,297933.000000,3872,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,171,394,625,387,632,386,635,382,641,374,651,312,644,318,583,-99,-99,-99,-99
4,558.000000,347328.000000,171819.000000,0.000000,622.451612,307.919354,0.000000,0.000000,15361.370967,48540.193548,-10514.677419,0.000000,0.000000,0.000000,3.343882,10.566291,-2.288848,0.000000,0.000000,13.910173,30.093612,0.000000,13.910173,5.485764,-0.000000,19.149770,9.354046,0.000000,308,622,0,298,603,0,317,643,0,603,313,0,117,19.783973,41.650470,0.282457,71.474910,   160.741739,    12.678396,    96.000000,    50.000000,    71.000000, 39883.000000,558,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,99,310,605,314,604,317,606,306,640,303,642,301,639,-99,-99,-99,-99,-99,-99
5,14.000000,8760.000000,5866.000000,0.000000,625.714285,419.000000,0.000000,0.000000,12.000000,34.857142,10.000000,0.000000,0.000000,0.000000,0.355639,1.033049,0.296366,0.000000,0.000000,1.388689,0.279560,0.000000,1.388689,0.528734,-0.000000,3.211815,1.483914,0.000000,419,626,0,417,623,0,420,629,0,623,419,0,14,3.204776,6.409552,-0.359414,75.214285,    20.489010,     4.526478,    81.000000,    66.000000,    76.000000,  1053.000000,14,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,6077.000000,4220506.000000,2451267.000000,0.000000,694.504854,403.367944,0.000000,0.000000,1704535.275629,6510143.106794,-60505.854368,0.000000,0.000000,0.000000,15.370465,58.704521,-0.545605,0.000000,0.000000,74.074986,902.018121,0.000000,74.074986,30.033616,-0.000000,63.447797,32.456509,0.000000,403,695,0,359,627,0,440,749,0,627,399,0,466,81.006417,122.009666,0.012588,71.488727,    75.560973,     8.692581,    98.000000,    51.000000,    70.000000,434437.000000,6077,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,168,411,627,431,744,418,748,414,749,403,744,384,745,370,734,-99,-99,-99,-99
7,1.000000,640.000000,428.000000,0.000000,640.000000,428.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,428,640,0,428,640,0,428,640,0,640,428,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,    90.000000,    90.000000,    90.000000,    90.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,3010.000000,2054240.000000,1369787.000000,0.000000,682.471760,455.078737,0.000000,0.000000,509580.339202,1135592.099667,127945.192691,0.000000,0.000000,0.000000,11.725301,26.129656,2.943983,0.000000,0.000000,37.854957,297.711053,0.000000,37.854957,17.254305,-0.000000,38.890810,25.124714,0.000000,455,682,0,430,646,0,481,718,0,646,445,0,269,51.975194,73.376745,-0.194018,71.770764,   154.708483,    12.438186,   121.000000,    53.000000,    69.000000,216030.000000,3010,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,3,111,469,648,480,717,458,715,446,716,430,654,446,647,452,648,-99,-99,-99,-99
9,6251.000000,4295101.000000,1995114.000000,0.000000,687.106223,319.167173,0.000000,0.000000,4510990.303950,2597619.467924,-1297267.003039,0.000000,0.000000,0.000000,39.174719,22.558464,-11.265834,0.000000,0.000000,61.733183,756.802481,0.000000,61.733183,27.510043,-0.000000,35.092202,57.229911,0.000000,319,687,0,262,647,0,372,728,0,647,303,0,396,90.744627,123.233444,-0.467683,71.124780,    41.410667,     6.435112,    99.000000,    53.000000,    70.000000,444601.000000,6251,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1594005.000000,6251,6,9,1,342,372,658,371,691,274,725,271,720,270,717,262,708,-99,-99,-99,-99,-99,-99
