Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,256.000000,134220.000000,194304.000000,0.000000,524.296875,759.000000,0.000000,0.000000,8664.000000,6599.437500,3301.000000,0.000000,0.000000,0.000000,5.330056,4.059946,2.030761,0.000000,0.000000,9.390003,17.515752,0.000000,9.390003,4.185182,-0.000000,7.555799,12.317572,0.000000,759,524,0,747,514,0,771,536,0,514,760,0,107,27.303773,29.785934,0.633856,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 65280.000000,256
1,238.000000,127271.000000,169518.000000,0.000000,534.752100,712.260504,0.000000,0.000000,4115.848739,5648.373949,1116.369747,0.000000,0.000000,0.000000,2.790552,3.829606,0.756900,0.000000,0.000000,6.620158,10.113818,0.000000,6.620158,3.180222,-0.000000,10.136297,7.624109,0.000000,712,535,0,704,524,0,721,544,0,524,712,0,74,19.212375,22.602795,-0.484632,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 60690.000000,238
2,252.000000,135110.000000,199043.000000,0.000000,536.150793,789.853174,0.000000,0.000000,7675.567460,5142.269841,808.579365,0.000000,0.000000,0.000000,4.822176,3.230631,0.507990,0.000000,0.000000,8.052808,15.320623,0.000000,8.052808,3.914156,-0.000000,8.374776,10.634930,0.000000,790,536,0,778,528,0,801,546,0,528,780,0,99,18.751536,23.960296,0.284074,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 64260.000000,252
3,164.000000,88521.000000,38790.000000,0.000000,539.762195,236.524390,0.000000,0.000000,5692.902439,1873.725609,-1421.548780,0.000000,0.000000,0.000000,6.341742,2.087280,-1.583567,0.000000,0.000000,8.429023,10.729310,0.000000,8.429023,3.275562,-0.000000,5.402651,11.325401,0.000000,237,540,0,228,532,0,252,549,0,532,237,0,81,17.908927,25.283191,-0.319962,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 41820.000000,164
4,89.000000,48176.000000,18861.000000,0.000000,541.303370,211.921348,0.000000,0.000000,728.449438,546.808988,-28.876404,0.000000,0.000000,0.000000,1.833212,1.376096,-0.072670,0.000000,0.000000,3.209308,2.517396,0.000000,3.209308,1.586630,-0.000000,4.936774,5.739089,0.000000,212,541,0,207,537,0,217,546,0,537,210,0,38,9.107676,10.119640,-0.153921,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 22695.000000,89
5,128.000000,70722.000000,24362.000000,0.000000,552.515625,190.328125,0.000000,0.000000,3920.218750,1381.968750,-1424.656250,0.000000,0.000000,0.000000,6.077108,2.142322,-2.208496,0.000000,0.000000,8.219431,8.141670,0.000000,8.219431,2.853361,-0.000000,4.420969,10.950211,0.000000,190,553,0,177,545,0,200,559,0,545,192,0,74,15.343109,25.206537,-0.421535,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 32640.000000,128
6,103.000000,60049.000000,55056.000000,0.000000,583.000000,534.524271,0.000000,0.000000,2215.689320,614.000000,-798.000000,0.000000,0.000000,0.000000,4.589082,1.271702,-1.652798,0.000000,0.000000,5.860784,3.104203,0.000000,5.860784,1.761874,-0.000000,3.316408,9.923527,0.000000,535,583,0,525,578,0,543,587,0,578,543,0,52,9.737945,19.475890,-0.391809,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 26265.000000,103
7,642.000000,388131.000000,520376.000000,0.000000,604.565420,810.554517,0.000000,0.000000,24706.591900,48485.752336,3575.710280,0.000000,0.000000,0.000000,4.461005,8.754555,0.645627,0.000000,0.000000,13.215561,38.637289,0.000000,13.215561,6.215890,-0.000000,17.264619,12.126618,0.000000,811,605,0,797,588,0,823,626,0,588,808,0,142,26.279858,38.409023,-0.146069,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,163710.000000,642
8,182.000000,108640.000000,65936.000000,0.000000,596.923076,362.285714,0.000000,0.000000,5667.142857,2880.923076,-1363.999999,0.000000,0.000000,0.000000,5.494594,2.793207,-1.322470,0.000000,0.000000,8.287801,13.598613,0.000000,8.287801,3.687629,-0.000000,6.521306,10.671079,0.000000,362,597,0,354,589,0,374,604,0,589,367,0,96,16.200684,21.600913,-0.387420,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 46410.000000,182
9,52.000000,32000.000000,31650.000000,0.000000,615.384615,608.653846,0.000000,0.000000,113.769230,466.307692,-64.076923,0.000000,0.000000,0.000000,0.586165,2.402526,-0.330139,0.000000,0.000000,2.988691,1.299286,0.000000,2.988691,1.139862,-0.000000,6.019248,2.788311,0.000000,609,615,0,606,610,0,611,621,0,610,609,0,33,5.076954,11.169299,0.174332,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 13260.000000,52
