Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,127.000000,55350.000000,63432.000000,0.000000,435.826771,499.464566,0.000000,0.000000,2217.590551,7904.188976,3060.220472,0.000000,0.000000,0.000000,3.473839,12.381854,4.793812,0.000000,0.000000,15.855693,20.031929,0.000000,15.855693,4.475704,-0.000000,13.964847,4.319021,0.000000,499,436,0,493,418,0,510,448,0,418,494,0,98,18.544849,32.726204,-0.411063,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 32385.000000,127
1,91.000000,40260.000000,49574.000000,0.000000,442.417582,544.769230,0.000000,0.000000,398.153846,4528.131868,-1132.230769,0.000000,0.000000,0.000000,0.972737,11.062769,-2.766175,0.000000,0.000000,12.035507,3.109444,0.000000,12.035507,1.763361,-0.000000,14.225553,2.131003,0.000000,545,442,0,541,427,0,549,454,0,427,549,0,67,8.258302,27.871769,0.250768,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23205.000000,91
2,64.000000,27687.000000,32701.000000,0.000000,432.609375,510.953125,0.000000,0.000000,414.859375,267.234375,58.828125,0.000000,0.000000,0.000000,1.620544,1.043884,0.229797,0.000000,0.000000,2.664428,1.638854,0.000000,2.664428,1.280177,-0.000000,3.921016,5.209684,0.000000,511,433,0,506,429,0,515,436,0,429,509,0,32,7.415790,9.534587,0.336452,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 16320.000000,64
3,82.000000,37792.000000,38937.000000,0.000000,460.878048,474.841463,0.000000,0.000000,710.939024,430.780487,-27.585365,0.000000,0.000000,0.000000,1.995632,1.209216,-0.077433,0.000000,0.000000,3.204849,2.407156,0.000000,3.204849,1.551501,-0.000000,4.532827,5.852452,0.000000,475,461,0,470,457,0,481,465,0,457,471,0,39,8.037955,11.052189,-0.097219,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 20910.000000,82
4,136.000000,64576.000000,70679.000000,0.000000,474.823529,519.698529,0.000000,0.000000,1760.639705,2131.764705,-1059.235294,0.000000,0.000000,0.000000,2.517398,3.048040,-1.514516,0.000000,0.000000,5.565438,5.379372,0.000000,5.565438,2.319347,-0.000000,9.200738,4.939404,0.000000,520,475,0,514,469,0,528,484,0,469,520,0,57,18.284200,19.590214,0.698685,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 34680.000000,136
5,162.000000,80592.000000,94922.000000,0.000000,497.481481,585.938271,0.000000,0.000000,1521.382716,3190.444444,-261.185185,0.000000,0.000000,0.000000,1.722734,3.612693,-0.295752,0.000000,0.000000,5.335428,6.136244,0.000000,5.335428,2.477144,-0.000000,8.827958,5.978337,0.000000,586,497,0,581,489,0,592,506,0,489,583,0,60,11.127723,17.197391,0.151657,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 41310.000000,162
6,68.000000,34075.000000,45995.000000,0.000000,501.102941,676.397058,0.000000,0.000000,468.279411,396.279411,-221.779411,0.000000,0.000000,0.000000,1.687173,1.427763,-0.799053,0.000000,0.000000,3.114937,1.770398,0.000000,3.114937,1.330563,-0.000000,3.491347,6.210868,0.000000,676,501,0,671,497,0,681,506,0,497,677,0,36,11.816426,13.129362,-0.704938,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17340.000000,68
7,300.000000,154662.000000,140264.000000,0.000000,515.539999,467.546666,0.000000,0.000000,8220.346666,9376.519999,-1960.559999,0.000000,0.000000,0.000000,4.093188,4.668886,-0.976229,0.000000,0.000000,8.762075,18.157612,0.000000,8.762075,4.261175,-0.000000,11.500102,9.076788,0.000000,468,516,0,455,500,0,478,524,0,500,469,0,94,28.718384,29.967010,0.642031,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 76500.000000,300
8,53.000000,26842.000000,23922.000000,0.000000,506.452830,451.358490,0.000000,0.000000,228.188679,219.132075,22.396226,0.000000,0.000000,0.000000,1.146197,1.100706,0.112496,0.000000,0.000000,2.246904,1.248971,0.000000,2.246904,1.117574,-0.000000,3.897566,4.318340,0.000000,451,506,0,448,503,0,455,510,0,503,449,0,28,9.043821,9.043821,0.685647,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 13515.000000,53
9,180.000000,92501.000000,66403.000000,0.000000,513.894444,368.905555,0.000000,0.000000,9001.394444,2058.994444,-1966.794444,0.000000,0.000000,0.000000,8.856860,2.025933,-1.935213,0.000000,0.000000,10.882793,14.198356,0.000000,10.882793,3.768070,-0.000000,5.299974,13.175156,0.000000,369,514,0,354,507,0,381,522,0,507,370,0,95,15.512441,27.922393,-0.257750,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 45900.000000,180
