Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,6600.000000,3539827.000000,3494823.000000,0.000000,536.337424,529.518636,0.000000,0.000000,2649807.707726,5716229.556210,-1044403.003181,0.000000,0.000000,0.000000,21.403712,46.172608,-8.436122,0.000000,0.000000,67.576321,917.097093,0.000000,67.576321,30.283610,-0.000000,59.319333,36.831995,0.000000,530,536,0,488,487,0,584,601,0,487,516,0,483,100.456939,119.292615,0.298993,78.799545,    47.696893,     6.906293,   107.000000,    62.000000,    78.000000,520077.000000,6600,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1683000.000000,6600,8,9,2,177,535,487,582,499,522,601,510,594,499,592,488,573,498,492,516,487,-99,-99
1,5865.000000,3206783.000000,2693181.000000,0.000000,546.766069,459.195396,0.000000,0.000000,2189936.075702,4122715.047910,-529056.916112,0.000000,0.000000,0.000000,20.704945,38.978575,-5.002015,0.000000,0.000000,59.683520,782.029104,0.000000,59.683520,27.964783,-0.000000,52.855600,36.715416,0.000000,459,547,0,410,496,0,496,604,0,496,488,0,395,88.769394,111.477844,0.250444,77.985848,    28.331484,     5.322732,   101.000000,    60.000000,    78.000000,457387.000000,5865,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1495575.000000,5865,6,9,2,174,489,496,477,598,468,599,457,597,447,603,410,530,-99,-99,-99,-99,-99,-99
2,4799.000000,2679308.000000,3171211.000000,0.000000,558.305480,660.806626,0.000000,0.000000,2061304.549280,2208206.165867,-862061.514273,0.000000,0.000000,0.000000,25.464852,27.279638,-10.649697,0.000000,0.000000,52.744491,581.255928,0.000000,52.744491,24.109249,-0.000000,49.225219,32.022832,0.000000,661,558,0,619,507,0,703,602,0,507,665,0,358,114.051293,128.986581,0.742898,81.327984,    73.359264,     8.565002,   114.000000,    61.000000,    80.000000,390293.000000,4799,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1223745.000000,4799,3,9,2,174,670,507,703,548,627,601,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,4636.000000,2572919.000000,3418210.000000,0.000000,554.986842,737.318809,0.000000,0.000000,1790106.799827,2546196.197367,-1168137.552631,0.000000,0.000000,0.000000,23.157288,32.938258,-15.111332,0.000000,0.000000,56.095546,534.408388,0.000000,56.095546,23.117274,-0.000000,53.539650,28.173672,0.000000,737,555,0,695,509,0,785,598,0,509,736,0,361,110.056714,111.293306,0.628901,81.356341,    58.984104,     7.680110,   105.000000,    63.000000,    80.000000,377168.000000,4636,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,174,744,510,785,523,728,598,705,596,736,509,-99,-99,-99,-99,-99,-99,-99,-99
4,4325.000000,2445733.000000,3483254.000000,0.000000,565.487398,805.376647,0.000000,0.000000,1844975.441387,1349806.563236,246928.027283,0.000000,0.000000,0.000000,26.182379,19.155348,3.504200,0.000000,0.000000,45.337727,489.253172,0.000000,45.337727,22.119068,-0.000000,33.581384,41.949869,0.000000,805,565,0,763,527,0,844,599,0,527,790,0,303,77.910836,87.649691,0.392035,81.470982,    53.314433,     7.301673,   106.000000,    64.000000,    81.000000,352362.000000,4325,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,171,844,549,844,596,763,582,767,557,790,527,-99,-99,-99,-99,-99,-99,-99,-99
5,4357.000000,2470652.000000,1387189.000000,0.000000,567.053477,318.381684,0.000000,0.000000,1779466.258434,1676856.539820,403823.067477,0.000000,0.000000,0.000000,25.005738,23.563827,5.674675,0.000000,0.000000,48.569565,557.028946,0.000000,48.569565,23.601460,-0.000000,33.915394,43.117410,0.000000,318,567,0,266,529,0,362,613,0,529,310,0,360,111.948527,127.941173,0.722212,80.110167,    44.654986,     6.682438,   104.000000,    64.000000,    80.000000,349040.000000,4357,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,177,362,553,342,603,315,612,266,545,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,3981.000000,2308276.000000,1613412.000000,0.000000,579.823160,405.278070,0.000000,0.000000,1242799.175583,2048077.504646,817171.761868,0.000000,0.000000,0.000000,19.697512,32.460620,12.951610,0.000000,0.000000,52.158133,471.649261,0.000000,52.158133,21.717487,-0.000000,49.641382,26.607910,0.000000,405,580,0,366,535,0,447,619,0,535,406,0,330,95.393731,98.926832,-0.556493,83.320522,    78.593721,     8.865310,   121.000000,    63.000000,    82.000000,331699.000000,3981,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,171,406,535,444,618,406,619,398,619,366,553,393,541,396,541,-99,-99,-99,-99
7,6828.000000,4129430.000000,1777371.000000,0.000000,604.778851,260.306239,0.000000,0.000000,4824164.654216,3529816.066197,1096131.420913,0.000000,0.000000,0.000000,37.241809,27.249637,8.461966,0.000000,0.000000,64.491446,943.220926,0.000000,64.491446,30.711902,-0.000000,40.532761,55.526193,0.000000,260,605,0,194,549,0,312,647,0,549,263,0,448,112.844566,135.874069,0.518726,82.649677,    55.001322,     7.416287,   112.000000,    63.000000,    82.000000,564332.000000,6828,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,1,357,263,549,311,645,194,603,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,790.000000,454962.000000,157533.000000,0.000000,575.901265,199.408860,0.000000,0.000000,47008.937974,81424.298734,-12271.108860,0.000000,0.000000,0.000000,6.436913,11.149393,-1.680277,0.000000,0.000000,17.586306,68.944344,0.000000,17.586306,8.303273,-0.000000,19.776304,14.050311,0.000000,199,576,0,187,554,0,219,599,0,554,195,0,154,33.598852,47.248386,0.309737,82.684810,    66.337791,     8.144801,   102.000000,    64.000000,    82.000000, 65321.000000,790,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,116,218,570,219,572,218,574,190,599,187,597,189,588,193,555,195,554,-99,-99
9,4911.000000,2929815.000000,2820930.000000,0.000000,596.582162,574.410507,0.000000,0.000000,2423082.417837,1788910.597434,-658097.639584,0.000000,0.000000,0.000000,29.027409,21.430323,-7.883706,0.000000,0.000000,50.457732,559.913944,0.000000,50.457732,23.662500,-0.000000,33.231620,47.721470,0.000000,574,597,0,525,557,0,622,639,0,557,562,0,367,96.837705,114.551919,-0.560898,87.545510,   266.427612,    16.322610,   175.000000,    63.000000,    84.000000,429936.000000,4911,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,177,594,558,614,572,622,604,565,638,539,626,525,610,-99,-99,-99,-99,-99,-99
