Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,9096.000000,2429536.000000,3229356.000000,0.000000,267.099384,355.030343,0.000000,0.000000,4601681.625328,11765024.156547,2092963.569919,0.000000,0.000000,0.000000,24.235350,61.962018,11.022862,0.000000,0.000000,86.197368,1380.167702,0.000000,86.197368,37.150608,-0.000000,72.382049,41.403855,0.000000,355,267,0,316,191,0,403,329,0,191,321,0,464,90.132573,142.968909,-0.264417,89.564753,   128.125987,    11.319275,   140.000000,    68.000000,    87.000000,814681.000000,9096,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,354,396,323,372,325,370,325,364,329,324,326,320,324,321,191,-99,-99,-99,-99
1,3384.000000,982152.000000,1432913.000000,0.000000,290.234042,423.437647,0.000000,0.000000,598886.843676,1823736.638297,99548.382978,0.000000,0.000000,0.000000,11.787932,35.896737,1.959417,0.000000,0.000000,47.684670,419.308997,0.000000,47.684670,20.477035,-0.000000,45.016319,25.566553,0.000000,423,290,0,397,245,0,459,336,0,245,398,0,317,62.201779,91.296160,-0.080569,90.763297,   130.838723,    11.438475,   135.000000,    68.000000,    89.000000,307143.000000,3384,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,171,457,277,428,336,420,336,405,330,398,245,-99,-99,-99,-99,-99,-99,-99,-99
2,3656.000000,1162019.000000,1711746.000000,0.000000,317.838894,468.201859,0.000000,0.000000,827297.027352,2015634.109135,-611151.104485,0.000000,0.000000,0.000000,14.688807,35.787946,-10.851097,0.000000,0.000000,50.476754,407.935944,0.000000,50.476754,20.197424,-0.000000,49.047258,24.537243,0.000000,468,318,0,437,277,0,508,363,0,277,479,0,313,77.076656,93.360457,0.399743,87.097100,    58.356916,     7.639169,   116.000000,    67.000000,    87.000000,318427.000000,3656,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,162,471,278,500,281,507,288,479,358,475,359,472,359,469,359,448,363,-99,-99
3,2631.000000,869954.000000,1339813.000000,0.000000,330.655264,509.240973,0.000000,0.000000,341509.223109,1003208.324591,-139894.437476,0.000000,0.000000,0.000000,9.402455,27.620402,-3.851583,0.000000,0.000000,37.022858,244.864917,0.000000,37.022858,15.648160,-0.000000,39.293483,21.649443,0.000000,509,331,0,486,291,0,531,365,0,291,513,0,240,45.915409,75.505339,0.200017,87.844165,    50.382550,     7.098066,   118.000000,    67.000000,    87.000000,231118.000000,2631,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,3,105,520,292,528,295,520,364,514,364,511,365,502,364,495,362,506,298,-99,-99
4,5948.000000,2205073.000000,1971017.000000,0.000000,370.725117,331.374747,0.000000,0.000000,3027221.687121,2909645.567416,306865.712676,0.000000,0.000000,0.000000,28.089862,26.998863,2.847434,0.000000,0.000000,55.088725,750.286467,0.000000,55.088725,27.391357,-0.000000,41.765097,46.418985,0.000000,331,371,0,286,327,0,372,413,0,327,313,0,348,111.577607,111.577607,0.690756,89.027236,   104.462348,    10.220682,   136.000000,    69.000000,    88.000000,529534.000000,5948,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,180,350,329,361,333,370,412,289,399,287,354,313,328,-99,-99,-99,-99,-99,-99
5,1427.000000,494578.000000,552079.000000,0.000000,346.585844,386.880868,0.000000,0.000000,167207.747722,171260.234057,-11611.406447,0.000000,0.000000,0.000000,10.407771,10.660017,-0.722746,0.000000,0.000000,21.067789,110.424663,0.000000,21.067789,10.508314,-0.000000,22.296358,20.793948,0.000000,387,347,0,367,327,0,413,371,0,327,378,0,178,57.480581,60.093334,0.699015,87.270497,    37.534072,     6.126505,   108.000000,    72.000000,    87.000000,124535.000000,1427,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,162,411,338,374,370,367,334,370,330,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,4702.000000,1835352.000000,1933218.000000,0.000000,390.334325,411.148022,0.000000,0.000000,1460704.976605,2586852.439812,-582358.690769,0.000000,0.000000,0.000000,18.543242,32.839370,-7.392881,0.000000,0.000000,51.382612,554.293714,0.000000,51.382612,23.543443,-0.000000,48.456631,31.712117,0.000000,411,390,0,375,340,0,445,441,0,340,418,0,341,76.035249,109.708002,0.401116,90.899617,   135.296451,    11.631700,   151.000000,    69.000000,    89.000000,427410.000000,4702,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1199010.000000,4702,3,9,2,171,432,340,414,440,387,425,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,2843.000000,1049079.000000,1680683.000000,0.000000,369.004220,591.165318,0.000000,0.000000,1245048.300386,370767.949349,-7036.983819,0.000000,0.000000,0.000000,30.913657,9.205902,-0.174723,0.000000,0.000000,40.119559,284.557586,0.000000,40.119559,16.868834,-0.000000,22.527615,41.285759,0.000000,591,369,0,551,346,0,635,396,0,346,587,0,273,50.001619,84.002720,-0.008048,88.295462,    89.314500,     9.450634,   127.000000,    68.000000,    87.000000,251024.000000,2843,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,3,105,633,363,627,373,626,377,622,394,552,391,557,372,555,361,-99,-99,-99,-99
8,790.000000,292657.000000,426107.000000,0.000000,370.451898,539.375949,0.000000,0.000000,36773.343037,70773.672151,7124.786075,0.000000,0.000000,0.000000,5.035357,9.691007,0.975593,0.000000,0.000000,14.726365,47.845906,0.000000,14.726365,6.917073,-0.000000,19.039643,13.320141,0.000000,539,370,0,524,351,0,551,389,0,351,532,0,129,27.540427,38.760601,-0.198431,89.575949,    46.310447,     6.805177,   112.000000,    75.000000,    89.000000, 70765.000000,790,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,137,545,355,548,358,546,389,541,389,531,358,532,352,-99,-99,-99,-99,-99,-99
9,8856.000000,3644845.000000,7046913.000000,0.000000,411.567863,795.721883,0.000000,0.000000,7515635.998981,5892527.213977,-925711.351964,0.000000,0.000000,0.000000,41.018734,32.160154,-5.052334,0.000000,0.000000,73.178888,1293.642742,0.000000,73.178888,35.967245,-0.000000,49.047580,59.058552,0.000000,796,412,0,738,357,0,844,458,0,357,815,0,348,110.887937,116.377439,-0.425507,89.309507,    99.489174,     9.974426,   135.000000,    68.000000,    88.000000,790925.000000,8856,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,357,832,358,838,370,844,373,844,456,747,458,743,452,738,417,-99,-99,-99,-99
