Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,117.000000,58393.000000,67362.000000,0.000000,499.085470,575.743589,0.000000,0.000000,2130.307692,707.145299,-138.435897,0.000000,0.000000,0.000000,3.722726,1.235741,-0.241917,0.000000,0.000000,4.958468,4.541802,0.000000,4.958468,2.131150,-0.000000,4.734751,8.322532,0.000000,576,499,0,568,494,0,584,505,0,494,572,0,64,11.050961,16.074125,-0.096073,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 29835.000000,117
1,154.000000,82228.000000,89035.000000,0.000000,533.948051,578.149350,0.000000,0.000000,3197.564935,3087.584415,2381.194805,0.000000,0.000000,0.000000,3.873691,3.740455,2.884699,0.000000,0.000000,7.614147,6.167880,0.000000,7.614147,2.483521,-0.000000,4.354181,11.733557,0.000000,578,534,0,570,524,0,587,543,0,524,570,0,75,23.768816,26.565147,0.773853,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 39270.000000,154
2,81.000000,45919.000000,55278.000000,0.000000,566.901234,682.444444,0.000000,0.000000,523.999999,1323.209876,-614.444444,0.000000,0.000000,0.000000,1.495149,3.775565,-1.753218,0.000000,0.000000,5.270715,2.571261,0.000000,5.270715,1.603515,-0.000000,8.879764,3.012406,0.000000,682,567,0,678,559,0,687,574,0,559,685,0,48,10.239194,17.065323,0.497086,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 20655.000000,81
3,159.000000,90747.000000,84239.000000,0.000000,570.735849,529.805031,0.000000,0.000000,1802.955974,4338.905660,-300.188679,0.000000,0.000000,0.000000,2.093095,5.037140,-0.348496,0.000000,0.000000,7.130235,10.421763,0.000000,7.130235,3.228275,-0.000000,9.674377,6.150570,0.000000,530,571,0,524,562,0,539,585,0,562,529,0,76,15.101899,23.156246,0.116233,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 40545.000000,159
4,209.000000,122815.000000,98254.000000,0.000000,587.631578,470.114832,0.000000,0.000000,3653.244019,3478.631578,484.842105,0.000000,0.000000,0.000000,2.945440,2.804658,0.390905,0.000000,0.000000,5.750099,8.108149,0.000000,5.750099,2.847481,-0.000000,7.638930,8.778436,0.000000,470,588,0,463,580,0,479,595,0,580,466,0,67,19.551371,20.854796,0.696317,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 53295.000000,209
5,296.000000,178505.000000,204025.000000,0.000000,603.057432,689.273648,0.000000,0.000000,26136.834459,8230.023648,-7100.652027,0.000000,0.000000,0.000000,13.249435,4.172011,-3.599503,0.000000,0.000000,17.421446,42.320366,0.000000,17.421446,6.505410,-0.000000,7.572006,16.881431,0.000000,689,603,0,671,588,0,712,614,0,588,684,0,134,27.532800,43.417108,-0.335249,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 75480.000000,296
6,49.000000,29131.000000,23744.000000,0.000000,594.510204,484.571428,0.000000,0.000000,235.999999,174.244897,8.714285,0.000000,0.000000,0.000000,1.316185,0.971774,0.048600,0.000000,0.000000,2.287959,1.276673,0.000000,2.287959,1.129899,-0.000000,3.703740,4.336424,0.000000,485,595,0,481,590,0,489,598,0,590,484,0,31,8.076262,8.076262,0.137533,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 12495.000000,49
7,352.000000,216574.000000,191353.000000,0.000000,615.267045,543.616477,0.000000,0.000000,6275.224431,20400.897727,-4302.948863,0.000000,0.000000,0.000000,2.524870,8.208410,-1.731314,0.000000,0.000000,10.733280,17.727720,0.000000,10.733280,4.210429,-0.000000,15.438673,7.476587,0.000000,544,615,0,535,600,0,552,630,0,600,545,0,94,17.656714,31.158908,0.273592,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 89760.000000,352
8,194.000000,119013.000000,121753.000000,0.000000,613.469072,627.592783,0.000000,0.000000,3308.829896,4038.314432,1172.056701,0.000000,0.000000,0.000000,2.946267,3.595819,1.043629,0.000000,0.000000,6.542086,9.505081,0.000000,6.542086,3.083031,-0.000000,9.694557,6.848842,0.000000,628,613,0,620,601,0,636,621,0,601,626,0,75,19.867403,24.834254,-0.634548,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 49470.000000,194
9,1047.000000,680972.000000,716045.000000,0.000000,650.403056,683.901623,0.000000,0.000000,707002.867239,325717.910219,-364758.485195,0.000000,0.000000,0.000000,66.500605,30.636987,-34.309139,0.000000,0.000000,97.137593,860.261176,0.000000,97.137593,29.330209,-0.000000,14.551303,43.302056,0.000000,684,650,0,628,609,0,720,676,0,609,710,0,351,78.331686,107.559928,-0.544595,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,266985.000000,1047
