Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,7617.000000,3874025.000000,4969531.000000,0.000000,508.602468,652.426283,0.000000,0.000000,4845178.858079,7356722.273596,2380593.785872,0.000000,0.000000,0.000000,32.329416,49.087670,15.884492,0.000000,0.000000,81.417087,1334.658644,0.000000,81.417087,36.532980,-0.000000,65.115340,40.548077,0.000000,652,509,0,596,444,0,714,568,0,444,609,0,496,137.798905,144.805629,-0.542694,75.407115,   129.880847,    11.396527,   117.000000,    49.000000,    75.000000,574376.000000,7617,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,1,351,714,529,679,556,623,567,620,565,598,450,609,444,-99,-99,-99,-99,-99,-99
1,6045.000000,3071747.000000,3248114.000000,0.000000,508.146732,537.322415,0.000000,0.000000,1797648.612737,5485764.847972,-445051.982299,0.000000,0.000000,0.000000,16.324619,49.816756,-4.041559,0.000000,0.000000,66.141375,796.905381,0.000000,66.141375,28.229512,-0.000000,59.537495,33.415430,0.000000,537,508,0,501,453,0,573,568,0,453,557,0,409,72.507698,115.810907,0.118407,78.012737,   224.194576,    14.973128,   128.000000,    50.000000,    77.000000,471587.000000,6045,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1541475.000000,6045,7,9,2,177,572,454,566,555,548,559,535,563,522,568,507,468,536,457,-99,-99,-99,-99
2,4614.000000,2361980.000000,2735342.000000,0.000000,511.915908,592.835283,0.000000,0.000000,882400.815777,3570077.372344,314778.090160,0.000000,0.000000,0.000000,11.487594,46.477294,4.097959,0.000000,0.000000,57.964889,517.119060,0.000000,57.964889,22.740251,-0.000000,55.489341,26.875807,0.000000,593,512,0,565,453,0,622,561,0,453,590,0,332,57.379298,108.718670,-0.115044,83.058951,   360.976363,    18.999377,   253.000000,    49.000000,    81.000000,383234.000000,4614,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,168,616,560,586,558,583,557,577,555,579,455,589,454,-99,-99,-99,-99,-99,-99
3,7479.000000,4052881.000000,3446491.000000,0.000000,541.901457,460.822436,0.000000,0.000000,6573064.195211,4273876.374113,2540772.135445,0.000000,0.000000,0.000000,44.941044,29.221146,17.371647,0.000000,0.000000,74.162190,1011.454692,0.000000,74.162190,31.803375,-0.000000,37.127512,65.547806,0.000000,461,542,0,395,494,0,521,594,0,494,438,0,460,119.004345,149.945474,0.572949,75.648482,   165.727047,    12.873501,   114.000000,    48.000000,    75.000000,565775.000000,7479,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1907145.000000,7479,6,9,1,351,521,576,516,593,395,528,402,512,430,499,438,494,-99,-99,-99,-99,-99,-99
4,3661.000000,2075617.000000,2628241.000000,0.000000,566.953564,717.902485,0.000000,0.000000,1100672.187380,1267036.105981,-365362.577437,0.000000,0.000000,0.000000,19.507054,22.455497,-6.475268,0.000000,0.000000,41.962551,396.111510,0.000000,41.962551,19.902550,-0.000000,40.737688,29.352574,0.000000,718,567,0,686,531,0,757,615,0,531,719,0,360,90.832169,107.463411,0.673471,74.640262,   239.300334,    15.469335,   125.000000,    49.000000,    72.000000,273258.000000,3661,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,933555.000000,3661,4,9,3,111,737,531,756,571,690,609,688,591,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,720.000000,394792.000000,283709.000000,0.000000,548.322222,394.040277,0.000000,0.000000,62433.831944,43949.244444,28887.655555,0.000000,0.000000,0.000000,9.674829,6.810433,4.476469,0.000000,0.000000,16.485263,45.851003,0.000000,16.485263,6.771336,-0.000000,11.108777,21.233145,0.000000,394,548,0,375,532,0,417,563,0,532,386,0,144,38.381107,52.000209,0.630574,67.269444,   114.238842,    10.688257,    99.000000,    47.000000,    67.000000, 48434.000000,720,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,114,417,563,376,541,378,538,381,537,383,536,384,533,387,532,-99,-99,-99,-99
6,780.000000,438061.000000,281821.000000,0.000000,561.616666,361.308974,0.000000,0.000000,49080.537179,61398.383333,-20914.616666,0.000000,0.000000,0.000000,6.835702,8.551273,-2.912887,0.000000,0.000000,15.386976,49.969048,0.000000,15.386976,7.068878,-0.000000,19.643655,12.941096,0.000000,361,562,0,343,543,0,377,577,0,543,370,0,134,42.458794,42.458794,0.642205,78.967948,   481.022077,    21.932215,   123.000000,    49.000000,    70.000000, 61595.000000,780,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,125,366,544,370,544,373,547,375,551,377,554,352,575,343,568,-99,-99,-99,-99
7,4847.000000,2856897.000000,2791107.000000,0.000000,589.415514,575.842170,0.000000,0.000000,3660234.260366,1108523.153290,102521.868784,0.000000,0.000000,0.000000,44.621570,13.513901,1.249834,0.000000,0.000000,58.135472,601.449418,0.000000,58.135472,24.524465,-0.000000,29.641619,53.992683,0.000000,576,589,0,519,557,0,624,624,0,557,572,0,406,67.053881,105.084441,0.040091,73.845884,   141.299602,    11.886950,   117.000000,    48.000000,    73.000000,357931.000000,4847,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,177,621,572,624,598,619,611,618,614,519,607,-99,-99,-99,-99,-99,-99,-99,-99
8,4514.000000,2683811.000000,1892673.000000,0.000000,594.552724,419.289543,0.000000,0.000000,2750108.566459,1152569.951484,575612.588613,0.000000,0.000000,0.000000,36.863884,15.449646,7.715810,0.000000,0.000000,52.313531,510.000266,0.000000,52.313531,22.583185,-0.000000,28.990604,50.520165,0.000000,419,595,0,373,559,0,468,628,0,559,380,0,335,72.505274,99.826102,0.312217,74.730837,   145.464207,    12.060854,   112.000000,    47.000000,    74.000000,337335.000000,4514,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1151070.000000,4514,5,9,2,174,460,585,461,589,466,622,375,566,378,562,-99,-99,-99,-99,-99,-99,-99,-99
9,2602.000000,1531571.000000,1703222.000000,0.000000,588.612990,654.581860,0.000000,0.000000,599389.063797,517107.280937,-60918.066871,0.000000,0.000000,0.000000,16.748108,14.448993,-1.702170,0.000000,0.000000,31.197101,239.095922,0.000000,31.197101,15.462726,-0.000000,27.115915,30.956037,0.000000,655,589,0,625,560,0,682,616,0,560,674,0,236,63.414202,64.546599,-0.488403,76.449654,   143.281778,    11.970036,   111.000000,    52.000000,    75.000000,198922.000000,2602,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,168,679,560,681,576,638,615,626,573,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
