Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,405.000000,217970.000000,268073.000000,0.000000,538.197530,661.908641,0.000000,0.000000,107645.619753,48702.197530,-69952.691358,0.000000,0.000000,0.000000,35.924411,16.253311,-23.345207,0.000000,0.000000,52.177723,38.891962,0.000000,52.177723,6.236342,-0.000000,4.325185,35.663060,0.000000,662,538,0,635,513,0,697,555,0,513,693,0,207,50.411454,74.416908,-0.586027,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,103275.000000,405
1,40.000000,21052.000000,16475.000000,0.000000,526.299999,411.875000,0.000000,0.000000,22.375000,790.399999,-0.500000,0.000000,0.000000,0.000000,0.163562,5.777859,-0.003655,0.000000,0.000000,5.941421,0.945026,0.000000,5.941421,0.972124,-0.000000,8.794286,1.479637,0.000000,412,526,0,411,518,0,413,534,0,518,412,0,36,2.000000,16.000003,0.000651,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 10200.000000,40
2,171.000000,94199.000000,70058.000000,0.000000,550.871345,409.695906,0.000000,0.000000,872.187134,9259.169590,821.309941,0.000000,0.000000,0.000000,0.918928,9.755373,0.865324,0.000000,0.000000,10.674301,8.215700,0.000000,10.674301,2.866304,-0.000000,14.213839,4.140653,0.000000,410,551,0,404,537,0,413,568,0,537,411,0,83,9.042245,31.145513,-0.096702,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 43605.000000,171
3,207.000000,113502.000000,128416.000000,0.000000,548.318840,620.367149,0.000000,0.000000,4688.096618,2988.956521,-46.231884,0.000000,0.000000,0.000000,3.828565,2.440951,-0.037755,0.000000,0.000000,6.269517,9.343917,0.000000,6.269517,3.056782,-0.000000,7.423175,9.299889,0.000000,620,548,0,611,539,0,631,555,0,539,617,0,71,16.005912,20.007390,-0.027182,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 52785.000000,207
4,238.000000,136343.000000,160838.000000,0.000000,572.869747,675.789915,0.000000,0.000000,18353.495798,15402.962184,16026.487394,0.000000,0.000000,0.000000,12.443699,10.443233,10.865984,0.000000,0.000000,22.886932,11.882843,0.000000,22.886932,3.447150,-0.000000,3.522279,22.842620,0.000000,676,573,0,658,559,0,691,588,0,559,659,0,123,39.252602,44.666754,0.739501,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 60690.000000,238
5,63.000000,35675.000000,32118.000000,0.000000,566.269841,509.809523,0.000000,0.000000,217.714285,542.412698,99.238095,0.000000,0.000000,0.000000,0.868492,2.163760,0.395874,0.000000,0.000000,3.032252,1.722493,0.000000,3.032252,1.312437,-0.000000,5.956551,3.436053,0.000000,510,566,0,506,561,0,513,572,0,561,507,0,35,7.271919,11.427302,-0.274330,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 16065.000000,63
6,158.000000,91291.000000,57391.000000,0.000000,577.791139,363.234177,0.000000,0.000000,15226.335443,11586.107594,13010.727848,0.000000,0.000000,0.000000,17.825946,13.564218,15.232065,0.000000,0.000000,31.390165,9.779206,0.000000,31.390165,3.127172,-0.000000,2.422524,24.073217,0.000000,363,578,0,343,563,0,380,592,0,563,343,0,126,38.435987,49.039018,0.715902,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 40290.000000,158
7,95.000000,57121.000000,46967.000000,0.000000,601.273684,494.389473,0.000000,0.000000,722.589473,836.884210,-160.126315,0.000000,0.000000,0.000000,1.666966,1.930636,-0.369400,0.000000,0.000000,3.597603,3.081849,0.000000,3.597603,1.755519,-0.000000,6.232908,4.994011,0.000000,494,601,0,489,596,0,499,608,0,596,496,0,43,12.234649,14.681578,0.613998,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 24225.000000,95
8,403.000000,251360.000000,304993.000000,0.000000,623.722084,756.806451,0.000000,0.000000,136922.903225,7044.873449,-23800.677419,0.000000,0.000000,0.000000,45.997691,2.366645,-7.995566,0.000000,0.000000,48.364336,44.931122,0.000000,48.364336,6.703068,-0.000000,4.746809,33.578405,0.000000,757,624,0,728,615,0,791,635,0,615,777,0,196,20.312554,63.984548,-0.175652,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,102765.000000,403
9,151.000000,96525.000000,58115.000000,0.000000,639.238410,384.867549,0.000000,0.000000,7515.350993,3253.417218,4534.768211,0.000000,0.000000,0.000000,9.346449,4.046105,5.639654,0.000000,0.000000,13.392554,6.011015,0.000000,13.392554,2.451737,-0.000000,3.082478,16.253365,0.000000,385,639,0,371,630,0,397,647,0,630,373,0,85,20.137742,30.798900,0.565751,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 38505.000000,151
10,158.000000,101420.000000,79404.000000,0.000000,641.898734,502.556962,0.000000,0.000000,6218.987341,1140.379746,-400.088607,0.000000,0.000000,0.000000,7.280762,1.335078,-0.468396,0.000000,0.000000,8.615841,9.500993,0.000000,8.615841,3.082368,-0.000000,4.938523,11.723885,0.000000,503,642,0,489,635,0,514,646,0,635,503,0,75,11.033665,25.076511,-0.078136,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 40290.000000,158
11,111.000000,71819.000000,78834.000000,0.000000,647.018018,710.216216,0.000000,0.000000,1726.810810,1487.963963,-1199.432432,0.000000,0.000000,0.000000,3.237035,2.789299,-2.248425,0.000000,0.000000,6.026334,3.973643,0.000000,6.026334,1.993400,-0.000000,3.729758,9.865524,0.000000,710,647,0,704,640,0,718,654,0,640,715,0,56,18.885523,18.885523,-0.735778,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 28305.000000,111
12,366.000000,241260.000000,169208.000000,0.000000,659.180327,462.316939,0.000000,0.000000,9609.234972,16192.098360,-3571.918032,0.000000,0.000000,0.000000,3.670405,6.184838,-1.364352,0.000000,0.000000,9.855243,20.839405,0.000000,9.855243,4.565019,-0.000000,13.538427,9.111619,0.000000,462,659,0,452,648,0,475,671,0,648,461,0,95,25.112675,25.112675,0.413121,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 93330.000000,366
13,167.000000,110130.000000,69253.000000,0.000000,659.461077,414.688622,0.000000,0.000000,11177.808383,4033.497005,6195.976047,0.000000,0.000000,0.000000,12.154432,4.385910,6.737329,0.000000,0.000000,16.540343,7.916651,0.000000,16.540343,2.813654,-0.000000,3.172408,18.093070,0.000000,415,659,0,400,649,0,432,668,0,649,401,0,99,21.943217,36.956998,0.523907,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 42585.000000,167
14,92.000000,60887.000000,54493.000000,0.000000,661.815217,592.315217,0.000000,0.000000,2611.858695,1001.858695,-1351.641304,0.000000,0.000000,0.000000,6.288772,2.412252,-3.254450,0.000000,0.000000,8.701024,4.578657,0.000000,8.701024,2.139779,-0.000000,2.973924,11.311012,0.000000,592,662,0,582,657,0,602,668,0,657,596,0,61,12.652474,23.004499,-0.516819,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23460.000000,92
15,205.000000,138934.000000,141279.000000,0.000000,677.726829,689.165853,0.000000,0.000000,10878.360975,12154.702439,-10416.712195,0.000000,0.000000,0.000000,8.999636,10.055550,-8.617716,0.000000,0.000000,19.055187,16.231271,0.000000,19.055187,4.028805,-0.000000,18.840548,4.179447,0.000000,689,678,0,678,661,0,703,691,0,661,701,0,112,34.321536,41.185844,0.754804,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 52275.000000,205
16,60.000000,40232.000000,38507.000000,0.000000,670.533333,641.783333,0.000000,0.000000,936.183333,104.933333,89.933333,0.000000,0.000000,0.000000,3.985589,0.446730,0.382870,0.000000,0.000000,4.432319,1.633892,0.000000,4.432319,1.278237,-0.000000,2.491365,7.847975,0.000000,642,671,0,634,668,0,648,673,0,668,637,0,38,5.028515,14.079844,0.106547,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15300.000000,60
17,69.000000,46900.000000,22473.000000,0.000000,679.710144,325.695652,0.000000,0.000000,922.608695,238.202898,264.913043,0.000000,0.000000,0.000000,3.260008,0.841682,0.936061,0.000000,0.000000,4.101691,1.867680,0.000000,4.101691,1.366630,-0.000000,2.910547,7.624395,0.000000,326,680,0,318,676,0,332,683,0,676,323,0,41,7.397692,14.795384,0.329386,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17595.000000,69
18,262.000000,183308.000000,61516.000000,0.000000,699.648854,234.793893,0.000000,0.000000,4672.870229,25731.694656,-8989.961832,0.000000,0.000000,0.000000,2.787288,15.348525,-5.362361,0.000000,0.000000,18.135814,14.025850,0.000000,18.135814,3.745110,-0.000000,20.338305,4.396159,0.000000,235,700,0,225,680,0,242,718,0,680,240,0,126,18.119419,40.502231,0.353346,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 66810.000000,262
19,590.000000,405703.000000,222097.000000,0.000000,687.632203,376.435593,0.000000,0.000000,224659.052542,7381.188135,24841.523728,0.000000,0.000000,0.000000,45.399866,1.491615,5.020059,0.000000,0.000000,46.891481,42.518150,0.000000,46.891481,6.520594,-0.000000,5.362157,37.800173,0.000000,376,688,0,339,680,0,409,699,0,680,340,0,191,19.120652,70.444507,0.112398,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,150450.000000,590
20,117.000000,80870.000000,37423.000000,0.000000,691.196581,319.854700,0.000000,0.000000,9692.529914,604.478632,1606.341880,0.000000,0.000000,0.000000,16.937761,1.056330,2.807093,0.000000,0.000000,17.994091,10.012100,0.000000,17.994091,3.164190,-0.000000,2.953276,16.258212,0.000000,320,691,0,305,687,0,336,697,0,687,310,0,89,10.146082,31.452855,0.169897,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 29835.000000,117
21,196.000000,136949.000000,97027.000000,0.000000,698.719387,495.035714,0.000000,0.000000,4740.749999,3655.566326,-1649.035714,0.000000,0.000000,0.000000,4.163951,3.210799,-1.448400,0.000000,0.000000,7.374751,11.271750,0.000000,7.374751,3.357342,-0.000000,6.703482,10.406941,0.000000,495,699,0,485,692,0,508,709,0,692,495,0,79,20.984844,28.391260,-0.626459,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 49980.000000,196
22,61.000000,43857.000000,20278.000000,0.000000,718.967213,332.426229,0.000000,0.000000,418.918032,293.934426,160.852459,0.000000,0.000000,0.000000,1.744573,1.224082,0.669865,0.000000,0.000000,2.968655,1.686781,0.000000,2.968655,1.298761,-0.000000,3.427520,5.813792,0.000000,332,719,0,327,715,0,337,723,0,715,331,0,36,9.693820,12.117276,0.600119,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15555.000000,61
23,822.000000,611653.000000,319321.000000,0.000000,744.103406,388.468369,0.000000,0.000000,412382.677615,34252.210462,-84670.811435,0.000000,0.000000,0.000000,53.555571,4.448287,-10.996081,0.000000,0.000000,58.003858,117.316761,0.000000,58.003858,10.831286,-0.000000,7.945746,41.011742,0.000000,388,744,0,343,727,0,427,757,0,727,407,0,271,30.677332,85.896529,-0.210527,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,209610.000000,822
