Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,8570.000000,4019322.000000,2960068.000000,0.000000,468.999066,345.398833,0.000000,0.000000,11550390.788328,3185131.992530,738029.190665,0.000000,0.000000,0.000000,65.860079,18.161553,4.208226,0.000000,0.000000,84.021633,1178.412211,0.000000,84.021633,34.328009,-0.000000,37.882193,73.085540,0.000000,345,469,0,268,428,0,419,505,0,428,360,0,458,77.294534,151.577593,0.087326,71.876896,    89.203772,     9.444774,   121.000000,    48.000000,    70.000000,615985.000000,8570,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2185350.000000,8570,5,9,1,357,407,466,419,483,412,498,411,502,268,467,-99,-99,-99,-99,-99,-99,-99,-99
1,8394.000000,4127194.000000,5244054.000000,0.000000,491.683821,624.738384,0.000000,0.000000,10575815.492491,4517844.862995,3550429.672621,0.000000,0.000000,0.000000,61.994797,26.483336,20.812406,0.000000,0.000000,88.478133,1208.672810,0.000000,88.478133,34.765972,-0.000000,36.528972,75.227062,0.000000,625,492,0,552,445,0,706,539,0,445,601,0,500,103.521006,169.598245,0.432243,71.064093,    60.322115,     7.766731,   129.000000,    50.000000,    71.000000,596512.000000,8394,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2140470.000000,8394,3,9,1,357,706,505,552,455,657,536,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,5213.000000,2631133.000000,2684663.000000,0.000000,504.725302,514.993861,0.000000,0.000000,1666417.803567,3313012.632648,-619909.790331,0.000000,0.000000,0.000000,18.436009,36.652712,-6.858221,0.000000,0.000000,55.088722,628.694567,0.000000,55.088722,25.073782,-0.000000,51.366883,33.070461,0.000000,515,505,0,478,459,0,553,556,0,459,547,0,342,79.081907,102.279267,0.322696,73.434682,    88.576939,     9.411532,   113.000000,    51.000000,    73.000000,382815.000000,5213,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,1,348,529,461,548,460,550,462,495,556,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,6640.000000,3567612.000000,3001379.000000,0.000000,537.290963,452.014909,0.000000,0.000000,2380753.523945,5839969.857829,559218.194578,0.000000,0.000000,0.000000,19.076132,46.793604,4.480816,0.000000,0.000000,65.869736,872.563279,0.000000,65.869736,29.539182,-0.000000,59.024269,36.705886,0.000000,452,537,0,416,483,0,491,594,0,483,466,0,382,75.926204,112.370782,-0.156356,73.591566,   158.455840,    12.587924,   126.000000,    48.000000,    73.000000,488648.000000,6640,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1693200.000000,6640,4,9,2,174,470,483,476,593,421,583,423,485,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,4574.000000,2465496.000000,2586739.000000,0.000000,539.024048,565.531045,0.000000,0.000000,1507293.091604,2195529.354612,-304327.414954,0.000000,0.000000,0.000000,19.851934,28.916409,-4.008170,0.000000,0.000000,48.768343,557.981230,0.000000,48.768343,23.621626,-0.000000,44.124720,34.247228,0.000000,566,539,0,520,488,0,605,579,0,488,555,0,351,90.892505,97.308447,0.362055,76.538478,   113.894757,    10.672148,   114.000000,    50.000000,    77.000000,350087.000000,4574,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1166370.000000,4574,4,9,2,177,574,500,584,502,521,560,554,490,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,5840.000000,3170802.000000,2208792.000000,0.000000,542.945547,378.217808,0.000000,0.000000,3243420.947944,2859704.684246,918368.263013,0.000000,0.000000,0.000000,30.840365,27.191764,8.732388,0.000000,0.000000,58.032130,762.349349,0.000000,58.032130,27.610674,-0.000000,37.408894,51.399700,0.000000,378,543,0,330,506,0,417,591,0,506,333,0,348,109.529485,112.106649,0.682423,75.463184,   235.180353,    15.335591,   210.000000,    53.000000,    73.000000,440705.000000,5840,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1489200.000000,5840,5,9,1,345,413,507,415,509,416,514,416,588,333,506,-99,-99,-99,-99,-99,-99,-99,-99
6,8770.000000,4933641.000000,6420977.000000,0.000000,562.558836,732.152451,0.000000,0.000000,8563665.172289,5261426.140134,2349983.835004,0.000000,0.000000,0.000000,47.350752,29.091806,12.993677,0.000000,0.000000,76.442559,1208.683271,0.000000,76.442559,34.766122,-0.000000,42.640576,66.355436,0.000000,732,563,0,662,508,0,793,614,0,508,710,0,484,119.452482,147.625238,0.479160,72.201938,    82.259250,     9.069688,   123.000000,    50.000000,    72.000000,633211.000000,8770,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2236350.000000,8770,4,9,2,177,793,590,663,547,686,526,709,509,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,4609.000000,2687242.000000,2964938.000000,0.000000,583.042308,643.293122,0.000000,0.000000,2927822.991971,1523744.749836,1060622.841180,0.000000,0.000000,0.000000,38.171205,19.865672,13.827766,0.000000,0.000000,58.036878,567.089552,0.000000,58.036878,23.813642,-0.000000,28.220331,54.039377,0.000000,643,583,0,591,540,0,698,616,0,540,609,0,477,86.275879,121.467356,0.493046,72.486439,   108.487717,    10.415743,   106.000000,    50.000000,    72.000000,334090.000000,4609,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1175295.000000,4609,7,9,2,174,698,604,591,573,595,565,596,561,601,556,607,542,629,542,-99,-99,-99,-99
8,5929.000000,3528230.000000,1990206.000000,0.000000,595.080114,335.673132,0.000000,0.000000,6874442.529936,2234360.945521,1887985.262269,0.000000,0.000000,0.000000,64.061271,20.821470,17.593679,0.000000,0.000000,84.882741,1024.312323,0.000000,84.882741,32.004879,-0.000000,30.851419,67.781156,0.000000,336,595,0,277,555,0,398,639,0,555,333,0,500,89.149303,128.417449,0.341541,72.937426,   127.645375,    11.298025,   126.000000,    49.000000,    72.000000,432446.000000,5929,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,322,398,614,397,630,395,633,376,639,277,618,280,598,280,588,286,556,-99,-99
9,8277.000000,5047158.000000,4562563.000000,0.000000,609.781080,551.233901,0.000000,0.000000,9274307.167328,4084525.317142,1854104.828922,0.000000,0.000000,0.000000,55.392487,24.395570,11.073978,0.000000,0.000000,79.788058,1228.698355,0.000000,79.788058,35.052793,-0.000000,40.319371,67.798162,0.000000,551,610,0,487,560,0,623,653,0,560,495,0,488,97.661202,142.816382,0.310202,76.379847,   149.821865,    12.240174,   206.000000,    49.000000,    76.000000,632196.000000,8277,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2110635.000000,8277,6,9,2,177,623,613,603,633,601,637,594,649,495,611,495,561,-99,-99,-99,-99,-99,-99
10,2920.000000,1803004.000000,1359362.000000,0.000000,617.467123,465.534931,0.000000,0.000000,1015706.436986,753318.843835,465507.353424,0.000000,0.000000,0.000000,24.336478,18.049632,11.153625,0.000000,0.000000,42.386110,314.861119,0.000000,42.386110,17.744326,-0.000000,22.926488,42.354788,0.000000,466,617,0,421,585,0,506,650,0,585,428,0,316,81.528737,106.614503,0.648045,75.809589,   161.436153,    12.705752,   116.000000,    49.000000,    75.000000,221364.000000,2920,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,158,506,631,497,639,487,648,422,587,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11,2812.000000,1783935.000000,1191436.000000,0.000000,634.400782,423.697012,0.000000,0.000000,522619.854907,1120005.318278,354171.466571,0.000000,0.000000,0.000000,13.167363,28.218439,8.923320,0.000000,0.000000,41.385802,291.936800,0.000000,41.385802,17.086158,-0.000000,41.954850,22.148210,0.000000,424,634,0,395,593,0,454,673,0,593,417,0,332,65.061535,88.219031,-0.435085,71.582147,    87.382434,     9.347857,   103.000000,    48.000000,    71.000000,201289.000000,2812,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,168,452,669,434,668,429,673,403,595,414,594,417,593,-99,-99,-99,-99,-99,-99
12,10693.000000,7272799.000000,7956360.000000,0.000000,680.145796,744.071822,0.000000,0.000000,12307734.840170,12376595.703538,-7758543.971566,0.000000,0.000000,0.000000,52.245077,52.537384,-32.934226,0.000000,0.000000,104.782461,1660.156426,0.000000,104.782461,40.745017,-0.000000,85.562256,40.857939,0.000000,744,680,0,677,598,0,809,751,0,598,794,0,677,186.263357,215.896164,0.783179,72.526138,   114.212490,    10.687024,   124.000000,    53.000000,    70.000000,775522.000000,10693,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2726715.000000,10693,4,9,1,351,794,598,808,611,681,744,678,741,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13,525.000000,323895.000000,169418.000000,0.000000,616.942857,322.700952,0.000000,0.000000,42568.049523,13662.285714,-3931.971428,0.000000,0.000000,0.000000,10.050893,3.225850,-0.928391,0.000000,0.000000,13.276744,31.560773,0.000000,13.276744,5.617897,-0.000000,9.803068,17.754950,0.000000,323,617,0,305,605,0,342,628,0,605,320,0,119,23.204353,37.328742,-0.132812,72.712380,    52.304521,     7.232186,    91.000000,    54.000000,    72.000000, 38174.000000,525,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,86,340,614,342,622,309,623,305,620,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14,675.000000,416383.000000,489646.000000,0.000000,616.863703,725.401481,0.000000,0.000000,55024.198518,30219.460740,-7755.063703,0.000000,0.000000,0.000000,9.292845,5.103659,-1.309725,0.000000,0.000000,14.396504,45.712134,0.000000,14.396504,6.761074,-0.000000,12.564882,17.968301,0.000000,725,617,0,708,606,0,747,633,0,606,714,0,134,28.089300,40.573433,-0.279403,71.568888,   133.767873,    11.565806,   100.000000,    49.000000,    70.000000, 48309.000000,675,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,99,739,608,744,613,743,619,718,633,717,631,715,631,709,612,710,611,-99,-99
15,5187.000000,3339128.000000,3419607.000000,0.000000,643.749373,659.264893,0.000000,0.000000,4265030.037014,1233028.185463,-132746.639097,0.000000,0.000000,0.000000,47.500745,13.732554,-1.478433,0.000000,0.000000,61.233300,650.120829,0.000000,61.233300,25.497467,-0.000000,30.252437,56.435715,0.000000,659,644,0,598,610,0,714,683,0,610,699,0,393,73.069664,116.110700,-0.043670,72.649701,   124.477537,    11.156950,   114.000000,    49.000000,    73.000000,376834.000000,5187,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1322685.000000,5187,5,9,2,174,701,612,708,620,714,637,705,657,598,654,-99,-99,-99,-99,-99,-99,-99,-99
