Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,272.000000,104717.000000,124964.000000,0.000000,384.988970,459.426470,0.000000,0.000000,5624.529411,18406.966911,-128.720588,0.000000,0.000000,0.000000,3.191496,10.444565,-0.073039,0.000000,0.000000,13.636061,33.328454,0.000000,13.636061,5.773080,-0.000000,14.350236,7.931324,0.000000,459,385,0,447,374,0,470,401,0,374,458,0,122,23.001165,27.001368,0.010068,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 69360.000000,272
1,263.000000,104325.000000,142035.000000,0.000000,396.673003,540.057034,0.000000,0.000000,11776.144486,4983.878326,4572.904942,0.000000,0.000000,0.000000,6.988684,2.957738,2.713841,0.000000,0.000000,9.946423,13.305765,0.000000,9.946423,3.647706,-0.000000,6.215232,14.233492,0.000000,540,397,0,527,387,0,552,405,0,387,537,0,107,20.148399,27.983888,0.466003,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 67065.000000,263
2,939.000000,392328.000000,319493.000000,0.000000,417.814696,340.248136,0.000000,0.000000,38349.184238,204161.757188,26144.175718,0.000000,0.000000,0.000000,4.170633,22.203440,2.843287,0.000000,0.000000,26.374073,84.518121,0.000000,26.374073,9.193373,-0.000000,28.424730,11.541791,0.000000,340,418,0,321,392,0,353,451,0,392,342,0,224,32.376924,59.694954,-0.152737,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,239445.000000,939
3,76.000000,30849.000000,35793.000000,0.000000,405.907894,470.960526,0.000000,0.000000,310.881578,778.355263,37.723684,0.000000,0.000000,0.000000,0.965702,2.417833,0.117182,0.000000,0.000000,3.383536,2.321177,0.000000,3.383536,1.523541,-0.000000,6.309678,3.960505,0.000000,471,406,0,467,399,0,475,412,0,399,470,0,43,8.025672,13.041718,-0.080007,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 19380.000000,76
4,257.000000,105435.000000,97056.000000,0.000000,410.252918,377.649805,0.000000,0.000000,7656.482490,6682.560311,1778.762645,0.000000,0.000000,0.000000,4.685814,4.089768,1.088613,0.000000,0.000000,8.775583,17.978818,0.000000,8.775583,4.240143,-0.000000,8.496570,11.054109,0.000000,378,410,0,366,400,0,389,419,0,400,371,0,117,23.899390,28.930841,0.651789,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 65535.000000,257
5,211.000000,89464.000000,67020.000000,0.000000,424.000000,317.630331,0.000000,0.000000,3075.165876,10440.000000,3836.999999,0.000000,0.000000,0.000000,2.448078,8.311075,3.054559,0.000000,0.000000,10.759153,11.015831,0.000000,10.759153,3.319010,-0.000000,14.526847,5.015446,0.000000,318,424,0,310,411,0,326,437,0,411,314,0,95,17.393236,28.264009,-0.402976,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 53805.000000,211
6,399.000000,173423.000000,196558.000000,0.000000,434.644110,492.626566,0.000000,0.000000,14567.358395,51257.463659,-6398.027568,0.000000,0.000000,0.000000,4.959260,17.449912,-2.178122,0.000000,0.000000,22.409173,81.794449,0.000000,22.409173,9.044028,-0.000000,19.035649,9.661626,0.000000,493,435,0,475,414,0,505,455,0,414,489,0,213,30.427287,41.583960,0.167785,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,101745.000000,399
7,167.000000,72280.000000,77983.000000,0.000000,432.814371,466.964071,0.000000,0.000000,1747.784431,3931.245508,1074.886227,0.000000,0.000000,0.000000,1.900491,4.274725,1.168800,0.000000,0.000000,6.175216,6.757982,0.000000,6.175216,2.599612,-0.000000,10.044183,5.492950,0.000000,467,433,0,460,424,0,473,443,0,424,465,0,74,14.048584,20.532547,-0.388811,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 42585.000000,167
8,97.000000,43866.000000,28908.000000,0.000000,452.226804,298.020618,0.000000,0.000000,417.958762,1687.010309,237.546391,0.000000,0.000000,0.000000,0.937787,3.785199,0.532990,0.000000,0.000000,4.722986,3.265633,0.000000,4.722986,1.807106,-0.000000,8.293724,3.861106,0.000000,298,452,0,294,444,0,302,460,0,444,297,0,52,8.130057,16.260114,-0.179108,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 24735.000000,97
9,228.000000,104729.000000,114805.000000,0.000000,459.337719,503.530701,0.000000,0.000000,3280.785087,7612.995614,-519.864035,0.000000,0.000000,0.000000,2.355399,5.465657,-0.373230,0.000000,0.000000,7.821057,12.734509,0.000000,7.821057,3.568544,-0.000000,11.082855,7.178033,0.000000,504,459,0,496,449,0,511,471,0,449,503,0,88,15.104631,22.153460,0.117772,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 58140.000000,228
10,122.000000,55660.000000,44327.000000,0.000000,456.229508,363.336065,0.000000,0.000000,2095.221311,899.573770,511.590163,0.000000,0.000000,0.000000,3.462715,1.486701,0.845491,0.000000,0.000000,4.949416,4.433167,0.000000,4.949416,2.105508,-0.000000,4.739521,8.497783,0.000000,363,456,0,355,451,0,371,462,0,451,365,0,56,11.726779,17.057134,0.353912,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31110.000000,122
11,60.000000,27389.000000,19148.000000,0.000000,456.483333,319.133333,0.000000,0.000000,266.933333,348.983333,22.133333,0.000000,0.000000,0.000000,1.136408,1.485717,0.094227,0.000000,0.000000,2.622126,1.679503,0.000000,2.622126,1.295956,-0.000000,4.788678,4.111201,0.000000,319,456,0,315,452,0,323,461,0,452,318,0,35,8.251180,9.282578,-0.247376,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15300.000000,60
12,167.000000,78563.000000,53156.000000,0.000000,470.437125,318.299401,0.000000,0.000000,13847.029940,1841.089820,3849.143712,0.000000,0.000000,0.000000,15.056868,2.001949,4.185450,0.000000,0.000000,17.058817,12.625091,0.000000,17.058817,3.553180,-0.000000,3.751649,17.193029,0.000000,318,470,0,303,464,0,333,479,0,464,307,0,105,15.630895,31.261790,0.285084,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 42585.000000,167
13,176.000000,84519.000000,75633.000000,0.000000,480.221590,429.732954,0.000000,0.000000,3750.448863,9518.357954,-3830.585227,0.000000,0.000000,0.000000,3.802474,9.650396,-3.883722,0.000000,0.000000,13.452871,21.612085,0.000000,13.452871,4.648880,-0.000000,13.800509,5.536592,0.000000,430,480,0,420,464,0,439,492,0,464,437,0,103,21.232898,31.290587,0.462728,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 44880.000000,176
