Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,24.000000,12765.000000,5728.000000,0.000000,531.875000,238.666666,0.000000,0.000000,53.333333,38.625000,6.000000,0.000000,0.000000,0.000000,0.770401,0.557939,0.086670,0.000000,0.000000,1.328340,0.422325,0.000000,1.328340,0.649865,-0.000000,2.477569,3.054793,0.000000,239,532,0,236,530,0,241,534,0,530,237,0,18,4.246154,5.307693,0.342169,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6120.000000,24
1,79.000000,42547.000000,59893.000000,0.000000,538.569620,758.139240,0.000000,0.000000,3275.468354,361.367088,767.734177,0.000000,0.000000,0.000000,9.662821,1.066053,2.264860,0.000000,0.000000,10.728875,5.171495,0.000000,10.728875,2.274092,-0.000000,2.639894,11.867444,0.000000,758,539,0,746,534,0,768,542,0,534,748,0,58,8.241071,22.662947,0.242471,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 20145.000000,79
2,100.000000,54013.000000,83360.000000,0.000000,540.129999,833.599999,0.000000,0.000000,3217.999999,347.309999,530.199999,0.000000,0.000000,0.000000,6.932970,0.748256,1.142281,0.000000,0.000000,7.681227,3.882835,0.000000,7.681227,1.970491,-0.000000,3.069454,11.117688,0.000000,834,540,0,823,536,0,844,544,0,536,830,0,59,8.126858,21.333002,0.176920,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 25500.000000,100
3,68.000000,38901.000000,19199.000000,0.000000,572.073529,282.338235,0.000000,0.000000,531.220588,440.632352,-296.691176,0.000000,0.000000,0.000000,1.913946,1.587563,-1.068954,0.000000,0.000000,3.501509,1.895846,0.000000,3.501509,1.376897,-0.000000,3.274810,6.735848,0.000000,282,572,0,277,567,0,287,576,0,567,285,0,38,11.864126,13.182362,-0.709650,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17340.000000,68
4,49.000000,28912.000000,32174.000000,0.000000,590.040816,656.612244,0.000000,0.000000,213.632653,177.918367,-32.224489,0.000000,0.000000,0.000000,1.191441,0.992261,-0.179717,0.000000,0.000000,2.183703,1.149923,0.000000,2.183703,1.072344,-0.000000,3.596281,4.350768,0.000000,657,590,0,653,586,0,660,593,0,586,658,0,27,8.124439,8.124439,-0.532386,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 12495.000000,49
5,193.000000,119332.000000,135737.000000,0.000000,618.300518,703.300518,0.000000,0.000000,8030.569948,1526.569948,-365.430051,0.000000,0.000000,0.000000,7.200068,1.368695,-0.327638,0.000000,0.000000,8.568764,9.747357,0.000000,8.568764,3.122075,-0.000000,5.366504,12.407667,0.000000,703,618,0,689,612,0,714,625,0,612,710,0,77,13.020374,25.039182,-0.055950,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 49215.000000,193
6,39.000000,24313.000000,15244.000000,0.000000,623.410256,390.871794,0.000000,0.000000,94.358974,181.435897,2.051282,0.000000,0.000000,0.000000,0.713450,1.371840,0.015509,0.000000,0.000000,2.085291,0.978499,0.000000,2.085291,0.989191,-0.000000,4.231282,3.050232,0.000000,391,623,0,388,620,0,394,628,0,620,389,0,28,6.001662,8.002216,-0.023539,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  9945.000000,39
7,122.000000,76476.000000,29882.000000,0.000000,626.852459,244.934426,0.000000,0.000000,1795.475409,1075.344262,624.819672,0.000000,0.000000,0.000000,2.967333,1.777192,1.032622,0.000000,0.000000,4.744525,4.207212,0.000000,4.744525,2.051149,-0.000000,4.783053,8.311032,0.000000,245,627,0,237,621,0,253,632,0,621,243,0,54,12.704676,18.479529,0.524003,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31110.000000,122
8,768.000000,489834.000000,588151.000000,0.000000,637.804687,765.821614,0.000000,0.000000,74234.561197,39428.703125,365.242187,0.000000,0.000000,0.000000,10.554990,5.606143,0.051931,0.000000,0.000000,16.161133,59.170093,0.000000,16.161133,7.692209,-0.000000,13.829701,18.977629,0.000000,766,638,0,738,622,0,784,651,0,622,768,0,185,29.001596,46.002532,0.010492,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,195840.000000,768
9,59.000000,37060.000000,19049.000000,0.000000,628.135593,322.864406,0.000000,0.000000,846.915254,344.915254,377.084745,0.000000,0.000000,0.000000,3.687261,1.501676,1.641734,0.000000,0.000000,5.188938,2.841781,0.000000,5.188938,1.685758,-0.000000,2.862920,7.755529,0.000000,323,628,0,315,624,0,328,633,0,624,315,0,44,10.209804,14.747495,0.491754,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15045.000000,59
10,528.000000,340503.000000,311114.000000,0.000000,644.892045,589.231060,0.000000,0.000000,73781.810606,13350.846590,-11805.829545,0.000000,0.000000,0.000000,17.289034,3.128457,-2.766418,0.000000,0.000000,20.417492,46.434934,0.000000,20.417492,6.814318,-0.000000,8.580318,22.426016,0.000000,589,645,0,565,634,0,612,657,0,634,609,0,162,23.404732,47.827062,-0.186240,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,134640.000000,528
11,104.000000,67526.000000,19913.000000,0.000000,649.288461,191.471153,0.000000,0.000000,543.913461,4955.346153,-957.134615,0.000000,0.000000,0.000000,1.112120,10.132024,-1.957019,0.000000,0.000000,11.244144,7.438109,0.000000,11.244144,2.727289,-0.000000,12.619003,3.265762,0.000000,191,649,0,187,637,0,197,663,0,637,197,0,76,10.213245,26.554438,0.204706,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 26520.000000,104
12,120.000000,77514.000000,7927.000000,0.000000,645.949999,66.058333,0.000000,0.000000,2302.591666,823.699999,497.349999,0.000000,0.000000,0.000000,3.890229,1.391641,0.840273,0.000000,0.000000,5.281871,4.707746,0.000000,5.281871,2.169734,-0.000000,4.599925,8.790799,0.000000,66,646,0,57,640,0,75,651,0,640,66,0,58,11.500301,18.818675,0.296048,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 30600.000000,120
13,55.000000,35578.000000,2525.000000,0.000000,646.872727,45.909090,0.000000,0.000000,394.545454,164.109090,77.363636,0.000000,0.000000,0.000000,1.886311,0.784601,0.369873,0.000000,0.000000,2.670913,1.343196,0.000000,2.670913,1.158963,-0.000000,3.191521,5.504703,0.000000,46,647,0,41,644,0,51,650,0,644,42,0,32,6.272137,10.453563,0.295654,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14025.000000,55
14,49.000000,31865.000000,173.000000,0.000000,650.306122,3.530612,0.000000,0.000000,108.204081,404.408163,65.040816,0.000000,0.000000,0.000000,0.603460,2.255408,0.362736,0.000000,0.000000,2.858868,1.229472,0.000000,2.858868,1.108815,-0.000000,5.784071,2.750733,0.000000,4,650,0,1,645,0,6,655,0,645,2,0,31,5.108964,10.217928,-0.206902,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 12495.000000,49
15,139.000000,91481.000000,13857.000000,0.000000,658.136690,99.690647,0.000000,0.000000,1797.697841,1662.402877,462.877697,0.000000,0.000000,0.000000,2.496684,2.308783,0.642855,0.000000,0.000000,4.805467,5.351040,0.000000,4.805467,2.313231,-0.000000,5.907559,7.795303,0.000000,100,658,0,92,653,0,105,667,0,653,95,0,52,17.184215,18.506078,0.712839,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 35445.000000,139
16,161.000000,108100.000000,6973.000000,0.000000,671.428571,43.310559,0.000000,0.000000,552.472049,9993.428571,-1082.428571,0.000000,0.000000,0.000000,0.630776,11.409852,-1.235847,0.000000,0.000000,12.040628,5.669753,0.000000,12.040628,2.381124,-0.000000,15.809806,3.259393,0.000000,43,671,0,40,656,0,47,686,0,656,45,0,77,7.044694,30.191546,0.112704,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 41055.000000,161
17,421.000000,284250.000000,53500.000000,0.000000,675.178147,127.078384,0.000000,0.000000,15250.413301,13689.638954,1915.121140,0.000000,0.000000,0.000000,4.833245,4.338595,0.606950,0.000000,0.000000,9.171840,20.601108,0.000000,9.171840,4.538844,-0.000000,10.813755,12.487415,0.000000,127,675,0,116,665,0,139,687,0,665,118,0,92,26.510255,27.715267,0.591926,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,107355.000000,421
18,199.000000,139514.000000,20130.000000,0.000000,701.075376,101.155778,0.000000,0.000000,2824.170854,4373.869346,-877.336683,0.000000,0.000000,0.000000,2.430824,3.764682,-0.755142,0.000000,0.000000,6.195506,8.581041,0.000000,6.195506,2.929341,-0.000000,9.604810,6.853619,0.000000,101,701,0,94,689,0,109,710,0,689,100,0,80,16.454870,23.036818,0.423675,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 50745.000000,199
19,110.000000,76422.000000,24672.000000,0.000000,694.745454,224.290909,0.000000,0.000000,2312.690909,952.872727,1025.145454,0.000000,0.000000,0.000000,4.387939,1.807914,1.945040,0.000000,0.000000,6.195854,4.149840,0.000000,6.195854,2.037115,-0.000000,3.723733,9.929165,0.000000,224,695,0,215,689,0,231,701,0,689,216,0,57,13.619153,18.158870,0.492587,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 28050.000000,110
20,154.000000,109437.000000,7958.000000,0.000000,710.629870,51.675324,0.000000,0.000000,9413.766233,4423.902597,5975.493506,0.000000,0.000000,0.000000,11.404312,5.359339,7.239015,0.000000,0.000000,16.763652,8.716242,0.000000,16.763652,2.952328,-0.000000,3.183554,17.497348,0.000000,52,711,0,40,700,0,68,721,0,700,43,0,96,25.232694,33.643592,0.587636,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 39270.000000,154
21,31.000000,22097.000000,4954.000000,0.000000,712.806451,159.806451,0.000000,0.000000,126.838709,80.838709,-65.161290,0.000000,0.000000,0.000000,1.302475,0.830112,-0.669125,0.000000,0.000000,2.132588,0.633472,0.000000,2.132588,0.795910,-0.000000,2.110034,4.708024,0.000000,160,713,0,156,710,0,164,716,0,710,161,0,25,7.349816,9.799755,-0.615738,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  7905.000000,31
22,150.000000,109433.000000,24197.000000,0.000000,729.553333,161.313333,0.000000,0.000000,1502.273333,2293.073333,-161.006666,0.000000,0.000000,0.000000,1.884924,2.877152,-0.202017,0.000000,0.000000,4.762077,5.382404,0.000000,4.762077,2.320001,-0.000000,7.810262,6.212423,0.000000,161,730,0,155,722,0,167,737,0,722,162,0,54,12.227850,15.284812,0.193348,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 38250.000000,150
