Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,6680.000000,3673586.000000,3661757.000000,0.000000,549.938023,548.167215,0.000000,0.000000,6010834.220208,3866504.341915,-2914685.772753,0.000000,0.000000,0.000000,47.778531,30.733820,-23.168066,0.000000,0.000000,78.512352,931.657521,0.000000,78.512352,30.523065,-0.000000,32.488601,68.059551,0.000000,548,550,0,484,504,0,608,610,0,504,579,0,461,129.247496,151.195184,-0.609154,82.908083,   183.419907,    13.543260,   133.000000,    61.000000,    80.000000,553826.000000,6680,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1703400.000000,6680,4,9,2,171,595,506,607,531,509,608,485,575,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,10646.000000,5737757.000000,4522512.000000,0.000000,538.958951,424.808566,0.000000,0.000000,24605119.858719,3665029.061899,-1326955.656396,0.000000,0.000000,0.000000,105.061485,15.649320,-5.665972,0.000000,0.000000,120.710805,1612.037566,0.000000,120.710805,40.150187,-0.000000,36.301873,95.314896,0.000000,425,539,0,332,506,0,522,580,0,506,442,0,533,74.147251,190.378077,-0.063033,80.498497,   111.422778,    10.555698,   126.000000,    59.000000,    79.000000,856987.000000,10646,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2714730.000000,10646,5,9,2,177,522,515,350,568,348,560,347,555,332,515,-99,-99,-99,-99,-99,-99,-99,-99
2,5392.000000,2994644.000000,3504333.000000,0.000000,555.386498,649.913390,0.000000,0.000000,2184548.553226,3142334.537091,-717539.505192,0.000000,0.000000,0.000000,23.104426,33.234251,-7.588908,0.000000,0.000000,56.338678,710.266796,0.000000,56.338678,26.650831,-0.000000,50.064663,35.777697,0.000000,650,555,0,609,514,0,700,614,0,514,651,0,381,103.198480,113.404923,0.491139,87.355526,   188.310787,    13.722637,   180.000000,    60.000000,    86.000000,471021.000000,5392,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,1,354,700,523,646,614,624,593,622,591,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,7400.000000,4280539.000000,2404795.000000,0.000000,578.451216,324.972297,0.000000,0.000000,4028831.320944,8444802.389051,3649419.499323,0.000000,0.000000,0.000000,27.938523,58.561725,25.307436,0.000000,0.000000,86.500249,995.661814,0.000000,86.500249,31.554109,-0.000000,74.534906,32.293203,0.000000,325,578,0,274,517,0,375,647,0,517,315,0,475,115.944502,149.235498,-0.513345,81.179189,    91.492957,     9.565195,   128.000000,    60.000000,    80.000000,600726.000000,7400,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1887000.000000,7400,4,9,2,174,374,637,346,645,280,523,315,517,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,4591.000000,2650239.000000,805690.000000,0.000000,577.268351,175.493356,0.000000,0.000000,1208625.547375,3841927.391417,1246600.184708,0.000000,0.000000,0.000000,15.839764,50.350767,16.337444,0.000000,0.000000,66.190531,530.632189,0.000000,66.190531,23.035455,-0.000000,60.765858,24.618713,0.000000,175,577,0,138,524,0,214,632,0,524,159,0,372,81.806545,116.251407,-0.379038,81.297538,   130.768532,    11.435406,   135.000000,    60.000000,    80.000000,373237.000000,4591,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,174,206,628,185,632,141,529,174,526,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,6207.000000,3573471.000000,4428013.000000,0.000000,575.716288,713.390204,0.000000,0.000000,3203516.924439,3813619.383276,-898118.849685,0.000000,0.000000,0.000000,28.083508,33.431948,-7.873324,0.000000,0.000000,61.515456,876.897160,0.000000,61.515456,29.612449,-0.000000,52.310662,39.645128,0.000000,713,576,0,648,525,0,753,627,0,525,705,0,458,125.476797,129.167291,0.621683,84.054615,   111.891151,    10.577861,   120.000000,    64.000000,    83.000000,521727.000000,6207,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,3,120,714,525,719,525,743,531,750,540,733,627,648,623,711,525,-99,-99,-99,-99
6,10699.000000,6286754.000000,797123.000000,0.000000,587.602018,74.504439,0.000000,0.000000,15687884.539110,7289605.396389,-5060654.095894,0.000000,0.000000,0.000000,66.543677,30.920494,-21.465898,0.000000,0.000000,97.464172,1596.778656,0.000000,97.464172,39.959712,-0.000000,42.498371,81.493457,0.000000,75,588,0,0,533,0,145,637,0,533,90,0,455,114.899204,160.196005,-0.439084,80.990559,   106.213128,    10.305975,   118.000000,    60.000000,    80.000000,866518.000000,10699,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2728245.000000,10699,5,9,1,360,135,535,137,537,142,543,0,625,0,581,-99,-99,-99,-99,-99,-99,-99,-99
7,8871.000000,5208402.000000,7118473.000000,0.000000,587.126817,802.443129,0.000000,0.000000,5997329.058728,8231926.330062,1798311.479539,0.000000,0.000000,0.000000,32.658365,44.826830,9.792678,0.000000,0.000000,77.485195,1368.074461,0.000000,77.485195,36.987490,-0.000000,63.221584,46.515622,0.000000,802,587,0,746,533,0,844,655,0,533,756,0,382,112.128598,139.588663,-0.507429,87.566903,   123.022552,    11.091553,   137.000000,    65.000000,    87.000000,776806.000000,8871,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,354,844,546,844,655,746,615,756,541,756,534,-99,-99,-99,-99,-99,-99,-99,-99
8,3424.000000,1967251.000000,815020.000000,0.000000,574.547605,238.031542,0.000000,0.000000,1320768.593457,1045270.240362,-576727.141355,0.000000,0.000000,0.000000,25.592638,20.254284,-11.175287,0.000000,0.000000,45.846923,393.473526,0.000000,45.846923,19.836167,-0.000000,25.652927,44.504389,0.000000,238,575,0,201,535,0,277,611,0,535,272,0,303,96.820713,96.820713,-0.668171,85.569509,   136.918333,    11.701210,   133.000000,    62.000000,    85.000000,292990.000000,3424,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,174,274,538,239,611,220,611,207,597,201,566,-99,-99,-99,-99,-99,-99,-99,-99
9,23.000000,12345.000000,19325.000000,0.000000,536.739130,840.217391,0.000000,0.000000,173.913043,12.434782,16.304347,0.000000,0.000000,0.000000,2.658857,0.190108,0.249267,0.000000,0.000000,2.848965,0.443336,0.000000,2.848965,0.665835,-0.000000,1.359217,5.478581,0.000000,840,537,0,835,536,0,844,538,0,536,835,0,20,2.009967,9.044852,0.099629,107.869565,    21.573122,     4.644687,   120.000000,    99.000000,   108.000000,  2481.000000,23,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
