Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,194.000000,83566.000000,36628.000000,0.000000,430.752577,188.804123,0.000000,0.000000,13554.556701,8070.123711,9986.597938,0.000000,0.000000,0.000000,12.069325,7.185845,8.892323,0.000000,0.000000,19.255171,7.654893,0.000000,19.255171,2.766747,-0.000000,3.038508,20.700484,0.000000,189,431,0,174,419,0,206,443,0,419,174,0,112,30.179863,40.239817,0.651405,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 49470.000000,194
1,216.000000,95202.000000,73212.000000,0.000000,440.750000,338.944444,0.000000,0.000000,12849.333333,3612.500000,5235.999999,0.000000,0.000000,0.000000,9.914609,2.787422,4.040123,0.000000,0.000000,12.702031,11.313610,0.000000,12.702031,3.363571,-0.000000,4.620387,16.124247,0.000000,339,441,0,327,430,0,354,448,0,430,329,0,91,19.748681,29.623021,0.423993,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 55080.000000,216
2,16.000000,7555.000000,9659.000000,0.000000,472.187500,603.687500,0.000000,0.000000,15.437500,26.437500,0.937500,0.000000,0.000000,0.000000,0.382898,0.655733,0.023252,0.000000,0.000000,1.038631,0.250538,0.000000,1.038631,0.500538,-0.000000,2.580807,1.964104,0.000000,604,472,0,602,470,0,605,474,0,470,603,0,14,3.010720,4.014294,-0.084415,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  4080.000000,16
3,59.000000,29878.000000,31751.000000,0.000000,506.406779,538.152542,0.000000,0.000000,1523.627118,82.237288,-175.661016,0.000000,0.000000,0.000000,6.633499,0.358041,-0.764785,0.000000,0.000000,6.991540,1.790168,0.000000,6.991540,1.337971,-0.000000,1.983759,9.971431,0.000000,538,506,0,529,504,0,546,508,0,504,542,0,42,4.028749,17.122187,-0.119538,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15045.000000,59
4,264.000000,138413.000000,123510.000000,0.000000,524.291666,467.840909,0.000000,0.000000,22797.318181,13944.541666,-16617.749999,0.000000,0.000000,0.000000,13.461037,8.233775,-9.812213,0.000000,0.000000,21.694812,14.555623,0.000000,21.694812,3.815183,-0.000000,4.059174,22.344862,0.000000,468,524,0,451,513,0,484,539,0,513,478,0,120,32.790893,41.619210,-0.655237,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 67320.000000,264
5,122.000000,64560.000000,35909.000000,0.000000,529.180327,294.336065,0.000000,0.000000,6501.221311,2404.032786,3684.606557,0.000000,0.000000,0.000000,10.744391,3.973079,6.089449,0.000000,0.000000,14.717471,5.606933,0.000000,14.717471,2.367896,-0.000000,2.656984,16.075111,0.000000,294,529,0,282,520,0,309,537,0,520,284,0,88,19.722618,31.324158,0.531684,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31110.000000,122
6,85.000000,44750.000000,31616.000000,0.000000,526.470588,371.952941,0.000000,0.000000,2237.811764,161.176470,47.882352,0.000000,0.000000,0.000000,5.987768,0.431263,0.128119,0.000000,0.000000,6.419032,2.565893,0.000000,6.419032,1.601840,-0.000000,2.717015,10.161361,0.000000,372,526,0,363,524,0,382,529,0,524,366,0,53,5.001327,19.005044,0.023041,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 21675.000000,85
7,146.000000,85220.000000,75483.000000,0.000000,583.698630,517.006849,0.000000,0.000000,1204.993150,2640.739726,-80.698630,0.000000,0.000000,0.000000,1.567403,3.434960,-0.104969,0.000000,0.000000,5.002364,5.372950,0.000000,5.002364,2.317962,-0.000000,8.408804,5.664686,0.000000,517,584,0,512,574,0,523,591,0,574,517,0,55,11.017253,17.026663,0.055971,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 37230.000000,146
8,122.000000,71680.000000,52767.000000,0.000000,587.540983,432.516393,0.000000,0.000000,994.467213,2478.295081,650.918032,0.000000,0.000000,0.000000,1.643528,4.095810,1.075754,0.000000,0.000000,5.739339,5.574336,0.000000,5.739339,2.361003,-0.000000,9.016806,4.729956,0.000000,433,588,0,427,576,0,440,595,0,576,433,0,61,13.890836,20.301991,-0.360079,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31110.000000,122
9,188.000000,112812.000000,71669.000000,0.000000,600.063829,381.218085,0.000000,0.000000,5004.058510,3517.234042,2261.382978,0.000000,0.000000,0.000000,4.646349,3.265809,2.099730,0.000000,0.000000,7.912159,10.765221,0.000000,7.912159,3.281039,-0.000000,5.974124,11.227724,0.000000,381,600,0,373,589,0,395,607,0,589,377,0,84,22.221377,27.159461,0.626591,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 47940.000000,188
