Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,13552.000000,5533408.000000,3311694.000000,0.000000,408.309327,244.369391,0.000000,0.000000,20791880.823781,12692471.301056,2677428.508855,0.000000,0.000000,0.000000,64.351091,39.283333,8.286669,0.000000,0.000000,103.634425,2459.256500,0.000000,103.634425,49.590891,-0.000000,57.887693,78.025883,0.000000,244,408,0,145,341,0,322,472,0,341,285,0,628,136.793778,184.828234,0.292083,76.655253,   118.723883,    10.896048,   121.000000,    53.000000,    75.000000,1038832.000000,13552,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,3455760.000000,13552,4,9,1,360,291,342,317,456,146,382,179,369,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,9140.000000,3576442.000000,3324904.000000,0.000000,391.295623,363.775054,0.000000,0.000000,13495101.512468,4182215.224943,1826227.802187,0.000000,0.000000,0.000000,70.617861,21.884910,9.556378,0.000000,0.000000,92.502772,1454.141235,0.000000,92.502772,38.133203,-0.000000,40.047613,76.060795,0.000000,364,391,0,292,344,0,441,437,0,344,296,0,502,94.647933,151.640237,0.186879,75.910722,    51.577541,     7.181750,   103.000000,    55.000000,    76.000000,693824.000000,9140,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,354,436,381,437,388,441,420,293,348,296,344,-99,-99,-99,-99,-99,-99,-99,-99
2,5360.000000,2138076.000000,2532845.000000,0.000000,398.894776,472.545708,0.000000,0.000000,1896776.801305,3071154.653730,399428.779850,0.000000,0.000000,0.000000,20.220715,32.740248,4.258137,0.000000,0.000000,52.960963,643.899498,0.000000,52.960963,25.375174,-0.000000,48.333325,36.018263,0.000000,473,399,0,432,353,0,510,444,0,353,454,0,336,81.613120,95.215307,-0.298670,74.937126,    32.316441,     5.684755,   111.000000,    59.000000,    74.000000,401663.000000,5360,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,177,502,365,507,430,492,440,452,444,433,363,439,358,443,355,-99,-99,-99,-99
3,6655.000000,2833100.000000,925708.000000,0.000000,425.709992,139.099624,0.000000,0.000000,5524338.949059,4449932.285498,3238289.274980,0.000000,0.000000,0.000000,44.131589,35.548612,25.869312,0.000000,0.000000,79.680202,899.595429,0.000000,79.680202,29.993256,-0.000000,31.506410,69.395821,0.000000,139,426,0,76,379,0,203,478,0,379,82,0,451,129.789083,166.497107,0.703201,75.564087,    71.034027,     8.428168,   118.000000,    57.000000,    74.000000,502879.000000,6655,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,339,203,462,170,467,153,478,77,384,80,381,-99,-99,-99,-99,-99,-99,-99,-99
4,2518.000000,1115658.000000,1034261.000000,0.000000,443.073073,410.747021,0.000000,0.000000,1036159.852660,280860.554408,104959.548053,0.000000,0.000000,0.000000,30.247242,8.198790,3.063945,0.000000,0.000000,38.446033,238.603042,0.000000,38.446033,15.446780,-0.000000,20.333823,40.366907,0.000000,411,443,0,367,424,0,447,470,0,424,387,0,255,46.425814,80.740547,0.135543,76.037728,    64.367666,     8.022946,   101.000000,    56.000000,    76.000000,191463.000000,2518,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,162,441,426,441,436,443,439,447,447,442,457,441,461,436,468,367,440,-99,-99
5,5757.000000,2720619.000000,3017633.000000,0.000000,472.575820,524.167622,0.000000,0.000000,4003777.244744,1898032.154246,98131.332985,0.000000,0.000000,0.000000,38.803860,18.395372,0.951070,0.000000,0.000000,57.199233,712.906943,0.000000,57.199233,26.700317,-0.000000,35.878045,52.201379,0.000000,524,473,0,471,431,0,576,506,0,431,513,0,373,75.081043,105.113461,0.046467,76.399166,    77.122779,     8.781957,   105.000000,    51.000000,    76.000000,439830.000000,5757,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,177,572,452,573,459,576,466,576,484,480,504,472,447,-99,-99,-99,-99,-99,-99
6,6288.000000,3050217.000000,2364957.000000,0.000000,485.085400,376.106393,0.000000,0.000000,5078697.822995,2553483.139789,924840.866888,0.000000,0.000000,0.000000,43.759161,22.001364,7.968629,0.000000,0.000000,65.760526,899.262218,0.000000,65.760526,29.987701,-0.000000,36.898494,57.050530,0.000000,376,485,0,322,440,0,433,528,0,440,326,0,422,92.587187,116.786111,0.316098,75.215807,    62.275512,     7.891483,   111.000000,    54.000000,    75.000000,472957.000000,6288,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1603440.000000,6288,5,9,1,348,433,475,433,506,345,528,326,440,354,441,-99,-99,-99,-99,-99,-99,-99,-99
7,2142.000000,1029111.000000,980508.000000,0.000000,480.443977,457.753501,0.000000,0.000000,252001.848739,571506.777310,-57354.579831,0.000000,0.000000,0.000000,9.126643,20.698018,-2.077186,0.000000,0.000000,29.824662,184.588736,0.000000,29.824662,13.586343,-0.000000,32.730305,21.115560,0.000000,458,480,0,437,448,0,478,510,0,448,452,0,208,41.616532,62.932317,0.172344,76.918767,   131.875696,    11.483714,   117.000000,    53.000000,    77.000000,164760.000000,2142,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,165,458,448,465,448,477,461,476,501,476,506,448,507,438,505,457,448,-99,-99
8,125.000000,58079.000000,89441.000000,0.000000,464.631999,715.527999,0.000000,0.000000,971.151999,4281.071999,1577.287999,0.000000,0.000000,0.000000,1.553843,6.849715,2.523660,0.000000,0.000000,8.403558,4.274519,0.000000,8.403558,2.067491,-0.000000,12.417660,3.266458,0.000000,716,465,0,710,454,0,721,476,0,454,712,0,66,11.848215,23.696430,-0.380686,73.503999,     4.929419,     2.220229,    79.000000,    68.000000,    73.000000,  9188.000000,125,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,1,28,720,475,718,474,713,455,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,5758.000000,2871994.000000,1694441.000000,0.000000,498.783258,294.275963,0.000000,0.000000,3526378.493399,2398485.506078,991651.402917,0.000000,0.000000,0.000000,34.169087,23.240290,9.608674,0.000000,0.000000,57.409377,701.772883,0.000000,57.409377,26.490996,-0.000000,35.258209,52.916574,0.000000,294,499,0,240,461,0,341,542,0,461,317,0,364,93.707513,116.845171,0.526856,78.727162,   116.082399,    10.774154,   128.000000,    53.000000,    77.000000,453311.000000,5758,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1468290.000000,5758,3,9,2,174,340,526,322,541,240,476,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
