Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,5676.000000,810569.000000,1992675.000000,0.000000,142.806377,351.070295,0.000000,0.000000,1357386.951902,5375600.209124,500128.255285,0.000000,0.000000,0.000000,13.406450,53.092981,4.939597,0.000000,0.000000,66.499432,687.388824,0.000000,66.499432,26.218101,-0.000000,61.362912,29.960195,0.000000,351,143,0,322,75,0,384,201,0,75,337,0,382,62.464175,126.943324,-0.121985,50.632311,    29.007160,     5.385829,    73.000000,    36.000000,    50.000000,287389.000000,5676,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1447380.000000,5676,5,9,2,177,373,199,349,195,330,188,323,183,336,78,-99,-99,-99,-99,-99,-99,-99,-99
1,11192.000000,2566792.000000,5536942.000000,0.000000,229.341672,494.723195,0.000000,0.000000,5903062.458539,27050329.443875,431419.501788,0.000000,0.000000,0.000000,23.579455,108.051041,1.723281,0.000000,0.000000,131.630497,2544.815047,0.000000,131.630497,50.446159,-0.000000,92.691837,43.261285,0.000000,495,229,0,438,123,0,545,318,0,123,529,0,652,107.022245,195.040540,-0.020389,49.276804,    16.210746,     4.026257,    64.000000,    37.000000,    49.000000,551506.000000,11192,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,351,529,123,538,317,486,299,482,298,478,297,475,296,471,295,466,294,-99,-99
2,5160.000000,1133218.000000,2083010.000000,0.000000,219.615891,403.684108,0.000000,0.000000,1165001.096898,4056188.696898,-44615.096899,0.000000,0.000000,0.000000,13.065520,45.490273,-0.500359,0.000000,0.000000,58.555794,594.103764,0.000000,58.555794,24.374243,-0.000000,55.723804,29.852429,0.000000,404,220,0,374,167,0,436,274,0,167,389,0,338,62.007378,107.012733,0.015426,52.575581,    50.446311,     7.102556,    73.000000,    37.000000,    52.000000,271290.000000,5160,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,177,423,167,412,268,390,274,389,167,402,167,-99,-99,-99,-99,-99,-99,-99,-99
3,5900.000000,1448416.000000,2013465.000000,0.000000,245.494237,341.265254,0.000000,0.000000,2227575.877118,3919764.804066,42277.518644,0.000000,0.000000,0.000000,20.894396,36.766926,0.396558,0.000000,0.000000,57.661322,768.065468,0.000000,57.661322,27.713994,-0.000000,50.733001,38.230977,0.000000,341,245,0,302,187,0,384,289,0,187,321,0,373,82.025556,102.031789,-0.024963,50.498135,    56.261905,     7.500793,    81.000000,    37.000000,    49.000000,297939.000000,5900,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1504500.000000,5900,8,9,2,180,353,199,358,200,363,202,369,205,382,278,377,283,303,284,321,187,-99,-99
4,2749.000000,791483.000000,1172382.000000,0.000000,287.916696,426.475809,0.000000,0.000000,724565.641324,618285.923608,-221563.039650,0.000000,0.000000,0.000000,18.815311,16.055470,-5.753485,0.000000,0.000000,34.870782,268.986091,0.000000,34.870782,16.400795,-0.000000,25.096048,35.732658,0.000000,426,288,0,396,251,0,460,317,0,251,436,0,259,81.502988,84.049956,-0.667700,49.662422,    23.313947,     4.828451,    63.000000,    36.000000,    50.000000,136522.000000,2749,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,171,436,251,453,269,454,271,455,273,458,288,460,294,397,312,396,278,-99,-99
5,1643.000000,504444.000000,614575.000000,0.000000,307.026171,374.056603,0.000000,0.000000,231791.735849,244675.874619,-35536.433962,0.000000,0.000000,0.000000,11.955870,12.620437,-1.832977,0.000000,0.000000,24.576307,147.528504,0.000000,24.576307,12.146131,-0.000000,25.257530,21.679114,0.000000,374,307,0,349,278,0,393,333,0,278,389,0,197,57.322641,71.653302,0.695731,55.138770,    46.196321,     6.796787,    71.000000,    38.000000,    57.000000, 90593.000000,1643,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,159,391,278,393,289,388,325,385,332,350,294,-99,-99,-99,-99,-99,-99,-99,-99
6,14.000000,4063.000000,4070.000000,0.000000,290.214285,290.714285,0.000000,0.000000,10.857142,54.357142,-18.142857,0.000000,0.000000,0.000000,0.321769,1.610964,-0.537693,0.000000,0.000000,1.932733,0.229244,0.000000,1.932733,0.478794,-0.000000,4.135858,1.096603,0.000000,291,290,0,289,287,0,292,294,0,287,292,0,14,3.190847,7.445310,0.347611,66.214285,     2.950549,     1.717716,    69.000000,    63.000000,    66.000000,   927.000000,14,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,495.000000,149731.000000,151880.000000,0.000000,302.486868,306.828282,0.000000,0.000000,20194.404040,21227.664646,-1273.616161,0.000000,0.000000,0.000000,5.157320,5.421198,-0.325260,0.000000,0.000000,10.578518,27.853061,0.000000,10.578518,5.277599,-0.000000,13.166482,12.319894,0.000000,307,302,0,290,289,0,317,314,0,289,303,0,101,30.141357,32.552665,0.592718,47.652525,    15.283875,     3.909459,    67.000000,    39.000000,    47.000000, 23588.000000,495,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,75,313,291,316,291,317,314,315,313,296,309,292,306,-99,-99,-99,-99,-99,-99
8,857.000000,264618.000000,286548.000000,0.000000,308.772462,334.361726,0.000000,0.000000,53815.864644,82734.630105,27432.536756,0.000000,0.000000,0.000000,6.611031,10.163568,3.369960,0.000000,0.000000,16.774600,55.835036,0.000000,16.774600,7.472284,-0.000000,21.313078,13.057382,0.000000,334,309,0,321,290,0,350,328,0,290,321,0,139,33.869147,44.380262,-0.542856,48.750291,    40.117479,     6.333836,    64.000000,    38.000000,    48.000000, 41779.000000,857,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,140,336,290,337,291,350,324,346,325,345,326,344,327,321,290,-99,-99,-99,-99
9,1.000000,298.000000,287.000000,0.000000,298.000000,287.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,287,298,0,287,298,0,287,298,0,298,287,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,    65.000000,    65.000000,    65.000000,    65.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10,1.000000,302.000000,286.000000,0.000000,302.000000,286.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,286,302,0,286,302,0,286,302,0,302,286,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,    66.000000,    66.000000,    66.000000,    66.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11,3818.000000,1313399.000000,1190933.000000,0.000000,344.001833,311.925877,0.000000,0.000000,1982686.023310,1113192.987165,871381.518857,0.000000,0.000000,0.000000,33.225590,18.654741,14.602496,0.000000,0.000000,51.880332,406.581894,0.000000,51.880332,20.163875,-0.000000,24.302043,50.931900,0.000000,312,344,0,262,307,0,353,383,0,307,282,0,333,89.367317,107.005603,0.554007,52.354112,    47.267288,     6.875120,    76.000000,    37.000000,    53.000000,199888.000000,3818,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,168,349,381,264,330,266,325,267,322,272,317,275,312,-99,-99,-99,-99,-99,-99
12,3179.000000,1185394.000000,808170.000000,0.000000,372.882667,254.221453,0.000000,0.000000,1303566.096885,839217.234979,-327316.397923,0.000000,0.000000,0.000000,27.887677,17.953688,-7.002402,0.000000,0.000000,45.841366,451.653048,0.000000,45.841366,21.252130,-0.000000,27.543182,40.832175,0.000000,254,373,0,206,333,0,295,410,0,333,256,0,516,86.671354,100.178578,-0.476918,52.150361,    60.324143,     7.766861,    75.000000,    36.000000,    51.000000,165786.000000,3179,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,3,108,290,355,295,373,225,402,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
