Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,73.000000,515.000000,37035.000000,0.000000,7.054794,507.328767,0.000000,0.000000,322.109589,953.780821,-342.315068,0.000000,0.000000,0.000000,1.055779,3.126209,-1.122006,0.000000,0.000000,4.181989,2.041688,0.000000,4.181989,1.428876,-0.000000,7.723206,3.050492,0.000000,507,7,0,504,0,0,511,14,0,0,509,0,43,7.641928,15.283856,0.412804,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18615.000000,73
1,207.000000,3247.000000,118804.000000,0.000000,15.685990,573.932367,0.000000,0.000000,4999.053140,22002.589371,-9503.396135,0.000000,0.000000,0.000000,4.082510,17.968562,-7.761012,0.000000,0.000000,22.051072,13.123529,0.000000,22.051072,3.622641,-0.000000,21.089337,3.563567,0.000000,574,16,0,563,0,0,583,34,0,0,576,0,106,21.908423,37.244319,0.420485,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 52785.000000,207
2,64.000000,217.000000,41189.000000,0.000000,3.390625,643.578125,0.000000,0.000000,431.609375,303.234375,-143.453125,0.000000,0.000000,0.000000,1.685974,1.184509,-0.560363,0.000000,0.000000,2.870483,1.683044,0.000000,2.870483,1.297322,-0.000000,3.608172,5.699170,0.000000,644,3,0,639,0,0,649,8,0,0,643,0,30,9.533187,11.916484,-0.575034,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 16320.000000,64
3,16.000000,10.000000,11684.000000,0.000000,0.625000,730.250000,0.000000,0.000000,75.000000,7.750000,10.500000,0.000000,0.000000,0.000000,1.860235,0.192224,0.260432,0.000000,0.000000,2.052459,0.289757,0.000000,2.052459,0.538291,-0.000000,1.220372,4.307426,0.000000,730,1,0,726,0,0,733,2,0,0,726,0,12,2.023123,7.080931,0.151336,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  4080.000000,16
4,127.000000,2544.000000,77799.000000,0.000000,20.031496,612.590551,0.000000,0.000000,2132.708661,2411.874015,-1831.362204,0.000000,0.000000,0.000000,3.340872,3.778183,-2.868815,0.000000,0.000000,7.119055,4.392325,0.000000,7.119055,2.095787,-0.000000,11.258720,3.665856,0.000000,613,20,0,605,11,0,621,28,0,11,619,0,65,21.813700,23.177056,0.747362,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 32385.000000,127
5,120.000000,4549.000000,59726.000000,0.000000,37.908333,497.716666,0.000000,0.000000,650.366666,4295.991666,-1011.116666,0.000000,0.000000,0.000000,1.098794,7.258080,-1.708282,0.000000,0.000000,8.356875,5.056913,0.000000,8.356875,2.248758,-0.000000,11.872760,3.467332,0.000000,498,38,0,494,26,0,503,51,0,26,499,0,68,9.296463,25.823510,0.253222,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 30600.000000,120
6,190.000000,6790.000000,132420.000000,0.000000,35.736842,696.947368,0.000000,0.000000,12555.473684,2848.842105,2981.368421,0.000000,0.000000,0.000000,11.494629,2.608136,2.729464,0.000000,0.000000,14.102765,22.529578,0.000000,14.102765,4.746533,-0.000000,5.607156,14.490044,0.000000,697,36,0,686,27,0,715,42,0,27,687,0,110,15.587529,30.135889,0.275432,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 48450.000000,190
7,297.000000,10054.000000,229791.000000,0.000000,33.851851,773.707070,0.000000,0.000000,26197.515151,2307.481481,-2560.888888,0.000000,0.000000,0.000000,13.220610,1.164473,-1.292355,0.000000,0.000000,14.385083,13.724866,0.000000,14.385083,3.704708,-0.000000,5.178228,18.670466,0.000000,774,34,0,754,28,0,792,39,0,28,785,0,100,11.061614,38.212850,-0.105596,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 75735.000000,297
8,52.000000,1936.000000,35149.000000,0.000000,37.230769,675.942307,0.000000,0.000000,282.826923,217.230769,-85.307692,0.000000,0.000000,0.000000,1.457190,1.119223,-0.439525,0.000000,0.000000,2.576414,1.437739,0.000000,2.576414,1.199057,-0.000000,3.425419,5.025318,0.000000,676,37,0,671,33,0,680,40,0,33,676,0,32,8.492309,10.918683,-0.601875,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 13260.000000,52
9,361.000000,16472.000000,266968.000000,0.000000,45.628808,739.523545,0.000000,0.000000,9446.049861,14380.260387,-2122.844875,0.000000,0.000000,0.000000,3.674858,5.594446,-0.825864,0.000000,0.000000,9.269305,19.876749,0.000000,9.269305,4.458334,-0.000000,12.644278,9.553271,0.000000,740,46,0,730,35,0,751,61,0,35,735,0,98,22.398723,27.731752,0.355267,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 92055.000000,361
