Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,1610.000000,85505.000000,916120.000000,0.000000,53.108695,569.018633,0.000000,0.000000,148099.440993,381327.978260,-38627.260869,0.000000,0.000000,0.000000,7.848480,20.208349,-2.047038,0.000000,0.000000,28.056829,154.414466,0.000000,28.056829,12.426361,-0.000000,30.051659,18.182036,0.000000,569,53,0,546,22,0,586,86,0,22,576,0,208,40.517077,64.827323,0.159932,60.287577,    59.801026,     7.733112,    77.000000,    40.000000,    62.000000, 97063.000000,1610,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,157,580,23,582,24,584,25,578,86,566,78,-99,-99,-99,-99,-99,-99,-99,-99
1,242.000000,28594.000000,140483.000000,0.000000,118.157024,580.508264,0.000000,0.000000,9692.483471,9308.033057,-8129.314049,0.000000,0.000000,0.000000,6.427092,6.172163,-5.390554,0.000000,0.000000,12.599256,10.610995,0.000000,12.599256,3.257452,-0.000000,4.694102,16.848132,0.000000,581,118,0,570,105,0,593,130,0,105,589,0,94,32.149139,34.944716,-0.773577,63.561983,   147.226432,    12.133689,    87.000000,    48.000000,    59.000000, 15382.000000,242,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,26,589,105,571,130,570,129,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,4856.000000,713059.000000,2226106.000000,0.000000,146.840815,458.423805,0.000000,0.000000,4043375.808071,1359037.950370,1215582.601729,0.000000,0.000000,0.000000,49.170641,16.526974,14.782443,0.000000,0.000000,65.697615,594.121266,0.000000,65.697615,24.374602,-0.000000,26.639352,59.967960,0.000000,458,147,0,393,110,0,513,183,0,110,432,0,391,78.237349,128.609341,0.367973,63.176070,    51.856737,     7.201162,    86.000000,    37.000000,    64.000000,306783.000000,4856,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,171,508,142,513,165,393,122,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,4723.000000,782410.000000,2751792.000000,0.000000,165.659538,582.636459,0.000000,0.000000,1997926.801608,2289046.537793,-1016127.572517,0.000000,0.000000,0.000000,25.212871,28.886662,-12.823039,0.000000,0.000000,54.099533,563.885364,0.000000,54.099533,23.746270,-0.000000,51.064384,30.311909,0.000000,583,166,0,544,115,0,631,213,0,115,596,0,381,115.143343,129.701697,0.714257,62.597713,   105.815683,    10.286675,   102.000000,    35.000000,    62.000000,295649.000000,4723,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,171,597,116,608,122,631,166,557,212,546,212,-99,-99,-99,-99,-99,-99,-99,-99
4,789.000000,111138.000000,496636.000000,0.000000,140.859315,629.449936,0.000000,0.000000,36505.272496,80177.384030,18821.942965,0.000000,0.000000,0.000000,5.007099,10.997210,2.581636,0.000000,0.000000,16.004310,48.399284,0.000000,16.004310,6.956959,-0.000000,20.898411,12.160073,0.000000,629,141,0,616,123,0,642,163,0,123,619,0,132,27.736205,42.671085,-0.355700,64.774397,    91.685079,     9.575232,    93.000000,    50.000000,    64.000000, 51107.000000,789,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,135,639,163,631,158,620,123,622,124,623,123,-99,-99,-99,-99,-99,-99,-99,-99
5,6211.000000,1325905.000000,3015171.000000,0.000000,213.476895,485.456609,0.000000,0.000000,5191675.056189,3164171.434550,-2310718.476573,0.000000,0.000000,0.000000,45.473543,27.714771,-20.239432,0.000000,0.000000,73.188314,850.654229,0.000000,73.188314,29.165977,-0.000000,31.986665,64.372253,0.000000,485,213,0,429,167,0,541,265,0,167,518,0,426,117.059091,133.781818,-0.578682,65.218483,   126.997829,    11.269331,   116.000000,    38.000000,    65.000000,405072.000000,6211,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,168,538,170,541,206,452,263,429,215,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,3997.000000,825945.000000,2466426.000000,0.000000,206.641230,617.069301,0.000000,0.000000,2077829.803352,1385051.525143,-972029.620965,0.000000,0.000000,0.000000,32.756521,21.835026,-15.323829,0.000000,0.000000,54.591548,480.419784,0.000000,54.591548,21.918480,-0.000000,25.873306,51.423832,0.000000,617,207,0,564,167,0,667,247,0,167,636,0,379,97.893502,126.037883,-0.614234,63.041531,   112.336613,    10.598896,   105.000000,    41.000000,    62.000000,251977.000000,3997,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,174,665,170,591,244,582,234,579,225,566,217,-99,-99,-99,-99,-99,-99,-99,-99
7,6510.000000,1705955.000000,2541181.000000,0.000000,262.051459,390.350384,0.000000,0.000000,5168833.774038,2801561.761135,-1325987.378647,0.000000,0.000000,0.000000,42.522414,23.047591,-10.908492,0.000000,0.000000,65.570005,861.044028,0.000000,65.570005,29.343551,-0.000000,36.318923,58.676710,0.000000,390,262,0,330,212,0,445,297,0,212,414,0,432,93.133483,126.004124,-0.421029,68.018894,   192.953245,    13.890761,   134.000000,    37.000000,    67.000000,442803.000000,6510,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,177,422,213,434,237,445,263,330,293,336,254,-99,-99,-99,-99,-99,-99,-99,-99
8,3449.000000,853102.000000,1845563.000000,0.000000,247.347636,535.100898,0.000000,0.000000,1671100.887213,585214.183241,-41683.977674,0.000000,0.000000,0.000000,32.068482,11.230279,-0.799916,0.000000,0.000000,43.298762,359.498171,0.000000,43.298762,18.960436,-0.000000,25.739382,43.575585,0.000000,535,247,0,486,217,0,577,271,0,217,557,0,302,54.039654,91.066825,-0.038311,63.313424,   315.290657,    17.756425,   118.000000,    37.000000,    59.000000,218368.000000,3449,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,3,114,562,221,567,227,570,238,577,259,486,260,-99,-99,-99,-99,-99,-99,-99,-99
9,2.000000,463.000000,1146.000000,0.000000,231.500000,573.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,-nan,0.000000,0.000000,573,232,0,573,231,0,573,232,0,231,573,0,2,0.000000,1.000000,-0.000000,77.500000,     4.500000,     2.121320,    79.000000,    76.000000,    76.000000,   155.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
