Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,68.000000,1128.000000,38468.000000,0.000000,16.588235,565.705882,0.000000,0.000000,486.117647,638.470588,388.764705,0.000000,0.000000,0.000000,1.751443,2.300359,1.400688,0.000000,0.000000,4.051802,2.067021,0.000000,4.051802,1.437713,-0.000000,7.357973,3.063413,0.000000,566,17,0,560,11,0,571,22,0,11,561,0,42,14.246790,14.246790,-0.688651,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17340.000000,68
1,286.000000,9950.000000,140392.000000,0.000000,34.790209,490.881118,0.000000,0.000000,31197.958041,18785.412587,-21547.132867,0.000000,0.000000,0.000000,16.556611,9.969331,-11.434963,0.000000,0.000000,26.525942,34.299956,0.000000,26.525942,5.856616,-0.000000,5.252567,22.567538,0.000000,491,35,0,471,18,0,508,52,0,18,507,0,146,42.553558,46.308284,-0.645177,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 72930.000000,286
2,534.000000,29445.000000,197273.000000,0.000000,55.140449,369.425093,0.000000,0.000000,42816.503745,30406.466292,-7940.882022,0.000000,0.000000,0.000000,9.883016,7.018499,-1.832935,0.000000,0.000000,16.901516,66.004296,0.000000,16.901516,8.124302,-0.000000,12.632818,16.757479,0.000000,369,55,0,352,36,0,385,70,0,36,371,0,231,36.715218,37.827801,-0.453749,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,136170.000000,534
3,241.000000,14440.000000,142369.000000,0.000000,59.917012,590.742738,0.000000,0.000000,7340.049792,20460.340248,11104.854771,0.000000,0.000000,0.000000,4.894138,13.642379,7.404404,0.000000,0.000000,18.536518,11.942487,0.000000,18.536518,3.455790,-0.000000,20.494445,3.963728,0.000000,591,60,0,580,46,0,604,80,0,46,580,0,116,27.633480,39.147430,-0.518604,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 61455.000000,241
4,291.000000,22724.000000,117934.000000,0.000000,78.089347,405.271477,0.000000,0.000000,4781.553264,16417.676975,-2495.058419,0.000000,0.000000,0.000000,2.479581,8.513753,-1.293868,0.000000,0.000000,10.993334,19.436447,0.000000,10.993334,4.408678,-0.000000,14.394037,7.228063,0.000000,405,78,0,393,64,0,414,94,0,64,409,0,113,21.438321,30.626173,0.202562,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 74205.000000,291
5,109.000000,8282.000000,48619.000000,0.000000,75.981651,446.045871,0.000000,0.000000,452.770642,2269.963302,35.091743,0.000000,0.000000,0.000000,0.869580,4.359635,0.067396,0.000000,0.000000,5.229215,3.786509,0.000000,5.229215,1.945895,-0.000000,8.971802,4.003312,0.000000,446,76,0,441,67,0,450,84,0,67,446,0,52,9.001676,17.003167,-0.019301,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 27795.000000,109
6,102.000000,8371.000000,35483.000000,0.000000,82.068627,347.872549,0.000000,0.000000,1653.343137,794.519607,770.892156,0.000000,0.000000,0.000000,3.469200,1.667136,1.617558,0.000000,0.000000,5.136336,3.167133,0.000000,5.136336,1.779644,-0.000000,3.637574,9.033925,0.000000,348,82,0,341,76,0,356,87,0,76,342,0,51,12.758701,17.398229,0.531285,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 26010.000000,102
7,63.000000,5816.000000,27799.000000,0.000000,92.317460,441.253968,0.000000,0.000000,259.936507,553.650793,174.920634,0.000000,0.000000,0.000000,1.036923,2.208590,0.697782,0.000000,0.000000,3.245513,1.803237,0.000000,3.245513,1.342846,-0.000000,6.250173,3.312352,0.000000,441,92,0,438,87,0,445,97,0,87,439,0,34,7.723154,11.033077,-0.436195,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 16065.000000,63
8,57.000000,5238.000000,21176.000000,0.000000,91.894736,371.508771,0.000000,0.000000,320.245614,275.368421,59.052631,0.000000,0.000000,0.000000,1.459878,1.255300,0.269198,0.000000,0.000000,2.715178,1.760118,0.000000,2.715178,1.326694,-0.000000,3.939486,4.886345,0.000000,372,92,0,366,89,0,376,96,0,89,366,0,34,8.503771,12.148245,0.603835,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14535.000000,57
9,68.000000,7316.000000,29549.000000,0.000000,107.588235,434.544117,0.000000,0.000000,918.867647,178.470588,73.235294,0.000000,0.000000,0.000000,3.310607,0.643015,0.263861,0.000000,0.000000,3.953623,2.059149,0.000000,3.953623,1.434973,-0.000000,3.112103,7.235950,0.000000,435,108,0,427,105,0,442,111,0,105,428,0,42,6.028722,15.071805,0.097652,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17340.000000,68
10,216.000000,25443.000000,101779.000000,0.000000,117.791666,471.199074,0.000000,0.000000,5258.439814,6879.624999,-4277.041666,0.000000,0.000000,0.000000,4.057438,5.308352,-3.300186,0.000000,0.000000,9.365790,10.647081,0.000000,9.365790,3.262986,-0.000000,13.447834,5.456483,0.000000,471,118,0,461,106,0,482,128,0,106,480,0,104,27.268046,28.566524,0.691747,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 55080.000000,216
11,56.000000,6453.000000,23844.000000,0.000000,115.232142,425.785714,0.000000,0.000000,429.428571,365.982142,261.785714,0.000000,0.000000,0.000000,2.004350,1.708214,1.221880,0.000000,0.000000,3.712565,1.930869,0.000000,3.712565,1.389557,-0.000000,2.960321,6.576778,0.000000,426,115,0,420,111,0,430,120,0,111,422,0,39,12.025145,13.361272,0.725102,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14280.000000,56
12,130.000000,16387.000000,63208.000000,0.000000,126.053846,486.215384,0.000000,0.000000,2031.969230,1738.623076,477.492307,0.000000,0.000000,0.000000,3.085503,2.640063,0.725062,0.000000,0.000000,5.725566,7.620207,0.000000,5.725566,2.760472,-0.000000,6.055942,7.944390,0.000000,486,126,0,479,116,0,495,132,0,116,486,0,67,19.894335,19.894335,0.636385,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 33150.000000,130
13,79.000000,10410.000000,34333.000000,0.000000,131.772151,434.594936,0.000000,0.000000,465.037974,705.898734,198.708860,0.000000,0.000000,0.000000,1.371888,2.082442,0.586202,0.000000,0.000000,3.454331,2.513245,0.000000,3.454331,1.585322,-0.000000,6.309362,4.145845,0.000000,435,132,0,431,126,0,440,137,0,126,431,0,43,10.329471,12.624910,-0.512964,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 20145.000000,79
14,229.000000,38598.000000,108233.000000,0.000000,168.550218,472.633187,0.000000,0.000000,3177.187772,11096.672489,1256.218340,0.000000,0.000000,0.000000,2.267752,7.920369,0.896639,0.000000,0.000000,10.188121,17.157472,0.000000,10.188121,4.142157,-0.000000,12.932377,6.646816,0.000000,473,169,0,464,150,0,481,178,0,150,469,0,104,17.202536,28.333588,-0.153602,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 58395.000000,229
15,71.000000,11172.000000,28874.000000,0.000000,157.352112,406.676056,0.000000,0.000000,1451.549295,364.197183,569.098591,0.000000,0.000000,0.000000,4.937275,1.238774,1.935722,0.000000,0.000000,6.176049,2.369147,0.000000,6.176049,1.539203,-0.000000,2.531524,9.481851,0.000000,407,157,0,399,152,0,415,161,0,152,400,0,50,9.788474,17.401731,0.404120,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18105.000000,71
16,168.000000,27329.000000,88825.000000,0.000000,162.672619,528.720238,0.000000,0.000000,3413.851190,2314.994047,-1304.386904,0.000000,0.000000,0.000000,3.682693,2.497300,-1.407107,0.000000,0.000000,6.179993,7.216839,0.000000,6.179993,2.686417,-0.000000,5.724072,9.837306,0.000000,529,163,0,521,156,0,538,171,0,156,527,0,65,18.004563,20.405172,-0.586067,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 42840.000000,168
17,230.000000,44640.000000,138143.000000,0.000000,194.086956,600.621739,0.000000,0.000000,3368.091304,11306.260869,2727.565217,0.000000,0.000000,0.000000,2.390085,8.023217,1.935551,0.000000,0.000000,10.413302,15.429815,0.000000,10.413302,3.928080,-0.000000,13.576367,6.183678,0.000000,601,194,0,592,182,0,608,207,0,182,592,0,115,16.753438,26.177247,-0.301042,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 58650.000000,230
18,52.000000,9899.000000,29819.000000,0.000000,190.365384,573.442307,0.000000,0.000000,96.826923,570.057692,-13.403846,0.000000,0.000000,0.000000,0.498874,2.937070,-0.069059,0.000000,0.000000,3.435945,1.460461,0.000000,3.435945,1.208495,-0.000000,6.482895,2.665697,0.000000,573,190,0,571,184,0,576,196,0,184,572,0,35,5.002002,12.004804,0.028293,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 13260.000000,52
19,279.000000,58872.000000,136800.000000,0.000000,211.010752,490.322580,0.000000,0.000000,6432.967741,9342.967741,-2528.967741,0.000000,0.000000,0.000000,3.528627,5.124827,-1.387195,0.000000,0.000000,8.653454,16.159293,0.000000,8.653454,4.019862,-0.000000,11.934334,8.094038,0.000000,490,211,0,480,200,0,499,225,0,200,495,0,106,21.948908,28.880142,0.524355,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 71145.000000,279
20,118.000000,24270.000000,64140.000000,0.000000,205.677966,543.559322,0.000000,0.000000,997.084745,1459.762711,146.254237,0.000000,0.000000,0.000000,1.722751,2.522161,0.252696,0.000000,0.000000,4.244913,4.281203,0.000000,4.244913,2.069106,-0.000000,6.998522,5.579494,0.000000,544,206,0,538,200,0,549,212,0,200,540,0,53,11.451969,12.493058,-0.281882,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 30090.000000,118
21,46.000000,9755.000000,26717.000000,0.000000,212.065217,580.804347,0.000000,0.000000,299.239130,136.804347,10.586956,0.000000,0.000000,0.000000,1.815548,0.830021,0.064233,0.000000,0.000000,2.645570,1.502819,0.000000,2.645570,1.225895,-0.000000,3.287139,4.879426,0.000000,581,212,0,577,209,0,585,215,0,209,578,0,38,6.012623,8.016831,0.064811,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 11730.000000,46
22,46.000000,9814.000000,27476.000000,0.000000,213.347826,597.304347,0.000000,0.000000,221.739130,172.434782,-14.869565,0.000000,0.000000,0.000000,1.345339,1.046199,-0.090216,0.000000,0.000000,2.391538,1.399354,0.000000,2.391538,1.182943,-0.000000,3.687845,4.272375,0.000000,597,213,0,593,209,0,601,216,0,209,599,0,31,7.265909,8.303896,-0.271375,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 11730.000000,46
23,115.000000,26102.000000,64202.000000,0.000000,226.973913,558.278260,0.000000,0.000000,2917.095652,2344.921739,2285.834782,0.000000,0.000000,0.000000,5.216191,4.193061,4.087405,0.000000,0.000000,9.409253,5.164929,0.000000,9.409253,2.272648,-0.000000,3.218808,12.497540,0.000000,558,227,0,550,219,0,568,237,0,219,553,0,70,24.008670,24.008670,0.723143,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 29325.000000,115
24,193.000000,46851.000000,111443.000000,0.000000,242.751295,577.424870,0.000000,0.000000,4143.160621,5362.062176,-3050.606217,0.000000,0.000000,0.000000,3.714685,4.807531,-2.735120,0.000000,0.000000,8.522216,10.377582,0.000000,8.522216,3.221425,-0.000000,12.166650,5.559208,0.000000,577,243,0,567,231,0,588,252,0,231,577,0,87,27.157215,27.157215,0.686806,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 49215.000000,193
25,165.000000,40352.000000,69085.000000,0.000000,244.557575,418.696969,0.000000,0.000000,1402.848484,6126.703030,-1785.121212,0.000000,0.000000,0.000000,1.550120,6.769889,-1.972524,0.000000,0.000000,8.320010,6.603291,0.000000,8.320010,2.569687,-0.000000,12.544563,4.337727,0.000000,419,245,0,412,233,0,424,255,0,233,421,0,69,12.656927,23.204367,0.323598,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 42075.000000,165
26,704.000000,193992.000000,346852.000000,0.000000,275.556818,492.687500,0.000000,0.000000,56603.250000,171609.727272,-52776.499999,0.000000,0.000000,0.000000,9.038114,27.401753,-8.427078,0.000000,0.000000,36.439867,176.644524,0.000000,36.439867,13.290768,-0.000000,27.414349,11.875008,0.000000,493,276,0,471,234,0,506,299,0,234,501,0,267,37.559162,69.752730,0.371281,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,179520.000000,704
27,256.000000,66808.000000,154725.000000,0.000000,260.968750,604.394531,0.000000,0.000000,7933.152343,4493.750000,-512.843750,0.000000,0.000000,0.000000,4.880442,2.764536,-0.315499,0.000000,0.000000,7.644978,13.392619,0.000000,7.644978,3.659592,-0.000000,8.040447,10.823918,0.000000,604,261,0,595,251,0,617,269,0,251,602,0,88,18.190658,22.233026,-0.144910,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 65280.000000,256
28,48.000000,12356.000000,34499.000000,0.000000,257.416666,718.729166,0.000000,0.000000,487.479166,211.666666,-259.583333,0.000000,0.000000,0.000000,2.794480,1.213381,-1.488064,0.000000,0.000000,4.007862,1.176435,0.000000,4.007862,1.084635,-0.000000,2.136252,7.265607,0.000000,719,257,0,713,254,0,724,262,0,254,721,0,37,9.334049,12.834318,-0.541227,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 12240.000000,48
29,127.000000,34352.000000,40765.000000,0.000000,270.488188,320.984251,0.000000,0.000000,557.968503,3485.732283,328.976377,0.000000,0.000000,0.000000,0.874053,5.460374,0.515339,0.000000,0.000000,6.334427,4.507085,0.000000,6.334427,2.122989,-0.000000,10.390399,3.997905,0.000000,321,270,0,317,261,0,325,280,0,261,318,0,66,8.049115,19.116650,-0.110528,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 32385.000000,127
30,111.000000,30123.000000,75004.000000,0.000000,271.378378,675.711711,0.000000,0.000000,958.774774,1134.108108,58.108108,0.000000,0.000000,0.000000,1.797294,2.125970,0.108927,0.000000,0.000000,3.923264,3.809129,0.000000,3.923264,1.951699,-0.000000,6.346059,5.737279,0.000000,676,271,0,671,265,0,682,278,0,265,673,0,47,11.488530,13.577353,-0.292670,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 28305.000000,111
31,190.000000,53092.000000,100238.000000,0.000000,279.431578,527.568421,0.000000,0.000000,13152.610526,1532.610526,-2527.610526,0.000000,0.000000,0.000000,12.041312,1.403116,-2.314046,0.000000,0.000000,13.444428,11.540552,0.000000,13.444428,3.397138,-0.000000,4.318123,15.917896,0.000000,528,279,0,512,273,0,543,286,0,273,540,0,101,13.278509,31.664137,-0.205173,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 48450.000000,190
32,525.000000,155036.000000,188395.000000,0.000000,295.306666,358.847619,0.000000,0.000000,18467.809523,28067.626666,-3050.466666,0.000000,0.000000,0.000000,4.360500,6.627147,-0.720256,0.000000,0.000000,10.987647,28.378907,0.000000,10.987647,5.327185,-0.000000,14.748390,11.492086,0.000000,359,295,0,346,281,0,371,312,0,281,360,0,118,26.036147,32.284822,0.283066,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,133875.000000,525
33,310.000000,91871.000000,128025.000000,0.000000,296.358064,412.983870,0.000000,0.000000,7792.919354,10341.254838,1083.790322,0.000000,0.000000,0.000000,3.714365,4.928986,0.516570,0.000000,0.000000,8.643351,18.041211,0.000000,8.643351,4.247494,-0.000000,11.330246,9.401343,0.000000,413,296,0,404,281,0,424,307,0,281,410,0,93,21.309669,27.702570,-0.352417,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 79050.000000,310
34,392.000000,118385.000000,260405.000000,0.000000,302.002551,664.298469,0.000000,0.000000,10826.079081,53848.997448,14465.701530,0.000000,0.000000,0.000000,3.773605,18.769939,5.042254,0.000000,0.000000,22.543544,45.406008,0.000000,22.543544,6.738398,-0.000000,21.744365,7.215127,0.000000,664,302,0,650,282,0,672,329,0,282,669,0,155,23.000281,49.136964,-0.296003,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 99960.000000,392
