Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,1061.000000,393324.000000,592056.000000,0.000000,370.710650,558.016965,0.000000,0.000000,241355.694627,401326.169651,245334.208294,0.000000,0.000000,0.000000,22.303363,37.086026,22.671013,0.000000,0.000000,59.389390,313.168301,0.000000,59.389390,17.696561,-0.000000,38.651554,12.775447,0.000000,558,371,0,520,333,0,578,409,0,333,522,0,328,71.665917,93.907064,-0.627818,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,270555.000000,1061
1,27.000000,9448.000000,15358.000000,0.000000,349.925925,568.814814,0.000000,0.000000,90.074074,63.851851,31.629629,0.000000,0.000000,0.000000,1.112025,0.788294,0.390489,0.000000,0.000000,1.900320,0.724121,0.000000,1.900320,0.850953,-0.000000,2.409703,3.887646,0.000000,569,350,0,565,348,0,572,354,0,348,566,0,22,7.215508,8.418093,0.588917,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6885.000000,27
2,45.000000,16148.000000,23718.000000,0.000000,358.844444,527.066666,0.000000,0.000000,194.799999,141.911111,-29.533333,0.000000,0.000000,0.000000,1.217042,0.886610,-0.184513,0.000000,0.000000,2.103652,1.044997,0.000000,2.103652,1.022251,-0.000000,3.369602,4.283481,0.000000,527,359,0,523,355,0,531,362,0,355,528,0,29,7.667180,8.762491,-0.420261,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 11475.000000,45
3,53.000000,19973.000000,20719.000000,0.000000,376.849056,390.924528,0.000000,0.000000,139.698113,412.792452,-52.603773,0.000000,0.000000,0.000000,0.701707,2.073467,-0.264230,0.000000,0.000000,2.775174,1.385149,0.000000,2.775174,1.176923,-0.000000,5.581276,3.094660,0.000000,391,377,0,388,372,0,394,382,0,372,391,0,32,6.102861,10.171436,0.183860,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 13515.000000,53
4,81.000000,31244.000000,40780.000000,0.000000,385.728395,503.456790,0.000000,0.000000,1350.098765,430.024691,453.049382,0.000000,0.000000,0.000000,3.852288,1.227006,1.292703,0.000000,0.000000,5.079294,3.055699,0.000000,5.079294,1.748056,-0.000000,3.337886,8.367283,0.000000,503,386,0,496,380,0,511,391,0,380,500,0,49,11.887560,16.210309,0.388872,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 20655.000000,81
5,905.000000,404972.000000,547145.000000,0.000000,447.482872,604.580110,0.000000,0.000000,80046.441988,192253.984530,70967.491712,0.000000,0.000000,0.000000,9.144162,21.962270,8.107021,0.000000,0.000000,31.106433,135.102764,0.000000,31.106433,11.623371,-0.000000,28.313270,12.712475,0.000000,605,447,0,583,410,0,621,474,0,410,590,0,298,42.220044,71.107442,-0.450920,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,230775.000000,905
6,346.000000,148925.000000,144716.000000,0.000000,430.419075,418.254335,0.000000,0.000000,22645.618497,21544.234104,14747.121387,0.000000,0.000000,0.000000,9.322864,8.869441,6.071170,0.000000,0.000000,18.192306,45.829486,0.000000,18.192306,6.769747,-0.000000,8.035271,18.007696,0.000000,418,430,0,403,414,0,432,445,0,414,405,0,151,40.267752,43.044838,0.766735,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 88230.000000,346
7,63.000000,27268.000000,21545.000000,0.000000,432.825396,341.984126,0.000000,0.000000,238.984126,665.079365,234.825396,0.000000,0.000000,0.000000,0.953341,2.653094,0.936751,0.000000,0.000000,3.606435,1.651801,0.000000,3.606435,1.285224,-0.000000,6.953348,2.912801,0.000000,342,433,0,338,427,0,346,439,0,427,339,0,38,8.749756,13.124634,-0.416992,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 16065.000000,63
8,29.000000,13369.000000,13812.000000,0.000000,461.000000,476.275862,0.000000,0.000000,35.793103,126.000000,0.000000,0.000000,0.000000,0.000000,0.401731,1.414186,0.000000,0.000000,0.000000,1.815917,0.568122,0.000000,1.815917,0.753738,-0.000000,4.165254,2.220015,0.000000,476,461,0,474,457,0,478,465,0,457,476,0,21,4.000000,8.000000,-0.000000,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  7395.000000,29
9,180.000000,83739.000000,79906.000000,0.000000,465.216666,443.922222,0.000000,0.000000,3188.911111,2264.549999,627.033333,0.000000,0.000000,0.000000,3.137707,2.228188,0.616965,0.000000,0.000000,5.365895,6.610756,0.000000,5.365895,2.571139,-0.000000,6.557032,8.796816,0.000000,444,465,0,436,459,0,452,472,0,459,438,0,61,14.564837,17.925953,0.467804,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 45900.000000,180
10,859.000000,426163.000000,358395.000000,0.000000,496.115250,417.223515,0.000000,0.000000,244153.084982,104013.590221,107057.871944,0.000000,0.000000,0.000000,29.900009,12.737940,13.110755,0.000000,0.000000,42.637949,208.972621,0.000000,42.637949,14.455885,-0.000000,12.309117,31.495314,0.000000,417,496,0,388,469,0,448,515,0,469,392,0,264,52.292405,68.207485,0.495630,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,219045.000000,859
