Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,3055.000000,493739.000000,2493323.000000,0.000000,161.616693,816.145008,0.000000,0.000000,777468.761374,812650.148608,115856.804582,0.000000,0.000000,0.000000,17.538858,18.332512,2.613604,0.000000,0.000000,35.871371,314.700422,0.000000,35.871371,17.739797,-0.000000,34.070262,29.369376,0.000000,816,162,0,776,133,0,844,195,0,133,811,0,213,81.759234,89.671418,-0.710057,63.386252,   145.294768,    12.053827,   113.000000,    40.000000,    62.000000,193645.000000,3055,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,174,843,138,844,184,828,192,802,195,776,142,-99,-99,-99,-99,-99,-99,-99,-99
1,2937.000000,514717.000000,2246820.000000,0.000000,175.252638,765.005107,0.000000,0.000000,748780.923391,750036.542049,231674.210418,0.000000,0.000000,0.000000,17.802575,17.832428,5.508150,0.000000,0.000000,35.635004,287.123444,0.000000,35.635004,16.944717,-0.000000,36.212125,26.305960,0.000000,765,175,0,728,142,0,797,208,0,142,757,0,270,93.211884,97.448788,-0.784043,70.342866,  1095.644323,    33.100518,   254.000000,    37.000000,    61.000000,206597.000000,2937,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,168,770,143,792,206,729,175,733,173,731,170,752,145,757,142,-99,-99,-99,-99
2,5957.000000,1463890.000000,4247596.000000,0.000000,245.742823,713.042806,0.000000,0.000000,1506342.084270,7730546.005705,770426.579989,0.000000,0.000000,0.000000,13.949334,71.587968,7.134460,0.000000,0.000000,85.537302,947.703960,0.000000,85.537302,30.784800,-0.000000,69.587134,29.565099,0.000000,713,246,0,672,177,0,750,313,0,177,721,0,490,78.577752,137.007363,-0.121339,60.590229,   239.829541,    15.486430,   131.000000,    37.000000,    57.000000,360936.000000,5957,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,174,723,177,748,298,722,313,697,307,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,4570.000000,1124615.000000,3750098.000000,0.000000,246.086433,820.590371,0.000000,0.000000,895291.176367,3609190.858861,-367613.196936,0.000000,0.000000,0.000000,11.805273,47.590644,-4.847332,0.000000,0.000000,59.395917,538.323914,0.000000,59.395917,23.201808,-0.000000,55.783153,26.832247,0.000000,821,246,0,792,189,0,844,296,0,189,844,0,260,52.458292,107.943025,0.132280,59.010503,   117.959180,    10.860901,   114.000000,    35.000000,    58.000000,269678.000000,4570,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,172,821,197,842,190,840,284,829,296,822,296,812,294,793,289,802,199,-99,-99
4,3146.000000,745357.000000,2409217.000000,0.000000,236.922123,765.803242,0.000000,0.000000,701009.206929,1096093.920215,79960.794341,0.000000,0.000000,0.000000,15.207066,23.777679,1.734597,0.000000,0.000000,38.984745,358.579919,0.000000,38.984745,18.936206,-0.000000,36.641343,28.771950,0.000000,766,237,0,740,195,0,796,277,0,195,741,0,299,57.051720,83.540019,-0.192309,60.539097,   165.192270,    12.852714,   103.000000,    39.000000,    58.000000,190456.000000,3146,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,171,790,261,751,277,740,198,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,107.000000,24659.000000,79047.000000,0.000000,230.457943,738.757009,0.000000,0.000000,525.682242,1702.560747,232.906542,0.000000,0.000000,0.000000,1.034852,3.351641,0.458497,0.000000,0.000000,4.386493,3.258233,0.000000,4.386493,1.805057,-0.000000,8.068394,4.234830,0.000000,739,230,0,735,222,0,743,238,0,222,738,0,47,8.144173,16.288347,-0.188441,45.841121,    15.153764,     3.892783,    58.000000,    40.000000,    45.000000,  4905.000000,107,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,1,9,1,7,739,224,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,7192.000000,2237421.000000,4778942.000000,0.000000,311.098581,664.480255,0.000000,0.000000,2709673.196328,8676999.105530,-385645.501390,0.000000,0.000000,0.000000,19.518690,62.503352,-2.777934,0.000000,0.000000,82.022043,1212.266675,0.000000,82.022043,34.817620,-0.000000,66.829192,37.121157,0.000000,664,311,0,608,233,0,704,368,0,233,667,0,523,96.198611,135.279297,0.064269,54.915739,    93.024466,     9.644919,    92.000000,    36.000000,    54.000000,394954.000000,7192,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,357,667,233,696,368,675,367,653,366,632,363,609,316,608,314,-99,-99,-99,-99
7,5.000000,1468.000000,3208.000000,0.000000,293.599999,641.599999,0.000000,0.000000,1.199999,5.199999,-1.799999,0.000000,0.000000,0.000000,0.140352,0.608195,-0.210529,0.000000,0.000000,0.748548,0.041039,0.000000,0.748548,0.202581,-0.000000,2.247355,0.660790,0.000000,642,294,0,641,292,0,642,295,0,292,642,0,5,1.071099,3.213297,0.366407,80.599999,    11.300000,     3.361547,    84.000000,    75.000000,    81.000000,   403.000000,5,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,3548.000000,1192624.000000,2809965.000000,0.000000,336.139797,791.985625,0.000000,0.000000,590644.266910,1806604.660653,-127219.870349,0.000000,0.000000,0.000000,10.914768,33.385020,-2.350950,0.000000,0.000000,44.299788,358.862785,0.000000,44.299788,18.943674,-0.000000,45.034168,25.368848,0.000000,792,336,0,767,294,0,820,383,0,294,790,0,294,53.283141,89.475463,0.103136,61.584554,   212.685546,    14.583742,   103.000000,    38.000000,    59.000000,218502.000000,3548,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,3,108,792,294,814,299,787,383,771,303,777,301,790,294,-99,-99,-99,-99,-99,-99
9,7087.000000,2580392.000000,3854228.000000,0.000000,364.102158,543.844786,0.000000,0.000000,4582243.264849,7663446.036967,-3807642.625227,0.000000,0.000000,0.000000,33.661094,56.295566,-27.970888,0.000000,0.000000,89.956660,1112.599742,0.000000,89.956660,33.355655,-0.000000,73.602559,32.667946,0.000000,544,364,0,491,302,0,604,436,0,302,586,0,494,136.279663,161.605972,0.593162,56.059263,   136.256436,    11.672893,    99.000000,    36.000000,    54.000000,397292.000000,7087,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,345,590,302,597,309,603,313,512,435,491,373,-99,-99,-99,-99,-99,-99,-99,-99
