Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,200.000000,25565.000000,112691.000000,0.000000,127.824999,563.454999,0.000000,0.000000,4507.594999,2958.874999,-282.075000,0.000000,0.000000,0.000000,3.853939,2.529802,-0.241170,0.000000,0.000000,6.383742,9.691542,0.000000,6.383742,3.113124,-0.000000,7.375605,9.231570,0.000000,563,128,0,556,119,0,573,136,0,119,560,0,84,17.262653,17.262653,-0.174664,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 51000.000000,200
1,2472.000000,449031.000000,1135124.000000,0.000000,181.646844,459.192556,0.000000,0.000000,5289480.343041,2112798.695388,-3263790.898057,0.000000,0.000000,0.000000,158.251700,63.211121,-97.646730,0.000000,0.000000,221.462822,468.383610,0.000000,221.462822,21.642172,-0.000000,9.731347,98.619954,0.000000,459,182,0,377,124,0,544,227,0,124,542,0,620,121.488436,196.976397,-0.558940,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,630360.000000,2472
2,209.000000,32597.000000,131392.000000,0.000000,155.966507,628.669856,0.000000,0.000000,4428.220095,3902.765550,-1970.311004,0.000000,0.000000,0.000000,3.570267,3.146618,-1.588570,0.000000,0.000000,6.716886,8.710715,0.000000,6.716886,2.951392,-0.000000,6.372971,10.712497,0.000000,629,156,0,620,146,0,637,165,0,146,636,0,83,22.594747,25.252952,-0.719117,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 53295.000000,209
3,1037.000000,211825.000000,542839.000000,0.000000,204.267116,523.470588,0.000000,0.000000,245000.352941,289097.008678,-236845.352941,0.000000,0.000000,0.000000,23.341478,27.542620,-22.564542,0.000000,0.000000,50.884099,133.726927,0.000000,50.884099,11.564035,-0.000000,40.439059,9.721379,0.000000,523,204,0,492,175,0,553,255,0,175,551,0,358,82.527021,108.232159,0.738986,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,264435.000000,1037
4,661.000000,140536.000000,432274.000000,0.000000,212.611195,653.969742,0.000000,0.000000,74033.394856,76273.077155,62755.223903,0.000000,0.000000,0.000000,12.857574,13.246546,10.898864,0.000000,0.000000,26.104120,51.533197,0.000000,26.104120,7.178662,-0.000000,27.666911,8.291831,0.000000,654,213,0,633,194,0,676,237,0,194,647,0,239,60.275847,60.275847,-0.776476,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,168555.000000,661
5,264.000000,56354.000000,126563.000000,0.000000,213.462121,479.405303,0.000000,0.000000,3479.632575,18315.621212,-3249.446969,0.000000,0.000000,0.000000,2.054604,10.814748,-1.918687,0.000000,0.000000,12.869352,18.538665,0.000000,12.869352,4.305655,-0.000000,15.843416,6.081748,0.000000,479,213,0,472,195,0,487,228,0,195,483,0,123,15.325393,33.715864,0.206435,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 67320.000000,264
6,312.000000,65949.000000,181358.000000,0.000000,211.375000,581.275641,0.000000,0.000000,52936.294871,30207.125000,-38472.249999,0.000000,0.000000,0.000000,25.015781,14.274796,-18.180596,0.000000,0.000000,39.290578,26.561114,0.000000,39.290578,5.153747,-0.000000,3.966404,29.709092,0.000000,581,211,0,556,195,0,608,234,0,195,603,0,177,48.687368,64.916490,-0.641783,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 79560.000000,312
7,90.000000,19237.000000,32167.000000,0.000000,213.744444,357.411111,0.000000,0.000000,693.788888,987.122222,503.455555,0.000000,0.000000,0.000000,1.720167,2.447452,1.248258,0.000000,0.000000,4.167619,2.651878,0.000000,4.167619,1.628458,-0.000000,7.751932,3.730455,0.000000,357,214,0,352,207,0,363,220,0,207,353,0,48,13.751647,16.251947,-0.643660,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 22950.000000,90
8,23.000000,4888.000000,8547.000000,0.000000,212.521739,371.608695,0.000000,0.000000,51.478260,41.739130,3.695652,0.000000,0.000000,0.000000,0.787021,0.638125,0.056500,0.000000,0.000000,1.425147,0.499026,0.000000,1.425147,0.706418,-0.000000,2.592725,2.958339,0.000000,372,213,0,369,210,0,374,215,0,210,369,0,18,5.275486,5.275486,0.324595,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  5865.000000,23
9,477.000000,116052.000000,220142.000000,0.000000,243.295597,461.513626,0.000000,0.000000,51443.161425,63989.320754,52885.578616,0.000000,0.000000,0.000000,13.802883,17.169184,14.189902,0.000000,0.000000,30.972067,35.630901,0.000000,30.972067,5.969162,-0.000000,28.974605,5.808622,0.000000,462,243,0,439,225,0,481,269,0,225,443,0,177,56.180307,58.855560,-0.726365,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,121635.000000,477
10,1636.000000,462167.000000,932264.000000,0.000000,282.498166,569.843520,0.000000,0.000000,1190597.941320,1333628.994498,-1200543.469437,0.000000,0.000000,0.000000,61.761911,69.181604,-62.277832,0.000000,0.000000,130.943515,394.259678,0.000000,130.943515,19.855973,-0.000000,67.047589,10.412132,0.000000,570,282,0,516,226,0,621,329,0,226,617,0,781,141.517172,144.265079,0.755648,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,417180.000000,1636
11,619.000000,158420.000000,180589.000000,0.000000,255.928917,291.743134,0.000000,0.000000,52924.158319,85036.872374,-49643.302100,0.000000,0.000000,0.000000,10.032282,16.119556,-9.410364,0.000000,0.000000,26.151838,73.160977,0.000000,26.151838,8.553419,-0.000000,25.368875,9.448237,0.000000,292,256,0,269,231,0,309,281,0,231,304,0,311,49.466880,61.833601,0.628990,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,157845.000000,619
