Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,498.000000,65255.000000,314483.000000,0.000000,131.034136,631.491967,0.000000,0.000000,16306.467871,29652.419678,-7596.363453,0.000000,0.000000,0.000000,4.130989,7.511978,-1.924420,0.000000,0.000000,11.642968,27.328512,0.000000,11.642968,5.227667,-0.000000,16.122252,10.053938,0.000000,631,131,0,620,117,0,644,148,0,117,631,0,109,26.343671,34.027242,0.425009,90.459839,   119.021522,    10.909698,   118.000000,    71.000000,    91.000000, 45049.000000,498,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,92,638,118,638,120,639,120,643,125,627,148,626,147,624,146,-99,-99,-99,-99
1,6475.000000,1125353.000000,3712575.000000,0.000000,173.799691,573.370656,0.000000,0.000000,4197492.424709,4868733.199381,-2113854.258686,0.000000,0.000000,0.000000,34.780585,40.342512,-17.515478,0.000000,0.000000,75.123098,1096.344230,0.000000,75.123098,33.111089,-0.000000,61.375626,36.751271,0.000000,573,174,0,520,126,0,628,237,0,126,574,0,540,142.006485,145.951110,0.706669,104.233050,   167.415095,    12.938898,   142.000000,    70.000000,   105.000000,674909.000000,6475,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,177,615,131,628,169,528,236,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,4122.000000,812029.000000,2012332.000000,0.000000,196.998786,488.193110,0.000000,0.000000,2258046.284327,1979330.993934,-1477810.034449,0.000000,0.000000,0.000000,34.165584,29.948456,-22.360145,0.000000,0.000000,64.114040,523.230405,0.000000,64.114040,22.874230,-0.000000,24.127367,57.502979,0.000000,488,197,0,435,146,0,535,243,0,146,526,0,408,131.159930,135.216422,-0.738387,96.958515,   216.290683,    14.706824,   149.000000,    66.000000,    94.000000,399663.000000,4122,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,168,533,148,471,242,462,233,458,228,436,213,-99,-99,-99,-99,-99,-99,-99,-99
3,487.000000,90375.000000,312383.000000,0.000000,185.574948,641.443531,0.000000,0.000000,26380.197125,15245.014373,45.811088,0.000000,0.000000,0.000000,6.885033,3.978834,0.011956,0.000000,0.000000,10.863868,27.394268,0.000000,10.863868,5.233953,-0.000000,11.021439,14.498318,0.000000,641,186,0,628,175,0,655,197,0,175,644,0,105,22.000186,27.000228,0.004113,106.570841,    39.113798,     6.254102,   132.000000,    95.000000,   105.000000, 51900.000000,487,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,102,652,180,655,190,654,193,655,195,633,197,633,192,-99,-99,-99,-99,-99,-99
4,1.000000,200.000000,654.000000,0.000000,200.000000,654.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,654,200,0,654,200,0,654,200,0,200,654,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   126.000000,   126.000000,   126.000000,   126.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,5118.000000,1385484.000000,1847217.000000,0.000000,270.708089,360.925556,0.000000,0.000000,1416212.637162,7918717.885110,-941024.218053,0.000000,0.000000,0.000000,16.056889,89.781700,-10.669246,0.000000,0.000000,105.838590,1327.782040,0.000000,105.838590,36.438743,-0.000000,71.191175,28.414767,0.000000,361,271,0,326,214,0,408,352,0,214,340,0,634,82.820374,139.380630,0.140867,106.890973,   238.984788,    15.459132,   168.000000,    68.000000,   106.000000,547068.000000,5118,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,148,367,218,377,218,403,224,366,350,355,344,337,342,333,216,-99,-99,-99,-99
6,1089.000000,258587.000000,471949.000000,0.000000,237.453627,433.378328,0.000000,0.000000,149626.128558,106283.908172,62022.105601,0.000000,0.000000,0.000000,13.354785,9.486303,5.535744,0.000000,0.000000,22.841089,96.043089,0.000000,22.841089,9.800157,-0.000000,14.560181,25.679707,0.000000,433,237,0,412,215,0,463,254,0,215,426,0,184,47.827498,62.543651,0.617323,95.328741,   179.708005,    13.405521,   132.000000,    70.000000,    93.000000,103813.000000,1089,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,141,462,253,413,230,422,219,424,216,427,215,-99,-99,-99,-99,-99,-99,-99,-99
7,2.000000,436.000000,1017.000000,0.000000,218.000000,508.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,inf,0.000000,509,218,0,508,218,0,509,218,0,218,508,0,2,0.000000,1.000000,0.000000,115.000000,     8.000000,     2.828427,   117.000000,   113.000000,   113.000000,   230.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,2899.000000,796040.000000,1452182.000000,0.000000,274.591238,500.925146,0.000000,0.000000,429554.756812,2022560.617454,-314341.701276,0.000000,0.000000,0.000000,10.391723,48.929479,-7.604506,0.000000,0.000000,59.321202,450.633092,0.000000,59.321202,21.228120,-0.000000,50.083333,21.104889,0.000000,501,275,0,472,222,0,530,324,0,222,511,0,445,59.039660,103.828368,0.187943,112.352880,   180.198758,    13.423813,   152.000000,    79.000000,   112.000000,325711.000000,2899,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,146,511,222,518,225,490,324,472,323,484,239,489,237,493,236,-99,-99,-99,-99
9,5019.000000,1495727.000000,1507884.000000,0.000000,298.012950,300.435146,0.000000,0.000000,1489493.640167,5737008.158197,-1536378.284518,0.000000,0.000000,0.000000,17.333345,66.761979,-17.878945,0.000000,0.000000,84.095325,837.551766,0.000000,84.095325,28.940486,-0.000000,66.790065,26.642454,0.000000,300,298,0,265,225,0,332,367,0,225,319,0,605,70.424623,149.258156,0.313137,104.473600,   206.515992,    14.370664,   174.000000,    71.000000,   105.000000,524353.000000,5019,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,168,322,225,312,353,295,366,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
