Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,464.000000,5251.000000,271631.000000,0.000000,11.316810,585.411637,0.000000,0.000000,16032.377155,19822.428879,-895.510775,0.000000,0.000000,0.000000,4.463141,5.518226,-0.249294,0.000000,0.000000,9.981368,24.566477,0.000000,9.981368,4.956458,-0.000000,13.012594,11.570591,0.000000,585,11,0,573,0,0,595,25,0,0,578,0,76,22.547024,25.621619,0.220727,92.239224,    52.895132,     7.272903,   112.000000,    78.000000,    90.000000, 42799.000000,464,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,90,588,0,592,0,591,23,590,24,575,20,575,15,578,1,580,0,-99,-99
1,3372.000000,99224.000000,2123127.000000,0.000000,29.425860,629.634341,0.000000,0.000000,1069530.143238,1205860.465005,231849.085409,0.000000,0.000000,0.000000,21.151586,23.847725,4.585168,0.000000,0.000000,44.999311,483.393456,0.000000,44.999311,21.986210,-0.000000,38.420745,30.966313,0.000000,630,29,0,592,0,0,660,75,0,0,599,0,352,84.931410,93.674349,-0.642423,87.521352,   129.475960,    11.378750,   126.000000,    64.000000,    86.000000,295122.000000,3372,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,171,655,0,658,61,642,74,592,37,592,32,599,1,-99,-99,-99,-99,-99,-99
2,798.000000,7712.000000,545800.000000,0.000000,9.664160,683.959899,0.000000,0.000000,144780.716791,28221.994987,11912.253132,0.000000,0.000000,0.000000,19.560210,3.812857,1.609373,0.000000,0.000000,23.373067,71.990206,0.000000,23.373067,8.484704,-0.000000,11.029423,25.638298,0.000000,684,10,0,661,0,0,711,26,0,0,661,0,163,26.132678,50.255151,0.100810,86.676691,   135.503872,    11.640613,   119.000000,    65.000000,    86.000000, 69168.000000,798,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,222,711,5,711,11,708,13,708,14,662,7,662,5,661,0,663,0,-99,-99
3,4023.000000,172352.000000,3291697.000000,0.000000,42.841660,818.219487,0.000000,0.000000,781221.192145,2389204.137707,263838.813820,0.000000,0.000000,0.000000,12.209765,37.341051,4.123556,0.000000,0.000000,49.550816,438.921749,0.000000,49.550816,20.950459,-0.000000,48.678773,26.837716,0.000000,818,43,0,787,0,0,844,90,0,0,794,0,214,57.723964,91.143101,-0.158544,97.952771,   671.388121,    25.911158,   254.000000,    67.000000,    92.000000,394064.000000,4023,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,171,831,0,840,82,818,90,811,90,806,89,794,0,814,0,-99,-99,-99,-99
4,1.000000,5.000000,722.000000,0.000000,5.000000,722.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,722,5,0,722,5,0,722,5,0,5,722,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   102.000000,   102.000000,   102.000000,   102.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,454.000000,15339.000000,213444.000000,0.000000,33.786343,470.140969,0.000000,0.000000,13068.977973,21374.275330,-1663.325991,0.000000,0.000000,0.000000,3.745419,6.125622,-0.476690,0.000000,0.000000,9.871042,22.715795,0.000000,9.871042,4.766109,-0.000000,13.777840,10.561520,0.000000,470,34,0,461,21,0,481,47,0,21,469,0,92,20.368426,26.478954,0.190488,84.814977,    68.243836,     8.260982,   119.000000,    71.000000,    83.000000, 38506.000000,454,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,106,476,22,478,24,475,44,472,45,463,44,464,22,465,22,466,22,-99,-99
6,771.000000,30198.000000,525031.000000,0.000000,39.167315,680.974059,0.000000,0.000000,33175.481193,80259.416342,-9097.653696,0.000000,0.000000,0.000000,4.692576,11.352464,-1.286837,0.000000,0.000000,16.045041,51.616363,0.000000,16.045041,7.184452,-0.000000,20.256685,12.554124,0.000000,681,39,0,669,23,0,695,58,0,23,669,0,126,26.448310,35.603494,0.184382,82.636835,    77.415992,     8.798635,   107.000000,    67.000000,    81.000000, 63713.000000,771,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,121,687,23,693,24,694,26,684,57,670,58,670,25,674,23,-99,-99,-99,-99
7,5859.000000,475350.000000,3256264.000000,0.000000,81.131592,555.771292,0.000000,0.000000,1407781.531318,6891463.542241,495380.333845,0.000000,0.000000,0.000000,13.328172,65.244934,4.690013,0.000000,0.000000,78.573106,847.599502,0.000000,78.573106,29.113562,-0.000000,66.805549,29.619145,0.000000,556,81,0,519,25,0,589,156,0,25,577,0,454,70.280497,131.524930,-0.089373,94.575524,   211.570387,    14.545459,   162.000000,    66.000000,    92.000000,554118.000000,5859,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1494045.000000,5859,7,9,2,177,560,29,583,26,579,141,573,142,560,154,525,31,535,28,-99,-99,-99,-99
8,2.000000,62.000000,1415.000000,0.000000,31.000000,707.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,inf,0.000000,708,31,0,707,31,0,708,31,0,31,707,0,2,0.000000,1.000000,0.000000,101.000000,     0.000000,     0.000000,   101.000000,   101.000000,   101.000000,   202.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,1.000000,31.000000,712.000000,0.000000,31.000000,712.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,712,31,0,712,31,0,712,31,0,31,712,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   103.000000,   103.000000,   103.000000,   103.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
