Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,244.000000,75799.000000,147424.000000,0.000000,310.651639,604.196721,0.000000,0.000000,9602.557377,16589.389344,-10404.278688,0.000000,0.000000,0.000000,6.297968,10.880377,-6.823788,0.000000,0.000000,17.178345,21.960187,0.000000,17.178345,4.686169,-0.000000,17.925620,5.320875,0.000000,604,311,0,592,291,0,616,324,0,291,614,0,133,29.560959,40.646318,0.623428,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 62220.000000,244
1,446.000000,144546.000000,248923.000000,0.000000,324.094170,558.123318,0.000000,0.000000,11754.217488,43890.044843,7243.820627,0.000000,0.000000,0.000000,3.449429,12.880109,2.125794,0.000000,0.000000,16.329538,39.910024,0.000000,16.329538,6.317438,-0.000000,18.695422,8.855508,0.000000,558,324,0,546,308,0,568,346,0,308,550,0,158,22.502701,38.868301,-0.211769,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,113730.000000,446
2,913.000000,301051.000000,460466.000000,0.000000,329.738225,504.343921,0.000000,0.000000,344662.008762,109664.435925,-148696.802847,0.000000,0.000000,0.000000,38.913388,12.381448,-16.788320,0.000000,0.000000,51.294836,199.956374,0.000000,51.294836,14.140593,-0.000000,10.955887,36.449240,0.000000,504,330,0,466,310,0,533,358,0,310,528,0,373,53.333487,74.444659,-0.451032,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,232815.000000,913
3,120.000000,38126.000000,69655.000000,0.000000,317.716666,580.458333,0.000000,0.000000,1239.791666,1670.366666,-793.416666,0.000000,0.000000,0.000000,2.094628,2.822085,-1.340477,0.000000,0.000000,4.916714,4.114340,0.000000,4.916714,2.028383,-0.000000,8.611499,4.540170,0.000000,580,318,0,574,311,0,587,325,0,311,580,0,53,16.366300,17.625246,0.652916,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 30600.000000,120
4,462.000000,154472.000000,204366.000000,0.000000,334.354978,442.350649,0.000000,0.000000,37943.194805,11097.783549,-3252.506493,0.000000,0.000000,0.000000,10.623752,3.107279,-0.910672,0.000000,0.000000,13.731031,32.181639,0.000000,13.731031,5.672886,-0.000000,9.213908,17.431758,0.000000,442,334,0,424,321,0,458,344,0,321,452,0,136,23.163446,34.241616,-0.118865,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,117810.000000,462
5,1520.000000,542092.000000,553058.000000,0.000000,356.639473,363.853947,0.000000,0.000000,1843127.576315,266890.431578,-657776.036842,0.000000,0.000000,0.000000,105.462309,15.271260,-37.637427,0.000000,0.000000,120.733570,193.966473,0.000000,120.733570,13.927184,-0.000000,8.068159,68.998760,0.000000,364,357,0,301,332,0,418,383,0,332,406,0,419,54.247079,124.449181,-0.347747,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,387600.000000,1520
6,72.000000,24648.000000,42564.000000,0.000000,342.333333,591.166666,0.000000,0.000000,457.999999,395.999999,45.999999,0.000000,0.000000,0.000000,1.529051,1.322062,0.153572,0.000000,0.000000,2.851113,1.997916,0.000000,2.851113,1.413476,-0.000000,4.513786,5.143751,0.000000,591,342,0,587,338,0,596,347,0,338,590,0,37,10.194240,10.194240,0.488896,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18360.000000,72
7,833.000000,301924.000000,526822.000000,0.000000,362.453781,632.439375,0.000000,0.000000,67045.188475,97332.470588,2925.915966,0.000000,0.000000,0.000000,8.554099,12.418364,0.373309,0.000000,0.000000,20.972463,106.088564,0.000000,20.972463,10.299930,-0.000000,19.688989,16.283412,0.000000,632,362,0,614,343,0,651,388,0,343,646,0,285,37.169117,45.205683,-0.095429,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,212415.000000,833
8,5897.000000,2654057.000000,3020786.000000,0.000000,450.069018,512.258097,0.000000,0.000000,19853739.175849,6271614.909612,-1549694.045616,0.000000,0.000000,0.000000,186.352035,58.866906,-14.545806,0.000000,0.000000,245.218942,10758.387387,0.000000,245.218942,103.722646,-0.000000,45.492695,82.452583,0.000000,512,450,0,367,346,0,608,516,0,346,529,0,1849,171.075254,242.524331,-0.112177,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1503735.000000,5897
9,455.000000,171216.000000,260163.000000,0.000000,376.298901,571.786813,0.000000,0.000000,15464.320879,78681.349450,-4037.006593,0.000000,0.000000,0.000000,4.418915,22.483121,-1.153570,0.000000,0.000000,26.902036,98.020278,0.000000,26.902036,9.900519,-0.000000,21.875228,9.601499,0.000000,572,376,0,561,352,0,585,401,0,352,571,0,260,24.048492,49.099005,0.063515,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,116025.000000,455
10,27.000000,9694.000000,11452.000000,0.000000,359.037037,424.148148,0.000000,0.000000,47.407407,72.962962,3.851851,0.000000,0.000000,0.000000,0.585276,0.900777,0.047553,0.000000,0.000000,1.486053,0.524942,0.000000,1.486053,0.724529,-0.000000,3.290995,2.626626,0.000000,424,359,0,422,356,0,426,362,0,356,425,0,19,4.043247,6.064871,-0.146392,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6885.000000,27
11,123.000000,46168.000000,44341.000000,0.000000,375.349593,360.495934,0.000000,0.000000,802.747967,2441.967479,-516.325203,0.000000,0.000000,0.000000,1.312317,3.992084,-0.844079,0.000000,0.000000,5.304402,4.526414,0.000000,5.304402,2.127537,-0.000000,9.002446,4.521714,0.000000,360,375,0,355,366,0,366,383,0,366,364,0,58,11.449314,17.694395,0.281080,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31365.000000,123
12,44.000000,16378.000000,18474.000000,0.000000,372.227272,419.863636,0.000000,0.000000,183.181818,143.727272,-36.636363,0.000000,0.000000,0.000000,1.179266,0.925270,-0.235853,0.000000,0.000000,2.104537,1.035514,0.000000,2.104537,1.017602,-0.000000,3.306880,4.290033,0.000000,420,372,0,416,369,0,424,376,0,369,421,0,27,8.153603,9.318404,-0.538427,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 11220.000000,44
13,188.000000,71812.000000,54706.000000,0.000000,381.978723,290.989361,0.000000,0.000000,3599.978723,3341.914893,1344.957446,0.000000,0.000000,0.000000,3.342638,3.103022,1.248814,0.000000,0.000000,6.445661,8.812745,0.000000,6.445661,2.968626,-0.000000,6.504065,9.809642,0.000000,291,382,0,283,373,0,301,389,0,373,290,0,80,21.618670,24.321003,0.737575,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 47940.000000,188
14,925.000000,360167.000000,453616.000000,0.000000,389.369729,490.395675,0.000000,0.000000,139303.182702,44139.552432,-2769.321081,0.000000,0.000000,0.000000,15.456294,4.897475,-0.307268,0.000000,0.000000,20.353770,75.602413,0.000000,20.353770,8.694964,-0.000000,13.326439,23.702964,0.000000,490,389,0,465,375,0,513,405,0,375,483,0,294,30.012678,48.020285,-0.029067,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,235875.000000,925
15,738.000000,296743.000000,331677.000000,0.000000,402.090785,449.426829,0.000000,0.000000,51682.548780,165520.917344,59636.402439,0.000000,0.000000,0.000000,7.749412,24.818626,8.942033,0.000000,0.000000,32.568038,112.369807,0.000000,32.568038,10.600462,-0.000000,28.473526,10.536922,0.000000,449,402,0,431,376,0,468,434,0,376,433,0,267,40.245518,63.087569,-0.404353,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,188190.000000,738
16,1248.000000,512296.000000,489574.000000,0.000000,410.493589,392.286858,0.000000,0.000000,387417.304487,165337.948717,-122094.705128,0.000000,0.000000,0.000000,28.833203,12.305136,-9.086794,0.000000,0.000000,41.138340,272.226666,0.000000,41.138340,16.499292,-0.000000,16.334963,32.524647,0.000000,392,410,0,362,387,0,425,439,0,387,405,0,403,56.858275,68.885987,-0.416390,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,318240.000000,1248
17,1106.000000,470466.000000,695035.000000,0.000000,425.376130,628.422242,0.000000,0.000000,290729.812839,282617.529837,229810.347197,0.000000,0.000000,0.000000,25.418469,24.709213,20.092288,0.000000,0.000000,50.127683,224.370335,0.000000,50.127683,14.978996,-0.000000,12.446613,37.524533,0.000000,628,425,0,600,391,0,657,459,0,391,620,0,386,79.908178,95.329055,0.776574,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,282030.000000,1106
