Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,570.000000,7157.000000,243569.000000,0.000000,12.556140,427.314035,0.000000,0.000000,25928.787719,28882.703508,340.450877,0.000000,0.000000,0.000000,5.486336,6.111362,0.072036,0.000000,0.000000,11.597698,33.523798,0.000000,11.597698,5.789973,-0.000000,14.045698,13.289233,0.000000,427,13,0,415,0,0,440,26,0,0,419,0,115,25.161253,26.167703,-0.113275,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,145350.000000,570
1,59.000000,543.000000,49039.000000,0.000000,9.203389,831.169491,0.000000,0.000000,216.305084,559.559322,-16.033898,0.000000,0.000000,0.000000,0.941739,2.436184,-0.069807,0.000000,0.000000,3.377923,2.289377,0.000000,3.377923,1.513068,-0.000000,5.823602,3.612107,0.000000,831,9,0,827,1,0,834,14,0,1,832,0,38,7.007599,13.014113,0.046576,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15045.000000,59
2,75.000000,1010.000000,36572.000000,0.000000,13.466666,487.626666,0.000000,0.000000,431.546666,524.666666,138.066666,0.000000,0.000000,0.000000,1.364413,1.658829,0.436523,0.000000,0.000000,3.023243,2.072777,0.000000,3.023243,1.439714,-0.000000,5.743347,4.192460,0.000000,488,13,0,483,9,0,492,19,0,9,484,0,37,11.080133,12.311259,-0.622772,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 19125.000000,75
3,196.000000,4781.000000,95553.000000,0.000000,24.392857,487.515306,0.000000,0.000000,10750.954081,4764.749999,4214.321428,0.000000,0.000000,0.000000,9.442904,4.185031,3.701572,0.000000,0.000000,13.627935,25.817210,0.000000,13.627935,5.081063,-0.000000,6.197295,13.848440,0.000000,488,24,0,474,12,0,501,34,0,12,475,0,111,24.759440,30.386586,0.476621,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 49980.000000,196
4,42.000000,642.000000,7886.000000,0.000000,15.285714,187.761904,0.000000,0.000000,313.619047,82.571428,-72.142857,0.000000,0.000000,0.000000,2.148176,0.565584,-0.494152,0.000000,0.000000,2.713761,0.970788,0.000000,2.713761,0.985286,-0.000000,2.413146,5.608138,0.000000,188,15,0,182,13,0,192,18,0,13,187,0,28,5.201290,10.402581,-0.279114,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 10710.000000,42
5,26.000000,427.000000,3027.000000,0.000000,16.423076,116.423076,0.000000,0.000000,118.346153,26.346153,-5.653846,0.000000,0.000000,0.000000,1.536466,0.342047,-0.073402,0.000000,0.000000,1.878513,0.520156,0.000000,1.878513,0.721218,-0.000000,1.983991,4.239008,0.000000,116,16,0,112,15,0,120,18,0,15,114,0,21,3.005617,8.014979,-0.061148,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6630.000000,26
6,69.000000,1992.000000,56720.000000,0.000000,28.869565,822.028985,0.000000,0.000000,435.942028,713.826086,-365.739130,0.000000,0.000000,0.000000,1.540387,2.522281,-1.292327,0.000000,0.000000,4.062669,2.215180,0.000000,4.062669,1.488348,-0.000000,7.288170,3.177519,0.000000,822,29,0,817,22,0,827,34,0,22,827,0,44,12.148547,14.578256,0.603871,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17595.000000,69
7,322.000000,12966.000000,11333.000000,0.000000,40.267080,35.195652,0.000000,0.000000,37372.673913,26741.031055,-30029.826086,0.000000,0.000000,0.000000,16.933484,12.116308,-13.606454,0.000000,0.000000,29.049793,20.035708,0.000000,29.049793,4.476126,-0.000000,4.208566,26.648695,0.000000,35,40,0,13,23,0,55,56,0,23,49,0,160,43.066334,54.811698,-0.697796,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 82110.000000,322
8,174.000000,5695.000000,146102.000000,0.000000,32.729885,839.666666,0.000000,0.000000,1808.666666,7386.304597,1622.333333,0.000000,0.000000,0.000000,1.861913,7.603756,1.670094,0.000000,0.000000,9.465670,11.368322,0.000000,9.465670,3.371694,-0.000000,12.420131,5.199390,0.000000,840,33,0,831,23,0,844,50,0,23,836,0,66,13.464519,27.964771,-0.263437,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 44370.000000,174
9,35.000000,948.000000,16478.000000,0.000000,27.085714,470.799999,0.000000,0.000000,83.599999,114.742857,6.599999,0.000000,0.000000,0.000000,0.730211,1.002232,0.057648,0.000000,0.000000,1.732443,0.728518,0.000000,1.732443,0.853532,-0.000000,3.640147,3.064254,0.000000,471,27,0,468,24,0,473,30,0,24,470,0,22,5.102159,6.122591,-0.200449,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  8925.000000,35
10,50.000000,2025.000000,11411.000000,0.000000,40.500000,228.219999,0.000000,0.000000,206.579999,204.500000,-11.500000,0.000000,0.000000,0.000000,1.121488,1.110196,-0.062431,0.000000,0.000000,2.231685,1.241175,0.000000,2.231685,1.114080,-0.000000,3.909022,4.135155,0.000000,228,41,0,225,37,0,232,44,0,37,226,0,29,9.481704,9.481704,-0.740303,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 12750.000000,50
11,725.000000,40978.000000,382581.000000,0.000000,56.521379,527.697931,0.000000,0.000000,56906.846896,36284.918620,-3840.817931,0.000000,0.000000,0.000000,8.737365,5.571115,-0.589711,0.000000,0.000000,14.308480,48.329111,0.000000,14.308480,6.951914,-0.000000,13.738410,17.476834,0.000000,528,57,0,509,39,0,546,70,0,39,526,0,183,31.499302,37.595941,-0.178287,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,184875.000000,725
