Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,1910.000000,36076.000000,42114.000000,0.000000,18.887958,22.049214,0.000000,0.000000,382165.373821,301348.023036,-112896.468062,0.000000,0.000000,0.000000,16.126502,12.716195,-4.763971,0.000000,0.000000,28.842697,182.372322,0.000000,28.842697,13.504529,-0.000000,21.035657,30.345498,0.000000,22,19,0,0,0,0,56,44,0,0,0,0,101,53.815012,68.491833,-0.613538,112.304712,    68.335598,     8.266534,   144.000000,    96.000000,   111.000000,214502.000000,1910,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,159,56,0,0,43,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,5533.000000,143465.000000,668019.000000,0.000000,25.928971,120.733598,0.000000,0.000000,4454977.324054,1747497.085848,-108183.695825,0.000000,0.000000,0.000000,45.523041,17.856742,-1.105471,0.000000,0.000000,63.379783,811.671157,0.000000,63.379783,28.489843,-0.000000,34.322011,54.895212,0.000000,121,26,0,59,0,0,192,66,0,0,60,0,267,66.052498,133.105793,-0.039872,113.838243,   100.119347,    10.005965,   163.000000,    95.000000,   112.000000,629867.000000,5533,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,1,348,191,0,60,0,102,66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,6126.000000,390282.000000,1026002.000000,0.000000,63.709108,167.483186,0.000000,0.000000,5272031.768200,3873343.631732,-2682290.961801,0.000000,0.000000,0.000000,47.033651,34.555462,-23.929661,0.000000,0.000000,81.589113,1052.640835,0.000000,81.589113,32.444426,-0.000000,32.641799,65.922805,0.000000,167,64,0,103,0,0,220,110,0,0,197,0,448,139.012817,147.859088,-0.657873,114.795298,    97.404621,     9.869377,   174.000000,    95.000000,   113.000000,703236.000000,6126,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,174,202,0,212,39,215,47,220,57,103,92,-99,-99,-99,-99,-99,-99,-99,-99
3,3645.000000,97006.000000,907833.000000,0.000000,26.613443,249.062551,0.000000,0.000000,1706583.738271,717928.341289,172542.134979,0.000000,0.000000,0.000000,30.422686,12.798263,3.075849,0.000000,0.000000,43.220950,379.896710,0.000000,43.220950,19.490939,-0.000000,27.261260,43.280327,0.000000,249,27,0,210,0,0,297,53,0,0,210,0,253,53.756026,88.241025,0.167911,115.011796,   122.636798,    11.074150,   162.000000,    96.000000,   113.000000,419218.000000,3645,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,174,297,29,287,39,286,42,221,50,212,30,210,22,210,2,-99,-99,-99,-99
4,951.000000,9685.000000,287173.000000,0.000000,10.184016,301.969505,0.000000,0.000000,153714.115667,46384.797055,27823.336487,0.000000,0.000000,0.000000,16.436388,4.959847,2.975101,0.000000,0.000000,21.396235,72.670744,0.000000,21.396235,8.524713,-0.000000,12.580068,25.325943,0.000000,302,10,0,271,0,0,322,25,0,0,271,0,102,25.732387,52.494070,0.239155,108.168243,    17.716927,     4.209148,   122.000000,    97.000000,   108.000000,102868.000000,951,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,126,321,1,321,18,320,20,316,24,271,0,-99,-99,-99,-99,-99,-99,-99,-99
5,1830.000000,39109.000000,646311.000000,0.000000,21.371038,353.175409,0.000000,0.000000,373532.693442,248869.065027,141370.896721,0.000000,0.000000,0.000000,16.687598,11.118242,6.315754,0.000000,0.000000,27.805840,145.648005,0.000000,27.805840,12.068471,-0.000000,18.444342,31.796945,0.000000,353,21,0,326,0,0,380,45,0,0,326,0,168,53.719407,64.463288,0.577763,112.261202,    60.337422,     7.767716,   137.000000,    95.000000,   111.000000,205438.000000,1830,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,159,379,17,378,41,374,42,326,19,326,1,-99,-99,-99,-99,-99,-99,-99,-99
6,1319.000000,23103.000000,518844.000000,0.000000,17.515542,393.361637,0.000000,0.000000,157426.498862,193147.431387,45534.086429,0.000000,0.000000,0.000000,10.883070,13.352498,3.147822,0.000000,0.000000,24.235569,135.407397,0.000000,24.235569,11.636468,-0.000000,24.831736,18.643255,0.000000,393,18,0,362,0,0,412,43,0,0,362,0,141,52.046560,60.519256,-0.598497,114.175890,    49.094987,     7.006781,   134.000000,    95.000000,   114.000000,150598.000000,1319,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,148,406,35,401,39,399,38,398,40,394,40,384,43,363,1,-99,-99,-99,-99
7,16.000000,43.000000,6635.000000,0.000000,2.687500,414.687500,0.000000,0.000000,13.437500,103.437500,-21.562500,0.000000,0.000000,0.000000,0.333292,2.565574,-0.534817,0.000000,0.000000,2.898867,0.569056,0.000000,2.898867,0.754358,-0.000000,4.708123,1.321729,0.000000,415,3,0,414,0,0,417,8,0,0,414,0,15,3.076465,8.203907,0.223421,117.437500,    25.595833,     5.059232,   130.000000,   111.000000,   115.000000,  1879.000000,16,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,499.000000,7456.000000,222226.000000,0.000000,14.941883,445.342685,0.000000,0.000000,31738.400801,43419.314629,-14588.062124,0.000000,0.000000,0.000000,8.018952,10.970225,-3.685786,0.000000,0.000000,18.989178,74.384696,0.000000,18.989178,8.624656,-0.000000,18.040924,11.555822,0.000000,445,15,0,416,0,0,458,29,0,0,438,0,133,35.017646,50.715212,0.594990,117.118236,    81.004064,     9.000225,   138.000000,    96.000000,   117.000000, 58442.000000,499,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,1,178,455,0,457,1,417,28,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,1644.000000,27989.000000,796027.000000,0.000000,17.024939,484.201338,0.000000,0.000000,539332.357055,221367.977493,-167121.254866,0.000000,0.000000,0.000000,27.796325,11.408950,-8.613161,0.000000,0.000000,39.205276,242.940361,0.000000,39.205276,15.586544,-0.000000,17.525357,35.407694,0.000000,484,17,0,457,0,0,524,45,0,0,462,0,271,48.964502,72.902703,-0.405175,125.797445,   239.488465,    15.475414,   213.000000,   100.000000,   123.000000,206811.000000,1644,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,147,524,0,459,41,463,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
