Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,162.000000,1493.000000,24046.000000,0.000000,9.216049,148.432098,0.000000,0.000000,2671.753086,7715.438271,-2283.123456,0.000000,0.000000,0.000000,3.025354,8.736562,-2.585290,0.000000,0.000000,11.761917,19.747472,0.000000,11.761917,4.443812,-0.000000,12.442764,5.681016,0.000000,148,9,0,139,0,0,156,23,0,0,147,0,109,18.218989,24.649220,0.367878,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 41310.000000,162
1,169.000000,6485.000000,11530.000000,0.000000,38.372781,68.224852,0.000000,0.000000,10199.455621,9861.514792,-9533.165680,0.000000,0.000000,0.000000,10.915946,10.554265,-10.202850,0.000000,0.000000,21.470211,11.111632,0.000000,21.470211,3.333411,-0.000000,3.166207,19.889229,0.000000,68,38,0,57,23,0,85,52,0,23,84,0,106,39.251703,40.653550,-0.776536,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 43095.000000,169
2,105.000000,6275.000000,23857.000000,0.000000,59.761904,227.209523,0.000000,0.000000,1021.390476,1153.047619,-379.761904,0.000000,0.000000,0.000000,2.061924,2.327706,-0.766641,0.000000,0.000000,4.389630,4.211815,0.000000,4.389630,2.052270,-0.000000,7.219182,4.983608,0.000000,227,60,0,221,52,0,234,66,0,52,228,0,55,16.990962,18.297959,0.699580,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 26775.000000,105
3,72.000000,4323.000000,9584.000000,0.000000,60.041666,133.111111,0.000000,0.000000,431.111111,468.874999,88.666666,0.000000,0.000000,0.000000,1.439281,1.565358,0.296017,0.000000,0.000000,3.004640,2.165365,0.000000,3.004640,1.471518,-0.000000,5.390543,4.394677,0.000000,133,60,0,128,55,0,137,65,0,55,132,0,38,11.579052,12.865613,-0.680488,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18360.000000,72
4,142.000000,8797.000000,3406.000000,0.000000,61.950704,23.985915,0.000000,0.000000,4629.971830,618.654929,-297.098591,0.000000,0.000000,0.000000,6.249719,0.835085,-0.401035,0.000000,0.000000,7.084804,5.058217,0.000000,7.084804,2.249048,-0.000000,4.061643,11.339961,0.000000,24,62,0,13,58,0,35,66,0,58,20,0,61,8.021675,22.059608,-0.073530,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 36210.000000,142
5,31.000000,2017.000000,3412.000000,0.000000,65.064516,110.064516,0.000000,0.000000,115.870967,49.870967,3.870967,0.000000,0.000000,0.000000,1.189850,0.512112,0.039750,0.000000,0.000000,1.701963,0.607757,0.000000,1.701963,0.779587,-0.000000,2.535579,3.877498,0.000000,110,65,0,107,63,0,114,67,0,63,108,0,21,4.006827,7.011947,0.058384,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  7905.000000,31
6,29.000000,1923.000000,2125.000000,0.000000,66.310344,73.275862,0.000000,0.000000,67.793103,74.206896,-2.482758,0.000000,0.000000,0.000000,0.760889,0.832875,-0.027865,0.000000,0.000000,1.593765,0.632949,0.000000,1.593765,0.795581,-0.000000,3.171626,2.995348,0.000000,73,66,0,70,64,0,76,70,0,64,72,0,22,6.340915,6.340915,0.329403,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  7395.000000,29
7,62.000000,4401.000000,2511.000000,0.000000,70.983870,40.500000,0.000000,0.000000,875.500000,130.983870,3.500000,0.000000,0.000000,0.000000,3.567800,0.533779,0.014263,0.000000,0.000000,4.101580,1.904216,0.000000,4.101580,1.379933,-0.000000,2.833875,7.327085,0.000000,41,71,0,34,69,0,47,74,0,69,35,0,38,5.000055,13.000143,0.004700,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15810.000000,62
8,115.000000,8946.000000,10898.000000,0.000000,77.791304,94.765217,0.000000,0.000000,1708.660869,1890.991304,-1404.634782,0.000000,0.000000,0.000000,3.055334,3.381367,-2.511691,0.000000,0.000000,6.436702,4.022615,0.000000,6.436702,2.005645,-0.000000,10.395427,3.635284,0.000000,95,78,0,88,69,0,103,85,0,69,102,0,60,20.557911,21.928438,0.752992,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 29325.000000,115
9,132.000000,10422.000000,27068.000000,0.000000,78.954545,205.060606,0.000000,0.000000,3563.515151,2095.727272,-2155.636363,0.000000,0.000000,0.000000,5.302085,3.118192,-3.207329,0.000000,0.000000,8.420277,6.245956,0.000000,8.420277,2.499191,-0.000000,3.900122,11.857482,0.000000,205,79,0,196,72,0,214,87,0,72,208,0,72,18.447745,22.137295,-0.621325,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 33660.000000,132
