Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,4001.000000,102862.000000,151545.000000,0.000000,25.709072,37.876780,0.000000,0.000000,2240712.252936,978111.360659,-316404.427143,0.000000,0.000000,0.000000,35.277247,15.399155,-4.981396,0.000000,0.000000,50.676402,518.425494,0.000000,50.676402,22.768959,-0.000000,29.112197,46.611958,0.000000,38,26,0,0,0,0,91,61,0,0,0,0,216,62.683739,93.511807,-0.232301,125.912521,   114.745845,    10.711948,   159.000000,   101.000000,   124.000000,503776.000000,4001,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,165,91,0,1,45,0,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,90.000000,160.000000,5265.000000,0.000000,1.777777,58.500000,0.000000,0.000000,2602.500000,175.555555,-0.000000,0.000000,0.000000,0.000000,6.452589,0.435269,-0.000000,0.000000,0.000000,6.887858,2.808613,0.000000,6.887858,1.675891,-0.000000,2.760318,10.627894,0.000000,59,2,0,48,0,0,69,4,0,0,48,0,30,4.000000,21.000000,-0.000000,117.211111,    26.415605,     5.139611,   133.000000,   110.000000,   116.000000, 10549.000000,90,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2,9,1,14,68,0,49,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,966.000000,12164.000000,112592.000000,0.000000,12.592132,116.554865,0.000000,0.000000,118278.592132,66767.300207,30452.616977,0.000000,0.000000,0.000000,12.386158,6.991885,3.189004,0.000000,0.000000,19.378044,76.432856,0.000000,19.378044,8.742588,-0.000000,14.337706,22.739460,0.000000,117,13,0,95,0,0,133,33,0,0,95,0,105,36.378491,41.890384,0.434384,124.926501,    85.046405,     9.222060,   151.000000,   101.000000,   125.000000,120679.000000,966,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,3,79,131,1,129,32,96,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,6378.000000,331012.000000,1045943.000000,0.000000,51.899027,163.992317,0.000000,0.000000,2376454.623549,5506496.973971,-732496.947632,0.000000,0.000000,0.000000,20.091707,46.554612,-6.192886,0.000000,0.000000,66.646319,897.009800,0.000000,66.646319,29.950121,-0.000000,58.300140,36.428484,0.000000,164,52,0,120,0,0,211,115,0,0,137,0,442,93.224177,117.810774,0.218878,121.240200,   100.618474,    10.030876,   199.000000,   100.000000,   120.000000,773270.000000,6378,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1626390.000000,6378,7,9,1,351,210,0,180,99,173,108,167,111,151,115,137,0,160,0,-99,-99,-99,-99
4,635.000000,4579.000000,150978.000000,0.000000,7.211023,237.760629,0.000000,0.000000,79109.615748,15161.722834,3205.075590,0.000000,0.000000,0.000000,14.494313,2.777901,0.587227,0.000000,0.000000,17.272215,39.918944,0.000000,17.272215,6.318144,-0.000000,9.547493,21.947055,0.000000,238,7,0,215,0,0,260,18,0,0,215,0,82,18.022481,45.056203,0.049953,125.426771,    45.181931,     6.721750,   142.000000,   108.000000,   125.000000, 79646.000000,635,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,85,260,0,221,6,216,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,4694.000000,167213.000000,1331581.000000,0.000000,35.622709,283.677247,0.000000,0.000000,2101474.030038,1716362.819130,-106022.594588,0.000000,0.000000,0.000000,26.738266,21.838274,-1.348986,0.000000,0.000000,48.576540,582.097833,0.000000,48.576540,24.126703,-0.000000,37.203475,41.765331,0.000000,284,36,0,242,0,0,322,75,0,0,264,0,269,77.439204,82.601817,-0.251654,121.768427,   112.815955,    10.621485,   160.000000,   101.000000,   120.000000,571581.000000,4694,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,348,304,0,316,0,322,75,243,66,244,49,245,23,264,0,-99,-99,-99,-99
6,1981.000000,78660.000000,430585.000000,0.000000,39.707218,217.357395,0.000000,0.000000,302392.964159,387534.186774,-48597.710752,0.000000,0.000000,0.000000,12.154181,15.576291,-1.953304,0.000000,0.000000,27.730472,185.501670,0.000000,27.730472,13.619899,-0.000000,28.176474,23.311936,0.000000,217,40,0,196,9,0,242,70,0,9,212,0,239,50.507963,66.977951,0.425705,121.771327,    89.526975,     9.461869,   157.000000,   100.000000,   121.000000,241229.000000,1981,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,161,239,23,237,62,201,70,212,9,216,14,-99,-99,-99,-99,-99,-99,-99,-99
7,2768.000000,147141.000000,237634.000000,0.000000,53.157875,85.850433,0.000000,0.000000,926880.079479,654770.008309,-460426.639450,0.000000,0.000000,0.000000,23.848922,16.847443,-11.846925,0.000000,0.000000,40.696365,261.443721,0.000000,40.696365,16.169221,-0.000000,21.030476,42.533183,0.000000,86,53,0,47,20,0,122,83,0,20,93,0,278,78.646100,93.626310,-0.641737,123.073338,    75.875718,     8.710666,   166.000000,   104.000000,   122.000000,340667.000000,2768,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,162,93,20,96,22,122,36,51,78,48,65,-99,-99,-99,-99,-99,-99,-99,-99
8,3936.000000,422328.000000,84836.000000,0.000000,107.298780,21.553861,0.000000,0.000000,696340.581300,2490416.634145,121197.658536,0.000000,0.000000,0.000000,11.205078,40.074233,1.950237,0.000000,0.000000,51.279312,445.231521,0.000000,51.279312,21.100509,-0.000000,49.619010,26.040950,0.000000,22,107,0,0,51,0,47,152,0,51,0,0,233,47.106156,101.228123,-0.067147,120.231707,    64.304620,     8.019016,   151.000000,   101.000000,   119.000000,473232.000000,3936,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,174,25,67,41,65,45,76,39,151,34,152,2,150,0,52,-99,-99,-99,-99
9,2207.000000,223064.000000,262373.000000,0.000000,101.071137,118.882193,0.000000,0.000000,311875.370185,568845.831445,92265.495695,0.000000,0.000000,0.000000,10.853703,19.796639,3.210969,0.000000,0.000000,30.650343,204.556533,0.000000,30.650343,14.302326,-0.000000,32.458049,22.286277,0.000000,119,101,0,94,63,0,145,136,0,63,116,0,248,53.576501,76.687933,-0.311385,121.538287,    84.002953,     9.165312,   146.000000,    99.000000,   121.000000,268235.000000,2207,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,562785.000000,2207,6,9,2,165,145,112,112,131,95,87,100,80,105,69,117,66,-99,-99,-99,-99,-99,-99
10,3903.000000,435873.000000,762820.000000,0.000000,111.676402,195.444529,0.000000,0.000000,2191045.740711,2089936.296694,-1699568.558800,0.000000,0.000000,0.000000,35.654967,34.009609,-27.657141,0.000000,0.000000,69.664576,447.694060,0.000000,69.664576,21.158782,-0.000000,20.870487,61.650059,0.000000,195,112,0,145,67,0,241,152,0,67,236,0,379,118.459997,133.790115,-0.770529,121.907507,   166.704154,    12.911396,   210.000000,    98.000000,   119.000000,475805.000000,3903,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,168,239,67,147,151,231,111,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11,2010.000000,170882.000000,578624.000000,0.000000,85.015920,287.872636,0.000000,0.000000,797585.395024,175353.490547,139103.075621,0.000000,0.000000,0.000000,31.442406,6.912784,5.483720,0.000000,0.000000,38.355191,187.283384,0.000000,38.355191,13.685151,-0.000000,16.702751,39.803618,0.000000,288,85,0,244,67,0,322,111,0,67,276,0,260,44.990502,79.755890,0.210224,122.730845,    72.351113,     8.505945,   149.000000,   102.000000,   122.000000,246689.000000,2010,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,3,94,320,80,321,94,319,99,315,105,312,110,247,89,254,81,245,73,-99,-99
12,4263.000000,569215.000000,360420.000000,0.000000,133.524513,84.546094,0.000000,0.000000,1452638.692469,2348807.188364,899163.933145,0.000000,0.000000,0.000000,21.015375,33.980277,13.008236,0.000000,0.000000,54.995653,544.894086,0.000000,54.995653,23.342966,-0.000000,50.802212,28.213741,0.000000,85,134,0,49,85,0,127,178,0,85,76,0,375,91.732318,109.373148,-0.554241,120.103448,    89.528714,     9.461961,   169.000000,    93.000000,   119.000000,512001.000000,4263,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,171,124,175,73,173,50,97,66,94,76,85,-99,-99,-99,-99,-99,-99,-99,-99
13,2324.000000,270048.000000,635373.000000,0.000000,116.199655,273.396299,0.000000,0.000000,931866.008175,250737.359724,186606.117039,0.000000,0.000000,0.000000,30.271827,8.145246,6.061931,0.000000,0.000000,38.417073,209.824470,0.000000,38.417073,14.485319,-0.000000,18.519389,40.686454,0.000000,273,116,0,236,92,0,315,137,0,92,243,0,253,46.451273,81.547790,0.250627,118.718158,    69.356174,     8.328035,   155.000000,   102.000000,   118.000000,275901.000000,2324,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,164,312,119,314,127,236,108,239,102,240,98,243,92,-99,-99,-99,-99,-99,-99
14,2735.000000,414355.000000,613163.000000,0.000000,151.500914,224.191224,0.000000,0.000000,511454.989396,813571.747714,-193248.978062,0.000000,0.000000,0.000000,13.372039,21.270910,-5.052512,0.000000,0.000000,34.642950,258.907568,0.000000,34.642950,16.090604,-0.000000,36.134848,24.497394,0.000000,224,152,0,194,116,0,254,184,0,116,229,0,257,66.752156,75.652443,0.453663,121.462157,    95.237685,     9.758979,   158.000000,    97.000000,   121.000000,332199.000000,2735,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,168,231,116,237,120,241,123,254,141,232,184,199,177,196,173,219,119,-99,-99
15,527.000000,71882.000000,72413.000000,0.000000,136.398481,137.406072,0.000000,0.000000,24041.100569,31616.318785,-14650.275142,0.000000,0.000000,0.000000,5.647724,7.427291,-3.441636,0.000000,0.000000,13.075016,30.102439,0.000000,13.075016,5.486569,-0.000000,17.810154,9.682292,0.000000,137,136,0,122,117,0,148,151,0,117,147,0,118,32.883675,43.001729,0.658900,116.867172,    28.583083,     5.346314,   139.000000,   101.000000,   117.000000, 61589.000000,527,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,93,147,117,130,149,128,149,122,142,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
