Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,57.000000,13593.000000,30593.000000,0.000000,238.473684,536.719298,0.000000,0.000000,263.508771,328.210526,126.578947,0.000000,0.000000,0.000000,1.201236,1.496187,0.577025,0.000000,0.000000,2.697424,1.464316,0.000000,2.697424,1.210089,-0.000000,5.434940,3.382612,0.000000,537,238,0,533,234,0,541,243,0,234,534,0,35,10.128938,11.395056,-0.660287,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14535.000000,57
1,1254.000000,363030.000000,756909.000000,0.000000,289.497607,603.595693,0.000000,0.000000,685992.016746,776115.492822,701467.287081,0.000000,0.000000,0.000000,50.728927,57.393534,51.873319,0.000000,0.000000,108.122461,220.671166,0.000000,108.122461,14.855004,-0.000000,60.084583,8.417053,0.000000,604,289,0,555,240,0,645,326,0,240,556,0,449,117.901892,123.385701,-0.753322,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,319770.000000,1254
2,274.000000,68606.000000,133265.000000,0.000000,250.386861,486.368613,0.000000,0.000000,20989.770072,3204.992700,2891.927007,0.000000,0.000000,0.000000,11.794338,1.800913,1.624999,0.000000,0.000000,13.595252,18.599965,0.000000,13.595252,4.312767,-0.000000,5.947709,16.620742,0.000000,486,250,0,467,245,0,500,261,0,245,475,0,111,16.199783,33.412053,0.157212,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 69870.000000,274
3,1762.000000,524211.000000,742186.000000,0.000000,297.509080,421.217934,0.000000,0.000000,1779854.313280,263644.354710,14077.513053,0.000000,0.000000,0.000000,83.632789,12.388268,0.661482,0.000000,0.000000,96.021057,1035.627882,0.000000,96.021057,32.181172,-0.000000,18.955125,49.264407,0.000000,421,298,0,357,259,0,473,322,0,259,465,0,480,63.002714,116.004998,0.009283,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,449310.000000,1762
4,201.000000,54382.000000,99931.000000,0.000000,270.557213,497.169154,0.000000,0.000000,10118.248756,8133.592039,-5329.945273,0.000000,0.000000,0.000000,8.593642,6.908031,-4.526835,0.000000,0.000000,15.501673,38.872916,0.000000,15.501673,6.234814,-0.000000,6.984699,13.841498,0.000000,497,271,0,486,261,0,509,286,0,261,500,0,119,29.905020,32.505457,-0.693362,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 51255.000000,201
5,57.000000,15619.000000,30478.000000,0.000000,274.017543,534.701754,0.000000,0.000000,163.929824,642.982456,191.298245,0.000000,0.000000,0.000000,0.747294,2.931113,0.872056,0.000000,0.000000,3.678407,1.429921,0.000000,3.678407,1.195793,-0.000000,7.033158,2.598459,0.000000,535,274,0,532,268,0,538,280,0,268,532,0,36,6.357519,12.715038,-0.336959,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14535.000000,57
6,331.000000,92929.000000,106516.000000,0.000000,280.752265,321.800604,0.000000,0.000000,29594.839879,3825.685800,3270.649546,0.000000,0.000000,0.000000,12.925440,1.670854,1.428444,0.000000,0.000000,14.596294,19.556076,0.000000,14.596294,4.422225,-0.000000,6.190138,18.342580,0.000000,322,281,0,304,274,0,344,289,0,274,307,0,149,15.116621,40.310990,0.124295,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 84405.000000,331
7,262.000000,80006.000000,138451.000000,0.000000,305.366412,528.438931,0.000000,0.000000,4730.522900,8572.824427,-2542.137404,0.000000,0.000000,0.000000,2.821677,5.113546,-1.516342,0.000000,0.000000,7.935224,12.129486,0.000000,7.935224,3.482741,-0.000000,12.053198,7.153428,0.000000,528,305,0,519,291,0,536,316,0,291,532,0,89,18.989270,27.925397,0.461821,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 66810.000000,262
8,58.000000,17227.000000,29072.000000,0.000000,297.017241,501.241379,0.000000,0.000000,242.620689,324.982758,70.758620,0.000000,0.000000,0.000000,1.080663,1.447514,0.315167,0.000000,0.000000,2.528178,1.464945,0.000000,2.528178,1.210349,-0.000000,5.003064,3.717859,0.000000,501,297,0,498,293,0,505,301,0,293,498,0,30,8.074815,9.228360,-0.521861,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14790.000000,58
9,737.000000,236958.000000,424961.000000,0.000000,321.516960,576.609226,0.000000,0.000000,191711.457259,162150.037991,148568.884667,0.000000,0.000000,0.000000,28.797718,24.357183,22.317106,0.000000,0.000000,53.154902,203.378095,0.000000,53.154902,14.261069,-0.000000,10.058774,34.564557,0.000000,577,322,0,548,294,0,606,353,0,294,555,0,273,78.242809,79.591823,0.735817,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,187935.000000,737
