Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,2277.000000,137354.000000,704577.000000,0.000000,60.322353,309.432147,0.000000,0.000000,403634.766798,496529.392182,97837.803689,0.000000,0.000000,0.000000,13.474247,16.575281,3.266048,0.000000,0.000000,30.049529,212.672378,0.000000,30.049529,14.583291,-0.000000,30.875188,24.155455,0.000000,309,60,0,281,35,0,339,95,0,35,281,0,248,68.619508,70.985698,-0.563780,75.532718,   158.785945,    12.601029,   107.000000,    46.000000,    77.000000,171988.000000,2277,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,168,339,51,330,87,318,92,315,92,310,92,282,35,-99,-99,-99,-99,-99,-99
1,2.000000,109.000000,710.000000,0.000000,54.500000,355.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,-nan,0.000000,0.000000,355,55,0,355,54,0,355,55,0,54,355,0,2,0.000000,1.000000,-0.000000,96.500000,    12.500000,     3.535533,    99.000000,    94.000000,    94.000000,   193.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,4070.000000,417353.000000,1508627.000000,0.000000,102.543734,370.670024,0.000000,0.000000,1276857.842997,1996609.715233,572173.235626,0.000000,0.000000,0.000000,19.649432,30.725618,8.805114,0.000000,0.000000,50.375050,526.210918,0.000000,50.375050,22.939287,-0.000000,46.231870,29.798872,0.000000,371,103,0,334,58,0,413,150,0,58,363,0,398,90.251557,105.103079,-0.504676,70.994103,   190.203455,    13.791426,   124.000000,    48.000000,    67.000000,288946.000000,4070,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,171,411,97,382,149,375,149,372,149,367,148,337,61,363,58,-99,-99,-99,-99
3,38.000000,3510.000000,11218.000000,0.000000,92.368421,295.210526,0.000000,0.000000,100.315789,206.842105,74.052631,0.000000,0.000000,0.000000,0.785219,1.619052,0.579645,0.000000,0.000000,2.404271,0.935322,0.000000,2.404271,0.967120,-0.000000,4.985009,2.516045,0.000000,295,92,0,292,89,0,298,97,0,89,293,0,27,6.742191,8.989588,-0.473630,79.000000,    81.513513,     9.028483,    94.000000,    64.000000,    79.000000,  3002.000000,38,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,533.000000,56258.000000,174905.000000,0.000000,105.549718,328.151969,0.000000,0.000000,25968.690431,24099.932457,3749.472795,0.000000,0.000000,0.000000,6.009160,5.576729,0.867628,0.000000,0.000000,11.585889,32.758677,0.000000,11.585889,5.723519,-0.000000,12.324372,14.399253,0.000000,328,106,0,311,92,0,342,121,0,92,332,0,117,36.803223,39.341376,0.663284,76.185741,    80.790623,     8.988360,   112.000000,    54.000000,    76.000000, 40607.000000,533,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,3,60,331,93,323,121,319,98,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,4122.000000,591345.000000,825956.000000,0.000000,143.460698,200.377486,0.000000,0.000000,1433950.630761,1606990.133187,519750.152838,0.000000,0.000000,0.000000,21.696526,24.314717,7.864129,0.000000,0.000000,46.011244,465.700388,0.000000,46.011244,21.580092,-0.000000,43.982169,30.639174,0.000000,200,143,0,158,101,0,239,186,0,101,196,0,375,106.165977,111.408742,-0.702922,79.637069,   504.334641,    22.457396,   254.000000,    47.000000,    75.000000,328264.000000,4122,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,174,238,173,229,181,221,186,159,140,166,118,179,109,183,107,195,102,-99,-99
6,6.000000,618.000000,1776.000000,0.000000,103.000000,296.000000,0.000000,0.000000,8.000000,10.000000,-8.000000,0.000000,0.000000,0.000000,0.733761,0.917202,-0.733761,0.000000,0.000000,1.650963,0.134601,0.000000,1.650963,0.366880,-0.000000,3.102635,0.727368,0.000000,296,103,0,294,101,0,297,105,0,101,297,0,6,4.001717,5.335622,0.723220,91.166666,    18.166666,     4.262237,    96.000000,    86.000000,    91.000000,   547.000000,6,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,666.000000,77400.000000,285223.000000,0.000000,116.216216,428.262762,0.000000,0.000000,39919.016516,48710.864864,16126.162162,0.000000,0.000000,0.000000,6.863529,8.375168,2.772673,0.000000,0.000000,15.238698,49.795498,0.000000,15.238698,7.056592,-0.000000,18.437017,12.398754,0.000000,428,116,0,408,101,0,444,136,0,101,417,0,150,44.043465,45.301849,-0.652333,85.632132,   402.262965,    20.056494,   183.000000,    53.000000,    83.000000, 57031.000000,666,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,100,444,127,442,127,424,136,411,109,413,105,414,104,418,101,-99,-99,-99,-99
8,9.000000,993.000000,4076.000000,0.000000,110.333333,452.888888,0.000000,0.000000,14.888888,5.999999,3.333333,0.000000,0.000000,0.000000,0.795314,0.320499,0.178055,0.000000,0.000000,1.115814,0.223194,0.000000,1.115814,0.472434,-0.000000,1.361966,2.463889,0.000000,453,110,0,451,109,0,455,112,0,109,451,0,9,3.162277,4.216370,0.321750,88.555555,    20.277777,     4.503085,    97.000000,    83.000000,    88.000000,   797.000000,9,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,1674.000000,229155.000000,502471.000000,0.000000,136.890681,300.161887,0.000000,0.000000,216967.128434,299782.994623,38747.625448,0.000000,0.000000,0.000000,10.915743,15.082258,1.949415,0.000000,0.000000,25.998002,160.833851,0.000000,25.998002,12.682028,-0.000000,26.610861,21.289271,0.000000,300,137,0,274,113,0,320,167,0,113,285,0,236,49.457031,58.058254,-0.376110,80.983273,   168.357161,    12.975251,   120.000000,    54.000000,    82.000000,135566.000000,1674,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,3,108,318,115,310,160,297,166,275,127,285,113,-99,-99,-99,-99,-99,-99,-99,-99
