Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,869.000000,256277.000000,170782.000000,0.000000,294.910241,196.527042,0.000000,0.000000,922566.614499,201630.998849,422958.109321,0.000000,0.000000,0.000000,111.251198,24.314439,51.004009,0.000000,0.000000,135.565638,103.601545,0.000000,135.565638,10.178484,-0.000000,4.975341,65.890109,0.000000,197,295,0,130,258,0,251,319,0,258,130,0,398,67.186405,133.271394,0.432497,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,221595.000000,869
1,193.000000,54015.000000,138545.000000,0.000000,279.870466,717.849740,0.000000,0.000000,9594.642487,4865.761658,-6032.756476,0.000000,0.000000,0.000000,8.602388,4.362556,-5.408863,0.000000,0.000000,12.964945,8.272599,0.000000,12.964945,2.876212,-0.000000,3.867101,16.526650,0.000000,718,280,0,706,270,0,733,289,0,270,733,0,99,22.999426,32.683395,-0.598631,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 49215.000000,193
2,167.000000,51483.000000,133428.000000,0.000000,308.281437,798.970059,0.000000,0.000000,6042.850299,6171.772455,-5281.592814,0.000000,0.000000,0.000000,6.570824,6.711010,-5.743054,0.000000,0.000000,13.281835,11.114197,0.000000,13.281835,3.333796,-0.000000,15.234764,4.101094,0.000000,799,308,0,787,298,0,810,319,0,298,806,0,89,29.518907,32.330231,0.779296,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 42585.000000,167
3,294.000000,92034.000000,170164.000000,0.000000,313.040816,578.789115,0.000000,0.000000,59116.925170,3731.510204,-12356.469387,0.000000,0.000000,0.000000,30.240019,1.908775,-6.320691,0.000000,0.000000,32.148794,17.770262,0.000000,32.148794,4.215478,-0.000000,3.697400,27.704283,0.000000,579,313,0,555,304,0,609,320,0,304,607,0,172,16.358858,55.211148,-0.209844,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 74970.000000,294
4,150.000000,47384.000000,122580.000000,0.000000,315.893333,817.199999,0.000000,0.000000,2787.999999,3218.293333,-2328.799999,0.000000,0.000000,0.000000,3.498144,4.038039,-2.921979,0.000000,0.000000,7.536184,5.587682,0.000000,7.536184,2.363828,-0.000000,11.784365,4.156083,0.000000,817,316,0,809,307,0,826,326,0,307,823,0,71,23.006677,25.713345,0.739336,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 38250.000000,150
5,1132.000000,371059.000000,367505.000000,0.000000,327.790636,324.651060,0.000000,0.000000,1135177.168727,23893.380742,54852.301236,0.000000,0.000000,0.000000,96.220677,2.025267,4.649428,0.000000,0.000000,98.245945,173.255410,0.000000,98.245945,13.162652,-0.000000,7.789931,57.080889,0.000000,325,328,0,267,313,0,382,337,0,313,270,0,346,24.029076,115.139327,0.049199,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,288660.000000,1132
6,325.000000,107226.000000,242457.000000,0.000000,329.926153,746.021538,0.000000,0.000000,7080.849230,14524.227692,-1380.483076,0.000000,0.000000,0.000000,3.168892,6.500028,-0.617807,0.000000,0.000000,9.668920,20.216205,0.000000,9.668920,4.496243,-0.000000,12.895566,8.770582,0.000000,746,330,0,738,317,0,758,347,0,317,743,0,108,20.319611,30.479416,0.177598,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 82875.000000,325
7,774.000000,264575.000000,413957.000000,0.000000,341.828165,534.828165,0.000000,0.000000,48022.145994,50534.145994,5571.145994,0.000000,0.000000,0.000000,6.757513,7.110994,0.783952,0.000000,0.000000,13.868507,47.438059,0.000000,13.868507,6.887529,-0.000000,16.746975,14.906569,0.000000,535,342,0,518,326,0,550,360,0,326,523,0,141,40.973018,43.533832,-0.674528,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,197370.000000,774
8,9989.000000,4593473.000000,7303030.000000,0.000000,459.853138,731.107217,0.000000,0.000000,29326770.169576,29677269.554094,-22575550.711272,0.000000,0.000000,0.000000,136.322712,137.951975,-104.940308,0.000000,0.000000,274.274687,7793.519142,0.000000,274.274687,88.280910,-0.000000,116.122136,42.346883,0.000000,731,460,0,611,334,0,834,546,0,334,805,0,2824,298.656344,314.152664,0.781516,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2547195.000000,9989
9,792.000000,291113.000000,523653.000000,0.000000,367.566919,661.178030,0.000000,0.000000,49849.897727,205020.453282,-82056.935606,0.000000,0.000000,0.000000,6.802951,27.978877,-11.198204,0.000000,0.000000,34.781828,64.939159,0.000000,34.781828,8.058483,-0.000000,33.408483,8.207453,0.000000,661,368,0,644,336,0,677,402,0,336,671,0,217,35.930843,71.861687,0.406700,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,201960.000000,792
10,41.000000,14221.000000,23312.000000,0.000000,346.853658,568.585365,0.000000,0.000000,259.951219,219.121951,192.512195,0.000000,0.000000,0.000000,1.838710,1.549913,1.361694,0.000000,0.000000,3.388623,0.995629,0.000000,3.388623,0.997812,-0.000000,2.089247,6.414737,0.000000,569,347,0,564,343,0,573,352,0,343,565,0,33,12.105634,12.105634,0.732573,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 10455.000000,41
11,135.000000,47869.000000,92069.000000,0.000000,354.585185,681.992592,0.000000,0.000000,830.992592,3446.770370,-117.414814,0.000000,0.000000,0.000000,1.199919,4.976996,-0.169542,0.000000,0.000000,6.176915,5.943250,0.000000,6.176915,2.437878,-0.000000,9.736448,4.761930,0.000000,682,355,0,677,347,0,687,366,0,347,680,0,62,10.010028,19.019054,0.044767,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 34425.000000,135
12,198.000000,71392.000000,154386.000000,0.000000,360.565656,779.727272,0.000000,0.000000,4165.272727,5220.646464,-987.454545,0.000000,0.000000,0.000000,3.609301,4.523806,-0.855651,0.000000,0.000000,8.133108,15.595643,0.000000,8.133108,3.949132,-0.000000,9.856688,7.728318,0.000000,780,361,0,770,347,0,789,369,0,347,783,0,94,22.152148,25.649856,0.540007,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 50490.000000,198
13,134.000000,49202.000000,112585.000000,0.000000,367.179104,840.186567,0.000000,0.000000,940.335820,7225.701492,-2040.477611,0.000000,0.000000,0.000000,1.371334,10.537565,-2.975720,0.000000,0.000000,11.908899,5.595610,0.000000,11.908899,2.365504,-0.000000,14.811295,3.068271,0.000000,840,367,0,835,347,0,844,379,0,347,844,0,64,9.386414,33.373917,0.287934,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 34170.000000,134
14,209.000000,76868.000000,147239.000000,0.000000,367.789473,704.492822,0.000000,0.000000,4958.239234,11282.736842,-5862.315789,0.000000,0.000000,0.000000,3.997597,9.096746,-4.726512,0.000000,0.000000,13.094343,14.025210,0.000000,13.094343,3.745024,-0.000000,15.643655,4.915960,0.000000,704,368,0,695,352,0,713,381,0,352,708,0,112,20.961762,33.771728,0.538056,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 53295.000000,209
