Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,841.000000,68905.000000,411143.000000,0.000000,81.932223,488.873959,0.000000,0.000000,53158.639714,70515.136741,-1852.184304,0.000000,0.000000,0.000000,6.696469,8.882891,-0.233322,0.000000,0.000000,15.579360,59.429568,0.000000,15.579360,7.709057,-0.000000,17.959218,15.542907,0.000000,489,82,0,470,65,0,504,105,0,65,494,0,147,34.188782,40.222097,0.105136,110.533888,    76.758671,     8.761202,   131.000000,    89.000000,   111.000000, 92959.000000,841,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,132,494,65,500,68,504,71,495,104,471,78,473,76,474,74,-99,-99,-99,-99
1,11067.000000,1478992.000000,4590903.000000,0.000000,133.639830,414.828137,0.000000,0.000000,14724915.117912,7342702.362877,-2224029.043099,0.000000,0.000000,0.000000,59.705304,29.772550,-9.017799,0.000000,0.000000,89.477855,1696.258511,0.000000,89.477855,41.185659,-0.000000,48.793216,73.703576,0.000000,415,134,0,337,82,0,493,186,0,82,463,0,550,107.943635,161.915453,-0.271141,115.810337,    53.537221,     7.316913,   151.000000,    98.000000,   115.000000,1281673.000000,11067,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,354,472,89,475,95,493,110,363,175,362,173,350,166,338,146,-99,-99,-99,-99
2,1017.000000,153318.000000,492995.000000,0.000000,150.755162,484.754178,0.000000,0.000000,57094.544739,133192.035398,-451.209439,0.000000,0.000000,0.000000,5.582559,13.023178,-0.044118,0.000000,0.000000,18.605737,72.700718,0.000000,18.605737,8.526471,-0.000000,22.559961,14.770051,0.000000,485,151,0,469,126,0,500,170,0,126,494,0,149,31.000544,44.000773,0.005929,116.165191,   134.954968,    11.617012,   143.000000,    87.000000,   115.000000,118140.000000,1017,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,3,87,494,127,491,170,477,170,484,131,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,8868.000000,1869176.000000,2924111.000000,0.000000,210.777627,329.737370,0.000000,0.000000,6492385.335473,8821601.481277,3490812.094270,0.000000,0.000000,0.000000,35.370134,48.059567,19.017739,0.000000,0.000000,83.429701,1338.198932,0.000000,83.429701,36.581401,-0.000000,70.261702,41.615043,0.000000,330,211,0,266,147,0,393,270,0,147,331,0,563,151.605193,156.535443,-0.624393,118.264546,   158.823657,    12.602525,   161.000000,    89.000000,   117.000000,1048770.000000,8868,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,177,332,147,393,245,384,268,289,255,269,178,275,167,285,161,-99,-99,-99,-99
4,3243.000000,666572.000000,1580451.000000,0.000000,205.541782,487.342275,0.000000,0.000000,719198.074005,1250113.088498,-215809.378353,0.000000,0.000000,0.000000,14.982556,26.042741,-4.495807,0.000000,0.000000,41.025297,369.974557,0.000000,41.025297,19.234722,-0.000000,39.471897,27.468903,0.000000,487,206,0,453,172,0,524,255,0,172,500,0,331,75.345934,88.080458,0.341300,115.711378,    84.583544,     9.196931,   158.000000,    91.000000,   115.000000,375252.000000,3243,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,174,504,172,506,174,508,175,515,184,524,197,476,255,469,176,-99,-99,-99,-99
5,1026.000000,210285.000000,279141.000000,0.000000,204.956140,272.067251,0.000000,0.000000,111714.359649,139011.026315,87617.026315,0.000000,0.000000,0.000000,10.795576,13.433404,8.466918,0.000000,0.000000,24.228981,73.332650,0.000000,24.228981,8.563448,-0.000000,28.483500,11.792818,0.000000,272,205,0,252,179,0,294,225,0,179,255,0,176,55.293886,60.559970,-0.708132,110.343079,    42.293888,     6.503375,   130.000000,    95.000000,   110.000000,113212.000000,1026,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,114,294,220,255,179,275,223,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,1.000000,180.000000,461.000000,0.000000,180.000000,461.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,461,180,0,461,180,0,461,180,0,180,461,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   128.000000,   128.000000,   128.000000,   128.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,151.000000,28864.000000,57574.000000,0.000000,191.152317,381.284768,0.000000,0.000000,4534.754966,4467.496688,3652.450331,0.000000,0.000000,0.000000,5.639638,5.555992,4.542361,0.000000,0.000000,11.195630,10.700735,0.000000,11.195630,3.271197,-0.000000,4.320722,13.393786,0.000000,381,191,0,371,182,0,389,204,0,182,373,0,81,25.339462,30.970454,0.780794,113.880794,    75.892362,     8.711622,   133.000000,    98.000000,   113.000000, 17196.000000,151,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,35,386,202,371,184,371,183,374,183,374,182,-99,-99,-99,-99,-99,-99,-99,-99
8,2.000000,369.000000,911.000000,0.000000,184.500000,455.500000,0.000000,0.000000,0.500000,0.500000,-0.500000,0.000000,0.000000,0.000000,0.198425,0.198425,-0.198425,0.000000,0.000000,0.396850,0.000000,0.000000,0.396850,0.000000,-0.000000,-nan,-nan,0.000000,456,185,0,455,184,0,456,185,0,184,456,0,2,1.414213,1.414213,-0.785398,117.500000,     0.500000,     0.707106,   118.000000,   117.000000,   117.000000,   235.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,4366.000000,946528.000000,920883.000000,0.000000,216.795235,210.921438,0.000000,0.000000,2090672.053366,1413764.940906,3952.765918,0.000000,0.000000,0.000000,29.298199,19.812178,0.055393,0.000000,0.000000,49.110378,580.458099,0.000000,49.110378,24.092698,-0.000000,34.880281,42.417032,0.000000,211,217,0,154,185,0,253,255,0,185,238,0,365,70.001193,99.001687,0.005839,118.097343,   142.499800,    11.937328,   151.000000,    86.000000,   118.000000,515613.000000,4366,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,174,248,186,238,252,174,238,154,202,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
