Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,124.000000,51201.000000,15665.000000,0.000000,412.911290,126.330645,0.000000,0.000000,747.443548,2458.024193,189.637096,0.000000,0.000000,0.000000,1.208786,3.975184,0.306686,0.000000,0.000000,5.183970,4.711091,0.000000,5.183970,2.170504,-0.000000,8.737766,4.730961,0.000000,126,413,0,121,404,0,132,421,0,404,128,0,61,11.065787,17.101671,-0.109096,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31620.000000,124
1,29.000000,12038.000000,5176.000000,0.000000,415.103448,178.482758,0.000000,0.000000,75.241379,134.689655,73.551724,0.000000,0.000000,0.000000,0.844486,1.511716,0.825522,0.000000,0.000000,2.356202,0.595136,0.000000,2.356202,0.771451,-0.000000,5.008328,1.867877,0.000000,178,415,0,175,412,0,181,419,0,412,175,0,25,7.237099,8.443282,-0.593369,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  7395.000000,29
2,209.000000,89064.000000,64622.000000,0.000000,426.143540,309.196172,0.000000,0.000000,6798.956937,8303.693779,6109.114832,0.000000,0.000000,0.000000,5.481682,6.694882,4.925495,0.000000,0.000000,12.176565,12.438717,0.000000,12.176565,3.526856,-0.000000,15.291964,4.880337,0.000000,309,426,0,299,412,0,324,441,0,412,302,0,115,33.374422,38.714330,-0.724129,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 53295.000000,209
3,261.000000,111600.000000,37672.000000,0.000000,427.586206,144.337164,0.000000,0.000000,12918.329501,8559.310344,8589.413793,0.000000,0.000000,0.000000,7.744957,5.131583,5.149631,0.000000,0.000000,12.876540,13.225188,0.000000,12.876540,3.636645,-0.000000,5.215078,16.851492,0.000000,144,428,0,131,417,0,159,441,0,417,139,0,102,30.407172,35.475034,0.661148,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 66555.000000,261
4,115.000000,49026.000000,76782.000000,0.000000,426.313043,667.669565,0.000000,0.000000,2157.443478,2034.730434,-1712.104347,0.000000,0.000000,0.000000,3.857823,3.638394,-3.061491,0.000000,0.000000,7.496217,4.663548,0.000000,7.496217,2.159525,-0.000000,3.525916,11.121432,0.000000,668,426,0,659,417,0,676,433,0,417,675,0,74,22.232797,23.622347,-0.767487,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 29325.000000,115
5,493.000000,214088.000000,393532.000000,0.000000,434.255578,798.239350,0.000000,0.000000,169689.756592,6765.797160,19229.841784,0.000000,0.000000,0.000000,43.570552,1.737226,4.937568,0.000000,0.000000,45.307778,51.312328,0.000000,45.307778,7.163262,-0.000000,5.530105,34.080686,0.000000,798,434,0,768,425,0,839,441,0,425,768,0,228,16.108081,71.479612,0.115907,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,125715.000000,493
6,67.000000,29622.000000,51321.000000,0.000000,442.119402,765.985074,0.000000,0.000000,330.985074,767.044776,-326.880597,0.000000,0.000000,0.000000,1.216303,2.818735,-1.201220,0.000000,0.000000,4.035039,1.985507,0.000000,4.035039,1.409080,-0.000000,7.367378,2.999115,0.000000,766,442,0,762,436,0,771,449,0,436,767,0,45,10.207214,14.743754,0.491280,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17085.000000,67
7,357.000000,167845.000000,253936.000000,0.000000,470.154061,711.305322,0.000000,0.000000,2487.719887,72240.526610,-3946.792717,0.000000,0.000000,0.000000,0.982299,28.524844,-1.558427,0.000000,0.000000,29.507143,25.591238,0.000000,29.507143,5.058778,-0.000000,26.877277,4.751945,0.000000,711,470,0,706,443,0,717,495,0,443,717,0,151,11.017482,52.082646,0.056342,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 91035.000000,357
8,299.000000,135888.000000,101383.000000,0.000000,454.474916,339.073578,0.000000,0.000000,17424.381270,6086.561872,6583.551839,0.000000,0.000000,0.000000,8.714900,3.044227,3.292799,0.000000,0.000000,11.759128,15.687610,0.000000,11.759128,3.960758,-0.000000,6.236719,16.100357,0.000000,339,454,0,324,445,0,355,464,0,445,334,0,133,20.902444,34.103988,0.429954,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 76245.000000,299
9,287.000000,134630.000000,67477.000000,0.000000,469.094076,235.111498,0.000000,0.000000,7468.432055,11170.459930,-752.010452,0.000000,0.000000,0.000000,3.945059,5.900586,-0.397235,0.000000,0.000000,9.845646,23.120370,0.000000,9.845646,4.808364,-0.000000,11.569306,9.305385,0.000000,235,469,0,226,458,0,248,486,0,458,226,0,105,22.415975,28.529423,0.192949,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 73185.000000,287
10,54.000000,25435.000000,5527.000000,0.000000,471.018518,102.351851,0.000000,0.000000,482.314814,314.981481,307.648148,0.000000,0.000000,0.000000,2.363046,1.543215,1.507287,0.000000,0.000000,3.906262,1.374776,0.000000,3.906262,1.172508,-0.000000,2.412994,7.234122,0.000000,102,471,0,97,467,0,108,476,0,467,97,0,38,11.328041,13.845383,0.652631,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 13770.000000,54
11,155.000000,74415.000000,65845.000000,0.000000,480.096774,424.806451,0.000000,0.000000,5588.193548,3445.548387,3451.903225,0.000000,0.000000,0.000000,6.711648,4.138243,4.145876,0.000000,0.000000,10.849892,10.586146,0.000000,10.849892,3.253635,-0.000000,4.423424,13.277063,0.000000,425,480,0,412,471,0,438,488,0,471,419,0,88,21.115081,32.293653,0.634932,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 39525.000000,155
12,133.000000,65189.000000,16155.000000,0.000000,490.142857,121.466165,0.000000,0.000000,4553.097744,5524.285714,4804.142857,0.000000,0.000000,0.000000,6.706636,8.137180,7.076422,0.000000,0.000000,14.843817,4.497364,0.000000,14.843817,2.120699,-0.000000,17.129973,2.499418,0.000000,121,490,0,111,478,0,134,502,0,478,111,0,92,31.005221,32.353274,-0.735030,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 33915.000000,133
13,107.000000,52408.000000,32446.000000,0.000000,489.794392,303.233644,0.000000,0.000000,1251.158878,1329.476635,-857.859813,0.000000,0.000000,0.000000,2.463017,2.617192,-1.688773,0.000000,0.000000,5.080209,3.594235,0.000000,5.080209,1.895846,-0.000000,8.839767,3.961306,0.000000,303,490,0,297,483,0,310,496,0,483,307,0,53,17.979417,17.979417,0.762590,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 27285.000000,107
14,90.000000,44612.000000,68819.000000,0.000000,495.688888,764.655555,0.000000,0.000000,808.322222,727.288888,339.355555,0.000000,0.000000,0.000000,2.004138,1.803226,0.841391,0.000000,0.000000,3.807365,2.905976,0.000000,3.807365,1.704692,-0.000000,4.281805,6.910022,0.000000,765,496,0,759,490,0,772,501,0,490,762,0,45,14.708886,17.383229,0.725982,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 22950.000000,90
15,379.000000,198435.000000,236675.000000,0.000000,523.575197,624.472295,0.000000,0.000000,63858.459102,63584.606860,-60469.960422,0.000000,0.000000,0.000000,23.282672,23.182826,-22.047231,0.000000,0.000000,46.465498,53.677701,0.000000,46.465498,7.326506,-0.000000,5.087369,31.441487,0.000000,624,524,0,603,498,0,647,542,0,498,640,0,175,62.155065,62.155065,-0.784265,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 96645.000000,379
16,92.000000,46527.000000,65147.000000,0.000000,505.728260,708.119565,0.000000,0.000000,1189.684782,494.206521,-50.010869,0.000000,0.000000,0.000000,2.864495,1.189939,-0.120415,0.000000,0.000000,4.054434,3.394075,0.000000,4.054434,1.842301,-0.000000,4.473710,6.976850,0.000000,708,506,0,701,501,0,714,511,0,501,710,0,45,10.025557,13.033224,-0.071418,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23460.000000,92
