Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,968.000000,177996.000000,268891.000000,0.000000,183.880165,277.779958,0.000000,0.000000,66216.131198,107628.099173,36897.475206,0.000000,0.000000,0.000000,6.915071,11.239798,3.853270,0.000000,0.000000,18.154869,62.876313,0.000000,18.154869,7.929458,-0.000000,23.004383,13.516050,0.000000,278,184,0,263,161,0,296,205,0,161,265,0,154,38.240678,50.987571,-0.529706,97.175619,    30.755061,     5.545724,   114.000000,    84.000000,    97.000000, 94066.000000,968,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,152,295,194,293,197,289,202,282,204,263,173,265,161,-99,-99,-99,-99,-99,-99
1,5643.000000,1442420.000000,1708623.000000,0.000000,255.612262,302.786283,0.000000,0.000000,1673490.258372,4241207.631400,270020.389154,0.000000,0.000000,0.000000,16.657498,42.215907,2.687714,0.000000,0.000000,58.873406,695.987621,0.000000,58.873406,26.381577,-0.000000,54.397270,33.770308,0.000000,303,256,0,271,198,0,336,304,0,198,300,0,395,65.350721,106.571945,-0.103649,103.096934,   136.355898,    11.677152,   146.000000,    81.000000,   101.000000,581776.000000,5643,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,177,303,199,314,204,325,215,328,216,334,303,275,302,287,206,301,198,-99,-99
2,651.000000,146300.000000,228682.000000,0.000000,224.731182,351.278033,0.000000,0.000000,67394.675883,19183.956989,-1612.344086,0.000000,0.000000,0.000000,11.944948,3.400140,-0.285769,0.000000,0.000000,15.345088,40.532838,0.000000,15.345088,6.366540,-0.000000,10.672099,20.039071,0.000000,351,225,0,335,214,0,373,236,0,214,347,0,120,22.012272,38.021197,-0.033393,103.290322,   104.858660,    10.240051,   130.000000,    82.000000,   102.000000, 67242.000000,651,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,3,74,373,225,371,228,337,235,335,230,335,222,337,220,-99,-99,-99,-99,-99,-99
3,4423.000000,1244526.000000,1603652.000000,0.000000,281.375989,362.571105,0.000000,0.000000,810735.387293,3416093.730046,53893.251413,0.000000,0.000000,0.000000,11.166657,47.051541,0.742298,0.000000,0.000000,58.218199,524.857463,0.000000,58.218199,22.909767,-0.000000,54.678814,26.614865,0.000000,363,281,0,335,230,0,387,344,0,230,377,0,355,52.011114,114.024366,-0.020673,103.941894,   100.945288,    10.047153,   136.000000,    82.000000,   103.000000,459735.000000,4423,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,3,114,377,230,384,234,379,343,343,319,336,240,353,236,-99,-99,-99,-99,-99,-99
4,4386.000000,1200355.000000,1878657.000000,0.000000,273.678750,428.330369,0.000000,0.000000,1564934.294801,1965884.359552,638371.490423,0.000000,0.000000,0.000000,21.797395,27.382081,8.891642,0.000000,0.000000,49.179477,517.796766,0.000000,49.179477,22.755148,-0.000000,46.359779,31.109947,0.000000,428,274,0,390,235,0,463,321,0,235,408,0,398,90.558788,106.685695,-0.633253,107.829001,    94.908039,     9.742075,   143.000000,    86.000000,   107.000000,472938.000000,4386,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1118430.000000,4386,7,9,1,342,461,312,458,312,460,321,391,295,391,236,408,235,415,236,-99,-99,-99,-99
5,983.000000,258821.000000,469151.000000,0.000000,263.297049,477.264496,0.000000,0.000000,92095.230925,68673.261444,-717.232960,0.000000,0.000000,0.000000,9.422492,7.026132,-0.073381,0.000000,0.000000,16.448624,66.198290,0.000000,16.448624,8.136233,-0.000000,16.574036,19.198802,0.000000,477,263,0,459,247,0,498,278,0,247,475,0,139,31.014504,39.018247,-0.030584,104.998982,   128.593685,    11.339915,   150.000000,    86.000000,   104.000000,103214.000000,983,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,4,69,497,252,493,274,487,277,459,254,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,2808.000000,821509.000000,1469171.000000,0.000000,292.560185,523.209045,0.000000,0.000000,453830.290242,1130145.828703,73946.171296,0.000000,0.000000,0.000000,11.455938,28.528023,1.866606,0.000000,0.000000,39.983961,323.331060,0.000000,39.983961,17.981408,-0.000000,39.007944,24.414354,0.000000,523,293,0,497,255,0,551,334,0,255,502,0,297,54.314363,79.459901,-0.107642,108.654558,   153.913402,    12.406184,   160.000000,    85.000000,   107.000000,305102.000000,2808,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,168,529,260,511,334,502,255,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,4.000000,1067.000000,2202.000000,0.000000,266.750000,550.500000,0.000000,0.000000,5.000000,0.750000,1.500000,0.000000,0.000000,0.000000,0.787450,0.118117,0.236235,0.000000,0.000000,0.905568,0.037204,0.000000,0.905568,0.192885,-0.000000,0.528477,2.362931,0.000000,551,267,0,549,266,0,552,267,0,266,549,0,4,1.049159,3.147477,0.307331,125.750000,     1.583333,     1.258305,   127.000000,   124.000000,   126.000000,   503.000000,4,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,5131.000000,1686750.000000,2878746.000000,0.000000,328.737088,561.049697,0.000000,0.000000,2109522.327031,5850802.332097,-2579961.957512,0.000000,0.000000,0.000000,23.836808,66.111864,-29.152599,0.000000,0.000000,89.948673,726.021811,0.000000,89.948673,26.944791,-0.000000,72.367145,24.077924,0.000000,561,329,0,525,270,0,611,402,0,270,562,0,479,96.543870,148.183615,0.471722,108.008185,   154.964845,    12.448487,   154.000000,    83.000000,   106.000000,554190.000000,5131,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,338,562,270,595,271,604,283,606,288,607,289,608,291,610,293,537,402,-99,-99
9,1746.000000,537949.000000,845138.000000,0.000000,308.103665,484.042382,0.000000,0.000000,171946.863688,400082.236540,60716.328751,0.000000,0.000000,0.000000,8.178404,19.029335,2.887884,0.000000,0.000000,27.207740,147.289729,0.000000,27.207740,12.136298,-0.000000,30.455904,18.714985,0.000000,484,308,0,465,281,0,504,336,0,281,493,0,198,40.196174,56.686912,-0.244569,107.002863,   186.884232,    13.670560,   158.000000,    83.000000,   104.000000,186827.000000,1746,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,161,494,281,504,336,467,289,467,282,480,283,-99,-99,-99,-99,-99,-99,-99,-99
