Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,234.000000,1439.000000,155657.000000,0.000000,6.149572,665.200854,0.000000,0.000000,5689.559829,3949.764957,301.970085,0.000000,0.000000,0.000000,3.945701,2.739156,0.209415,0.000000,0.000000,6.684857,10.764036,0.000000,6.684857,3.280859,-0.000000,7.997604,9.704343,0.000000,665,6,0,656,0,0,675,15,0,0,656,0,55,15.211777,19.268251,0.167059,105.222222,   107.564139,    10.371313,   131.000000,    83.000000,   106.000000, 24622.000000,234,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,1,9,1,39,672,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,9.000000,15.000000,6156.000000,0.000000,1.666666,684.000000,0.000000,0.000000,8.000000,17.999999,-8.999999,0.000000,0.000000,0.000000,0.427333,0.961499,-0.480749,0.000000,0.000000,1.388832,0.179760,0.000000,1.388832,0.423981,-0.000000,3.054549,1.040741,0.000000,684,2,0,683,0,0,686,4,0,0,684,0,9,3.480799,4.641066,0.531848,117.333333,     6.250000,     2.500000,   121.000000,   113.000000,   117.000000,  1056.000000,9,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,22.000000,13.000000,16273.000000,0.000000,0.590909,739.681818,0.000000,0.000000,192.772727,11.318181,-14.863636,0.000000,0.000000,0.000000,3.127149,0.183602,-0.241117,0.000000,0.000000,3.310752,0.516016,0.000000,3.310752,0.718342,-0.000000,1.309236,5.735235,0.000000,740,1,0,735,0,0,746,2,0,0,735,0,16,2.006610,11.036357,-0.081192,116.136363,    27.456709,     5.239915,   124.000000,   105.000000,   117.000000,  2555.000000,22,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,686.000000,10081.000000,542470.000000,0.000000,14.695335,790.772594,0.000000,0.000000,44712.524781,54671.325072,18780.472303,0.000000,0.000000,0.000000,7.390327,9.036372,3.104138,0.000000,0.000000,16.426700,57.146080,0.000000,16.426700,7.559502,-0.000000,19.097160,12.636174,0.000000,791,15,0,772,0,0,807,36,0,0,772,0,138,44.161057,45.422801,-0.655811,104.368804,   142.951375,    11.956227,   131.000000,    80.000000,   104.000000, 71597.000000,686,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,116,804,23,801,27,785,34,772,0,776,0,781,3,781,0,-99,-99,-99,-99
4,17.000000,34.000000,13847.000000,0.000000,2.000000,814.529411,0.000000,0.000000,36.235294,44.000000,30.000000,0.000000,0.000000,0.000000,0.828959,1.006593,0.686313,0.000000,0.000000,1.835552,0.363398,0.000000,1.835552,0.602825,-0.000000,3.932937,1.472763,0.000000,815,2,0,812,0,0,817,5,0,0,812,0,15,6.656787,6.656787,-0.721049,117.882352,     9.860294,     3.140110,   122.000000,   112.000000,   119.000000,  2004.000000,17,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,121.000000,2116.000000,101551.000000,0.000000,17.487603,839.264462,0.000000,0.000000,1281.537190,1548.231404,541.396694,0.000000,0.000000,0.000000,2.141332,2.586954,0.904624,0.000000,0.000000,4.728286,4.721182,0.000000,4.728286,2.172828,-0.000000,7.856219,5.179379,0.000000,839,17,0,833,10,0,844,25,0,10,833,0,43,13.974777,19.056515,-0.664650,123.677685,    37.020247,     6.084426,   141.000000,   113.000000,   123.000000, 14965.000000,121,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,59.000000,1668.000000,41781.000000,0.000000,28.271186,708.152542,0.000000,0.000000,351.627118,651.661016,-229.440677,0.000000,0.000000,0.000000,1.530898,2.837172,-0.998928,0.000000,0.000000,4.368070,3.345564,0.000000,4.368070,1.829088,-0.000000,6.535110,3.539056,0.000000,708,28,0,703,22,0,715,34,0,22,714,0,43,13.643217,13.643217,0.495864,110.627118,    83.858562,     9.157432,   130.000000,    97.000000,   109.000000,  6527.000000,59,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,89.000000,2701.000000,73679.000000,0.000000,30.348314,827.853932,0.000000,0.000000,667.101123,914.202247,-254.471910,0.000000,0.000000,0.000000,1.678823,2.300676,-0.640402,0.000000,0.000000,3.979500,3.452314,0.000000,3.979500,1.858040,-0.000000,6.676892,4.591997,0.000000,828,30,0,822,24,0,834,36,0,24,831,0,47,14.158068,14.158068,0.559400,112.876404,    45.495914,     6.745065,   131.000000,   102.000000,   112.000000, 10046.000000,89,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,8.000000,233.000000,6105.000000,0.000000,29.125000,763.125000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304687,0.304687,-0.070312,0.000000,0.000000,0.609375,0.087890,0.000000,0.609375,0.296463,-0.000000,1.393863,1.763113,0.000000,763,29,0,762,28,0,764,30,0,28,763,0,8,2.828427,2.828427,-0.785398,111.250000,    25.928571,     5.092010,   117.000000,   102.000000,   110.000000,   890.000000,8,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,11.000000,362.000000,8308.000000,0.000000,32.909090,755.272727,0.000000,0.000000,10.181818,12.909090,5.272727,0.000000,0.000000,0.000000,0.416199,0.527681,0.215531,0.000000,0.000000,0.943881,0.173166,0.000000,0.943881,0.416133,-0.000000,2.451356,1.468678,0.000000,755,33,0,754,31,0,757,35,0,31,754,0,11,3.794152,5.058869,-0.658860,113.636363,    34.054545,     5.835627,   128.000000,   104.000000,   113.000000,  1250.000000,11,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
