Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,473.000000,22909.000000,90874.000000,0.000000,48.433403,192.122621,0.000000,0.000000,25208.887949,24732.152219,-15627.137420,0.000000,0.000000,0.000000,6.840253,6.710894,-4.240312,0.000000,0.000000,13.551147,27.923960,0.000000,13.551147,5.284312,-0.000000,8.691001,18.118416,0.000000,192,48,0,176,33,0,205,61,0,33,199,0,132,39.299422,40.702973,-0.777772,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,120615.000000,473
1,1787.000000,140880.000000,627985.000000,0.000000,78.836038,351.418578,0.000000,0.000000,735204.903189,720794.959149,414680.643536,0.000000,0.000000,0.000000,33.903327,33.238825,19.122633,0.000000,0.000000,67.142153,761.231690,0.000000,67.142153,27.590427,-0.000000,21.376991,40.829185,0.000000,351,79,0,315,41,0,392,131,0,41,322,0,705,107.960728,126.187864,0.776711,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,455685.000000,1787
2,207.000000,11187.000000,55484.000000,0.000000,54.043478,268.038647,0.000000,0.000000,5887.690821,2356.608695,626.652173,0.000000,0.000000,0.000000,4.808222,1.924540,0.511759,0.000000,0.000000,6.732762,8.991719,0.000000,6.732762,2.998619,-0.000000,6.471015,10.566314,0.000000,268,54,0,258,45,0,278,60,0,45,263,0,78,15.220783,20.294378,0.170532,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 52785.000000,207
3,6667.000000,1082656.000000,2050057.000000,0.000000,162.390280,307.493175,0.000000,0.000000,7326472.439476,19011780.490170,2243919.757760,0.000000,0.000000,0.000000,58.387647,151.512634,17.882712,0.000000,0.000000,209.900282,8526.674987,0.000000,209.900282,92.339996,-0.000000,80.250749,47.861671,0.000000,307,162,0,226,60,0,384,278,0,60,230,0,2104,160.693303,221.716077,-0.183344,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1700085.000000,6667
4,128.000000,8956.000000,38616.000000,0.000000,69.968750,301.687500,0.000000,0.000000,1427.500000,1903.875000,633.750000,0.000000,0.000000,0.000000,2.212905,2.951380,0.982436,0.000000,0.000000,5.164285,5.565942,0.000000,5.164285,2.359224,-0.000000,8.231747,5.347543,0.000000,302,70,0,295,62,0,308,79,0,62,301,0,60,15.812491,20.677874,-0.605645,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 32640.000000,128
5,172.000000,13048.000000,59644.000000,0.000000,75.860465,346.767441,0.000000,0.000000,2752.697674,3382.651162,1874.418604,0.000000,0.000000,0.000000,2.877755,3.536328,1.959575,0.000000,0.000000,6.414084,6.336753,0.000000,6.414084,2.517290,-0.000000,10.688705,5.180228,0.000000,347,76,0,340,67,0,355,84,0,67,341,0,64,19.647614,22.267296,-0.702156,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 43860.000000,172
6,3937.000000,681545.000000,934794.000000,0.000000,173.112776,237.438150,0.000000,0.000000,1264209.189738,11713685.927354,2760313.461010,0.000000,0.000000,0.000000,20.335977,188.425505,44.402202,0.000000,0.000000,208.761483,1860.261252,0.000000,208.761483,43.130746,-0.000000,92.431203,19.989727,0.000000,237,173,0,191,75,0,274,274,0,75,192,0,951,85.512765,205.024582,-0.243021,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1003935.000000,3937
7,510.000000,46085.000000,83632.000000,0.000000,90.362745,163.984313,0.000000,0.000000,39943.874509,11771.892156,760.901960,0.000000,0.000000,0.000000,9.802946,2.889034,0.186739,0.000000,0.000000,12.691980,28.286176,0.000000,12.691980,5.318475,-0.000000,9.490767,17.502257,0.000000,164,90,0,145,81,0,180,100,0,81,158,0,122,19.006918,35.012745,0.026982,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,130050.000000,510
8,456.000000,43314.000000,188415.000000,0.000000,94.986842,413.190789,0.000000,0.000000,60554.401315,7251.921052,-2090.855263,0.000000,0.000000,0.000000,17.252786,2.066172,-0.595713,0.000000,0.000000,19.318959,35.292361,0.000000,19.318959,5.940737,-0.000000,7.485250,21.767679,0.000000,413,95,0,392,84,0,434,103,0,84,434,0,167,19.014567,42.032201,-0.039146,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,116280.000000,456
9,392.000000,46811.000000,50804.000000,0.000000,119.415816,129.602040,0.000000,0.000000,7629.918367,35123.221938,-4706.132653,0.000000,0.000000,0.000000,2.659531,12.242767,-1.640398,0.000000,0.000000,14.902298,29.869117,0.000000,14.902298,5.465264,-0.000000,17.987981,7.854808,0.000000,130,119,0,121,103,0,140,140,0,103,137,0,158,19.261349,37.508944,0.164920,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 99960.000000,392
10,171.000000,19333.000000,14524.000000,0.000000,113.058479,84.935672,0.000000,0.000000,2116.292397,3877.415204,-1392.356725,0.000000,0.000000,0.000000,2.229705,4.085207,-1.466973,0.000000,0.000000,6.314913,6.956798,0.000000,6.314913,2.637574,-0.000000,10.234201,5.516549,0.000000,85,113,0,78,105,0,93,122,0,105,87,0,67,17.124670,19.407959,0.503437,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 43605.000000,171
