Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,571.000000,13177.000000,149119.000000,0.000000,23.077057,261.154115,0.000000,0.000000,38568.437828,67836.609457,41546.218914,0.000000,0.000000,0.000000,8.141740,14.320207,8.770345,0.000000,0.000000,22.461948,39.672454,0.000000,22.461948,6.298607,-0.000000,25.204851,7.733046,0.000000,261,23,0,243,0,0,278,44,0,0,243,0,212,42.883835,53.911108,-0.616065,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,145605.000000,571
1,63.000000,268.000000,16880.000000,0.000000,4.253968,267.936507,0.000000,0.000000,307.746031,381.936507,27.015873,0.000000,0.000000,0.000000,1.227641,1.523598,0.107770,0.000000,0.000000,2.751240,1.858818,0.000000,2.751240,1.363385,-0.000000,4.883508,4.271621,0.000000,268,4,0,263,0,0,272,9,0,0,267,0,34,9.464912,9.464912,-0.314728,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 16065.000000,63
2,56.000000,378.000000,19640.000000,0.000000,6.750000,350.714285,0.000000,0.000000,915.428571,526.500000,628.999999,0.000000,0.000000,0.000000,4.272746,2.457429,2.935846,0.000000,0.000000,6.730175,1.880779,0.000000,6.730175,1.371414,-0.000000,2.029816,9.528871,0.000000,351,7,0,343,1,0,357,12,0,1,344,0,47,13.668181,17.395867,0.635476,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14280.000000,56
3,58.000000,1313.000000,21435.000000,0.000000,22.637931,369.568965,0.000000,0.000000,866.224137,495.396551,578.948275,0.000000,0.000000,0.000000,3.858273,2.206559,2.578709,0.000000,0.000000,6.064832,1.863765,0.000000,6.064832,1.365198,-0.000000,2.167565,9.113795,0.000000,370,23,0,363,18,0,377,29,0,18,363,0,45,13.617657,17.331564,0.630428,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14790.000000,58
4,89.000000,2729.000000,47749.000000,0.000000,30.662921,536.505617,0.000000,0.000000,2274.247191,427.887640,704.168539,0.000000,0.000000,0.000000,5.723359,1.076819,1.772107,0.000000,0.000000,6.800178,3.022663,0.000000,6.800178,1.738580,-0.000000,2.855886,10.384963,0.000000,537,31,0,528,26,0,547,35,0,26,529,0,56,9.499766,20.055062,0.325810,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 22695.000000,89
5,270.000000,11117.000000,88334.000000,0.000000,41.174074,327.162962,0.000000,0.000000,23576.829629,11052.818518,14974.340740,0.000000,0.000000,0.000000,13.510364,6.333659,8.580831,0.000000,0.000000,19.844023,11.939376,0.000000,19.844023,3.455340,-0.000000,3.968629,22.078477,0.000000,327,41,0,310,29,0,346,55,0,29,310,0,124,31.234678,43.248016,0.587357,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 68850.000000,270
6,322.000000,17061.000000,251663.000000,0.000000,52.984472,781.562111,0.000000,0.000000,7643.257763,57158.922360,-13997.189440,0.000000,0.000000,0.000000,3.463145,25.898594,-6.342098,0.000000,0.000000,29.361739,49.468371,0.000000,29.361739,7.033375,-0.000000,23.473913,5.989014,0.000000,782,53,0,769,29,0,792,77,0,29,781,0,159,23.782802,49.633675,0.257281,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 82110.000000,322
7,183.000000,6859.000000,38206.000000,0.000000,37.480874,208.775956,0.000000,0.000000,7185.814207,1533.683060,1386.715846,0.000000,0.000000,0.000000,6.916311,1.476162,1.334707,0.000000,0.000000,8.392473,8.428155,0.000000,8.392473,2.903128,-0.000000,4.989703,12.419788,0.000000,209,37,0,197,31,0,222,44,0,31,204,0,84,13.345636,25.664685,0.228085,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 46665.000000,183
8,32.000000,1457.000000,22697.000000,0.000000,45.531250,709.281250,0.000000,0.000000,142.468750,51.968750,-9.781250,0.000000,0.000000,0.000000,1.402338,0.511535,-0.096278,0.000000,0.000000,1.913874,0.708076,0.000000,1.913874,0.841472,-0.000000,2.492933,4.185022,0.000000,709,46,0,706,43,0,713,48,0,43,712,0,23,5.028459,7.039843,-0.106442,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  8160.000000,32
9,25.000000,1310.000000,12387.000000,0.000000,52.399999,495.479999,0.000000,0.000000,60.239999,43.999999,11.199999,0.000000,0.000000,0.000000,0.824071,0.601911,0.153213,0.000000,0.000000,1.425983,0.472543,0.000000,1.425983,0.687418,-0.000000,2.468671,3.240128,0.000000,495,52,0,493,50,0,498,55,0,50,494,0,19,5.613076,5.613076,0.471744,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6375.000000,25
