Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,6035.000000,418020.000000,1145754.000000,0.000000,69.265948,189.851532,0.000000,0.000000,2596346.973321,6355650.152442,2451628.289974,0.000000,0.000000,0.000000,23.629781,57.843817,22.312672,0.000000,0.000000,81.473599,868.981400,0.000000,81.473599,29.478490,-0.000000,68.871184,29.486392,0.000000,190,69,0,146,0,0,239,133,0,0,146,0,444,103.703814,148.307605,-0.458347,110.475227,    31.795002,     5.638705,   148.000000,    94.000000,   110.000000,666718.000000,6035,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,345,239,110,237,113,208,118,201,119,198,120,180,133,146,0,-99,-99,-99,-99
1,6046.000000,308402.000000,1467165.000000,0.000000,51.009262,242.667052,0.000000,0.000000,4243168.776876,5748027.481308,3708908.645053,0.000000,0.000000,0.000000,38.524124,52.186877,33.673527,0.000000,0.000000,90.711002,876.547339,0.000000,90.711002,29.606542,-0.000000,74.069595,27.509816,0.000000,243,51,0,169,0,0,294,109,0,0,169,0,443,140.787592,161.453660,-0.685320,111.403903,    24.168679,     4.916165,   134.000000,    97.000000,   111.000000,673548.000000,6046,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,1,342,294,108,243,105,169,0,230,0,239,0,240,0,-99,-99,-99,-99,-99,-99
2,782.000000,8484.000000,220219.000000,0.000000,10.849104,281.609974,0.000000,0.000000,102824.042199,36142.194373,9862.976982,0.000000,0.000000,0.000000,14.272027,5.016554,1.368986,0.000000,0.000000,19.288581,69.722276,0.000000,19.288581,8.349986,-0.000000,12.637344,21.900127,0.000000,282,11,0,253,0,0,299,24,0,0,253,0,137,24.250331,46.479801,0.143809,112.305626,    19.915435,     4.462671,   128.000000,    99.000000,   112.000000, 87823.000000,782,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,135,299,0,298,22,253,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,4752.000000,165643.000000,1695515.000000,0.000000,34.857533,356.800294,0.000000,0.000000,2946481.479586,2430808.550294,1709187.799452,0.000000,0.000000,0.000000,36.880925,30.426279,21.393797,0.000000,0.000000,67.307204,664.454765,0.000000,67.307204,25.777020,-0.000000,27.476181,58.934009,0.000000,357,35,0,303,0,0,403,85,0,0,303,0,350,112.135373,131.923968,0.710536,112.916245,    30.040131,     5.480887,   144.000000,    96.000000,   112.000000,536578.000000,4752,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,339,402,77,373,85,363,85,362,85,303,0,-99,-99,-99,-99,-99,-99,-99,-99
4,1156.000000,19465.000000,459954.000000,0.000000,16.838235,397.884083,0.000000,0.000000,97626.467128,135692.749999,5498.323529,0.000000,0.000000,0.000000,8.046810,11.184404,0.453196,0.000000,0.000000,19.231215,89.793400,0.000000,19.231215,9.475937,-0.000000,21.311118,17.952783,0.000000,398,17,0,379,0,0,418,40,0,0,379,0,127,39.388754,40.398722,-0.140612,114.638408,    40.262211,     6.345251,   135.000000,    95.000000,   114.000000,132522.000000,1156,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,3,96,409,2,417,12,402,38,393,38,388,36,379,3,-99,-99,-99,-99,-99,-99
5,563.000000,4424.000000,245682.000000,0.000000,7.857904,436.380106,0.000000,0.000000,48516.657193,14770.632326,1377.408525,0.000000,0.000000,0.000000,10.436294,3.177273,0.296290,0.000000,0.000000,13.613568,33.071172,0.000000,13.613568,5.750754,-0.000000,10.077040,18.308666,0.000000,436,8,0,416,0,0,453,18,0,0,416,0,74,18.014938,37.030706,0.040726,114.319715,    41.509699,     6.442802,   133.000000,   101.000000,   114.000000, 64362.000000,563,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,93,453,2,453,4,453,5,422,13,421,6,418,1,-99,-99,-99,-99,-99,-99
6,2867.000000,57603.000000,1403368.000000,0.000000,20.091733,489.490059,0.000000,0.000000,1092378.466689,439218.874084,-44530.885594,0.000000,0.000000,0.000000,26.820664,10.783938,-1.093346,0.000000,0.000000,37.604603,288.036995,0.000000,37.604603,16.971652,-0.000000,24.331106,38.557339,0.000000,489,20,0,450,0,0,528,46,0,0,457,0,180,46.105804,78.179407,-0.067759,113.113707,    19.411350,     4.405831,   133.000000,    99.000000,   113.000000,324297.000000,2867,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,171,528,0,516,44,465,42,450,21,455,14,457,1,-99,-99,-99,-99,-99,-99
7,3314.000000,58089.000000,1950909.000000,0.000000,17.528364,588.687085,0.000000,0.000000,2665830.507241,420813.833735,192616.914001,0.000000,0.000000,0.000000,53.954689,8.517000,3.898442,0.000000,0.000000,62.471689,444.334260,0.000000,62.471689,21.079237,-0.000000,21.145728,54.457978,0.000000,589,18,0,532,0,0,644,49,0,0,532,0,252,49.177421,112.405534,0.084970,113.361496,    21.300611,     4.615258,   129.000000,    98.000000,   113.000000,375680.000000,3314,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,150,644,2,619,47,532,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,60.000000,80.000000,35730.000000,0.000000,1.333333,595.500000,0.000000,0.000000,1195.000000,73.333333,-0.000000,0.000000,0.000000,0.000000,5.087443,0.312200,-0.000000,0.000000,0.000000,5.399643,1.588300,0.000000,5.399643,1.260277,-0.000000,2.193030,8.852742,0.000000,596,1,0,587,0,0,604,3,0,0,587,0,24,3.000000,17.000000,-0.000000,107.916666,    15.942090,     3.992754,   116.000000,    98.000000,   108.000000,  6475.000000,60,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,2781.000000,77020.000000,1901210.000000,0.000000,27.695073,683.642574,0.000000,0.000000,565860.719165,889215.422509,151961.903272,0.000000,0.000000,0.000000,14.469101,22.737305,3.885677,0.000000,0.000000,37.206407,313.889894,0.000000,37.206407,17.716938,-0.000000,35.875070,26.181265,0.000000,684,28,0,648,0,0,710,67,0,0,648,0,210,66.688626,72.066741,-0.377215,114.188781,    26.584133,     5.155980,   133.000000,    99.000000,   114.000000,317559.000000,2781,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,171,703,0,708,57,671,65,648,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
