Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,804.000000,196350.000000,435517.000000,0.000000,244.216417,541.687810,0.000000,0.000000,154944.640547,281666.343283,128022.320895,0.000000,0.000000,0.000000,20.725347,37.675604,17.124226,0.000000,0.000000,58.400951,487.600862,0.000000,58.400951,22.081686,-0.000000,31.669710,14.476529,0.000000,542,244,0,518,208,0,581,269,0,208,548,0,322,71.800296,74.154404,-0.555610,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,205020.000000,804
1,63.000000,13900.000000,35450.000000,0.000000,220.634920,562.698412,0.000000,0.000000,365.269841,660.603174,-314.936507,0.000000,0.000000,0.000000,1.457112,2.635238,-1.256325,0.000000,0.000000,4.092350,2.261484,0.000000,4.092350,1.503823,-0.000000,7.072819,3.097571,0.000000,563,221,0,559,215,0,568,228,0,215,564,0,45,10.664043,15.403618,0.566177,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 16065.000000,63
2,67.000000,14741.000000,31743.000000,0.000000,220.014925,473.776119,0.000000,0.000000,649.641791,386.985074,325.223880,0.000000,0.000000,0.000000,2.387303,1.422092,1.195132,0.000000,0.000000,3.809395,1.966624,0.000000,3.809395,1.402363,-0.000000,3.111178,7.085062,0.000000,474,220,0,468,216,0,480,225,0,216,470,0,42,10.856645,14.475526,0.593505,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17085.000000,67
3,160.000000,36299.000000,73464.000000,0.000000,226.868749,459.149999,0.000000,0.000000,4868.399999,1416.243749,1019.149999,0.000000,0.000000,0.000000,5.604793,1.630464,1.173306,0.000000,0.000000,7.235257,7.761768,0.000000,7.235257,2.785995,-0.000000,5.108734,10.865388,0.000000,459,227,0,447,221,0,471,233,0,221,453,0,86,12.439734,24.879468,0.266681,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 40800.000000,160
4,58.000000,13110.000000,31445.000000,0.000000,226.034482,542.155172,0.000000,0.000000,273.603448,625.931034,-266.310344,0.000000,0.000000,0.000000,1.218664,2.787976,-1.186180,0.000000,0.000000,4.006641,1.990585,0.000000,4.006641,1.410881,-0.000000,6.982787,2.876008,0.000000,542,226,0,538,221,0,547,232,0,221,543,0,41,10.217670,12.488264,0.493190,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14790.000000,58
5,98.000000,23251.000000,55244.000000,0.000000,237.255102,563.714285,0.000000,0.000000,947.999999,668.622448,22.142857,0.000000,0.000000,0.000000,2.098167,1.479833,0.049007,0.000000,0.000000,3.578001,3.102537,0.000000,3.578001,1.761402,-0.000000,5.164689,6.163454,0.000000,564,237,0,558,233,0,569,242,0,233,561,0,43,9.027875,11.034069,0.078603,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 24990.000000,98
6,58.000000,14049.000000,34196.000000,0.000000,242.224137,589.586206,0.000000,0.000000,220.068965,644.086206,-201.620689,0.000000,0.000000,0.000000,0.980215,2.868842,-0.898044,0.000000,0.000000,3.849057,2.005599,0.000000,3.849057,1.416191,-0.000000,6.771763,2.971207,0.000000,590,242,0,585,236,0,593,247,0,236,591,0,39,8.615017,11.845649,0.380144,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14790.000000,58
7,34.000000,8377.000000,15175.000000,0.000000,246.382352,446.323529,0.000000,0.000000,91.441176,118.029411,6.794117,0.000000,0.000000,0.000000,0.830175,1.071564,0.061682,0.000000,0.000000,1.901740,0.885781,0.000000,1.901740,0.941159,-0.000000,3.641682,3.154790,0.000000,446,246,0,443,243,0,449,250,0,243,446,0,25,6.171395,7.199961,-0.236228,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  8670.000000,34
8,500.000000,128805.000000,308411.000000,0.000000,257.609999,616.821999,0.000000,0.000000,34181.157999,24734.949999,-15846.709999,0.000000,0.000000,0.000000,8.613112,6.232816,-3.993120,0.000000,0.000000,14.845928,37.738937,0.000000,14.845928,6.143202,-0.000000,9.663728,18.231444,0.000000,617,258,0,599,243,0,633,272,0,243,626,0,169,36.170504,42.406798,-0.640564,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,127500.000000,500
9,84.000000,21219.000000,48664.000000,0.000000,252.607142,579.333333,0.000000,0.000000,508.666666,760.035714,69.999999,0.000000,0.000000,0.000000,1.382698,2.065990,0.190279,0.000000,0.000000,3.448689,2.820435,0.000000,3.448689,1.679415,-0.000000,5.943758,4.718737,0.000000,579,253,0,575,247,0,585,258,0,247,577,0,44,10.331704,11.364874,-0.254081,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 21420.000000,84
