Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,4157.000000,1781219.000000,2568882.000000,0.000000,428.486649,617.965359,0.000000,0.000000,1396341.011787,1642120.509020,451038.077459,0.000000,0.000000,0.000000,20.890626,24.567727,6.747970,0.000000,0.000000,45.458354,467.700116,0.000000,45.458354,21.626375,-0.000000,43.180619,31.417966,0.000000,618,428,0,572,394,0,652,468,0,394,601,0,311,93.124971,100.675645,-0.652396,120.202790,   105.406171,    10.266750,   163.000000,    94.000000,   119.000000,499683.000000,4157,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1060035.000000,4157,7,9,2,177,648,458,641,463,635,465,633,466,629,467,601,463,573,398,-99,-99,-99,-99
1,2223.000000,985308.000000,1105999.000000,0.000000,443.233468,497.525416,0.000000,0.000000,270006.313990,729661.829959,-29402.690958,0.000000,0.000000,0.000000,9.306534,25.149866,-1.013447,0.000000,0.000000,34.456400,233.031009,0.000000,34.456400,15.265353,-0.000000,35.218583,21.322080,0.000000,498,443,0,475,408,0,520,482,0,408,507,0,278,45.091226,74.150016,0.063621,125.666216,   127.835433,    11.306433,   157.000000,    96.000000,   125.000000,279356.000000,2223,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,165,509,408,520,464,475,482,477,414,483,413,485,412,493,410,-99,-99,-99,-99
2,1.000000,408.000000,517.000000,0.000000,408.000000,517.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,517,408,0,517,408,0,517,408,0,408,517,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   134.000000,   134.000000,   134.000000,   134.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,3561.000000,1591424.000000,1439836.000000,0.000000,446.903678,404.334737,0.000000,0.000000,650978.992979,1939047.961808,152359.814939,0.000000,0.000000,0.000000,11.971199,35.658186,2.801825,0.000000,0.000000,47.629386,419.021044,0.000000,47.629386,20.470003,-0.000000,45.747426,26.023277,0.000000,404,447,0,373,409,0,431,498,0,409,407,0,304,58.393445,89.603735,-0.116150,119.930356,   178.875485,    13.374434,   157.000000,    93.000000,   118.000000,427072.000000,3561,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,908055.000000,3561,5,9,2,168,407,409,430,409,418,496,382,477,376,412,-99,-99,-99,-99,-99,-99,-99,-99
4,3773.000000,1695152.000000,1315359.000000,0.000000,449.284919,348.624171,0.000000,0.000000,1060561.075536,1322034.711900,-75336.984627,0.000000,0.000000,0.000000,18.055933,22.507492,-1.282603,0.000000,0.000000,40.563426,404.748716,0.000000,40.563426,20.118367,-0.000000,37.325622,32.862624,0.000000,349,449,0,312,413,0,378,481,0,413,344,0,272,68.320671,70.390994,0.261386,114.517625,    78.537666,     8.862147,   144.000000,    92.000000,   113.000000,432075.000000,3773,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,962115.000000,3773,4,9,2,171,367,413,378,478,313,477,323,424,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,8.000000,3324.000000,3752.000000,0.000000,415.500000,469.000000,0.000000,0.000000,28.000000,2.000000,-6.000000,0.000000,0.000000,0.000000,1.750000,0.125000,-0.375000,0.000000,0.000000,1.875000,0.078125,0.000000,1.875000,0.279508,-0.000000,0.603320,3.955165,0.000000,469,416,0,466,415,0,472,416,0,415,469,0,8,1.023836,6.143016,-0.216203,137.000000,     6.571428,     2.563479,   140.000000,   133.000000,   137.000000,  1096.000000,8,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,1.000000,431.000000,475.000000,0.000000,431.000000,475.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,475,431,0,475,431,0,475,431,0,431,475,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   133.000000,   133.000000,   133.000000,   133.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,1.000000,433.000000,474.000000,0.000000,433.000000,474.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,474,433,0,474,433,0,474,433,0,433,474,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   134.000000,   134.000000,   134.000000,   134.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,3751.000000,1818400.000000,2479066.000000,0.000000,484.777392,660.908024,0.000000,0.000000,1332779.268461,1179095.122900,-477259.799520,0.000000,0.000000,0.000000,22.868032,20.231096,-8.188897,0.000000,0.000000,43.099129,395.587342,0.000000,43.099129,19.889377,-0.000000,28.454293,42.695543,0.000000,661,485,0,626,452,0,703,518,0,452,660,0,286,86.701134,101.151324,-0.705579,118.946147,   171.560832,    13.098123,   177.000000,    93.000000,   117.000000,446167.000000,3751,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,956505.000000,3751,3,9,2,171,703,463,627,509,626,473,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,3357.000000,1675423.000000,2405567.000000,0.000000,499.083407,716.582365,0.000000,0.000000,891420.476020,1024960.645814,-141304.062257,0.000000,0.000000,0.000000,17.734304,20.391009,-2.811164,0.000000,0.000000,38.125313,353.717726,0.000000,38.125313,18.807384,-0.000000,35.963639,30.506322,0.000000,717,499,0,679,460,0,753,531,0,460,725,0,292,84.047739,87.599052,0.564683,118.154900,    87.195903,     9.337874,   148.000000,    97.000000,   117.000000,396646.000000,3357,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,174,725,460,753,511,688,526,679,522,708,464,713,464,716,466,-99,-99,-99,-99
