Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,471.000000,119415.000000,281332.000000,0.000000,253.535031,597.307855,0.000000,0.000000,19510.360934,32923.171974,-3.579617,0.000000,0.000000,0.000000,5.323992,8.984083,-0.000976,0.000000,0.000000,14.308076,47.831193,0.000000,14.308076,6.916009,-0.000000,15.275924,11.759512,0.000000,597,254,0,583,238,0,608,268,0,238,594,0,146,25.000000,30.000001,0.000266,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,120105.000000,471
1,62.000000,15844.000000,35798.000000,0.000000,255.548387,577.387096,0.000000,0.000000,244.709677,399.354838,39.838709,0.000000,0.000000,0.000000,0.997230,1.627433,0.162349,0.000000,0.000000,2.624664,1.596569,0.000000,2.624664,1.263554,-0.000000,5.119581,3.881015,0.000000,577,256,0,574,251,0,581,260,0,251,575,0,33,7.202829,9.260780,-0.237877,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15810.000000,62
2,397.000000,110884.000000,232054.000000,0.000000,279.304785,584.518891,0.000000,0.000000,40389.108312,18154.120906,10269.214105,0.000000,0.000000,0.000000,13.842363,6.221874,3.519518,0.000000,0.000000,20.064237,73.738435,0.000000,20.064237,8.587108,-0.000000,10.038792,17.791970,0.000000,585,279,0,565,265,0,604,293,0,265,568,0,209,30.066051,41.877713,0.372877,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,101235.000000,397
3,57.000000,15986.000000,32716.000000,0.000000,280.456140,573.964912,0.000000,0.000000,267.929824,272.140350,-68.087719,0.000000,0.000000,0.000000,1.221390,1.240584,-0.310386,0.000000,0.000000,2.461975,1.418899,0.000000,2.461975,1.191175,-0.000000,4.858476,3.754274,0.000000,574,280,0,570,276,0,578,284,0,276,574,0,32,11.142833,11.142833,0.769943,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14535.000000,57
4,122.000000,36670.000000,74335.000000,0.000000,300.573770,609.303278,0.000000,0.000000,1857.778688,1241.836065,-713.229508,0.000000,0.000000,0.000000,3.070300,2.052348,-1.178735,0.000000,0.000000,5.122649,4.911910,0.000000,5.122649,2.216283,-0.000000,4.880196,8.467144,0.000000,609,301,0,602,293,0,616,306,0,293,613,0,57,15.557872,16.754632,-0.581590,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31110.000000,122
5,181.000000,74914.000000,83252.000000,0.000000,413.889502,459.955801,0.000000,0.000000,7125.646408,20367.790055,11637.116022,0.000000,0.000000,0.000000,6.959630,19.893253,11.365989,0.000000,0.000000,26.852883,9.263961,0.000000,26.852883,3.043675,-0.000000,23.420049,2.689586,0.000000,460,414,0,449,395,0,471,431,0,395,450,0,119,25.449928,41.645338,-0.526755,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 46155.000000,181
6,159.000000,66367.000000,97312.000000,0.000000,417.402515,612.025157,0.000000,0.000000,1467.899371,11444.238993,2.389937,0.000000,0.000000,0.000000,1.704119,13.285893,0.002774,0.000000,0.000000,14.990012,22.640745,0.000000,14.990012,4.758229,-0.000000,14.202363,5.086454,0.000000,612,417,0,604,397,0,619,428,0,397,609,0,103,15.000000,31.000000,-0.000239,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 40545.000000,159
7,87.000000,36295.000000,55011.000000,0.000000,417.183908,632.310344,0.000000,0.000000,1198.620689,779.057471,-730.965517,0.000000,0.000000,0.000000,3.109253,2.020895,-1.896143,0.000000,0.000000,5.130148,2.688115,0.000000,5.130148,1.639547,-0.000000,3.201519,8.860816,0.000000,632,417,0,624,411,0,639,422,0,411,638,0,50,13.772307,18.780419,-0.645657,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 22185.000000,87
8,200.000000,88471.000000,96963.000000,0.000000,442.354999,484.814999,0.000000,0.000000,2704.154999,6757.794999,400.134999,0.000000,0.000000,0.000000,2.312020,5.777833,0.342110,0.000000,0.000000,8.089853,13.241426,0.000000,8.089853,3.638877,-0.000000,10.842554,6.789333,0.000000,485,442,0,475,433,0,493,455,0,433,475,0,82,18.085820,22.104891,-0.097456,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 51000.000000,200
9,180.000000,80147.000000,112519.000000,0.000000,445.261111,625.105555,0.000000,0.000000,2240.994444,9674.727777,3624.038888,0.000000,0.000000,0.000000,2.205011,9.519381,3.565848,0.000000,0.000000,11.724392,8.275069,0.000000,11.724392,2.876642,-0.000000,15.253450,3.999860,0.000000,625,445,0,617,433,0,632,458,0,433,617,0,79,16.193798,26.989664,-0.386376,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 45900.000000,180
