Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,3068.000000,936331.000000,1375394.000000,0.000000,305.192633,448.303129,0.000000,0.000000,1107052.089960,544707.153520,-66864.149282,0.000000,0.000000,0.000000,24.832908,12.218632,-1.499867,0.000000,0.000000,37.051540,301.174578,0.000000,37.051540,17.354382,-0.000000,26.243583,37.818711,0.000000,448,305,0,405,279,0,490,334,0,279,446,0,278,55.376878,85.582448,-0.116734,97.429921,    83.448299,     9.135004,   142.000000,    80.000000,    96.000000,298915.000000,3068,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,171,490,294,430,334,427,330,425,329,421,325,406,296,-99,-99,-99,-99,-99,-99
1,4785.000000,1567098.000000,2479224.000000,0.000000,327.502194,518.124137,0.000000,0.000000,2168798.262068,1695494.226958,-155227.303448,0.000000,0.000000,0.000000,26.897375,21.027471,-1.925124,0.000000,0.000000,47.924846,561.877692,0.000000,47.924846,23.703959,-0.000000,36.687835,42.520468,0.000000,518,328,0,476,286,0,574,371,0,286,514,0,366,88.710991,102.278554,-0.290266,99.656008,    99.550959,     9.977522,   137.000000,    77.000000,    99.000000,476854.000000,4785,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1220175.000000,4785,6,9,2,177,574,326,519,370,512,371,485,355,479,341,514,286,-99,-99,-99,-99,-99,-99
2,8581.000000,3277158.000000,2834995.000000,0.000000,381.908635,330.380491,0.000000,0.000000,7388522.694322,4879770.370118,140500.305558,0.000000,0.000000,0.000000,42.057205,27.776798,0.799760,0.000000,0.000000,69.834003,1167.574881,0.000000,69.834003,34.169794,-0.000000,47.368321,58.364242,0.000000,330,382,0,272,328,0,399,434,0,328,333,0,465,106.165068,127.197771,0.055771,99.005477,    98.679573,     9.933759,   135.000000,    77.000000,    98.000000,849566.000000,8581,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2188155.000000,8581,6,9,2,180,398,383,379,406,378,410,283,416,273,402,295,339,-99,-99,-99,-99,-99,-99
3,2459.000000,888418.000000,1455826.000000,0.000000,361.292395,592.039853,0.000000,0.000000,638138.094347,521832.767791,295628.345262,0.000000,0.000000,0.000000,19.226635,15.722441,8.907066,0.000000,0.000000,34.949076,222.953811,0.000000,34.949076,14.931637,-0.000000,21.135373,37.584134,0.000000,592,361,0,557,330,0,632,388,0,330,578,0,265,75.096718,97.107825,0.688283,95.980886,    70.330391,     8.386321,   126.000000,    80.000000,    94.000000,236017.000000,2459,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,627045.000000,2459,5,9,2,168,631,373,613,387,558,343,573,335,579,331,-99,-99,-99,-99,-99,-99,-99,-99
4,3832.000000,1421036.000000,1732246.000000,0.000000,370.834029,452.047494,0.000000,0.000000,1064535.355949,1470126.442588,-77662.793319,0.000000,0.000000,0.000000,17.752495,24.516248,-1.295126,0.000000,0.000000,42.268744,433.547256,0.000000,42.268744,20.821797,-0.000000,38.717852,32.565161,0.000000,452,371,0,411,331,0,486,407,0,331,465,0,304,76.271711,77.288667,0.182865,105.859081,   142.682825,    11.944991,   144.000000,    79.000000,   105.000000,405652.000000,3832,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,3,111,470,331,481,404,428,400,411,384,435,337,-99,-99,-99,-99,-99,-99,-99,-99
5,4349.000000,1707441.000000,2373335.000000,0.000000,392.605426,545.719705,0.000000,0.000000,1896949.321223,1395760.911933,141165.014945,0.000000,0.000000,0.000000,26.722054,19.661885,1.988571,0.000000,0.000000,46.383940,521.451557,0.000000,46.383940,22.835313,-0.000000,34.701382,41.400416,0.000000,546,393,0,496,348,0,588,430,0,348,552,0,349,84.773606,95.111851,0.256506,99.988962,   126.745508,    11.258130,   156.000000,    76.000000,    99.000000,434852.000000,4349,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,177,552,348,587,393,586,400,584,407,572,429,498,402,545,352,-99,-99,-99,-99
6,650.000000,245147.000000,320382.000000,0.000000,377.149230,492.895384,0.000000,0.000000,25412.886153,48874.524615,1441.147692,0.000000,0.000000,0.000000,4.513389,8.680233,0.255951,0.000000,0.000000,13.193623,39.111766,0.000000,13.193623,6.253940,-0.000000,17.158687,12.340234,0.000000,493,377,0,483,360,0,508,395,0,360,484,0,119,25.046767,35.065474,-0.061119,94.933846,    50.591918,     7.112799,   120.000000,    82.000000,    94.000000, 61707.000000,650,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,116,496,393,491,394,487,393,486,391,485,366,484,360,486,360,490,363,-99,-99
7,5757.000000,2470232.000000,3567628.000000,0.000000,429.083203,619.702622,0.000000,0.000000,2312286.890393,3500941.145734,-239926.556366,0.000000,0.000000,0.000000,22.410252,33.930467,-2.325323,0.000000,0.000000,56.340719,754.983195,0.000000,56.340719,27.476957,-0.000000,48.758511,38.966054,0.000000,620,429,0,573,373,0,658,478,0,373,637,0,400,86.588519,106.962288,0.191843,97.890741,    52.161618,     7.222300,   127.000000,    78.000000,    98.000000,563557.000000,5757,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1468035.000000,5757,7,9,2,177,636,375,650,385,656,392,641,478,621,478,616,478,573,444,-99,-99,-99,-99
8,3743.000000,1579511.000000,1610346.000000,0.000000,421.990649,430.228693,0.000000,0.000000,2143388.238311,784094.672722,502428.004274,0.000000,0.000000,0.000000,36.881429,13.491971,8.645313,0.000000,0.000000,50.373400,422.861731,0.000000,50.373400,20.563602,-0.000000,25.267705,48.818608,0.000000,430,422,0,382,386,0,476,456,0,386,404,0,330,73.701960,98.971204,0.318292,99.648410,   108.837335,    10.432513,   131.000000,    78.000000,    98.000000,372984.000000,3743,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,954465.000000,3743,7,9,3,111,476,413,473,434,457,449,452,456,382,411,398,392,401,389,-99,-99,-99,-99
9,6775.000000,3121329.000000,1709005.000000,0.000000,460.712767,252.251660,0.000000,0.000000,3145185.918818,4992625.045607,1042711.731365,0.000000,0.000000,0.000000,24.533937,38.944836,8.133644,0.000000,0.000000,63.478774,889.314014,0.000000,63.478774,29.821368,-0.000000,56.143407,39.297019,0.000000,252,461,0,205,405,0,301,517,0,405,267,0,419,105.275258,122.821135,-0.422918,97.823173,    81.597307,     9.033122,   139.000000,    77.000000,    97.000000,662752.000000,6775,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,174,267,405,300,487,288,498,262,517,206,424,-99,-99,-99,-99,-99,-99,-99,-99
