Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,23.000000,9928.000000,6426.000000,0.000000,431.652173,279.391304,0.000000,0.000000,51.478260,35.217391,4.130434,0.000000,0.000000,0.000000,0.787021,0.538418,0.063147,0.000000,0.000000,1.325440,0.419759,0.000000,1.325440,0.647888,-0.000000,2.435770,3.015695,0.000000,279,432,0,277,430,0,282,434,0,430,277,0,18,4.113071,5.141339,0.235022,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  5865.000000,23
1,413.000000,196755.000000,38879.000000,0.000000,476.404358,94.138014,0.000000,0.000000,5739.133171,57225.472154,7429.951573,0.000000,0.000000,0.000000,1.866005,18.606127,2.415753,0.000000,0.000000,20.472132,28.883269,0.000000,20.472132,5.374315,-0.000000,22.615653,6.414668,0.000000,94,476,0,84,455,0,101,499,0,455,84,0,132,17.169162,44.437831,-0.140491,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,105315.000000,413
2,58.000000,26571.000000,13609.000000,0.000000,458.120689,234.637931,0.000000,0.000000,421.396551,182.155172,-53.465517,0.000000,0.000000,0.000000,1.876954,0.811342,-0.238142,0.000000,0.000000,2.688296,1.466140,0.000000,2.688296,1.210842,-0.000000,3.418433,5.442400,0.000000,235,458,0,229,455,0,239,461,0,455,234,0,31,6.134985,10.224976,-0.210160,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14790.000000,58
3,92.000000,43787.000000,39781.000000,0.000000,475.945652,432.402173,0.000000,0.000000,2316.119565,404.728260,-644.989130,0.000000,0.000000,0.000000,5.576699,0.974495,-1.552989,0.000000,0.000000,6.551194,3.022689,0.000000,6.551194,1.738588,-0.000000,2.951424,10.273386,0.000000,432,476,0,424,471,0,442,480,0,471,442,0,56,9.411602,18.823205,-0.296836,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23460.000000,92
4,363.000000,178329.000000,115613.000000,0.000000,491.264462,318.493112,0.000000,0.000000,6634.732782,30188.611570,-238.338842,0.000000,0.000000,0.000000,2.562209,11.658275,-0.092041,0.000000,0.000000,14.220484,29.862469,0.000000,14.220484,5.464656,-0.000000,16.922850,7.931720,0.000000,318,491,0,310,477,0,331,514,0,477,312,0,130,21.001074,37.001893,0.010117,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 92565.000000,363
5,117.000000,57617.000000,71009.000000,0.000000,492.452991,606.914529,0.000000,0.000000,705.145299,2384.991452,570.529914,0.000000,0.000000,0.000000,1.232246,4.167788,0.997004,0.000000,0.000000,5.400034,4.141722,0.000000,5.400034,2.035122,-0.000000,9.201142,4.185035,0.000000,607,492,0,603,483,0,613,500,0,483,604,0,56,10.462147,17.785651,-0.298336,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 29835.000000,117
6,71.000000,34844.000000,28357.000000,0.000000,490.760563,399.394366,0.000000,0.000000,1322.957746,586.929577,757.704225,0.000000,0.000000,0.000000,4.499885,1.996372,2.577242,0.000000,0.000000,6.496258,2.341269,0.000000,6.496258,1.530120,-0.000000,2.447489,9.778432,0.000000,399,491,0,391,485,0,407,496,0,485,393,0,53,12.977642,18.876570,0.559328,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18105.000000,71
7,62.000000,30998.000000,16453.000000,0.000000,499.967741,265.370967,0.000000,0.000000,238.467741,961.935483,361.741935,0.000000,0.000000,0.000000,0.971793,3.920038,1.474155,0.000000,0.000000,4.891832,1.636334,0.000000,4.891832,1.279192,-0.000000,8.414693,2.375814,0.000000,265,500,0,262,493,0,269,507,0,493,263,0,42,7.576762,15.153525,-0.392704,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15810.000000,62
8,196.000000,99359.000000,1630.000000,0.000000,506.933673,8.316326,0.000000,0.000000,6342.387755,6320.137755,4968.112244,0.000000,0.000000,0.000000,5.570720,5.551177,4.363650,0.000000,0.000000,11.121897,11.882611,0.000000,11.121897,3.447116,-0.000000,4.955050,14.266112,0.000000,8,507,0,0,497,0,23,519,0,497,3,0,87,31.077921,32.490554,0.784278,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 49980.000000,196
9,106.000000,53397.000000,20679.000000,0.000000,503.745283,195.084905,0.000000,0.000000,6314.235849,986.122641,2255.292452,0.000000,0.000000,0.000000,12.586731,1.965726,4.495676,0.000000,0.000000,14.552458,4.530966,0.000000,14.552458,2.128606,-0.000000,2.348201,15.702589,0.000000,195,504,0,183,498,0,211,509,0,498,183,0,79,11.715286,29.820730,0.351247,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 27030.000000,106
