Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,2904.000000,1304721.000000,1004702.000000,0.000000,449.284090,345.971763,0.000000,0.000000,606611.684572,1174038.624999,398005.295454,0.000000,0.000000,0.000000,14.641378,28.336980,9.606386,0.000000,0.000000,42.978358,322.609790,0.000000,42.978358,17.961341,-0.000000,42.472578,22.918185,0.000000,346,449,0,315,405,0,377,496,0,405,325,0,311,69.745351,102.368177,-0.475752,90.378099,    66.587959,     8.160144,   123.000000,    72.000000,    90.000000,262458.000000,2904,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,338,375,496,356,481,355,481,323,409,325,405,-99,-99,-99,-99,-99,-99,-99,-99
1,4195.000000,1875085.000000,1078674.000000,0.000000,446.980929,257.133253,0.000000,0.000000,2416066.511084,1074702.474374,470620.660309,0.000000,0.000000,0.000000,35.710801,15.884697,6.956034,0.000000,0.000000,51.595499,518.868887,0.000000,51.595499,22.778693,-0.000000,29.012608,48.282231,0.000000,257,447,0,203,418,0,311,488,0,418,230,0,362,73.408665,113.259083,0.305934,90.951609,    94.497180,     9.720966,   122.000000,    71.000000,    90.000000,381542.000000,4195,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1069725.000000,4195,3,9,2,171,311,440,278,487,204,431,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,5186.000000,2524684.000000,1079019.000000,0.000000,486.826841,208.063825,0.000000,0.000000,2988703.873697,2291538.503663,949544.315464,0.000000,0.000000,0.000000,33.294528,25.528020,10.578040,0.000000,0.000000,58.822549,738.048473,0.000000,58.822549,27.167047,-0.000000,34.304307,51.366813,0.000000,208,487,0,158,434,0,269,525,0,434,197,0,431,110.983139,135.375038,0.609482,92.556498,   144.085621,    12.003567,   141.000000,    71.000000,    89.000000,479998.000000,5186,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1322430.000000,5186,3,9,2,171,269,507,158,472,196,435,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,12092.000000,6033751.000000,6585264.000000,0.000000,498.987016,544.596758,0.000000,0.000000,20730251.792911,9269466.961540,7301622.691031,0.000000,0.000000,0.000000,74.691937,33.398265,26.308042,0.000000,0.000000,108.090202,1802.468040,0.000000,108.090202,42.455483,-0.000000,43.354798,89.340875,0.000000,545,499,0,459,440,0,631,551,0,440,491,0,599,123.433110,191.265720,0.452692,91.549867,   114.018437,    10.677941,   129.000000,    69.000000,    90.000000,1107021.000000,12092,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,3083460.000000,12092,4,9,1,360,631,533,460,497,465,458,491,440,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,1344.000000,634505.000000,412617.000000,0.000000,472.101934,307.006696,0.000000,0.000000,148628.939732,177163.034970,-51126.917410,0.000000,0.000000,0.000000,10.020845,11.944668,-3.447073,0.000000,0.000000,21.965513,107.813352,0.000000,21.965513,10.383320,-0.000000,24.919921,17.769534,0.000000,307,472,0,283,445,0,325,491,0,445,312,0,180,52.731564,57.753618,0.649333,98.235119,   130.567164,    11.426599,   141.000000,    76.000000,    97.000000,132028.000000,1344,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,156,313,445,320,452,321,453,321,456,323,456,320,489,286,491,284,490,-99,-99
5,3784.000000,2059969.000000,1847719.000000,0.000000,544.389270,488.297832,0.000000,0.000000,1709279.342230,1107643.604386,708041.292018,0.000000,0.000000,0.000000,28.987551,18.784452,12.007624,0.000000,0.000000,47.772004,400.332256,0.000000,47.772004,20.008304,-0.000000,25.768063,47.564088,0.000000,488,544,0,450,503,0,534,579,0,503,458,0,325,91.129755,100.722360,0.584522,96.675475,    95.050881,     9.749404,   127.000000,    73.000000,    97.000000,365820.000000,3784,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,964920.000000,3784,6,9,2,174,533,554,529,561,522,575,450,552,451,536,456,505,-99,-99,-99,-99,-99,-99
6,2858.000000,1545853.000000,679471.000000,0.000000,540.886284,237.743526,0.000000,0.000000,1338379.005248,364572.042337,-74163.353743,0.000000,0.000000,0.000000,32.998648,8.988772,-1.828548,0.000000,0.000000,41.987420,293.273757,0.000000,41.987420,17.125237,-0.000000,22.045422,42.657600,0.000000,238,541,0,195,515,0,275,564,0,515,270,0,263,49.140275,80.229021,-0.075577,96.939118,   180.681626,    13.441786,   140.000000,    75.000000,    94.000000,277052.000000,2858,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,165,273,519,273,539,274,553,205,558,202,552,203,544,200,538,195,528,-99,-99
7,5068.000000,2998060.000000,997660.000000,0.000000,591.566692,196.854775,0.000000,0.000000,1303497.114443,4725004.457773,1219175.086029,0.000000,0.000000,0.000000,14.973658,54.277530,14.005026,0.000000,0.000000,69.251189,616.592453,0.000000,69.251189,24.831279,-0.000000,62.654781,26.478383,0.000000,197,592,0,157,529,0,230,650,0,529,185,0,396,76.643607,127.039404,-0.309584,92.272888,   126.261613,    11.236619,   137.000000,    73.000000,    90.000000,467639.000000,5068,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1292340.000000,5068,4,9,2,177,211,650,161,537,176,534,186,529,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,5785.000000,3352802.000000,3724388.000000,0.000000,579.568193,643.800864,0.000000,0.000000,4028618.595677,1947635.347622,543929.559031,0.000000,0.000000,0.000000,38.792848,18.754399,5.237670,0.000000,0.000000,57.547247,700.103384,0.000000,57.547247,26.459466,-0.000000,35.140219,53.228396,0.000000,644,580,0,587,537,0,702,616,0,537,635,0,390,81.347975,118.417938,0.240845,91.408815,    66.419804,     8.149834,   131.000000,    72.000000,    91.000000,528800.000000,5785,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,354,692,569,696,572,700,577,702,583,688,598,597,579,587,561,588,556,-99,-99
9,3809.000000,2269796.000000,579099.000000,0.000000,595.903386,152.034392,0.000000,0.000000,603864.494617,3111542.446310,485629.656340,0.000000,0.000000,0.000000,10.151374,52.307155,8.163766,0.000000,0.000000,62.458529,464.342456,0.000000,62.458529,21.548606,-0.000000,56.493735,22.613702,0.000000,152,596,0,124,540,0,186,644,0,540,138,0,338,63.073503,105.800715,-0.184761,93.394329,   152.544043,    12.350872,   146.000000,    72.000000,    90.000000,355739.000000,3809,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,971295.000000,3809,8,9,1,327,186,644,166,642,161,642,160,642,157,642,155,642,143,642,138,540,-99,-99
