Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,254.000000,78173.000000,138848.000000,0.000000,307.767716,546.645669,0.000000,0.000000,4254.110236,14607.295275,-1764.905511,0.000000,0.000000,0.000000,2.644623,9.080815,-1.097176,0.000000,0.000000,11.725438,22.811538,0.000000,11.725438,4.776142,-0.000000,13.849640,7.141306,0.000000,547,308,0,538,297,0,556,329,0,297,554,0,113,18.245683,32.436771,0.164290,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 64770.000000,254
1,264.000000,81866.000000,136859.000000,0.000000,310.098484,518.405303,0.000000,0.000000,13699.632575,4341.439393,-205.537878,0.000000,0.000000,0.000000,8.089164,2.563471,-0.121363,0.000000,0.000000,10.652636,20.721615,0.000000,10.652636,4.552100,-0.000000,7.465593,13.270865,0.000000,518,310,0,503,301,0,531,318,0,301,531,0,116,17.004095,28.006746,-0.021949,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 67320.000000,264
2,7991.000000,2978797.000000,4765938.000000,0.000000,372.768990,596.413214,0.000000,0.000000,8524465.564508,6476149.555747,727250.794643,0.000000,0.000000,0.000000,53.357931,40.536728,4.552144,0.000000,0.000000,93.894660,2142.233965,0.000000,93.894660,46.284273,-0.000000,50.902686,60.278879,0.000000,596,373,0,518,307,0,671,431,0,307,578,0,2106,130.153839,160.593044,0.308734,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2037705.000000,7991
3,342.000000,110564.000000,151523.000000,0.000000,323.286549,443.049707,0.000000,0.000000,46860.154970,24551.918128,-26548.871345,0.000000,0.000000,0.000000,19.593058,10.265590,-11.100552,0.000000,0.000000,29.858649,77.912065,0.000000,29.858649,8.826781,-0.000000,7.325139,22.381595,0.000000,443,323,0,425,310,0,465,340,0,310,460,0,185,36.020109,48.026812,-0.586526,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 87210.000000,342
4,59.000000,19767.000000,26853.000000,0.000000,335.033898,455.135593,0.000000,0.000000,218.915254,609.932203,-204.271186,0.000000,0.000000,0.000000,0.953103,2.655495,-0.889346,0.000000,0.000000,3.608598,1.740024,0.000000,3.608598,1.319099,-0.000000,6.722737,2.921566,0.000000,455,335,0,451,328,0,459,340,0,328,457,0,38,8.699142,13.048714,0.403656,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15045.000000,59
5,573.000000,208220.000000,239639.000000,0.000000,363.385689,418.218150,0.000000,0.000000,55421.731239,52667.762652,-23208.211169,0.000000,0.000000,0.000000,11.645029,11.066374,-4.876431,0.000000,0.000000,22.711404,105.088671,0.000000,22.711404,10.251276,-0.000000,12.542767,19.871031,0.000000,418,363,0,392,340,0,438,383,0,340,423,0,299,59.086573,63.208892,-0.755767,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,146115.000000,573
6,53.000000,19298.000000,24462.000000,0.000000,364.113207,461.547169,0.000000,0.000000,231.132075,251.320754,57.716981,0.000000,0.000000,0.000000,1.160982,1.262390,0.289913,0.000000,0.000000,2.423373,1.381563,0.000000,2.423373,1.175399,-0.000000,4.702756,3.670393,0.000000,462,364,0,457,361,0,465,369,0,361,458,0,30,10.449356,10.449356,-0.698826,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 13515.000000,53
7,43.000000,15901.000000,20830.000000,0.000000,369.790697,484.418604,0.000000,0.000000,158.465116,187.116279,36.767441,0.000000,0.000000,0.000000,1.051903,1.242091,0.244064,0.000000,0.000000,2.293994,1.246992,0.000000,2.293994,1.116688,-0.000000,4.297138,3.405811,0.000000,484,370,0,481,366,0,488,374,0,366,482,0,32,8.479264,9.690588,-0.599632,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 10965.000000,43
8,477.000000,189900.000000,218999.000000,0.000000,398.113207,459.117400,0.000000,0.000000,10125.425576,58349.886792,12978.660377,0.000000,0.000000,0.000000,2.716786,15.656049,3.482346,0.000000,0.000000,18.372835,30.407397,0.000000,18.372835,5.514290,-0.000000,22.023173,7.345120,0.000000,459,398,0,450,374,0,470,418,0,374,453,0,142,20.625435,45.375958,-0.246892,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,121635.000000,477
9,38.000000,14351.000000,16370.000000,0.000000,377.657894,430.789473,0.000000,0.000000,278.315789,80.552631,-37.736842,0.000000,0.000000,0.000000,2.178510,0.630523,-0.295384,0.000000,0.000000,2.809034,1.286351,0.000000,2.809034,1.134174,-0.000000,2.626584,5.171215,0.000000,431,378,0,426,375,0,436,380,0,375,430,0,33,5.084238,10.168476,-0.182288,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  9690.000000,38
