Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,124.000000,425.000000,33062.000000,0.000000,3.427419,266.629032,0.000000,0.000000,2846.935483,848.346774,-657.338709,0.000000,0.000000,0.000000,4.604142,1.371969,-1.063066,0.000000,0.000000,5.976111,5.186633,0.000000,5.976111,2.277418,-0.000000,4.426154,9.566747,0.000000,267,3,0,260,0,0,277,9,0,0,260,0,36,9.394765,17.745668,-0.290920,118.427419,    18.864607,     4.343340,   132.000000,   106.000000,   118.000000, 14685.000000,124,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,4559.000000,218580.000000,1194539.000000,0.000000,47.944724,262.017767,0.000000,0.000000,3515773.560868,1838884.070629,-1680737.522702,0.000000,0.000000,0.000000,46.508047,24.325487,-22.233462,0.000000,0.000000,70.833535,637.004083,0.000000,70.833535,25.238939,-0.000000,25.549246,61.004084,0.000000,262,48,0,205,0,0,317,92,0,0,282,0,512,108.183127,131.701198,-0.554032,126.531256,   103.643110,    10.180526,   166.000000,   100.000000,   125.000000,576856.000000,4559,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,162,295,0,303,0,314,23,316,37,317,41,249,92,205,68,-99,-99,-99,-99
2,134.000000,506.000000,42595.000000,0.000000,3.776119,317.873134,0.000000,0.000000,3446.843283,1045.283582,793.194029,0.000000,0.000000,0.000000,5.026686,1.524384,1.156750,0.000000,0.000000,6.551070,6.324529,0.000000,6.551070,2.514861,-0.000000,4.682622,10.006745,0.000000,318,4,0,308,0,0,326,11,0,0,308,0,44,11.485808,18.794959,0.291883,128.880597,   114.557064,    10.703133,   146.000000,   103.000000,   129.000000, 17270.000000,134,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2,9,1,21,308,0,324,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,1985.000000,65764.000000,797491.000000,0.000000,33.130478,401.758690,0.000000,0.000000,222829.412594,506413.206045,54022.499244,0.000000,0.000000,0.000000,8.932201,20.299764,2.165512,0.000000,0.000000,29.231966,176.632142,0.000000,29.231966,13.290302,-0.000000,31.810087,20.425121,0.000000,402,33,0,383,0,0,425,60,0,0,385,0,202,42.705411,61.007730,-0.182009,128.820654,   102.433544,    10.120945,   153.000000,   106.000000,   130.000000,255709.000000,1985,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,159,420,55,417,56,414,59,405,59,387,60,385,1,-99,-99,-99,-99,-99,-99
4,162.000000,508.000000,67236.000000,0.000000,3.135802,415.037037,0.000000,0.000000,5933.777777,867.012345,227.185185,0.000000,0.000000,0.000000,6.719102,0.981759,0.257252,0.000000,0.000000,7.700862,6.530365,0.000000,7.700862,2.555458,-0.000000,4.511352,11.882085,0.000000,415,3,0,402,0,0,427,8,0,0,402,0,42,8.008005,25.025017,0.044718,128.098765,    31.344222,     5.598591,   141.000000,   113.000000,   127.000000, 20752.000000,162,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2,9,1,35,426,1,403,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,33.000000,54.000000,14347.000000,0.000000,1.636363,434.757575,0.000000,0.000000,226.060606,73.636363,-72.909090,0.000000,0.000000,0.000000,2.135696,0.695676,-0.688805,0.000000,0.000000,2.831373,1.011300,0.000000,2.831373,1.005634,-0.000000,2.203078,5.284303,0.000000,435,2,0,431,0,0,441,5,0,0,432,0,21,5.387580,10.775161,-0.381625,127.272727,    54.892045,     7.408916,   141.000000,   114.000000,   127.000000,  4200.000000,33,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,2755.000000,86151.000000,1281771.000000,0.000000,31.270780,465.252631,0.000000,0.000000,1024556.168420,556641.997822,365020.536842,0.000000,0.000000,0.000000,26.528150,14.412760,9.451233,0.000000,0.000000,40.940910,293.018056,0.000000,40.940910,17.117770,-0.000000,22.259492,41.217134,0.000000,465,31,0,424,0,0,502,62,0,0,464,0,292,70.664359,88.900323,0.500407,125.350635,   117.993931,    10.862501,   160.000000,   102.000000,   125.000000,345341.000000,2755,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,165,502,34,502,41,496,48,498,61,424,16,-99,-99,-99,-99,-99,-99,-99,-99
7,357.000000,2620.000000,175799.000000,0.000000,7.338935,492.434173,0.000000,0.000000,18151.703081,7369.988795,1118.464985,0.000000,0.000000,0.000000,7.167368,2.910108,0.441636,0.000000,0.000000,10.077477,20.662779,0.000000,10.077477,4.545633,-0.000000,8.735017,13.860129,0.000000,492,7,0,476,0,0,504,19,0,0,482,0,82,19.099828,28.147115,0.102286,122.243697,   125.673590,    11.210423,   150.000000,   104.000000,   120.000000, 43641.000000,357,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,54,502,14,482,11,481,10,476,6,476,5,-99,-99,-99,-99,-99,-99,-99,-99
8,3395.000000,69837.000000,1865849.000000,0.000000,20.570544,549.587334,0.000000,0.000000,2448120.855375,435063.854491,-99265.666568,0.000000,0.000000,0.000000,47.978479,8.526418,-1.945416,0.000000,0.000000,56.504897,405.299937,0.000000,56.504897,20.132062,-0.000000,21.884387,52.258626,0.000000,550,21,0,503,0,0,604,44,0,0,508,0,268,44.053203,101.122126,-0.049151,126.808541,    70.109473,     8.373139,   160.000000,   106.000000,   126.000000,430515.000000,3395,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,153,596,0,596,11,596,16,604,29,506,41,506,31,504,23,508,2,-99,-99
9,2285.000000,75047.000000,1506043.000000,0.000000,32.843326,659.099781,0.000000,0.000000,587741.249890,583025.910722,290563.721663,0.000000,0.000000,0.000000,19.528605,19.371931,9.654425,0.000000,0.000000,38.900536,285.098863,0.000000,38.900536,16.884870,-0.000000,21.602085,37.236231,0.000000,659,33,0,625,0,0,698,71,0,0,643,0,281,100.004272,102.821294,0.781341,125.080087,    74.096472,     8.607930,   151.000000,   102.000000,   125.000000,285808.000000,2285,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,165,698,64,693,69,627,44,631,21,644,1,-99,-99,-99,-99,-99,-99,-99,-99
10,5822.000000,266814.000000,4370872.000000,0.000000,45.828581,750.750944,0.000000,0.000000,2342130.869803,3358794.924080,558922.442802,0.000000,0.000000,0.000000,22.362218,32.069133,5.336484,0.000000,0.000000,54.431351,688.658896,0.000000,54.431351,26.242311,-0.000000,49.540933,37.760700,0.000000,751,46,0,709,0,0,793,89,0,0,723,0,304,91.847645,97.314766,-0.416382,125.555994,    76.355823,     8.738181,   150.000000,   101.000000,   125.000000,730987.000000,5822,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,174,751,0,766,0,788,83,777,85,774,87,724,82,723,0,-99,-99,-99,-99
11,3714.000000,155955.000000,3047164.000000,0.000000,41.991114,820.453419,0.000000,0.000000,802992.441572,1677012.706784,-112498.037156,0.000000,0.000000,0.000000,13.961184,29.157289,-1.955940,0.000000,0.000000,43.118474,403.244590,0.000000,43.118474,20.080950,-0.000000,42.139502,28.777455,0.000000,820,42,0,789,0,0,844,81,0,0,821,0,169,55.439342,81.647031,0.125978,127.552773,    91.002466,     9.539521,   159.000000,   104.000000,   128.000000,473731.000000,3714,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,3,117,842,0,844,79,816,79,811,77,797,74,-99,-99,-99,-99,-99,-99,-99,-99
12,1.000000,23.000000,499.000000,0.000000,23.000000,499.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,499,23,0,499,23,0,499,23,0,23,499,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   129.000000,   129.000000,   129.000000,   129.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13,2740.000000,204319.000000,1612635.000000,0.000000,74.568978,588.552919,0.000000,0.000000,376243.326642,1174217.963138,-27831.001824,0.000000,0.000000,0.000000,9.812990,30.625367,-0.725874,0.000000,0.000000,40.438357,299.999549,0.000000,40.438357,17.320495,-0.000000,40.338911,22.795270,0.000000,589,75,0,564,33,0,611,116,0,33,609,0,333,47.028507,83.050343,0.034820,122.348175,    61.811551,     7.862032,   164.000000,   101.000000,   122.000000,335234.000000,2740,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,3,108,610,33,604,116,566,99,570,45,580,41,585,40,-99,-99,-99,-99,-99,-99
14,4244.000000,351595.000000,2731697.000000,0.000000,82.845193,643.660933,0.000000,0.000000,1651679.082704,1490671.291941,-29422.766965,0.000000,0.000000,0.000000,24.037640,21.694420,-0.428202,0.000000,0.000000,45.732060,521.299322,0.000000,45.732060,22.831980,-0.000000,36.581718,38.634888,0.000000,644,83,0,610,40,0,692,123,0,40,613,0,339,83.274800,84.290346,-0.175200,128.212299,   101.604458,    10.079903,   176.000000,   102.000000,   128.000000,544133.000000,4244,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,177,691,75,636,123,630,120,620,117,612,42,-99,-99,-99,-99,-99,-99,-99,-99
15,3151.000000,242903.000000,1690766.000000,0.000000,77.087591,536.580768,0.000000,0.000000,720557.194541,1043329.824817,-43068.291970,0.000000,0.000000,0.000000,15.598060,22.585190,-0.932308,0.000000,0.000000,38.183250,351.415952,0.000000,38.183250,18.746091,-0.000000,35.664283,29.442579,0.000000,537,77,0,503,45,0,566,121,0,45,515,0,295,63.539398,76.650703,0.130393,126.401459,    83.705762,     9.149085,   156.000000,   100.000000,   126.000000,398291.000000,3151,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,803505.000000,3151,5,9,2,177,565,48,535,121,504,65,507,60,511,46,-99,-99,-99,-99,-99,-99,-99,-99
16,3039.000000,234028.000000,1050688.000000,0.000000,77.008226,345.734781,0.000000,0.000000,1148492.233629,583106.794340,173858.630470,0.000000,0.000000,0.000000,26.090783,13.246683,3.949620,0.000000,0.000000,39.337467,330.016865,0.000000,39.337467,18.166366,-0.000000,25.956110,38.874959,0.000000,346,77,0,307,46,0,382,107,0,46,321,0,322,63.393929,77.943356,0.275691,128.257650,   101.280862,    10.063839,   159.000000,   105.000000,   128.000000,389775.000000,3039,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,174,382,61,378,88,377,91,375,94,368,106,312,78,309,52,-99,-99,-99,-99
