Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,8301.000000,3996721.000000,3284677.000000,0.000000,481.474641,395.696542,0.000000,0.000000,5675156.590770,11582057.912055,4738779.622213,0.000000,0.000000,0.000000,33.765301,68.909407,28.194168,0.000000,0.000000,102.674708,1531.835754,0.000000,102.674708,39.138673,-0.000000,79.073895,36.599789,0.000000,396,481,0,340,404,0,456,564,0,404,397,0,710,132.671914,182.995743,-0.506727,143.769786,   127.756031,    11.302921,   190.000000,   118.000000,   143.000000,1193433.000000,8301,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2116755.000000,8301,6,9,2,177,397,404,456,526,441,562,341,438,346,433,351,428,-99,-99,-99,-99,-99,-99
1,127.000000,58230.000000,69665.000000,0.000000,458.503937,548.543307,0.000000,0.000000,9667.511811,2751.748031,4911.228346,0.000000,0.000000,0.000000,15.144086,4.310593,7.693403,0.000000,0.000000,19.454679,6.091541,0.000000,19.454679,2.468104,-0.000000,2.403468,18.635204,0.000000,549,459,0,531,450,0,563,467,0,450,531,0,95,19.152589,36.051933,0.478669,157.141732,    15.821022,     3.977564,   167.000000,   147.000000,   157.000000, 19957.000000,127,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,1,28,562,466,562,467,534,450,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,23.000000,10907.000000,13112.000000,0.000000,474.217391,570.086956,0.000000,0.000000,39.826086,83.913043,34.565217,0.000000,0.000000,0.000000,0.608878,1.282898,0.528447,0.000000,0.000000,1.891777,0.501872,0.000000,1.891777,0.708429,-0.000000,4.129324,1.860127,0.000000,570,474,0,567,471,0,572,477,0,471,567,0,19,5.702290,6.842749,-0.501545,159.739130,     8.201581,     2.863840,   168.000000,   155.000000,   159.000000,  3674.000000,23,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,1.000000,488.000000,586.000000,0.000000,488.000000,586.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,586,488,0,586,488,0,586,488,0,488,586,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   160.000000,   160.000000,   160.000000,   160.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,2.000000,979.000000,1177.000000,0.000000,489.500000,588.500000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.198425,0.198425,0.198425,0.000000,0.000000,0.396850,0.000000,0.000000,0.396850,0.000000,-0.000000,-nan,-nan,0.000000,589,490,0,588,489,0,589,490,0,489,588,0,2,1.414213,1.414213,0.785398,158.000000,     0.000000,     0.000000,   158.000000,   158.000000,   158.000000,   316.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,9.000000,4469.000000,4179.000000,0.000000,496.555555,464.333333,0.000000,0.000000,7.999999,22.222222,11.333333,0.000000,0.000000,0.000000,0.427333,1.187036,0.605388,0.000000,0.000000,1.614369,0.140764,0.000000,1.614369,0.375186,-0.000000,3.482861,0.858625,0.000000,464,497,0,463,494,0,466,499,0,494,463,0,9,3.428301,5.713835,-0.505218,147.222222,     7.444444,     2.728450,   153.000000,   145.000000,   146.000000,  1325.000000,9,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,58.000000,28844.000000,27846.000000,0.000000,497.310344,480.103448,0.000000,0.000000,749.379310,244.413793,-316.862068,0.000000,0.000000,0.000000,3.337831,1.088650,-1.411344,0.000000,0.000000,4.426481,1.641838,0.000000,4.426481,1.281342,-0.000000,2.470524,7.746707,0.000000,480,497,0,474,494,0,488,502,0,494,484,0,40,8.880181,15.540317,-0.448998,144.293103,    91.438898,     9.562368,   170.000000,   131.000000,   141.000000,  8369.000000,58,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,8852.000000,4909131.000000,5659762.000000,0.000000,554.578739,639.376638,0.000000,0.000000,8916264.288745,4738330.118728,1024144.483279,0.000000,0.000000,0.000000,48.692386,25.876375,5.592929,0.000000,0.000000,74.568761,1228.701600,0.000000,74.568761,35.052840,-0.000000,44.772405,63.850921,0.000000,639,555,0,581,504,0,702,601,0,504,602,0,441,99.575028,124.212148,0.227914,144.144600,    54.024733,     7.350151,   173.000000,   118.000000,   144.000000,1275968.000000,8852,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2257260.000000,8852,7,9,2,180,701,528,695,588,590,583,583,554,584,524,595,511,601,505,-99,-99,-99,-99
8,13.000000,6737.000000,5987.000000,0.000000,518.230769,460.538461,0.000000,0.000000,3.230769,46.307692,-1.615384,0.000000,0.000000,0.000000,0.105693,1.514939,-0.052846,0.000000,0.000000,1.620633,0.157326,0.000000,1.620633,0.396643,-0.000000,3.876349,1.013588,0.000000,461,518,0,460,515,0,461,521,0,515,461,0,13,1.000700,6.004205,0.037429,149.538461,    26.602564,     5.157767,   157.000000,   141.000000,   148.000000,  1944.000000,13,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,6659.000000,3923376.000000,2301653.000000,0.000000,589.183961,345.645442,0.000000,0.000000,4909269.889171,4727591.647092,2850770.333232,0.000000,0.000000,0.000000,39.186657,37.736469,22.755351,0.000000,0.000000,76.923127,960.960108,0.000000,76.923127,30.999356,-0.000000,33.553283,66.272860,0.000000,346,589,0,293,529,0,398,639,0,529,343,0,431,146.182810,153.143896,0.769471,142.991289,    94.540026,     9.723169,   176.000000,   119.000000,   143.000000,952179.000000,6659,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,171,389,639,293,572,300,564,302,540,335,535,342,530,-99,-99,-99,-99,-99,-99
10,14125.000000,9054235.000000,4014408.000000,0.000000,641.007787,284.205876,0.000000,0.000000,12064069.312276,31607649.143345,10146319.353621,0.000000,0.000000,0.000000,35.332623,92.570850,29.716016,0.000000,0.000000,127.903473,2387.729363,0.000000,127.903473,48.864397,-0.000000,99.617046,46.267565,0.000000,284,641,0,230,539,0,347,726,0,539,232,0,643,127.140566,203.207571,-0.402099,141.635398,    88.060910,     9.384077,   195.000000,   116.000000,   141.000000,2000600.000000,14125,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,3601875.000000,14125,4,9,1,357,339,725,279,721,269,720,232,539,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11,1.000000,541.000000,462.000000,0.000000,541.000000,462.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,462,541,0,462,541,0,462,541,0,541,462,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   139.000000,   139.000000,   139.000000,   139.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12,11.000000,6006.000000,2978.000000,0.000000,546.000000,270.727272,0.000000,0.000000,88.181818,42.000000,60.000000,0.000000,0.000000,0.000000,3.604586,1.716823,2.452605,0.000000,0.000000,5.321410,0.173166,0.000000,5.321410,0.416133,-0.000000,0.532242,6.764308,0.000000,271,546,0,266,543,0,275,549,0,543,266,0,11,7.278293,10.917440,0.601709,146.818181,    19.963636,     4.468068,   155.000000,   139.000000,   148.000000,  1615.000000,11,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
13,27.000000,14813.000000,12171.000000,0.000000,548.629629,450.777777,0.000000,0.000000,42.666666,194.296296,-68.222222,0.000000,0.000000,0.000000,0.526748,2.398719,-0.842249,0.000000,0.000000,2.925468,0.554138,0.000000,2.925468,0.744404,-0.000000,5.660191,1.548000,0.000000,451,549,0,449,544,0,453,553,0,544,452,0,25,4.284329,9.639742,0.366367,145.518518,    27.566951,     5.250423,   154.000000,   132.000000,   145.000000,  3929.000000,27,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14,1.000000,550.000000,471.000000,0.000000,550.000000,471.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,471,550,0,471,550,0,471,550,0,550,471,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   135.000000,   135.000000,   135.000000,   135.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15,2.000000,1100.000000,955.000000,0.000000,550.000000,477.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,inf,0.000000,478,550,0,477,550,0,478,550,0,550,477,0,2,0.000000,1.000000,0.000000,145.500000,   112.500000,    10.606601,   153.000000,   138.000000,   138.000000,   291.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16,248.000000,143272.000000,111101.000000,0.000000,577.709677,447.987903,0.000000,0.000000,4046.963709,8829.096774,2426.129032,0.000000,0.000000,0.000000,2.597329,5.666488,1.557082,0.000000,0.000000,8.263818,12.293233,0.000000,8.263818,3.506170,-0.000000,12.259228,6.803142,0.000000,448,578,0,442,564,0,459,587,0,564,446,0,82,18.428569,24.932769,-0.396338,139.366935,    71.593558,     8.461297,   161.000000,   123.000000,   138.000000, 34563.000000,248,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,1,46,456,587,444,566,445,566,446,564,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
17,4308.000000,2755504.000000,2983390.000000,0.000000,639.624883,692.523212,0.000000,0.000000,1704344.678736,2568329.812441,1359721.511606,0.000000,0.000000,0.000000,24.314005,36.639527,19.397646,0.000000,0.000000,60.953532,514.584969,0.000000,60.953532,22.684465,-0.000000,56.465095,25.199372,0.000000,693,640,0,648,595,0,738,686,0,595,693,0,367,111.511561,112.750579,-0.631587,147.421077,   189.957317,    13.782500,   206.000000,   120.000000,   145.000000,635090.000000,4308,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1098540.000000,4308,6,9,2,174,696,595,737,678,714,681,709,682,704,686,648,604,-99,-99,-99,-99,-99,-99
18,9.000000,5442.000000,3594.000000,0.000000,604.666666,399.333333,0.000000,0.000000,7.999999,25.999999,12.999999,0.000000,0.000000,0.000000,0.427333,1.388832,0.694416,0.000000,0.000000,1.816166,0.111280,0.000000,1.816166,0.333586,-0.000000,3.849078,0.732595,0.000000,399,605,0,398,602,0,401,607,0,602,398,0,9,3.386848,5.644746,-0.482625,151.333333,    22.500000,     4.743416,   158.000000,   142.000000,   152.000000,  1362.000000,9,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
19,8.000000,4903.000000,4136.000000,0.000000,612.875000,517.000000,0.000000,0.000000,2.000000,26.875000,0.000000,0.000000,0.000000,0.000000,0.125000,1.679687,0.000000,0.000000,0.000000,1.804687,0.209960,0.000000,1.804687,0.458214,-0.000000,3.346605,0.912946,0.000000,517,613,0,516,611,0,518,616,0,611,516,0,8,2.000000,5.000000,-0.000000,153.125000,     8.696428,     2.948970,   158.000000,   149.000000,   154.000000,  1225.000000,8,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20,4227.000000,2697961.000000,3387042.000000,0.000000,638.268511,801.287437,0.000000,0.000000,2647515.762952,833376.238940,-251556.242015,0.000000,0.000000,0.000000,38.737259,12.193586,-3.680657,0.000000,0.000000,50.930845,458.798866,0.000000,50.930845,21.419590,-0.000000,27.299763,50.009969,0.000000,801,638,0,748,611,0,844,668,0,611,793,0,266,57.525457,96.884980,-0.135264,142.017269,    64.185456,     8.011582,   170.000000,   121.000000,   143.000000,600307.000000,4227,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1077885.000000,4227,3,9,2,174,844,612,844,654,748,651,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21,14.000000,8728.000000,8564.000000,0.000000,623.428571,611.714285,0.000000,0.000000,8.857142,75.428571,18.714285,0.000000,0.000000,0.000000,0.262496,2.235451,0.554628,0.000000,0.000000,2.497947,0.279184,0.000000,2.497947,0.528378,-0.000000,4.633232,1.028321,0.000000,612,623,0,610,620,0,613,627,0,620,611,0,14,3.101137,7.235986,-0.256092,151.285714,    15.912087,     3.988995,   156.000000,   145.000000,   151.000000,  2118.000000,14,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
