Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,169.000000,44006.000000,10242.000000,0.000000,260.390532,60.603550,0.000000,0.000000,2664.437869,6550.224852,2853.165680,0.000000,0.000000,0.000000,2.851609,7.010364,3.053594,0.000000,0.000000,9.861973,10.666379,0.000000,9.861973,3.265942,-0.000000,12.830466,4.858192,0.000000,61,260,0,53,246,0,70,271,0,246,59,0,85,19.231133,28.281078,-0.486481,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 43095.000000,169
1,80.000000,23674.000000,1235.000000,0.000000,295.924999,15.437500,0.000000,0.000000,1445.687500,471.549999,-503.374999,0.000000,0.000000,0.000000,4.193929,1.367963,-1.460287,0.000000,0.000000,5.561892,3.604702,0.000000,5.561892,1.898605,-0.000000,3.374520,8.554349,0.000000,15,296,0,8,292,0,23,303,0,292,15,0,52,11.947452,16.291980,-0.400930,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 20400.000000,80
2,392.000000,130626.000000,59121.000000,0.000000,333.229591,150.818877,0.000000,0.000000,97800.140306,5825.336734,6610.301020,0.000000,0.000000,0.000000,34.089821,2.030515,2.304127,0.000000,0.000000,36.120336,63.910902,0.000000,36.120336,7.994429,-0.000000,6.315206,27.059429,0.000000,151,333,0,121,324,0,174,340,0,324,121,0,171,16.040849,53.135314,0.071381,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 99960.000000,392
3,158.000000,55451.000000,72379.000000,0.000000,350.955696,458.094936,0.000000,0.000000,3351.575949,7434.689873,4433.664556,0.000000,0.000000,0.000000,3.923794,8.704023,5.190629,0.000000,0.000000,12.627818,7.210166,0.000000,12.627818,2.685175,-0.000000,15.558717,3.473273,0.000000,458,351,0,449,335,0,468,363,0,335,449,0,104,22.562712,33.250313,-0.569636,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 40290.000000,158
4,1200.000000,450835.000000,124248.000000,0.000000,375.695833,103.539999,0.000000,0.000000,887098.079999,995615.979166,746968.099999,0.000000,0.000000,0.000000,69.565937,78.075875,58.576991,0.000000,0.000000,147.641813,2000.157612,0.000000,147.641813,44.723121,-0.000000,50.255288,16.956133,0.000000,104,376,0,45,338,0,139,425,0,338,73,0,432,118.808119,128.367393,-0.749142,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,306000.000000,1200
5,68.000000,24866.000000,144.000000,0.000000,365.676470,2.117647,0.000000,0.000000,271.058823,1470.882352,339.588235,0.000000,0.000000,0.000000,0.976603,5.299473,1.223509,0.000000,0.000000,6.276077,3.678508,0.000000,6.276077,1.917943,-0.000000,8.735550,2.980268,0.000000,2,366,0,0,353,0,7,372,0,353,0,0,35,7.238749,19.648033,-0.257546,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 17340.000000,68
6,133.000000,49179.000000,29130.000000,0.000000,369.766917,219.022556,0.000000,0.000000,4660.932330,3735.774436,-3541.300751,0.000000,0.000000,0.000000,6.865475,5.502733,-5.216276,0.000000,0.000000,12.368208,10.569336,0.000000,12.368208,3.251051,-0.000000,3.880555,13.660739,0.000000,219,370,0,206,358,0,227,378,0,358,226,0,93,26.613213,27.943874,-0.720453,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 33915.000000,133
7,155.000000,57333.000000,75747.000000,0.000000,369.890322,488.690322,0.000000,0.000000,3771.135483,2343.135483,1640.735483,0.000000,0.000000,0.000000,4.529287,2.814201,1.970590,0.000000,0.000000,7.343488,8.863100,0.000000,7.343488,2.977095,-0.000000,5.360310,10.480515,0.000000,489,370,0,476,363,0,496,378,0,363,476,0,87,17.934672,23.912897,0.580171,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 39525.000000,155
8,47.000000,17691.000000,11455.000000,0.000000,376.404255,243.723404,0.000000,0.000000,337.404255,197.319148,180.255319,0.000000,0.000000,0.000000,1.989237,1.163336,1.062733,0.000000,0.000000,3.152574,1.184751,0.000000,3.152574,1.088462,-0.000000,2.478587,6.185709,0.000000,244,376,0,239,373,0,248,381,0,373,239,0,33,9.693618,10.905320,0.600089,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 11985.000000,47
9,600.000000,241572.000000,192927.000000,0.000000,402.619999,321.544999,0.000000,0.000000,11484.784999,160957.359999,14539.259999,0.000000,0.000000,0.000000,2.269453,31.806008,2.873033,0.000000,0.000000,34.075461,63.927923,0.000000,34.075461,7.995493,-0.000000,30.178889,7.520994,0.000000,322,403,0,310,373,0,330,437,0,373,322,0,225,20.092651,64.296485,-0.096070,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,153000.000000,600
