Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,124.000000,32428.000000,86706.000000,0.000000,261.516129,699.241935,0.000000,0.000000,3830.741935,542.967741,599.516129,0.000000,0.000000,0.000000,6.195180,0.878102,0.969553,0.000000,0.000000,7.073283,4.499967,0.000000,7.073283,2.121312,-0.000000,3.690110,11.074714,0.000000,699,262,0,690,257,0,709,266,0,257,692,0,58,9.139354,19.294193,0.174852,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31620.000000,124
1,159.000000,57799.000000,111110.000000,0.000000,363.515723,698.805031,0.000000,0.000000,3070.955974,3289.710691,-586.012578,0.000000,0.000000,0.000000,3.565146,3.819104,-0.680316,0.000000,0.000000,7.384251,13.152838,0.000000,7.384251,3.626684,-0.000000,8.731600,7.222942,0.000000,699,364,0,692,354,0,709,375,0,354,692,0,82,22.099568,27.299466,0.693136,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 40545.000000,159
2,74.000000,27092.000000,55935.000000,0.000000,366.108108,755.878378,0.000000,0.000000,943.905405,971.135135,731.972972,0.000000,0.000000,0.000000,3.038222,3.125868,2.356058,0.000000,0.000000,6.164090,3.946070,0.000000,6.164090,1.986471,-0.000000,8.760405,3.199827,0.000000,756,366,0,749,360,0,762,374,0,360,755,0,52,18.216173,19.617417,-0.776099,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18870.000000,74
3,30.000000,11285.000000,22338.000000,0.000000,376.166666,744.599999,0.000000,0.000000,127.199999,106.166666,89.999999,0.000000,0.000000,0.000000,1.364558,1.138919,0.965489,0.000000,0.000000,2.503478,0.621952,0.000000,2.503478,0.788639,-0.000000,1.852305,5.223110,0.000000,745,376,0,741,373,0,748,380,0,373,741,0,26,9.370631,9.370631,0.727236,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  7650.000000,30
4,197.000000,80026.000000,116613.000000,0.000000,406.223350,591.944162,0.000000,0.000000,5004.385786,8870.172588,-5142.543147,0.000000,0.000000,0.000000,4.365786,7.738268,-4.486313,0.000000,0.000000,12.104054,13.656614,0.000000,12.104054,3.695485,-0.000000,14.680538,5.002567,0.000000,592,406,0,583,392,0,603,418,0,392,600,0,101,24.326725,31.624743,0.605634,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 50235.000000,197
5,47.000000,20460.000000,28168.000000,0.000000,435.319148,599.319148,0.000000,0.000000,84.212765,402.212765,23.212765,0.000000,0.000000,0.000000,0.496494,2.371330,0.136855,0.000000,0.000000,2.867824,1.158622,0.000000,2.867824,1.076393,-0.000000,5.807709,2.625231,0.000000,599,435,0,597,430,0,602,441,0,430,599,0,30,5.013163,11.028960,-0.072484,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 11985.000000,47
6,132.000000,58980.000000,91244.000000,0.000000,446.818181,691.242424,0.000000,0.000000,1122.242424,1907.636363,238.818181,0.000000,0.000000,0.000000,1.669762,2.838335,0.355332,0.000000,0.000000,4.508097,4.613084,0.000000,4.508097,2.147809,-0.000000,7.657818,5.598398,0.000000,691,447,0,685,439,0,697,455,0,439,692,0,57,12.462174,16.616232,-0.273194,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 33660.000000,132
7,41.000000,21261.000000,26304.000000,0.000000,518.560975,641.560975,0.000000,0.000000,172.097560,104.097560,-16.902439,0.000000,0.000000,0.000000,1.217296,0.736312,-0.119555,0.000000,0.000000,1.953608,0.882016,0.000000,1.953608,0.939157,-0.000000,3.131309,4.152288,0.000000,642,519,0,638,516,0,645,521,0,516,640,0,24,5.136041,7.190458,-0.230674,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 10455.000000,41
8,113.000000,61159.000000,56952.000000,0.000000,541.230088,504.000000,0.000000,0.000000,3394.000000,482.017699,-667.000000,0.000000,0.000000,0.000000,6.212607,0.882317,-1.220921,0.000000,0.000000,7.094925,3.990843,0.000000,7.094925,1.997709,-0.000000,3.390266,10.995282,0.000000,504,541,0,494,536,0,513,545,0,536,511,0,61,9.211668,19.446856,-0.214787,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 28815.000000,113
9,218.000000,121903.000000,120645.000000,0.000000,559.188073,553.417431,0.000000,0.000000,4457.013761,5607.288990,3066.885321,0.000000,0.000000,0.000000,3.397050,4.273768,2.337521,0.000000,0.000000,7.670818,9.054200,0.000000,7.670818,3.009019,-0.000000,12.099882,5.859457,0.000000,553,559,0,544,549,0,562,569,0,549,545,0,76,23.391240,25.990267,-0.692708,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 55590.000000,218
