Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,615.000000,97289.000000,509910.000000,0.000000,158.193495,829.121951,0.000000,0.000000,53749.853658,21509.973983,-10714.512195,0.000000,0.000000,0.000000,10.277254,4.112820,-2.048671,0.000000,0.000000,14.390075,38.071449,0.000000,14.390075,6.170206,-0.000000,10.713806,18.919566,0.000000,829,158,0,807,146,0,844,170,0,146,836,0,108,25.070725,38.650701,-0.293311,92.913821,    90.385069,     9.507106,   124.000000,    79.000000,    90.000000, 57142.000000,615,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,94,844,146,842,149,844,149,844,151,844,154,811,162,813,157,-99,-99,-99,-99
1,6932.000000,1428574.000000,5541689.000000,0.000000,206.083958,799.435804,0.000000,0.000000,4255594.433207,3964357.136179,798708.361511,0.000000,0.000000,0.000000,32.197006,29.993561,6.042873,0.000000,0.000000,62.190567,929.186561,0.000000,62.190567,30.482561,-0.000000,43.058657,52.600838,0.000000,799,206,0,748,157,0,844,256,0,157,774,0,433,125.015204,128.921929,0.695229,96.290680,   167.698929,    12.949862,   146.000000,    71.000000,    95.000000,667487.000000,6932,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,3,117,844,239,830,249,772,252,752,227,750,219,748,203,759,165,-99,-99,-99,-99
2,747.000000,142685.000000,141149.000000,0.000000,191.010709,188.954484,0.000000,0.000000,38288.452476,57917.914323,5592.364123,0.000000,0.000000,0.000000,5.649027,8.545132,0.825089,0.000000,0.000000,14.194159,47.590911,0.000000,14.194159,6.898616,-0.000000,17.605742,13.858900,0.000000,189,191,0,177,173,0,205,206,0,173,185,0,122,28.965782,34.138243,-0.258956,90.263721,    58.132770,     7.624484,   110.000000,    77.000000,    89.000000, 67427.000000,747,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,5,47,189,173,192,174,204,200,198,204,180,178,186,173,-99,-99,-99,-99,-99,-99
3,367.000000,76236.000000,84121.000000,0.000000,207.727520,229.212534,0.000000,0.000000,12895.422343,9684.752043,1070.253405,0.000000,0.000000,0.000000,4.907731,3.685816,0.407316,0.000000,0.000000,8.593548,17.923093,0.000000,8.593548,4.233567,-0.000000,10.007286,11.892395,0.000000,229,208,0,216,197,0,242,218,0,197,228,0,92,21.941506,27.165674,0.294007,97.261580,    66.068000,     8.128222,   122.000000,    85.000000,    95.000000, 35695.000000,367,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,54,242,211,240,213,239,214,219,211,217,204,219,204,-99,-99,-99,-99,-99,-99
4,882.000000,190406.000000,638242.000000,0.000000,215.879818,723.630385,0.000000,0.000000,123189.505668,37447.260770,-8645.179138,0.000000,0.000000,0.000000,14.564053,4.427194,-1.022074,0.000000,0.000000,18.991248,63.433262,0.000000,18.991248,7.964500,-0.000000,12.611369,23.222971,0.000000,724,216,0,700,202,0,746,227,0,202,724,0,158,25.124248,46.228617,-0.099493,96.086167,   118.600966,    10.890407,   124.000000,    76.000000,    93.000000, 84748.000000,882,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,3,69,744,203,744,213,746,215,703,220,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,5946.000000,1507288.000000,1159946.000000,0.000000,253.496131,195.080053,0.000000,0.000000,3720175.894382,2635436.411031,-482458.158762,0.000000,0.000000,0.000000,34.535329,24.465419,-4.478780,0.000000,0.000000,59.000748,824.861846,0.000000,59.000748,28.720408,-0.000000,39.660376,50.043015,0.000000,195,253,0,139,204,0,245,291,0,204,207,0,402,93.082241,113.410547,-0.363502,95.701648,    95.746463,     9.785012,   149.000000,    74.000000,    95.000000,569042.000000,5946,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1516230.000000,5946,5,9,2,177,206,205,232,223,245,266,141,284,177,211,-99,-99,-99,-99,-99,-99,-99,-99
6,2871.000000,697730.000000,1751286.000000,0.000000,243.026819,609.991640,0.000000,0.000000,383445.799372,1376234.934865,-78376.356321,0.000000,0.000000,0.000000,9.397082,33.727306,-1.920764,0.000000,0.000000,43.124389,313.248957,0.000000,43.124389,17.698840,-0.000000,42.842814,22.382311,0.000000,610,243,0,584,204,0,636,284,0,204,626,0,305,52.159808,80.245858,0.078299,100.769766,   180.417705,    13.431965,   146.000000,    75.000000,    99.000000,289310.000000,2871,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,3,102,630,205,630,271,624,275,619,277,613,277,596,284,590,212,606,205,-99,-99
7,1.000000,205.000000,701.000000,0.000000,205.000000,701.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,701,205,0,701,205,0,701,205,0,205,701,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,   123.000000,   123.000000,   123.000000,   123.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,1626.000000,389395.000000,812942.000000,0.000000,239.480319,499.964329,0.000000,0.000000,185765.931119,546841.870233,172970.858548,0.000000,0.000000,0.000000,9.715653,28.600110,9.046464,0.000000,0.000000,38.315763,196.030236,0.000000,38.315763,14.001079,-0.000000,36.662338,15.924385,0.000000,500,239,0,468,208,0,518,279,0,208,471,0,284,53.883854,76.515073,-0.381997,100.436654,   138.745831,    11.779042,   133.000000,    77.000000,   100.000000,163310.000000,1626,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,297,501,210,512,279,469,209,471,208,487,208,489,208,492,209,-99,-99,-99,-99
9,8.000000,1689.000000,4061.000000,0.000000,211.125000,507.625000,0.000000,0.000000,7.875000,4.875000,3.375000,0.000000,0.000000,0.000000,0.492187,0.304687,0.210937,0.000000,0.000000,0.796875,0.105468,0.000000,0.796875,0.324759,-0.000000,1.152153,2.232469,0.000000,508,211,0,506,210,0,509,212,0,210,506,0,8,2.385233,3.577850,0.576285,120.875000,     4.125000,     2.031009,   123.000000,   118.000000,   121.000000,   967.000000,8,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10,5085.000000,1418367.000000,2405772.000000,0.000000,278.931563,473.111504,0.000000,0.000000,1352361.776990,5404050.184069,1525830.803539,0.000000,0.000000,0.000000,15.465772,61.801369,17.449584,0.000000,0.000000,77.267141,651.317886,0.000000,77.267141,25.520930,-0.000000,66.838682,25.219476,0.000000,473,279,0,437,211,0,510,341,0,211,458,0,449,76.974888,137.078568,-0.322767,101.654080,   225.449749,    15.014984,   196.000000,    76.000000,    99.000000,516911.000000,5085,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,340,494,341,467,331,438,233,443,226,458,211,-99,-99,-99,-99,-99,-99,-99,-99
11,6848.000000,1842588.000000,2010380.000000,0.000000,269.069509,293.571845,0.000000,0.000000,4611128.651867,5597764.913549,3101015.801400,0.000000,0.000000,0.000000,35.458653,43.045687,23.846188,0.000000,0.000000,78.504341,957.701408,0.000000,78.504341,30.946751,-0.000000,68.097870,33.240807,0.000000,294,269,0,236,214,0,344,333,0,214,246,0,464,141.988102,156.449854,-0.706517,97.153037,   152.411219,    12.345493,   138.000000,    72.000000,    96.000000,665304.000000,6848,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1746240.000000,6848,8,9,1,351,344,289,338,299,335,316,324,326,308,333,236,222,244,216,245,215,-99,-99
12,682.000000,154933.000000,249970.000000,0.000000,227.174486,366.524926,0.000000,0.000000,62446.076246,23272.236070,-5950.466275,0.000000,0.000000,0.000000,10.402218,3.876671,-0.991224,0.000000,0.000000,14.278889,39.343455,0.000000,14.278889,6.272436,-0.000000,11.409965,19.190152,0.000000,367,227,0,347,216,0,386,238,0,216,359,0,121,22.241404,39.427944,-0.147468,96.325513,    94.448951,     9.718485,   127.000000,    78.000000,    95.000000, 65694.000000,682,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,134,386,221,384,225,385,226,383,229,356,238,352,236,348,231,352,223,-99,-99
13,2.000000,432.000000,1159.000000,0.000000,216.000000,579.500000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,0.000000,inf,0.000000,580,216,0,579,216,0,580,216,0,216,579,0,2,0.000000,1.000000,0.000000,128.000000,     0.000000,     0.000000,   128.000000,   128.000000,   128.000000,   256.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14,5259.000000,1365042.000000,2040313.000000,0.000000,259.563034,387.965963,0.000000,0.000000,3655412.907396,2156761.853964,-698489.216770,0.000000,0.000000,0.000000,39.969821,23.582941,-7.637574,0.000000,0.000000,63.552762,884.273405,0.000000,63.552762,29.736734,-0.000000,35.882110,51.859202,0.000000,388,260,0,331,218,0,439,310,0,218,417,0,497,98.876606,116.072538,-0.375150,96.182924,   150.901108,    12.284181,   140.000000,    72.000000,    94.000000,505826.000000,5259,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,174,438,219,433,245,400,310,344,281,332,247,339,233,-99,-99,-99,-99,-99,-99
