Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,15857.000000,6027055.000000,9017383.000000,0.000000,380.087973,568.668915,0.000000,0.000000,22779579.808652,19483614.276582,-582355.137731,0.000000,0.000000,0.000000,57.180902,48.907427,-1.461817,0.000000,0.000000,106.088330,2794.433953,0.000000,106.088330,52.862405,-0.000000,69.037645,75.004945,0.000000,569,380,0,491,297,0,655,443,0,297,555,0,619,148.131313,166.394078,-0.169838,62.898845,   217.432501,    14.745592,   123.000000,    30.000000,    62.000000,997387.000000,15857,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,4043535.000000,15857,5,9,1,360,570,304,646,374,655,398,491,418,554,298,-99,-99,-99,-99,-99,-99,-99,-99
1,7318.000000,3496156.000000,4614669.000000,0.000000,477.747471,630.591555,0.000000,0.000000,3338710.158102,6467225.328229,-450795.806231,0.000000,0.000000,0.000000,23.499331,45.519217,-3.172902,0.000000,0.000000,69.018549,1059.603879,0.000000,69.018549,32.551557,-0.000000,58.538264,41.453642,0.000000,631,478,0,586,408,0,675,535,0,408,655,0,465,89.883073,128.260116,0.140291,63.413091,   247.473858,    15.731301,   137.000000,    33.000000,    62.000000,464057.000000,7318,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1866090.000000,7318,5,9,2,177,654,409,675,519,609,534,588,524,589,439,-99,-99,-99,-99,-99,-99,-99,-99
2,5738.000000,2702165.000000,3084474.000000,0.000000,470.924538,537.552108,0.000000,0.000000,4913562.919483,2316630.325025,782174.063087,0.000000,0.000000,0.000000,47.831697,22.551530,7.614172,0.000000,0.000000,70.383227,1020.702351,0.000000,70.383227,31.948432,-0.000000,36.159828,56.531934,0.000000,538,471,0,475,422,0,592,509,0,422,484,0,463,90.297582,121.434680,0.271084,62.089926,   220.135540,    14.836965,   131.000000,    31.000000,    61.000000,356272.000000,5738,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,174,587,449,589,455,591,462,591,468,592,479,568,508,500,509,479,427,-99,-99
3,8516.000000,4407579.000000,3783808.000000,0.000000,517.564466,444.317519,0.000000,0.000000,6279771.426019,7236955.607677,-2457445.318458,0.000000,0.000000,0.000000,36.110178,41.614214,-14.130894,0.000000,0.000000,77.724393,1303.014532,0.000000,77.724393,36.097292,-0.000000,64.585080,43.774104,0.000000,444,518,0,386,444,0,496,571,0,444,470,0,524,142.535339,164.563528,0.689226,60.633395,   212.096237,    14.563524,   131.000000,    31.000000,    59.000000,516354.000000,8516,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2171580.000000,8516,6,9,2,180,474,446,469,570,411,566,389,544,388,525,387,515,-99,-99,-99,-99,-99,-99
4,26.000000,12022.000000,11509.000000,0.000000,462.384615,442.653846,0.000000,0.000000,157.884615,26.153846,-11.538461,0.000000,0.000000,0.000000,2.049786,0.339550,-0.149801,0.000000,0.000000,2.389337,0.673565,0.000000,2.389337,0.820710,-0.000000,1.889288,4.748618,0.000000,443,462,0,438,461,0,446,464,0,461,441,0,22,3.011313,8.030169,-0.086711,83.230769,    10.984615,     3.314304,    92.000000,    78.000000,    83.000000,  2164.000000,26,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5,1.000000,467.000000,436.000000,0.000000,467.000000,436.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,436,467,0,436,467,0,436,467,0,467,436,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,    83.000000,    83.000000,    83.000000,    83.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6,18.000000,8519.000000,7723.000000,0.000000,473.277777,429.055555,0.000000,0.000000,92.944444,111.611111,-95.277777,0.000000,0.000000,0.000000,1.970274,2.365978,-2.019737,0.000000,0.000000,4.336252,0.582287,0.000000,4.336252,0.763077,-0.000000,6.102482,1.109382,0.000000,429,473,0,426,469,0,434,477,0,469,433,0,18,10.799513,10.799513,0.736574,78.722222,     9.271241,     3.044871,    83.000000,    72.000000,    79.000000,  1417.000000,18,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,5123.000000,2813221.000000,2684571.000000,0.000000,549.135467,524.023228,0.000000,0.000000,2520588.235798,2129883.985554,19644.879367,0.000000,0.000000,0.000000,28.541016,24.117010,0.222442,0.000000,0.000000,52.658026,688.274506,0.000000,52.658026,26.234986,-0.000000,39.726170,43.234955,0.000000,524,549,0,480,509,0,576,594,0,509,524,0,435,85.106839,96.120665,0.050112,63.690610,   249.936083,    15.809366,   116.000000,    30.000000,    64.000000,326287.000000,5123,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,174,551,515,576,527,547,593,485,571,480,555,488,526,490,522,-99,-99,-99,-99
8,27.000000,13831.000000,15103.000000,0.000000,512.259259,559.370370,0.000000,0.000000,154.296296,35.185185,40.407407,0.000000,0.000000,0.000000,1.904892,0.434385,0.498856,0.000000,0.000000,2.339277,0.578598,0.000000,2.339277,0.760656,-0.000000,1.809262,4.895424,0.000000,559,512,0,555,510,0,564,514,0,510,555,0,23,4.184514,9.415158,0.298069,63.259259,    58.660968,     7.659044,    84.000000,    53.000000,    62.000000,  1708.000000,27,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,8573.000000,4925033.000000,5799875.000000,0.000000,574.481861,676.528053,0.000000,0.000000,9305902.503204,5473682.429485,3752820.612270,0.000000,0.000000,0.000000,53.037299,31.196257,21.388518,0.000000,0.000000,84.233556,1197.096518,0.000000,84.233556,34.599082,-0.000000,38.138596,72.897257,0.000000,677,574,0,613,522,0,745,623,0,522,654,0,473,118.425281,154.773635,0.549360,62.436836,   139.356165,    11.804921,   124.000000,    32.000000,    62.000000,535271.000000,8573,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2186115.000000,8573,4,9,1,357,744,619,613,540,647,526,654,522,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10,3984.000000,2315681.000000,2355582.000000,0.000000,581.245230,591.260542,0.000000,0.000000,1309227.557228,1938921.409387,452755.450301,0.000000,0.000000,0.000000,20.729525,30.699721,7.168658,0.000000,0.000000,51.429246,585.000991,0.000000,51.429246,24.186793,-0.000000,44.566673,31.292976,0.000000,591,581,0,552,528,0,632,623,0,528,586,0,489,90.266609,107.191599,-0.481581,66.196034,   305.658523,    17.483092,   118.000000,    35.000000,    63.000000,263725.000000,3984,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,177,631,609,605,621,601,623,563,551,574,537,588,529,-99,-99,-99,-99,-99,-99
