Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,1552.000000,505128.000000,132153.000000,0.000000,325.469072,85.150128,0.000000,0.000000,3119696.019974,5256460.515463,-4019720.293814,0.000000,0.000000,0.000000,173.616097,292.530475,-223.703894,0.000000,0.000000,466.146572,744.567046,0.000000,466.146572,27.286755,-0.000000,115.980092,6.812534,0.000000,85,325,0,0,213,0,160,423,0,213,159,0,838,201.832117,264.904653,0.655508,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,395760.000000,1552
1,264.000000,64922.000000,54634.000000,0.000000,245.916666,206.946969,0.000000,0.000000,1767.257575,24350.166666,-2628.166666,0.000000,0.000000,0.000000,1.043505,14.377941,-1.551842,0.000000,0.000000,15.421446,12.595240,0.000000,15.421446,3.548977,-0.000000,18.942026,4.618307,0.000000,207,246,0,202,226,0,212,268,0,226,207,0,107,10.065729,42.276063,0.114342,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 67320.000000,264
2,411.000000,127179.000000,89515.000000,0.000000,309.437956,217.798053,0.000000,0.000000,6748.238442,42975.167883,5334.350364,0.000000,0.000000,0.000000,2.208350,14.063556,1.745657,0.000000,0.000000,16.271906,28.009939,0.000000,16.271906,5.292441,-0.000000,19.701246,7.283676,0.000000,218,309,0,206,288,0,226,329,0,288,219,0,145,20.206829,41.423999,-0.143200,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,104805.000000,411
3,19.000000,5632.000000,2379.000000,0.000000,296.421052,125.210526,0.000000,0.000000,31.157894,58.631578,-31.684210,0.000000,0.000000,0.000000,0.614558,1.156449,-0.624939,0.000000,0.000000,1.771008,0.320156,0.000000,1.771008,0.565823,-0.000000,4.090671,1.477418,0.000000,125,296,0,123,293,0,127,299,0,293,127,0,19,4.784712,7.177068,0.580851,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  4845.000000,19
4,123.000000,41489.000000,21632.000000,0.000000,337.308943,175.869918,0.000000,0.000000,457.918699,5084.260162,-850.056910,0.000000,0.000000,0.000000,0.748597,8.311657,-1.389657,0.000000,0.000000,9.060254,4.290935,0.000000,9.060254,2.071457,-0.000000,12.882581,3.117885,0.000000,176,337,0,172,325,0,179,350,0,325,178,0,68,7.109938,25.392637,0.176083,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31365.000000,123
5,318.000000,114170.000000,75644.000000,0.000000,359.025157,237.874213,0.000000,0.000000,2074.968553,65507.798742,2061.006289,0.000000,0.000000,0.000000,0.955965,30.180297,0.949532,0.000000,0.000000,31.136262,27.949698,0.000000,31.136262,5.286747,-0.000000,26.281863,4.599153,0.000000,238,359,0,233,334,0,244,383,0,334,239,0,150,11.005792,49.025802,-0.032445,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 81090.000000,318
6,80.000000,28249.000000,15559.000000,0.000000,353.112499,194.487499,0.000000,0.000000,603.987499,1007.987499,-458.387499,0.000000,0.000000,0.000000,1.752163,2.924164,-1.329778,0.000000,0.000000,4.676328,3.355302,0.000000,4.676328,1.831748,-0.000000,7.660736,3.701213,0.000000,194,353,0,188,346,0,200,359,0,346,195,0,51,14.326092,15.519933,0.577861,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 20400.000000,80
7,9.000000,3171.000000,2166.000000,0.000000,352.333333,240.666666,0.000000,0.000000,1.999999,19.999999,0.999999,0.000000,0.000000,0.000000,0.106833,1.068333,0.053416,0.000000,0.000000,1.175166,0.111280,0.000000,1.175166,0.333586,-0.000000,3.009261,0.937046,0.000000,241,352,0,240,350,0,241,355,0,350,241,0,9,1.001532,5.007662,-0.055328,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  2295.000000,9
8,152.000000,56896.000000,25693.000000,0.000000,374.315789,169.032894,0.000000,0.000000,6330.835526,6384.842105,-5821.578947,0.000000,0.000000,0.000000,7.804341,7.870917,-7.176554,0.000000,0.000000,15.675258,9.924388,0.000000,15.675258,3.150299,-0.000000,16.488180,3.459558,0.000000,169,374,0,155,363,0,182,385,0,363,178,0,100,31.040791,38.095516,0.783078,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 38760.000000,152
9,168.000000,67401.000000,25167.000000,0.000000,401.196428,149.803571,0.000000,0.000000,2592.517857,5894.517857,-2803.517857,0.000000,0.000000,0.000000,2.796679,6.358713,-3.024295,0.000000,0.000000,9.155392,8.636917,0.000000,9.155392,2.938863,-0.000000,12.730876,4.626216,0.000000,150,401,0,140,388,0,156,412,0,388,154,0,85,18.429514,27.644271,0.519288,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 42840.000000,168
10,4005.000000,2010593.000000,1022879.000000,0.000000,502.020724,255.400499,0.000000,0.000000,1333695.599001,7961669.279898,1358158.758551,0.000000,0.000000,0.000000,20.969433,125.179757,21.354062,0.000000,0.000000,146.149190,2168.952570,0.000000,146.149190,46.572014,-0.000000,73.452565,26.439036,0.000000,255,502,0,215,391,0,296,565,0,391,242,0,1064,82.556233,177.343020,-0.194474,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1021275.000000,4005
11,93.000000,38200.000000,11473.000000,0.000000,410.752688,123.365591,0.000000,0.000000,771.569892,621.311827,26.408602,0.000000,0.000000,0.000000,1.831181,1.474571,0.062676,0.000000,0.000000,3.305752,2.696278,0.000000,3.305752,1.642034,-0.000000,5.143930,5.769964,0.000000,123,411,0,118,406,0,129,416,0,406,122,0,42,10.144541,11.158995,0.169009,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23715.000000,93
12,264.000000,112288.000000,27832.000000,0.000000,425.333333,105.424242,0.000000,0.000000,14738.484848,6682.666666,6030.666666,0.000000,0.000000,0.000000,8.702571,3.945886,3.560902,0.000000,0.000000,12.648457,21.659330,0.000000,12.648457,4.653958,-0.000000,6.629988,15.109710,0.000000,105,425,0,91,414,0,118,436,0,414,95,0,111,24.946801,30.616529,0.490968,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 67320.000000,264
13,24.000000,10543.000000,3276.000000,0.000000,439.291666,136.500000,0.000000,0.000000,26.000000,120.958333,-33.500000,0.000000,0.000000,0.000000,0.375570,1.747246,-0.483908,0.000000,0.000000,2.122817,0.422047,0.000000,2.122817,0.649651,-0.000000,4.705366,1.608209,0.000000,137,439,0,135,435,0,138,443,0,435,138,0,21,3.147374,8.392997,0.307228,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6120.000000,24
14,95.000000,43853.000000,11215.000000,0.000000,461.610526,118.052631,0.000000,0.000000,314.736842,1786.589473,22.947368,0.000000,0.000000,0.000000,0.726077,4.121544,0.052938,0.000000,0.000000,4.847621,2.989756,0.000000,4.847621,1.729091,-0.000000,8.581984,3.599637,0.000000,118,462,0,115,453,0,122,470,0,453,116,0,48,7.000850,17.002064,-0.015585,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 24225.000000,95
15,171.000000,80722.000000,25978.000000,0.000000,472.058479,151.918128,0.000000,0.000000,1396.853801,8921.415204,-57.181286,0.000000,0.000000,0.000000,1.471711,9.399518,-0.060245,0.000000,0.000000,10.871230,13.829753,0.000000,10.871230,3.718837,-0.000000,13.017306,5.149933,0.000000,152,472,0,145,459,0,157,484,0,459,150,0,89,12.000346,25.000721,0.007598,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 43605.000000,171
16,290.000000,140947.000000,1463.000000,0.000000,486.024137,5.044827,0.000000,0.000000,3150.417241,17626.831034,-821.313793,0.000000,0.000000,0.000000,1.641234,9.182837,-0.427869,0.000000,0.000000,10.824072,14.888121,0.000000,10.824072,3.858512,-0.000000,15.222352,6.379430,0.000000,5,486,0,0,472,0,12,503,0,472,4,0,79,12.019174,31.049533,0.056492,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 73950.000000,290
17,120.000000,59096.000000,6783.000000,0.000000,492.466666,56.524999,0.000000,0.000000,2259.924999,3237.866666,2416.599999,0.000000,0.000000,0.000000,3.818144,5.470377,4.082847,0.000000,0.000000,9.288522,4.217052,0.000000,9.288522,2.053546,-0.000000,12.991102,3.028183,0.000000,57,492,0,48,484,0,64,504,0,484,50,0,72,20.670390,25.837988,-0.685576,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 30600.000000,120
18,1146.000000,605538.000000,177971.000000,0.000000,528.392670,155.297556,0.000000,0.000000,179213.533158,341347.298429,140944.099476,0.000000,0.000000,0.000000,14.943694,28.463194,11.752603,0.000000,0.000000,43.406889,287.221603,0.000000,43.406889,16.947613,-0.000000,32.533314,15.636423,0.000000,155,528,0,124,491,0,180,563,0,491,150,0,316,64.693812,83.177758,-0.524416,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,292230.000000,1146
19,529.000000,268631.000000,100211.000000,0.000000,507.809073,189.434782,0.000000,0.000000,69145.999999,32037.716446,-32836.086956,0.000000,0.000000,0.000000,16.161915,7.488370,-7.674978,0.000000,0.000000,23.650286,62.121116,0.000000,23.650286,7.881695,-0.000000,8.895068,23.294462,0.000000,189,508,0,166,491,0,208,521,0,491,200,0,202,34.734356,48.628099,-0.528234,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,134895.000000,529
20,81.000000,40818.000000,21031.000000,0.000000,503.925925,259.641975,0.000000,0.000000,412.617283,787.555555,92.851851,0.000000,0.000000,0.000000,1.177336,2.247162,0.264937,0.000000,0.000000,3.424499,2.575475,0.000000,3.424499,1.604828,-0.000000,6.205271,4.312528,0.000000,260,504,0,256,498,0,264,510,0,498,256,0,43,8.216245,12.324367,-0.229936,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 20655.000000,81
21,535.000000,289135.000000,34294.000000,0.000000,540.439252,64.100934,0.000000,0.000000,64362.549532,60843.775700,-34469.719626,0.000000,0.000000,0.000000,14.819317,14.009128,-7.936567,0.000000,0.000000,28.828445,144.616615,0.000000,28.828445,12.025664,-0.000000,11.776434,21.897690,0.000000,64,540,0,39,518,0,82,557,0,518,65,0,231,53.800136,59.318099,-0.759899,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,136425.000000,535
22,2926.000000,1862019.000000,1477850.000000,0.000000,636.370129,505.075187,0.000000,0.000000,25171805.458643,5772082.149349,11396382.571427,0.000000,0.000000,0.000000,601.471800,137.921956,272.312717,0.000000,0.000000,739.393756,8801.951152,0.000000,739.393756,93.818714,-0.000000,16.983030,131.654029,0.000000,505,636,0,335,522,0,682,694,0,522,335,0,1099,189.472009,382.248763,0.432821,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,746130.000000,2926
23,231.000000,124110.000000,3986.000000,0.000000,537.272727,17.255411,0.000000,0.000000,12119.930735,4595.818181,5923.909090,0.000000,0.000000,0.000000,8.551011,3.242501,4.179513,0.000000,0.000000,11.793513,10.258334,0.000000,11.793513,3.202863,-0.000000,4.737835,16.046694,0.000000,17,537,0,4,527,0,30,547,0,527,5,0,94,22.821075,29.667398,0.502496,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 58905.000000,231
24,378.000000,214476.000000,71030.000000,0.000000,567.396825,187.910052,0.000000,0.000000,41138.941798,52862.476190,-44342.507936,0.000000,0.000000,0.000000,15.052109,19.341572,-16.224245,0.000000,0.000000,34.393682,27.905315,0.000000,34.393682,5.282548,-0.000000,29.349858,4.619539,0.000000,188,567,0,169,545,0,208,589,0,545,201,0,185,51.860674,58.509478,0.719682,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 96390.000000,378
25,282.000000,161748.000000,20380.000000,0.000000,573.574468,72.269503,0.000000,0.000000,5683.517730,10978.936170,-3211.659574,0.000000,0.000000,0.000000,3.073395,5.936923,-1.736723,0.000000,0.000000,9.010318,15.230303,0.000000,9.010318,3.902602,-0.000000,12.881978,7.441303,0.000000,72,574,0,61,562,0,81,585,0,562,79,0,94,22.112546,25.429428,0.440675,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 71910.000000,282
26,102.000000,58288.000000,1192.000000,0.000000,571.450980,11.686274,0.000000,0.000000,3027.960784,481.254901,813.431372,0.000000,0.000000,0.000000,6.353553,1.009814,1.706818,0.000000,0.000000,7.363367,3.502680,0.000000,7.363367,1.871545,-0.000000,3.033866,11.107736,0.000000,12,571,0,0,567,0,21,576,0,567,0,0,60,9.376205,21.877812,0.284234,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 26010.000000,102
27,599.000000,364209.000000,87510.000000,0.000000,608.028380,146.093489,0.000000,0.000000,235742.764607,102014.517529,127143.410684,0.000000,0.000000,0.000000,46.687713,20.203481,25.180137,0.000000,0.000000,66.891195,309.215054,0.000000,66.891195,17.584511,-0.000000,9.773607,34.401959,0.000000,146,608,0,113,585,0,176,639,0,585,119,0,281,63.084478,73.598558,0.543323,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,152745.000000,599
28,91.000000,54100.000000,5350.000000,0.000000,594.505494,58.791208,0.000000,0.000000,2517.032967,350.747252,-575.395604,0.000000,0.000000,0.000000,6.149413,0.856917,-1.405760,0.000000,0.000000,7.006331,3.293378,0.000000,7.006331,1.814766,-0.000000,2.930303,10.494950,0.000000,59,595,0,49,591,0,68,598,0,591,62,0,55,7.213957,19.580742,-0.244158,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23205.000000,91
29,90.000000,56000.000000,18320.000000,0.000000,622.222222,203.555555,0.000000,0.000000,4292.222222,1133.555555,-2005.111111,0.000000,0.000000,0.000000,10.642055,2.810516,-4.971434,0.000000,0.000000,13.452571,5.194506,0.000000,13.452571,2.279145,-0.000000,2.443925,13.998502,0.000000,204,622,0,191,617,0,216,628,0,617,208,0,72,12.226890,27.788387,-0.451814,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 22950.000000,90
