Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,11344.000000,1944844.000000,2310165.000000,0.000000,171.442524,203.646421,0.000000,0.000000,4107192.794691,54472438.526069,-9089480.033492,0.000000,0.000000,0.000000,16.113509,213.708531,-35.660225,0.000000,0.000000,229.822040,2171.942728,0.000000,229.822040,46.604106,-0.000000,135.478208,28.706165,0.000000,204,171,0,155,37,0,249,290,0,37,224,0,703,95.427672,256.842564,0.173194,61.820698,   351.308586,    18.743227,   142.000000,    28.000000,    62.000000,701294.000000,11344,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,340,224,37,231,39,236,40,181,290,155,230,-99,-99,-99,-99,-99,-99,-99,-99
1,2.000000,479.000000,301.000000,0.000000,239.500000,150.500000,0.000000,0.000000,0.500000,0.500000,-0.500000,0.000000,0.000000,0.000000,0.198425,0.198425,-0.198425,0.000000,0.000000,0.396850,0.000000,0.000000,0.396850,0.000000,-0.000000,-nan,-nan,0.000000,151,240,0,150,239,0,151,240,0,239,151,0,2,1.414213,1.414213,-0.785398,85.000000,     2.000000,     1.414213,    86.000000,    84.000000,    84.000000,   170.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,8722.000000,2915880.000000,1162168.000000,0.000000,334.313230,133.245585,0.000000,0.000000,3450415.955054,17851994.253146,-4193938.940608,0.000000,0.000000,0.000000,19.218375,99.433324,-23.359703,0.000000,0.000000,118.651700,1365.271236,0.000000,118.651700,36.949576,-0.000000,91.197676,31.867897,0.000000,133,334,0,87,242,0,176,420,0,242,155,0,591,92.186675,184.373350,0.263699,63.185737,   248.768616,    15.772400,   142.000000,    30.000000,    62.000000,551106.000000,8722,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2224110.000000,8722,5,9,1,347,141,253,156,242,117,420,105,418,99,416,-99,-99,-99,-99,-99,-99,-99,-99
3,2.000000,495.000000,290.000000,0.000000,247.500000,145.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.000000,0.198425,0.000000,0.000000,0.198425,0.000000,-0.000000,-nan,0.000000,0.000000,145,248,0,145,247,0,145,248,0,247,145,0,2,0.000000,1.000000,-0.000000,86.500000,     0.500000,     0.707106,    87.000000,    86.000000,    86.000000,   173.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,3225.000000,1027317.000000,662742.000000,0.000000,318.547906,205.501395,0.000000,0.000000,802830.243720,1020472.848371,-204061.965581,0.000000,0.000000,0.000000,16.849386,21.417157,-4.282747,0.000000,0.000000,38.266544,342.524045,0.000000,38.266544,18.507405,-0.000000,37.058551,28.592965,0.000000,206,319,0,176,280,0,233,359,0,280,225,0,293,66.473745,92.130278,0.540441,65.102635,   503.141137,    22.430807,   159.000000,    30.000000,    59.000000,209956.000000,3225,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,338,226,280,229,282,233,286,183,359,180,350,179,349,180,296,183,294,-99,-99
5,7087.000000,2966816.000000,347665.000000,0.000000,418.627910,49.056723,0.000000,0.000000,4929339.197119,7761735.799348,-4503051.419922,0.000000,0.000000,0.000000,36.210856,57.017601,-33.079352,0.000000,0.000000,93.228457,970.412631,0.000000,93.228457,31.151446,-0.000000,77.869341,29.840261,0.000000,49,419,0,0,343,0,99,480,0,343,83,0,429,122.793894,169.926904,0.633046,58.055594,   187.013843,    13.675300,   102.000000,    31.000000,    56.000000,411440.000000,7087,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1807185.000000,7087,5,9,1,348,85,344,14,480,12,476,10,475,1,471,-99,-99,-99,-99,-99,-99,-99,-99
6,6511.000000,2629283.000000,1262449.000000,0.000000,403.821686,193.894793,0.000000,0.000000,3663658.933496,4254441.977882,-1888610.144831,0.000000,0.000000,0.000000,30.133629,34.992825,-15.533836,0.000000,0.000000,65.126454,813.160765,0.000000,65.126454,28.515973,-0.000000,59.646041,35.224864,0.000000,194,404,0,145,343,0,239,451,0,343,232,0,413,123.720193,142.146605,0.707823,58.340193,   147.594081,    12.148830,    99.000000,    32.000000,    57.000000,379853.000000,6511,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1660305.000000,6511,3,9,2,171,232,343,156,451,145,436,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,2.000000,705.000000,351.000000,0.000000,352.500000,175.500000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.198425,0.198425,0.198425,0.000000,0.000000,0.396850,0.000000,0.000000,0.396850,0.000000,-0.000000,-nan,-nan,0.000000,176,353,0,175,352,0,176,353,0,352,175,0,2,1.414213,1.414213,0.785398,70.000000,     2.000000,     1.414213,    71.000000,    69.000000,    69.000000,   140.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,16.000000,5957.000000,2822.000000,0.000000,372.312500,176.375000,0.000000,0.000000,33.750000,33.437500,-23.875000,0.000000,0.000000,0.000000,0.837106,0.829355,-0.592175,0.000000,0.000000,1.666461,0.343586,0.000000,1.666461,0.586162,-0.000000,1.501908,3.652308,0.000000,176,372,0,174,369,0,179,374,0,369,179,0,15,7.048042,7.048042,-0.782125,67.812500,    17.362500,     4.166833,    74.000000,    61.000000,    67.000000,  1085.000000,16,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,3.000000,1152.000000,108.000000,0.000000,384.000000,36.000000,0.000000,0.000000,2.000000,2.000000,-2.000000,0.000000,0.000000,0.000000,0.462240,0.462240,-0.462240,0.000000,0.000000,0.924481,0.000000,0.000000,0.924481,0.000000,-0.000000,-nan,-nan,0.000000,36,384,0,35,383,0,37,385,0,383,37,0,3,2.828427,2.828427,-0.785398,82.333333,     5.333333,     2.309401,    85.000000,    81.000000,    81.000000,   247.000000,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
