Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,972.000000,384998.000000,753105.000000,0.000000,396.088477,774.799382,0.000000,0.000000,594703.879629,781190.390946,-669331.746913,0.000000,0.000000,0.000000,61.765470,81.133810,-69.516260,0.000000,0.000000,142.899280,178.757415,0.000000,142.899280,13.370019,-0.000000,65.489540,6.181966,0.000000,775,396,0,722,338,0,816,442,0,338,816,0,409,124.616737,137.873837,0.716189,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,247860.000000,972
1,344.000000,135474.000000,286205.000000,0.000000,393.819767,831.991279,0.000000,0.000000,6636.973837,25384.825581,-2396.540697,0.000000,0.000000,0.000000,2.753545,10.531646,-0.994275,0.000000,0.000000,13.285191,28.010777,0.000000,13.285191,5.292520,-0.000000,16.019295,7.955764,0.000000,832,394,0,822,376,0,842,413,0,376,832,0,149,20.157652,37.291657,0.125149,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 87720.000000,344
2,183.000000,79566.000000,150351.000000,0.000000,434.786885,821.590163,0.000000,0.000000,2806.262295,13102.688524,-5275.983606,0.000000,0.000000,0.000000,2.701013,12.611274,-5.078108,0.000000,0.000000,15.312287,8.276038,0.000000,15.312287,2.876810,-0.000000,17.785433,3.468541,0.000000,822,435,0,814,420,0,831,450,0,420,827,0,94,18.447841,32.555014,0.398827,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 46665.000000,183
3,25.000000,12588.000000,17403.000000,0.000000,503.519999,696.119999,0.000000,0.000000,72.639999,44.239999,-17.559999,0.000000,0.000000,0.000000,0.993701,0.605194,-0.240217,0.000000,0.000000,1.598895,0.543678,0.000000,1.598895,0.737345,-0.000000,2.347559,3.528856,0.000000,696,504,0,693,501,0,699,506,0,501,696,0,20,5.540543,6.648652,-0.445399,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6375.000000,25
4,341.000000,181004.000000,222804.000000,0.000000,530.803519,653.384164,0.000000,0.000000,27336.674486,58179.835777,-38549.260997,0.000000,0.000000,0.000000,11.474660,24.421180,-16.181181,0.000000,0.000000,35.895840,18.394131,0.000000,35.895840,4.288838,-0.000000,30.672395,3.718605,0.000000,653,531,0,638,502,0,673,553,0,502,671,0,181,42.266499,61.588327,0.595123,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 86955.000000,341
5,49.000000,27171.000000,40842.000000,0.000000,554.510204,833.510204,0.000000,0.000000,272.244897,600.244897,332.244897,0.000000,0.000000,0.000000,1.518325,3.347601,1.852949,0.000000,0.000000,4.865926,1.649327,0.000000,4.865926,1.284261,-0.000000,7.745297,2.210757,0.000000,834,555,0,830,549,0,840,561,0,549,830,0,37,11.774385,14.129263,-0.556136,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 12495.000000,49
6,229.000000,137868.000000,158898.000000,0.000000,602.043668,693.877729,0.000000,0.000000,9468.576419,7281.563318,-5425.777292,0.000000,0.000000,0.000000,6.758298,5.197294,-3.872707,0.000000,0.000000,11.955593,20.127007,0.000000,11.955593,4.486313,-0.000000,6.357956,14.070384,0.000000,694,602,0,679,589,0,709,613,0,589,695,0,106,31.015328,38.769160,-0.685960,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 58395.000000,229
7,181.000000,110628.000000,140950.000000,0.000000,611.204419,778.729281,0.000000,0.000000,4581.734806,4393.436464,-3435.983425,0.000000,0.000000,0.000000,4.474987,4.291076,-3.355930,0.000000,0.000000,8.766064,7.940244,0.000000,8.766064,2.817843,-0.000000,4.697297,12.902816,0.000000,779,611,0,769,602,0,789,622,0,602,787,0,77,27.904689,27.904689,-0.771701,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 46155.000000,181
8,209.000000,127591.000000,152820.000000,0.000000,610.483253,731.196172,0.000000,0.000000,13612.956937,3394.191387,-5562.813397,0.000000,0.000000,0.000000,10.975494,2.736578,-4.485037,0.000000,0.000000,13.712073,9.919739,0.000000,13.712073,3.149561,-0.000000,4.142212,17.025972,0.000000,731,610,0,718,603,0,747,619,0,603,741,0,94,17.475886,31.675044,-0.413929,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 53295.000000,209
9,38.000000,23329.000000,23199.000000,0.000000,613.921052,610.500000,0.000000,0.000000,109.500000,140.763157,-40.500000,0.000000,0.000000,0.000000,0.857108,1.101820,-0.317012,0.000000,0.000000,1.958929,0.843883,0.000000,1.958929,0.918631,-0.000000,4.189900,2.917500,0.000000,611,614,0,608,611,0,614,618,0,611,609,0,24,7.275866,8.488510,0.601223,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  9690.000000,38
