Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,4534.000000,1071593.000000,126017.000000,0.000000,236.346052,27.793780,0.000000,0.000000,1464492.184604,2130038.044331,-111020.441332,0.000000,0.000000,0.000000,19.515441,28.384331,-1.479429,0.000000,0.000000,47.899772,551.744039,0.000000,47.899772,23.489232,-0.000000,42.727478,35.061989,0.000000,28,236,0,0,193,0,70,283,0,193,0,0,231,70.917198,91.179255,0.161005,69.384208,   124.388420,    11.152955,   107.000000,    47.000000,    67.000000,314588.000000,4534,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,174,70,225,2,283,0,194,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,11167.000000,3096073.000000,4351464.000000,0.000000,277.251992,389.671711,0.000000,0.000000,7991234.493594,14108406.893161,2193041.804421,0.000000,0.000000,0.000000,32.015861,56.523531,8.786142,0.000000,0.000000,88.539392,1732.453239,0.000000,88.539392,41.622749,-0.000000,72.012809,50.505075,0.000000,390,277,0,337,203,0,455,344,0,203,351,0,528,123.946968,148.106123,-0.311026,70.239186,    64.690859,     8.043062,   122.000000,    48.000000,    70.000000,784361.000000,11167,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2847585.000000,11167,5,9,2,180,406,214,455,297,408,342,380,344,349,204,-99,-99,-99,-99,-99,-99,-99,-99
2,2027.000000,509306.000000,196104.000000,0.000000,251.260976,96.745929,0.000000,0.000000,504036.153922,278894.943265,155156.403058,0.000000,0.000000,0.000000,19.648226,10.871821,6.048272,0.000000,0.000000,30.520047,177.030405,0.000000,30.520047,13.305277,-0.000000,19.642937,33.560602,0.000000,97,251,0,67,228,0,123,280,0,228,75,0,218,58.370828,62.860892,0.471570,67.661075,   242.992181,    15.588206,   108.000000,    42.000000,    65.000000,137149.000000,2027,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,167,123,279,67,252,67,249,67,238,73,231,74,229,-99,-99,-99,-99,-99,-99
3,11095.000000,3253269.000000,2329090.000000,0.000000,293.219378,209.922487,0.000000,0.000000,20123463.339331,8500136.033705,8161902.665160,0.000000,0.000000,0.000000,81.320427,34.349688,32.982861,0.000000,0.000000,115.670115,1705.462151,0.000000,115.670115,41.297241,-0.000000,38.923528,92.673361,0.000000,210,293,0,125,239,0,284,359,0,239,125,0,569,135.009251,178.887257,0.476015,71.564398,   139.772285,    11.822532,   127.000000,    46.000000,    70.000000,794007.000000,11095,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2829225.000000,11095,3,9,1,351,277,276,281,357,125,241,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,6232.000000,1933255.000000,745112.000000,0.000000,310.214216,119.562259,0.000000,0.000000,8951769.843386,3467749.020377,4525435.383824,0.000000,0.000000,0.000000,78.055884,30.237396,39.460002,0.000000,0.000000,108.293281,803.114941,0.000000,108.293281,28.339282,-0.000000,23.976020,84.844562,0.000000,120,310,0,40,257,0,189,365,0,257,65,0,514,123.957585,171.015558,0.513020,72.912066,   120.470199,    10.975891,   107.000000,    46.000000,    73.000000,454388.000000,6232,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1589160.000000,6232,5,9,2,171,189,333,177,353,170,360,167,363,42,275,-99,-99,-99,-99,-99,-99,-99,-99
5,7945.000000,2763250.000000,2463134.000000,0.000000,347.797356,310.023159,0.000000,0.000000,2378323.738702,13334139.744489,-1155420.713656,0.000000,0.000000,0.000000,15.001882,84.108483,-7.288110,0.000000,0.000000,99.110365,1208.669051,0.000000,99.110365,34.765917,-0.000000,80.416334,32.942020,0.000000,310,348,0,270,278,0,347,421,0,278,282,0,461,77.417803,143.775919,0.103938,72.193580,   170.537043,    13.058983,   146.000000,    43.000000,    71.000000,573578.000000,7945,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2025975.000000,7945,7,9,1,354,332,280,330,411,322,414,319,415,285,421,277,418,281,279,-99,-99,-99,-99
6,1551.000000,470796.000000,69362.000000,0.000000,303.543520,44.720825,0.000000,0.000000,324860.117343,254800.812379,202504.344293,0.000000,0.000000,0.000000,18.094531,14.192266,11.279381,0.000000,0.000000,32.286797,129.577955,0.000000,32.286797,11.383231,-0.000000,14.507274,35.162241,0.000000,45,304,0,13,279,0,76,331,0,279,19,0,230,67.973831,82.352911,0.699754,67.269503,    65.910546,     8.118531,    97.000000,    48.000000,    67.000000,104335.000000,1551,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,152,76,315,63,324,56,330,13,285,19,280,-99,-99,-99,-99,-99,-99,-99,-99
7,4463.000000,1560386.000000,100654.000000,0.000000,349.627156,22.552991,0.000000,0.000000,1067119.217566,3293423.588616,396279.177458,0.000000,0.000000,0.000000,14.522579,44.820676,5.393020,0.000000,0.000000,59.343256,621.827164,0.000000,59.343256,24.936462,-0.000000,52.937832,28.852996,0.000000,23,350,0,0,287,0,59,401,0,287,0,0,302,59.873285,115.687364,-0.171003,71.901187,   161.180507,    12.695688,   117.000000,    47.000000,    69.000000,320895.000000,4463,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,345,36,392,32,396,27,394,25,392,24,392,0,401,0,287,-99,-99,-99,-99
8,8990.000000,3260576.000000,4308624.000000,0.000000,362.689210,479.268520,0.000000,0.000000,6208499.791321,9529265.653389,-1993521.753503,0.000000,0.000000,0.000000,33.212921,50.977653,-10.664521,0.000000,0.000000,84.190575,1579.384804,0.000000,84.190575,39.741474,-0.000000,65.815922,46.728933,0.000000,479,363,0,425,300,0,548,428,0,300,459,0,605,135.831480,141.353085,0.438160,71.220912,   146.211065,    12.091776,   122.000000,    44.000000,    70.000000,640276.000000,8990,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,177,548,341,434,424,426,416,441,316,458,301,-99,-99,-99,-99,-99,-99,-99,-99
9,3985.000000,1421760.000000,422225.000000,0.000000,356.777917,105.953575,0.000000,0.000000,2406320.411543,1102158.456712,908099.914679,0.000000,0.000000,0.000000,38.087490,17.445078,14.373500,0.000000,0.000000,55.532568,457.841763,0.000000,55.532568,21.397237,-0.000000,24.849413,52.796279,0.000000,106,357,0,60,319,0,161,396,0,319,79,0,375,86.542184,113.516371,0.474022,70.646424,   177.833537,    13.335424,   135.000000,    45.000000,    69.000000,281526.000000,3985,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,171,161,369,118,395,60,336,76,320,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10,1217.000000,434889.000000,519706.000000,0.000000,357.345110,427.038619,0.000000,0.000000,100251.184880,171179.053410,-21912.220213,0.000000,0.000000,0.000000,7.715582,13.174369,-1.686419,0.000000,0.000000,20.889952,98.803931,0.000000,20.889952,9.940016,-0.000000,23.600999,17.182193,0.000000,427,357,0,409,332,0,444,385,0,332,429,0,212,36.384267,55.096175,0.276729,72.084634,   461.909771,    21.492086,   144.000000,    43.000000,    66.000000, 87727.000000,1217,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,3,96,430,332,444,370,422,381,414,377,412,374,410,371,409,369,424,336,-99,-99
11,5315.000000,2027296.000000,2000610.000000,0.000000,381.429162,376.408278,0.000000,0.000000,2582506.035747,2358680.079773,781131.716838,0.000000,0.000000,0.000000,27.842206,25.429120,8.421444,0.000000,0.000000,53.271327,637.082117,0.000000,53.271327,25.240485,-0.000000,35.213986,49.029510,0.000000,376,381,0,338,334,0,421,420,0,334,348,0,344,109.848431,113.818856,0.714247,72.893320,   206.224409,    14.360515,   166.000000,    45.000000,    71.000000,387428.000000,5315,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1355325.000000,5315,7,9,1,357,405,348,421,415,409,418,338,359,344,338,346,336,348,334,-99,-99,-99,-99
12,4572.000000,1696467.000000,1035412.000000,0.000000,371.055774,226.468066,0.000000,0.000000,3632514.337707,1036928.777558,827861.643044,0.000000,0.000000,0.000000,47.870251,13.664926,10.909783,0.000000,0.000000,61.535177,535.120088,0.000000,61.535177,23.132662,-0.000000,26.026678,57.440729,0.000000,226,371,0,168,335,0,280,407,0,335,194,0,369,75.002555,116.670641,0.283910,72.400043,   233.143583,    15.269040,   119.000000,    45.000000,    69.000000,331013.000000,4572,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,171,279,366,273,401,169,371,183,351,192,337,-99,-99,-99,-99,-99,-99,-99,-99
13,3957.000000,1614829.000000,2117013.000000,0.000000,408.094263,535.004548,0.000000,0.000000,2140611.918119,1643921.839777,-120913.696739,0.000000,0.000000,0.000000,34.201871,26.265949,-1.931912,0.000000,0.000000,60.467820,894.612332,0.000000,60.467820,29.910070,-0.000000,36.507209,42.289170,0.000000,535,408,0,483,351,0,583,440,0,351,547,0,449,91.333788,102.622234,-0.226547,76.295931,   122.611846,    11.073023,   123.000000,    46.000000,    77.000000,301903.000000,3957,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,159,545,353,583,436,483,433,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14,13558.000000,5521766.000000,10260190.000000,0.000000,407.269951,756.762796,0.000000,0.000000,28916193.154731,8500893.978162,-5110822.836552,0.000000,0.000000,0.000000,89.443120,26.294833,-15.808718,0.000000,0.000000,115.737954,2101.976414,0.000000,115.737954,45.847316,-0.000000,46.232888,93.963261,0.000000,757,407,0,666,359,0,844,459,0,359,764,0,510,102.755283,182.904405,-0.232097,75.645522,   259.778150,    16.117634,   137.000000,    44.000000,    74.000000,1025602.000000,13558,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,1,357,844,364,844,411,666,445,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15,5693.000000,2349253.000000,3646395.000000,0.000000,412.656420,640.505006,0.000000,0.000000,3430865.107323,3475861.957842,-1968578.207974,0.000000,0.000000,0.000000,33.750644,34.193294,-19.365606,0.000000,0.000000,67.943938,779.018997,0.000000,67.943938,27.910911,-0.000000,60.267919,31.536729,0.000000,641,413,0,587,363,0,698,466,0,363,682,0,431,144.838737,156.088348,0.779684,72.900755,   181.787935,    13.482875,   115.000000,    46.000000,    71.000000,415024.000000,5693,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,174,692,364,644,466,622,458,588,438,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16,6493.000000,2788274.000000,504690.000000,0.000000,429.427691,77.728322,0.000000,0.000000,2591852.761434,5523619.301092,750056.447558,0.000000,0.000000,0.000000,21.396847,45.599827,6.192035,0.000000,0.000000,66.996675,937.351254,0.000000,66.996675,30.616192,-0.000000,57.813383,37.586555,0.000000,78,429,0,34,367,0,126,499,0,367,63,0,513,94.633604,135.778650,-0.236472,73.389342,   266.670323,    16.330043,   181.000000,    44.000000,    70.000000,476517.000000,6493,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,180,84,372,123,452,84,498,35,400,63,367,-99,-99,-99,-99,-99,-99,-99,-99
17,6313.000000,2619718.000000,1235792.000000,0.000000,414.971962,195.753524,0.000000,0.000000,8472474.484078,1777020.037382,1937826.373831,0.000000,0.000000,0.000000,72.615480,15.230398,16.608629,0.000000,0.000000,87.845879,830.116134,0.000000,87.845879,28.811736,-0.000000,27.809360,74.394238,0.000000,196,415,0,117,374,0,266,455,0,374,164,0,486,83.870000,154.279383,0.262360,71.153968,   155.411017,    12.466395,   110.000000,    45.000000,    69.000000,449195.000000,6313,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1609815.000000,6313,5,9,2,171,266,413,257,443,118,406,129,392,163,375,-99,-99,-99,-99,-99,-99,-99,-99
18,1709.000000,736412.000000,26670.000000,0.000000,430.902282,15.605617,0.000000,0.000000,174318.186073,357452.681100,-25474.861907,0.000000,0.000000,0.000000,8.531392,17.494269,-1.246777,0.000000,0.000000,26.025662,147.696031,0.000000,26.025662,12.153025,-0.000000,28.588239,19.668499,0.000000,16,431,0,0,405,0,38,462,0,405,0,0,136,38.352442,57.528663,0.135673,68.926272,   161.204162,    12.696620,   100.000000,    46.000000,    68.000000,117795.000000,1709,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,164,20,406,27,408,3,462,0,460,0,405,11,408,12,405,15,405,-99,-99
19,10.000000,4091.000000,1133.000000,0.000000,409.099999,113.299999,0.000000,0.000000,8.099999,24.899999,11.699999,0.000000,0.000000,0.000000,0.375968,1.155755,0.543065,0.000000,0.000000,1.531724,0.139607,0.000000,1.531724,0.373640,-0.000000,3.505757,0.913202,0.000000,113,409,0,112,407,0,115,412,0,407,112,0,10,3.371843,5.619739,-0.474062,77.599999,    17.377777,     4.168666,    82.000000,    69.000000,    78.000000,   776.000000,10,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20,4920.000000,2189773.000000,1672095.000000,0.000000,445.075813,339.856707,0.000000,0.000000,3047025.978657,1379054.721747,267372.448170,0.000000,0.000000,0.000000,36.412963,16.480157,3.195188,0.000000,0.000000,52.893120,589.882140,0.000000,52.893120,24.287489,-0.000000,32.533597,49.445223,0.000000,340,445,0,287,411,0,384,485,0,411,339,0,352,74.899336,98.178860,0.155121,74.606707,   150.332583,    12.261018,   114.000000,    44.000000,    75.000000,367065.000000,4920,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1254600.000000,4920,4,9,2,171,383,426,377,471,372,477,288,426,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21,469.000000,202825.000000,128013.000000,0.000000,432.462686,272.948827,0.000000,0.000000,14912.771855,22080.597014,974.104477,0.000000,0.000000,0.000000,4.092555,6.059642,0.267326,0.000000,0.000000,10.152198,24.727961,0.000000,10.152198,4.972721,-0.000000,13.644837,11.131806,0.000000,273,432,0,263,418,0,284,446,0,418,269,0,98,21.186246,28.248329,-0.132693,65.814498,    41.095857,     6.410605,    88.000000,    53.000000,    65.000000, 30867.000000,469,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,97,279,444,277,444,268,446,266,442,263,425,266,422,267,421,269,418,-99,-99
22,5186.000000,2355527.000000,2215648.000000,0.000000,454.208831,427.236405,0.000000,0.000000,3973974.166601,1464390.835518,-327232.027381,0.000000,0.000000,0.000000,44.270560,16.313493,-3.645405,0.000000,0.000000,60.584054,708.918546,0.000000,60.584054,26.625524,-0.000000,32.221073,54.140112,0.000000,427,454,0,375,419,0,483,492,0,419,421,0,376,73.597890,108.884549,-0.127552,77.051099,   258.559587,    16.079788,   130.000000,    44.000000,    76.000000,399587.000000,5186,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,1,347,479,431,483,440,480,466,379,485,376,482,387,424,-99,-99,-99,-99,-99,-99
23,3504.000000,1633035.000000,617791.000000,0.000000,466.048801,176.310216,0.000000,0.000000,1784571.794234,1907954.654965,1535394.952910,0.000000,0.000000,0.000000,33.531158,35.849457,28.849257,0.000000,0.000000,69.380616,369.794163,0.000000,69.380616,19.230032,-0.000000,61.426468,18.583703,0.000000,176,466,0,130,424,0,222,517,0,424,131,0,382,127.572021,128.958674,-0.765319,73.261986,   197.989008,    14.070856,   167.000000,    43.000000,    73.000000,256710.000000,3504,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,325,221,507,219,509,216,510,214,512,212,513,208,516,141,453,131,424,-99,-99
24,6433.000000,3000025.000000,3529485.000000,0.000000,466.349292,548.653039,0.000000,0.000000,9500595.583085,1520706.139281,229127.621327,0.000000,0.000000,0.000000,79.408336,12.710439,1.915105,0.000000,0.000000,92.118775,1005.647214,0.000000,92.118775,31.711941,-0.000000,29.616422,74.212361,0.000000,549,466,0,484,434,0,642,513,0,434,516,0,512,79.032505,158.065010,0.028681,72.897404,   173.383440,    13.167514,   116.000000,    46.000000,    71.000000,468949.000000,6433,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1640415.000000,6433,3,9,2,174,642,474,515,512,485,447,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25,87.000000,38968.000000,3409.000000,0.000000,447.908045,39.183908,0.000000,0.000000,701.057471,721.264367,157.471264,0.000000,0.000000,0.000000,1.818561,1.870978,0.408484,0.000000,0.000000,3.689539,3.235629,0.000000,3.689539,1.798785,-0.000000,6.102041,4.869478,0.000000,39,448,0,32,441,0,44,453,0,441,40,0,46,16.452031,16.452031,-0.753361,63.459770,   107.274525,    10.357341,    89.000000,    49.000000,    60.000000,  5521.000000,87,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,1,9,1,2,39,443,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26,29.000000,13038.000000,3720.000000,0.000000,449.586206,128.275862,0.000000,0.000000,17.793103,345.034482,-26.689655,0.000000,0.000000,0.000000,0.199704,3.872563,-0.299556,0.000000,0.000000,4.072267,0.683633,0.000000,4.072267,0.826821,-0.000000,6.756107,1.433495,0.000000,128,450,0,127,442,0,129,455,0,442,129,0,25,2.006554,13.042602,0.080847,74.758620,    33.475369,     5.785790,    86.000000,    63.000000,    73.000000,  2168.000000,29,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
27,6023.000000,2868237.000000,4648306.000000,0.000000,476.214012,771.759256,0.000000,0.000000,7305894.921466,1465173.137306,-1188219.681221,0.000000,0.000000,0.000000,66.668845,13.370217,-10.842920,0.000000,0.000000,80.039063,773.808036,0.000000,80.039063,27.817405,-0.000000,28.225336,69.799044,0.000000,772,476,0,707,444,0,844,515,0,444,807,0,411,72.346137,139.597476,-0.193209,78.249045,   197.475329,    14.052591,   123.000000,    48.000000,    78.000000,471294.000000,6023,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,177,844,469,709,485,708,467,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28,2285.000000,1087668.000000,671611.000000,0.000000,476.003501,293.921663,0.000000,0.000000,778032.977680,336925.971991,225008.626695,0.000000,0.000000,0.000000,25.851340,11.194882,7.476257,0.000000,0.000000,37.046223,233.508304,0.000000,37.046223,15.280978,-0.000000,20.083095,38.102850,0.000000,294,476,0,261,446,0,334,499,0,446,284,0,288,57.486545,79.179581,0.397698,68.399562,   172.604290,    13.137895,   124.000000,    43.000000,    67.000000,156293.000000,2285,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,164,330,499,264,477,261,472,262,469,266,457,284,448,-99,-99,-99,-99,-99,-99
29,5824.000000,2947180.000000,4062269.000000,0.000000,506.040521,697.504979,0.000000,0.000000,4806099.855596,4495358.436811,3491640.824861,0.000000,0.000000,0.000000,45.866714,42.901173,33.322256,0.000000,0.000000,88.767888,857.363082,0.000000,88.767888,29.280763,-0.000000,27.284634,72.439540,0.000000,698,506,0,646,448,0,756,562,0,448,662,0,528,152.216958,157.752121,0.763163,73.273695,   133.736859,    11.564465,   114.000000,    48.000000,    72.000000,426746.000000,5824,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,347,756,562,648,462,651,457,653,456,655,454,657,452,662,448,689,457,-99,-99
30,2791.000000,1343473.000000,660296.000000,0.000000,481.359011,236.580437,0.000000,0.000000,880941.691866,881274.270870,608548.402006,0.000000,0.000000,0.000000,22.418198,22.426662,15.486335,0.000000,0.000000,44.844861,262.938769,0.000000,44.844861,16.215386,-0.000000,45.888318,19.628621,0.000000,237,481,0,199,449,0,274,519,0,449,208,0,298,98.981426,106.051528,-0.785261,72.206019,   137.529225,    11.727285,   112.000000,    46.000000,    73.000000,201527.000000,2791,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,162,269,492,273,515,200,452,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
31,5346.000000,2705970.000000,706805.000000,0.000000,506.167227,132.211934,0.000000,0.000000,3045676.878600,2297596.498315,445952.530864,0.000000,0.000000,0.000000,32.582061,24.579242,4.770713,0.000000,0.000000,57.161303,778.082659,0.000000,57.161303,27.894133,-0.000000,38.212320,47.682686,0.000000,132,506,0,85,458,0,185,552,0,458,124,0,465,103.722566,110.343156,0.436436,70.626449,   155.402997,    12.466073,   127.000000,    45.000000,    70.000000,377569.000000,5346,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,180,184,518,171,531,152,551,96,538,85,525,85,509,102,464,124,458,-99,-99
