Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,152.000000,22441.000000,85766.000000,0.000000,147.638157,564.250000,0.000000,0.000000,7720.500000,703.098684,-748.249999,0.000000,0.000000,0.000000,9.517450,0.866745,-0.922405,0.000000,0.000000,10.384196,7.398373,0.000000,10.384196,2.719995,-0.000000,3.872279,13.687836,0.000000,564,148,0,547,142,0,575,151,0,142,573,0,84,9.049893,28.155222,-0.105054,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 38760.000000,152
1,78.000000,13165.000000,58672.000000,0.000000,168.782051,752.205128,0.000000,0.000000,348.717948,935.294871,228.487179,0.000000,0.000000,0.000000,1.046360,2.806439,0.685597,0.000000,0.000000,3.852800,2.466505,0.000000,3.852800,1.570511,-0.000000,7.071206,3.650719,0.000000,752,169,0,748,162,0,756,176,0,162,749,0,44,8.458946,14.803155,-0.330918,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 19890.000000,78
2,373.000000,76238.000000,299963.000000,0.000000,204.391420,804.190348,0.000000,0.000000,6289.485254,23860.852546,2992.209115,0.000000,0.000000,0.000000,2.342448,8.886706,1.114414,0.000000,0.000000,11.229154,19.574729,0.000000,11.229154,4.424333,-0.000000,15.879468,7.744895,0.000000,804,204,0,795,191,0,812,221,0,191,796,0,102,17.231572,30.408656,-0.164128,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 95115.000000,373
3,260.000000,54084.000000,179198.000000,0.000000,208.015384,689.223076,0.000000,0.000000,2955.061538,18801.938461,-3954.892307,0.000000,0.000000,0.000000,1.780746,11.330215,-2.383253,0.000000,0.000000,13.110961,14.496343,0.000000,13.110961,3.807406,-0.000000,16.737400,5.358754,0.000000,689,208,0,682,192,0,697,226,0,192,696,0,97,15.411041,34.931693,0.231479,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 66300.000000,260
4,119.000000,24463.000000,77268.000000,0.000000,205.571428,649.310924,0.000000,0.000000,2085.495798,3331.142857,2374.857142,0.000000,0.000000,0.000000,3.562979,5.691114,4.057341,0.000000,0.000000,9.254094,3.815307,0.000000,9.254094,1.953281,-0.000000,13.126802,2.906541,0.000000,649,206,0,642,195,0,657,215,0,195,642,0,69,18.945809,25.261079,-0.657157,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 30345.000000,119
5,42.000000,9740.000000,32971.000000,0.000000,231.904761,785.023809,0.000000,0.000000,244.976190,173.619047,-148.904761,0.000000,0.000000,0.000000,1.677998,1.189227,-1.019943,0.000000,0.000000,2.867225,0.955236,0.000000,2.867225,0.977362,-0.000000,2.303637,5.851065,0.000000,785,232,0,780,228,0,789,235,0,228,788,0,31,8.915167,11.462358,-0.667811,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 10710.000000,42
6,99.000000,24573.000000,55815.000000,0.000000,248.212121,563.787878,0.000000,0.000000,508.545454,2238.545454,-317.545454,0.000000,0.000000,0.000000,1.110408,4.887862,-0.693360,0.000000,0.000000,5.998271,4.946776,0.000000,5.998271,2.224135,-0.000000,9.007741,3.998003,0.000000,564,248,0,559,235,0,568,255,0,235,564,0,57,9.141076,20.313503,0.175915,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 25245.000000,99
7,72.000000,17348.000000,53378.000000,0.000000,240.944444,741.361111,0.000000,0.000000,270.611111,655.777777,-5.555555,0.000000,0.000000,0.000000,0.903446,2.189340,-0.018547,0.000000,0.000000,3.092786,1.977607,0.000000,3.092786,1.406274,-0.000000,6.004876,3.856627,0.000000,741,241,0,738,235,0,745,247,0,235,740,0,37,7.000727,12.001247,0.014419,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18360.000000,72
8,49.000000,12146.000000,33919.000000,0.000000,247.877551,692.224489,0.000000,0.000000,128.530612,971.265306,288.346938,0.000000,0.000000,0.000000,0.716822,5.416803,1.608127,0.000000,0.000000,6.133626,1.296813,0.000000,6.133626,1.138777,-0.000000,9.151040,1.761981,0.000000,692,248,0,690,239,0,696,255,0,239,690,0,42,6.280625,16.748335,-0.300059,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 12495.000000,49
9,167.000000,43819.000000,87967.000000,0.000000,262.389221,526.748502,0.000000,0.000000,1397.437125,3657.700598,-20.652694,0.000000,0.000000,0.000000,1.519533,3.977280,-0.022457,0.000000,0.000000,5.496813,6.043106,0.000000,5.496813,2.458273,-0.000000,9.317079,5.758393,0.000000,527,262,0,521,253,0,532,271,0,253,525,0,59,11.000459,18.000751,0.009136,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 42585.000000,167
