Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,121.000000,39285.000000,37933.000000,0.000000,324.669421,313.495867,0.000000,0.000000,2394.247933,802.776859,-675.165289,0.000000,0.000000,0.000000,4.000570,1.341367,-1.128139,0.000000,0.000000,5.341938,4.093534,0.000000,5.341938,2.023248,-0.000000,4.242056,9.256073,0.000000,313,325,0,305,320,0,322,330,0,320,316,0,55,10.652439,18.109146,-0.351805,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 30855.000000,121
1,56.000000,20778.000000,14158.000000,0.000000,371.035714,252.821428,0.000000,0.000000,126.214285,759.928571,160.357142,0.000000,0.000000,0.000000,0.589102,3.546952,0.748464,0.000000,0.000000,4.136055,1.529321,0.000000,4.136055,1.236657,-0.000000,7.438585,2.469153,0.000000,253,371,0,250,364,0,256,377,0,364,251,0,38,6.168472,13.365023,-0.234252,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14280.000000,56
2,378.000000,146706.000000,61612.000000,0.000000,388.111111,162.994708,0.000000,0.000000,76287.989417,38273.333333,52379.222222,0.000000,0.000000,0.000000,27.912609,14.003627,19.164756,0.000000,0.000000,41.916236,23.589884,0.000000,41.916236,4.856941,-0.000000,3.907945,33.267167,0.000000,163,388,0,140,370,0,191,411,0,370,142,0,191,50.068658,62.280526,0.611347,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 96390.000000,378
3,222.000000,86438.000000,62291.000000,0.000000,389.360360,280.590090,0.000000,0.000000,8637.698198,14741.171171,9469.792792,0.000000,0.000000,0.000000,6.425802,10.966331,7.044819,0.000000,0.000000,17.392133,20.838005,0.000000,17.392133,4.564866,-0.000000,17.655073,5.006507,0.000000,281,389,0,266,375,0,290,407,0,375,266,0,125,29.691620,39.588827,-0.629522,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 56610.000000,222
4,25.000000,10626.000000,10047.000000,0.000000,425.039999,401.879999,0.000000,0.000000,84.639999,72.959999,61.119999,0.000000,0.000000,0.000000,1.157858,0.998078,0.836109,0.000000,0.000000,2.155937,0.456554,0.000000,2.155937,0.675688,-0.000000,1.671498,4.744412,0.000000,402,425,0,399,422,0,405,428,0,422,399,0,23,8.108417,8.108417,0.737767,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6375.000000,25
5,42.000000,18237.000000,19228.000000,0.000000,434.214285,457.809523,0.000000,0.000000,124.476190,287.071428,124.714285,0.000000,0.000000,0.000000,0.852616,1.966335,0.854247,0.000000,0.000000,2.818952,0.946791,0.000000,2.818952,0.973032,-0.000000,5.794423,2.320997,0.000000,458,434,0,455,429,0,461,439,0,429,456,0,30,6.824155,11.373592,-0.496553,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 10710.000000,42
6,452.000000,207933.000000,239364.000000,0.000000,460.028761,529.566371,0.000000,0.000000,18485.008849,96538.626106,-36207.362831,0.000000,0.000000,0.000000,5.328869,27.830213,-10.437880,0.000000,0.000000,33.159082,39.354227,0.000000,33.159082,6.273294,-0.000000,29.105490,5.719002,0.000000,530,460,0,519,432,0,543,490,0,432,541,0,171,25.781934,62.306341,0.373970,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,115260.000000,452
7,151.000000,67504.000000,31087.000000,0.000000,447.046357,205.874172,0.000000,0.000000,2630.609271,2060.675496,605.880794,0.000000,0.000000,0.000000,3.271551,2.562754,0.753502,0.000000,0.000000,5.834305,7.816417,0.000000,5.834305,2.795785,-0.000000,6.315748,8.470975,0.000000,206,447,0,198,438,0,214,454,0,438,203,0,71,18.951112,18.951112,0.565580,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 38505.000000,151
8,101.000000,45622.000000,16298.000000,0.000000,451.702970,161.366336,0.000000,0.000000,975.445544,1149.089108,575.990099,0.000000,0.000000,0.000000,2.073836,2.443009,1.224578,0.000000,0.000000,4.516846,3.566811,0.000000,4.516846,1.888600,-0.000000,7.891093,4.261888,0.000000,161,452,0,157,444,0,168,457,0,444,157,0,48,14.512359,17.150969,-0.710593,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 25755.000000,101
9,20.000000,9083.000000,4960.000000,0.000000,454.149999,248.000000,0.000000,0.000000,30.000000,40.549999,9.000000,0.000000,0.000000,0.000000,0.552604,0.746937,0.165781,0.000000,0.000000,1.299542,0.385277,0.000000,1.299542,0.620707,-0.000000,2.980713,2.197513,0.000000,248,454,0,246,451,0,250,456,0,451,247,0,17,4.610115,5.762644,-0.520325,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  5100.000000,20
