Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,6067.000000,2029959.000000,1176601.000000,0.000000,334.590242,193.934564,0.000000,0.000000,5185555.021920,3954647.342343,3279344.326190,0.000000,0.000000,0.000000,46.862981,35.739003,29.636143,0.000000,0.000000,82.601985,796.535243,0.000000,82.601985,28.222955,-0.000000,28.064402,71.053122,0.000000,194,335,0,128,282,0,247,395,0,282,151,0,462,146.836512,154.633141,0.692639,77.148343,   186.298135,    13.649107,   130.000000,    50.000000,    75.000000,468059.000000,6067,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,353,247,382,238,388,228,395,128,314,141,301,142,299,146,287,151,282,-99,-99
1,4220.000000,1538993.000000,671498.000000,0.000000,364.690284,159.122748,0.000000,0.000000,3850538.416113,1914812.201658,2170660.432701,0.000000,0.000000,0.000000,56.463985,28.078651,31.830389,0.000000,0.000000,84.542636,572.258870,0.000000,84.542636,23.921932,-0.000000,21.143244,68.164228,0.000000,159,365,0,110,316,0,223,411,0,316,123,0,435,113.254405,134.713134,0.575685,75.607109,    61.382931,     7.834725,   110.000000,    52.000000,    75.000000,319062.000000,4220,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,306,223,397,110,347,114,324,116,323,118,321,120,319,123,316,-99,-99,-99,-99
2,4384.000000,1605704.000000,1531146.000000,0.000000,366.264598,349.257755,0.000000,0.000000,1356212.736313,2633305.065692,1069981.003649,0.000000,0.000000,0.000000,18.901680,36.700652,14.912438,0.000000,0.000000,55.602332,471.323180,0.000000,55.602332,21.709978,-0.000000,54.129182,26.017585,0.000000,349,366,0,311,316,0,389,413,0,316,329,0,350,89.694793,111.543525,-0.516372,74.263914,   161.291729,    12.700068,   121.000000,    53.000000,    71.000000,325573.000000,4384,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,174,388,407,312,332,321,327,329,316,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,3685.000000,1387698.000000,1497840.000000,0.000000,376.580189,406.469470,0.000000,0.000000,926331.815467,1928859.553866,705514.271370,0.000000,0.000000,0.000000,16.274834,33.888365,12.395264,0.000000,0.000000,50.163199,397.884952,0.000000,50.163199,19.947053,-0.000000,49.277919,24.398721,0.000000,406,377,0,372,337,0,444,421,0,337,382,0,313,81.027106,94.531624,-0.476530,77.050203,   103.441832,    10.170635,   107.000000,    53.000000,    76.000000,283930.000000,3685,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,174,443,421,372,340,409,341,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4,10751.000000,4462871.000000,5253937.000000,0.000000,415.112175,488.692865,0.000000,0.000000,9149513.842801,12251860.716207,3118976.403867,0.000000,0.000000,0.000000,38.559631,51.634134,13.144586,0.000000,0.000000,90.193765,1818.213011,0.000000,90.193765,42.640509,-0.000000,70.934337,50.599043,0.000000,489,415,0,428,350,0,566,487,0,350,430,0,552,161.159574,162.335921,-0.554641,75.465910,   115.699837,    10.756385,   135.000000,    50.000000,    75.000000,811334.000000,10751,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,357,566,408,512,487,482,484,478,483,474,482,471,481,430,350,-99,-99,-99,-99
5,4551.000000,1903518.000000,498331.000000,0.000000,418.263678,109.499230,0.000000,0.000000,1226875.747308,3898055.586024,1352537.922873,0.000000,0.000000,0.000000,16.267649,51.685919,17.933855,0.000000,0.000000,67.953568,519.185232,0.000000,67.953568,22.785636,-0.000000,61.982798,23.864500,0.000000,109,418,0,71,365,0,147,474,0,365,89,0,368,82.369769,118.135591,-0.395851,77.974730,   139.197822,    11.798212,   125.000000,    55.000000,    77.000000,354863.000000,4551,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,2,170,136,474,104,464,75,374,80,370,87,366,-99,-99,-99,-99,-99,-99,-99,-99
6,4426.000000,1897637.000000,732402.000000,0.000000,428.747627,165.477180,0.000000,0.000000,1581604.195209,2517521.100089,1132979.010392,0.000000,0.000000,0.000000,21.764528,34.643724,15.590976,0.000000,0.000000,56.408252,510.925772,0.000000,56.408252,22.603667,-0.000000,53.700269,26.930369,0.000000,165,429,0,123,376,0,204,472,0,376,125,0,366,97.450686,115.497110,-0.589552,79.688657,   354.235247,    18.821138,   254.000000,    52.000000,    77.000000,352702.000000,4426,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,174,193,471,123,378,152,464,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7,4444.000000,1914655.000000,245368.000000,0.000000,430.840459,55.213321,0.000000,0.000000,1685927.771376,1895631.885463,-54662.755175,0.000000,0.000000,0.000000,23.074921,25.945095,-0.748157,0.000000,0.000000,49.020016,598.121298,0.000000,49.020016,24.456518,-0.000000,40.143017,37.574371,0.000000,55,431,0,8,382,0,96,473,0,382,60,0,383,90.602978,93.691715,0.240283,79.272277,   154.812636,    12.442372,   113.000000,    51.000000,    79.000000,352286.000000,4444,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,174,64,382,95,463,41,473,23,456,9,435,49,385,-99,-99,-99,-99,-99,-99
8,1.000000,384.000000,270.000000,0.000000,384.000000,270.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,270,384,0,270,384,0,270,384,0,384,270,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,    91.000000,    91.000000,    91.000000,    91.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,4682.000000,2038502.000000,1269755.000000,0.000000,435.391285,271.199273,0.000000,0.000000,1251661.077530,3107209.164459,564801.930371,0.000000,0.000000,0.000000,15.980052,39.669976,7.210869,0.000000,0.000000,55.650029,581.931670,0.000000,55.650029,24.123259,-0.000000,51.775374,29.957397,0.000000,271,435,0,233,386,0,308,487,0,386,251,0,409,77.893548,104.896645,-0.273421,78.916061,   153.555225,    12.391740,   114.000000,    52.000000,    79.000000,369485.000000,4682,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1193910.000000,4682,6,9,3,111,304,472,273,486,258,484,238,393,245,389,250,387,-99,-99,-99,-99,-99,-99
