Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,22.000000,11279.000000,7406.000000,0.000000,512.681818,336.636363,0.000000,0.000000,45.090909,52.772727,2.454545,0.000000,0.000000,0.000000,0.731462,0.856076,0.039817,0.000000,0.000000,1.587539,0.624602,0.000000,1.587539,0.790317,-0.000000,2.940622,2.678336,0.000000,337,513,0,334,509,0,339,515,0,509,337,0,19,5.209134,6.250960,-0.284320,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  5610.000000,22
1,83.000000,43498.000000,38608.000000,0.000000,524.072289,465.156626,0.000000,0.000000,674.963855,2381.566265,-1081.939759,0.000000,0.000000,0.000000,1.864273,6.577969,-2.988355,0.000000,0.000000,8.442243,3.332867,0.000000,8.442243,1.825614,-0.000000,11.293944,2.568616,0.000000,465,524,0,459,514,0,471,533,0,514,469,0,68,13.336384,21.115941,0.451498,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 21165.000000,83
2,235.000000,127986.000000,161995.000000,0.000000,544.621276,689.340425,0.000000,0.000000,12162.765957,35981.293617,20049.297872,0.000000,0.000000,0.000000,8.387036,24.811496,13.825325,0.000000,0.000000,33.198532,16.955312,0.000000,33.198532,4.117682,-0.000000,26.306270,3.314622,0.000000,689,545,0,674,523,0,701,568,0,523,674,0,163,31.066338,51.777230,-0.517400,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 59925.000000,235
3,296.000000,164551.000000,218036.000000,0.000000,555.915540,736.608108,0.000000,0.000000,18344.540540,38178.888513,25068.202702,0.000000,0.000000,0.000000,9.299320,19.353863,12.707718,0.000000,0.000000,28.653183,18.491672,0.000000,28.653183,4.300194,-0.000000,26.010036,3.995636,0.000000,737,556,0,723,533,0,752,577,0,533,724,0,167,35.066389,53.204177,-0.597041,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 75480.000000,296
4,355.000000,200245.000000,219872.000000,0.000000,564.070422,619.357746,0.000000,0.000000,5209.566197,61347.239436,12537.056338,0.000000,0.000000,0.000000,2.072512,24.405659,4.987594,0.000000,0.000000,26.478172,25.704931,0.000000,26.478172,5.070003,-0.000000,25.296283,5.035640,0.000000,619,564,0,610,537,0,627,590,0,537,617,0,164,17.381989,54.190907,-0.210033,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 90525.000000,355
5,73.000000,40615.000000,29505.000000,0.000000,556.369863,404.178082,0.000000,0.000000,442.684931,843.013698,-351.808219,0.000000,0.000000,0.000000,1.450989,2.763148,-1.153122,0.000000,0.000000,4.214137,2.679606,0.000000,4.214137,1.636950,-0.000000,7.272969,3.467179,0.000000,404,556,0,400,551,0,410,564,0,551,404,0,50,11.568156,15.038603,0.526757,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18615.000000,73
6,158.000000,94729.000000,110567.000000,0.000000,599.550632,699.791139,0.000000,0.000000,2258.107594,2243.094936,710.170886,0.000000,0.000000,0.000000,2.643637,2.626061,0.831419,0.000000,0.000000,5.269698,6.251095,0.000000,5.269698,2.500219,-0.000000,6.132855,8.502619,0.000000,700,600,0,691,592,0,708,607,0,592,697,0,70,21.101981,23.915578,0.780113,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 40290.000000,158
7,589.000000,379279.000000,383824.000000,0.000000,643.937181,651.653650,0.000000,0.000000,117657.344651,177984.675721,129746.185059,0.000000,0.000000,0.000000,23.830435,36.049193,26.278921,0.000000,0.000000,59.879629,168.486271,0.000000,59.879629,12.980226,-0.000000,35.392355,8.071054,0.000000,652,644,0,628,597,0,677,673,0,597,628,0,319,62.573054,97.052083,-0.671185,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,150195.000000,589
8,335.000000,209075.000000,188027.000000,0.000000,624.104477,561.274626,0.000000,0.000000,3944.734328,55923.343283,9979.388059,0.000000,0.000000,0.000000,1.695474,24.036250,4.289211,0.000000,0.000000,25.731725,22.355519,0.000000,25.731725,4.728162,-0.000000,24.930841,4.747090,0.000000,561,624,0,551,599,0,567,653,0,599,554,0,155,16.272637,54.920151,-0.183310,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 85425.000000,335
9,1466.000000,928595.000000,1055283.000000,0.000000,633.420873,719.838335,0.000000,0.000000,185788.685538,453255.321282,115461.746930,0.000000,0.000000,0.000000,11.155969,27.216417,6.933079,0.000000,0.000000,38.372386,255.557919,0.000000,38.372386,15.986179,-0.000000,32.941461,17.674230,0.000000,720,633,0,689,599,0,743,682,0,599,712,0,539,57.614602,88.555777,-0.356103,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,373830.000000,1466
