Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,4473.000000,1312751.000000,1975039.000000,0.000000,293.483344,441.546836,0.000000,0.000000,1797964.437737,2401273.009165,-1116938.260674,0.000000,0.000000,0.000000,24.395846,32.581895,-15.155280,0.000000,0.000000,56.977742,565.180409,0.000000,56.977742,23.773523,-0.000000,52.688804,28.347586,0.000000,442,293,0,405,254,0,485,347,0,254,472,0,355,100.761298,117.135009,0.653508,48.743348,    19.969446,     4.468718,    71.000000,    39.000000,    48.000000,218029.000000,4473,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,171,477,255,415,347,416,260,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,7613.000000,2449034.000000,2817032.000000,0.000000,321.691054,370.029160,0.000000,0.000000,3756075.526335,7003347.360828,-821835.414159,0.000000,0.000000,0.000000,25.079942,46.762518,-5.487532,0.000000,0.000000,71.842461,1142.688288,0.000000,71.842461,33.803672,-0.000000,60.087701,42.252781,0.000000,370,322,0,318,264,0,415,385,0,264,408,0,454,99.724428,124.398513,0.234285,46.070668,     6.406198,     2.531046,    60.000000,    38.000000,    46.000000,350736.000000,7613,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1941315.000000,7613,4,9,1,354,410,264,412,266,352,385,318,296,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2,3888.000000,1307436.000000,1840846.000000,0.000000,336.274691,473.468621,0.000000,0.000000,1421628.171810,1396402.629629,-253771.487654,0.000000,0.000000,0.000000,23.253286,22.840677,-4.150889,0.000000,0.000000,46.093964,513.890941,0.000000,46.093964,22.669162,-0.000000,33.271409,39.925690,0.000000,473,336,0,426,288,0,506,371,0,288,488,0,324,110.429420,114.570524,-0.760567,46.380658,     2.974176,     1.724580,    52.000000,    40.000000,    46.000000,180328.000000,3888,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,2,177,488,288,506,368,427,351,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,9136.000000,3375745.000000,473672.000000,0.000000,369.499233,51.846760,0.000000,0.000000,7994685.464095,6821409.994634,2639962.927319,0.000000,0.000000,0.000000,41.859425,35.716264,13.822598,0.000000,0.000000,77.575689,1303.998067,0.000000,77.575689,36.110913,-0.000000,44.955750,65.916343,0.000000,52,369,0,0,313,0,113,430,0,313,0,0,383,144.864463,149.992408,0.676067,48.373467,    12.256565,     3.500937,    71.000000,    40.000000,    48.000000,441940.000000,9136,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2329680.000000,9136,5,9,1,354,112,415,108,419,112,429,0,395,0,313,-99,-99,-99,-99,-99,-99,-99,-99
4,13017.000000,4928950.000000,3444754.000000,0.000000,378.654835,264.635015,0.000000,0.000000,17214062.959814,14996762.178068,-6240830.874240,0.000000,0.000000,0.000000,56.217152,48.975960,-20.381111,0.000000,0.000000,105.193113,2337.899354,0.000000,105.193113,48.351828,-0.000000,53.517824,81.127917,0.000000,265,379,0,205,319,0,347,463,0,319,256,0,580,185.268559,187.877976,-0.697492,46.863255,    10.334864,     3.214788,    61.000000,    39.000000,    46.000000,610019.000000,13017,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,3319335.000000,13017,5,9,2,180,333,336,338,366,347,388,211,462,214,329,-99,-99,-99,-99,-99,-99,-99,-99
5,10899.000000,4152047.000000,1707144.000000,0.000000,380.956693,156.633085,0.000000,0.000000,8898831.709327,11641959.559221,573617.816405,0.000000,0.000000,0.000000,36.825681,48.177458,2.373779,0.000000,0.000000,85.003139,1768.532889,0.000000,85.003139,42.053928,-0.000000,64.510445,55.759568,0.000000,157,381,0,93,328,0,211,447,0,328,180,0,512,120.352824,121.372764,-0.198057,50.951922,    30.514847,     5.524024,    83.000000,    39.000000,    50.000000,555325.000000,10899,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2779245.000000,10899,7,9,2,177,209,328,201,427,168,447,151,446,135,444,121,437,93,330,-99,-99,-99,-99
6,5780.000000,2318147.000000,2715832.000000,0.000000,401.063494,469.867128,0.000000,0.000000,4134123.954324,2002663.697404,646011.764013,0.000000,0.000000,0.000000,39.854715,19.306530,6.227828,0.000000,0.000000,59.161245,730.670435,0.000000,59.161245,27.030916,-0.000000,35.041203,53.921047,0.000000,470,401,0,418,362,0,519,438,0,362,429,0,354,78.911128,104.868736,0.272471,47.963494,     9.907820,     3.147669,    66.000000,    40.000000,    48.000000,277229.000000,5780,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,345,519,417,517,434,515,438,419,425,418,420,427,370,429,362,-99,-99,-99,-99
7,5971.000000,2615159.000000,2211860.000000,0.000000,437.976720,370.433763,0.000000,0.000000,3205578.553340,3185463.764192,-801520.706916,0.000000,0.000000,0.000000,29.592182,29.406493,-7.399209,0.000000,0.000000,58.998675,815.454019,0.000000,58.998675,28.556155,-0.000000,39.190123,50.639920,0.000000,370,438,0,322,389,0,416,485,0,389,354,0,380,132.109873,134.920721,-0.779124,51.625858,    11.139726,     3.337622,    69.000000,    43.000000,    51.000000,308258.000000,5971,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,177,413,416,416,430,414,458,324,479,353,390,366,389,369,389,-99,-99,-99,-99
8,6742.000000,3043087.000000,1902803.000000,0.000000,451.362652,282.231237,0.000000,0.000000,7387254.501481,4483146.315780,-4227389.374516,0.000000,0.000000,0.000000,58.000454,35.199074,-33.191019,0.000000,0.000000,93.199529,939.918591,0.000000,93.199529,30.658091,-0.000000,28.927018,77.081433,0.000000,282,451,0,214,396,0,343,505,0,396,330,0,479,133.923538,158.496665,-0.619967,49.146395,    19.330144,     4.396606,    70.000000,    40.000000,    48.000000,331345.000000,6742,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,342,343,396,222,491,217,485,216,480,214,475,-99,-99,-99,-99,-99,-99,-99,-99
9,13952.000000,7017704.000000,1179975.000000,0.000000,502.989105,84.573896,0.000000,0.000000,13483017.812994,29844540.344022,11472019.232218,0.000000,0.000000,0.000000,40.142567,88.855218,34.155284,0.000000,0.000000,128.997786,2400.293164,0.000000,128.997786,48.992786,-0.000000,99.726559,45.898793,0.000000,85,503,0,13,418,0,148,604,0,418,36,0,640,151.857949,209.226508,-0.475664,49.819882,     9.268178,     3.044368,    66.000000,    41.000000,    50.000000,695087.000000,13952,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,3557760.000000,13952,4,9,2,180,139,592,117,603,15,474,35,421,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
