Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,32.000000,3475.000000,16630.000000,0.000000,108.593750,519.687500,0.000000,0.000000,32.875000,207.718750,5.937500,0.000000,0.000000,0.000000,0.323593,2.044603,0.058443,0.000000,0.000000,2.368196,0.658203,0.000000,2.368196,0.811297,-0.000000,5.083515,2.015182,0.000000,520,109,0,518,104,0,521,114,0,104,520,0,23,3.001725,10.005751,-0.033906,40.281250,     1.498991,     1.224333,    44.000000,    38.000000,    40.000000,  1289.000000,32,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1,11540.000000,4257711.000000,5533364.000000,0.000000,368.952426,479.494280,0.000000,0.000000,5796200.622527,30823436.882049,6688203.360135,0.000000,0.000000,0.000000,22.226393,118.197053,25.646910,0.000000,0.000000,140.423446,1969.330188,0.000000,140.423446,44.377135,-0.000000,103.824946,36.971765,0.000000,479,369,0,422,273,0,528,466,0,273,444,0,611,109.274434,198.961941,-0.245422,39.987435,     7.584294,     2.753959,    59.000000,    33.000000,    40.000000,461455.000000,11540,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2942700.000000,11540,5,9,1,353,490,277,516,458,487,459,465,466,444,273,-99,-99,-99,-99,-99,-99,-99,-99
2,7787.000000,3154983.000000,3301822.000000,0.000000,405.160267,424.017208,0.000000,0.000000,2425085.694104,10321747.986640,506378.524206,0.000000,0.000000,0.000000,15.712074,66.874367,3.280814,0.000000,0.000000,82.586441,1039.971277,0.000000,82.586441,32.248585,-0.000000,72.365635,34.787626,0.000000,424,405,0,385,325,0,459,472,0,325,418,0,442,74.150755,147.299473,-0.063777,39.795043,     8.080001,     2.842534,    53.000000,    33.000000,    39.000000,309884.000000,7787,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1985685.000000,7787,4,9,2,177,459,467,428,472,403,460,416,326,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,8376.000000,4130556.000000,3011575.000000,0.000000,493.141833,359.548113,0.000000,0.000000,10559690.610193,3756687.501431,-1446111.159025,0.000000,0.000000,0.000000,62.077702,22.084598,-8.501315,0.000000,0.000000,84.162301,1298.688787,0.000000,84.162301,36.037324,-0.000000,39.721635,70.333461,0.000000,360,493,0,280,440,0,424,534,0,440,382,0,492,95.931232,146.958483,-0.200994,39.808022,     5.380453,     2.319580,    50.000000,    33.000000,    40.000000,333432.000000,8376,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2135880.000000,8376,6,9,1,357,383,441,424,476,420,497,416,530,297,528,280,511,-99,-99,-99,-99,-99,-99
4,12308.000000,6962978.000000,6438186.000000,0.000000,565.727819,523.089535,0.000000,0.000000,6413355.332138,35722446.194649,5749500.943122,0.000000,0.000000,0.000000,22.568463,125.706540,20.232373,0.000000,0.000000,148.275003,2427.654488,0.000000,148.275003,49.271233,-0.000000,105.357636,40.075358,0.000000,523,566,0,470,450,0,579,658,0,450,532,0,671,110.932739,211.688162,-0.186940,41.898196,     6.692405,     2.586968,    56.000000,    33.000000,    42.000000,515683.000000,12308,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,1,351,531,451,579,610,538,657,534,657,530,658,514,658,475,466,-99,-99,-99,-99
5,5239.000000,2713881.000000,2382075.000000,0.000000,518.015079,454.681236,0.000000,0.000000,1459805.665584,3352065.808741,212673.182286,0.000000,0.000000,0.000000,16.043428,36.839580,2.337302,0.000000,0.000000,52.883008,585.570184,0.000000,52.883008,24.198557,-0.000000,50.665336,33.047438,0.000000,455,518,0,421,470,0,486,565,0,470,464,0,320,65.399250,95.583520,-0.110553,41.359992,     6.577902,     2.564742,    52.000000,    33.000000,    41.000000,216685.000000,5239,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,3,117,455,471,465,470,478,564,457,565,447,565,431,476,440,472,-99,-99,-99,-99
6,13509.000000,7919583.000000,3670147.000000,0.000000,586.244947,271.681619,0.000000,0.000000,18665373.646153,12547496.467681,-882564.479457,0.000000,0.000000,0.000000,58.014838,38.999539,-2.743145,0.000000,0.000000,97.014377,2255.027134,0.000000,97.014377,47.487125,-0.000000,59.884930,73.650254,0.000000,272,586,0,192,514,0,349,639,0,514,274,0,563,126.243027,158.561242,-0.140445,40.398845,     4.696551,     2.167152,    54.000000,    34.000000,    40.000000,545748.000000,13509,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,3444795.000000,13509,5,9,1,360,275,514,349,619,335,629,193,620,263,516,-99,-99,-99,-99,-99,-99,-99,-99
7,2523.000000,1383364.000000,900176.000000,0.000000,548.301228,356.787950,0.000000,0.000000,690979.553705,426381.066191,-59179.842647,0.000000,0.000000,0.000000,20.117570,12.413900,-1.722995,0.000000,0.000000,32.531470,246.768794,0.000000,32.531470,15.708876,-0.000000,25.210812,32.876502,0.000000,357,548,0,325,526,0,399,580,0,526,343,0,279,55.216637,75.667244,-0.210310,45.524772,    13.674544,     3.697910,    65.000000,    37.000000,    45.000000,114859.000000,2523,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,168,398,532,346,580,344,577,326,538,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,4359.000000,2530738.000000,1710788.000000,0.000000,580.577655,392.472585,0.000000,0.000000,2155004.473961,1982245.463638,-1280010.970176,0.000000,0.000000,0.000000,30.264419,27.838229,-17.976198,0.000000,0.000000,58.102648,519.364124,0.000000,58.102648,22.789561,-0.000000,26.381149,54.486291,0.000000,392,581,0,350,534,0,438,624,0,534,415,0,358,120.461497,123.199258,-0.751707,43.746272,    12.876864,     3.588434,    63.000000,    36.000000,    43.000000,190690.000000,4359,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,174,416,534,436,567,360,624,353,615,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,3245.000000,1949709.000000,1502209.000000,0.000000,600.834822,462.930354,0.000000,0.000000,708688.260092,1062045.465022,113784.669953,0.000000,0.000000,0.000000,14.751481,22.106679,2.368449,0.000000,0.000000,36.858160,320.496712,0.000000,36.858160,17.902421,-0.000000,36.509330,28.662686,0.000000,463,601,0,433,569,0,489,633,0,569,443,0,246,58.372406,66.711321,-0.286080,45.002465,     5.635628,     2.373947,    54.000000,    37.000000,    45.000000,146033.000000,3245,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,171,476,569,489,632,447,633,442,571,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
