Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,200.000000,116011.000000,91567.000000,0.000000,580.054999,457.834999,0.000000,0.000000,2597.554999,4908.394999,-947.184999,0.000000,0.000000,0.000000,2.220878,4.196618,-0.809831,0.000000,0.000000,6.417496,8.664351,0.000000,6.417496,2.943527,-0.000000,10.045155,6.591016,0.000000,458,580,0,450,570,0,466,590,0,570,460,0,80,16.991722,21.239652,0.343341,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 51000.000000,200
1,76.000000,46771.000000,35451.000000,0.000000,615.407894,466.460526,0.000000,0.000000,892.881578,654.355263,81.723684,0.000000,0.000000,0.000000,2.773590,2.032647,0.253861,0.000000,0.000000,4.806238,5.573288,0.000000,4.806238,2.360781,-0.000000,5.074174,6.130462,0.000000,466,615,0,460,609,0,472,622,0,609,470,0,64,12.562477,13.609350,0.300374,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 19380.000000,76
2,863.000000,549287.000000,352007.000000,0.000000,636.485515,407.887601,0.000000,0.000000,163048.097334,77661.568945,-18682.904982,0.000000,0.000000,0.000000,19.844249,9.452030,-2.273858,0.000000,0.000000,29.296279,182.398012,0.000000,29.296279,13.505480,-0.000000,15.805873,23.781109,0.000000,408,636,0,379,618,0,436,660,0,618,427,0,411,42.909436,58.234235,-0.206250,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,220065.000000,863
3,671.000000,442520.000000,356743.000000,0.000000,659.493293,531.658718,0.000000,0.000000,10366.846497,286099.719821,-26848.035767,0.000000,0.000000,0.000000,1.764750,48.702815,-4.570346,0.000000,0.000000,50.467566,65.060247,0.000000,50.467566,8.065993,-0.000000,38.684570,6.349329,0.000000,532,659,0,522,628,0,542,701,0,628,538,0,262,20.092836,73.338854,0.096166,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,171105.000000,671
4,333.000000,213740.000000,120946.000000,0.000000,641.861861,363.201201,0.000000,0.000000,14269.519519,11319.645645,-8313.744744,0.000000,0.000000,0.000000,6.182304,4.904264,-3.601950,0.000000,0.000000,11.086568,17.345607,0.000000,11.086568,4.164805,-0.000000,7.076353,15.634083,0.000000,363,642,0,350,630,0,376,656,0,630,371,0,130,33.925654,33.925654,-0.697606,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 84915.000000,333
5,480.000000,317205.000000,185061.000000,0.000000,660.843750,385.543749,0.000000,0.000000,11965.081249,42927.281250,-647.218750,0.000000,0.000000,0.000000,3.183664,11.422076,-0.172211,0.000000,0.000000,14.605741,36.334406,0.000000,14.605741,6.027802,-0.000000,17.942203,9.465704,0.000000,386,661,0,374,643,0,397,678,0,643,385,0,198,23.005020,35.007639,0.020891,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,122400.000000,480
6,84.000000,54481.000000,43198.000000,0.000000,648.583333,514.261904,0.000000,0.000000,414.238095,866.416666,90.166666,0.000000,0.000000,0.000000,1.126015,2.355163,0.245098,0.000000,0.000000,3.481178,2.591877,0.000000,3.481178,1.609930,-0.000000,6.401177,4.289944,0.000000,514,649,0,510,643,0,519,655,0,643,511,0,49,9.164472,12.219296,-0.189740,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 21420.000000,84
7,222.000000,147548.000000,103262.000000,0.000000,664.630630,465.144144,0.000000,0.000000,3025.387387,8397.711711,2450.819819,0.000000,0.000000,0.000000,2.250662,6.247270,1.823227,0.000000,0.000000,8.497933,10.736340,0.000000,8.497933,3.276635,-0.000000,12.606846,5.940157,0.000000,465,665,0,457,651,0,473,675,0,651,457,0,102,17.160079,25.740119,-0.369808,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 56610.000000,222
8,554.000000,370810.000000,161165.000000,0.000000,669.332129,290.911552,0.000000,0.000000,69336.666064,46106.888086,-48919.725631,0.000000,0.000000,0.000000,15.238770,10.133344,-10.751547,0.000000,0.000000,25.372114,38.823926,0.000000,25.372114,6.230884,-0.000000,7.062115,26.903056,0.000000,291,669,0,269,652,0,312,687,0,652,303,0,200,44.612135,54.809195,-0.668842,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,141270.000000,554
9,2109.000000,1496111.000000,828807.000000,0.000000,709.393551,392.985775,0.000000,0.000000,990077.573257,820403.352299,-383744.193456,0.000000,0.000000,0.000000,36.607250,30.333695,-14.188605,0.000000,0.000000,66.940946,909.116673,0.000000,66.940946,30.151561,-0.000000,25.299224,40.276693,0.000000,393,709,0,349,668,0,435,762,0,668,420,0,838,110.298797,120.559150,-0.676609,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,537795.000000,2109
