Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,17.000000,7258.000000,2327.000000,0.000000,426.941176,136.882352,0.000000,0.000000,13.764705,78.941176,-6.117647,0.000000,0.000000,0.000000,0.314896,1.805947,-0.139954,0.000000,0.000000,2.120844,0.549099,0.000000,2.120844,0.741012,-0.000000,3.970393,1.617460,0.000000,137,427,0,135,423,0,138,430,0,423,138,0,17,3.012959,7.030238,0.092782,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  4335.000000,17
1,100.000000,44400.000000,18700.000000,0.000000,444.000000,187.000000,0.000000,0.000000,2422.000000,586.000000,-57.000000,0.000000,0.000000,0.000000,5.218040,1.262498,-0.122802,0.000000,0.000000,6.480539,6.572689,0.000000,6.480539,2.563725,-0.000000,4.371552,8.904068,0.000000,187,444,0,177,438,0,196,449,0,438,187,0,84,11.005289,19.009136,-0.031005,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 25500.000000,100
2,93.000000,41698.000000,13812.000000,0.000000,448.365591,148.516129,0.000000,0.000000,681.225806,841.569892,-121.548387,0.000000,0.000000,0.000000,1.616765,1.997313,-0.288473,0.000000,0.000000,3.614079,3.145971,0.000000,3.614079,1.773688,-0.000000,6.118601,5.041544,0.000000,149,448,0,143,443,0,154,454,0,443,147,0,55,12.492728,12.492728,0.493854,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23715.000000,93
3,276.000000,130234.000000,59923.000000,0.000000,471.862318,217.112318,0.000000,0.000000,3559.518115,10746.768115,380.268115,0.000000,0.000000,0.000000,1.980823,5.980430,0.211614,0.000000,0.000000,7.961253,11.801396,0.000000,7.961253,3.435316,-0.000000,12.434933,7.129641,0.000000,217,472,0,210,459,0,224,484,0,459,215,0,91,14.019472,25.034772,-0.052712,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 70380.000000,276
4,55.000000,26230.000000,10898.000000,0.000000,476.909090,198.145454,0.000000,0.000000,158.836363,1028.545454,-80.272727,0.000000,0.000000,0.000000,0.759392,4.917449,-0.383781,0.000000,0.000000,5.676842,3.586986,0.000000,5.676842,1.893934,-0.000000,7.663422,2.930599,0.000000,198,477,0,194,469,0,202,485,0,469,198,0,49,8.033437,16.066875,0.091270,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14025.000000,55
5,93.000000,45588.000000,14843.000000,0.000000,490.193548,159.602150,0.000000,0.000000,672.279569,1808.516129,-600.838709,0.000000,0.000000,0.000000,1.595533,4.292185,-1.425981,0.000000,0.000000,5.887718,4.814902,0.000000,5.887718,2.194288,-0.000000,8.758803,3.917230,0.000000,160,490,0,155,483,0,166,500,0,483,161,0,64,11.976898,18.509751,0.406690,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23715.000000,93
6,90.000000,46177.000000,23701.000000,0.000000,513.077777,263.344444,0.000000,0.000000,694.322222,624.455555,11.588888,0.000000,0.000000,0.000000,1.721489,1.548263,0.028733,0.000000,0.000000,3.269752,2.664493,0.000000,3.269752,1.632327,-0.000000,5.232512,5.533205,0.000000,263,513,0,258,508,0,268,518,0,508,262,0,41,10.129640,10.129640,0.160159,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 22950.000000,90
7,55.000000,28878.000000,2816.000000,0.000000,525.054545,51.199999,0.000000,0.000000,706.799999,196.836363,265.399999,0.000000,0.000000,0.000000,3.379192,0.941069,1.268870,0.000000,0.000000,4.320262,1.570022,0.000000,4.320262,1.253005,-0.000000,2.416494,7.559403,0.000000,51,525,0,44,521,0,58,528,0,521,46,0,44,7.608669,15.217339,0.402707,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14025.000000,55
8,25.000000,13336.000000,2263.000000,0.000000,533.439999,90.519999,0.000000,0.000000,74.239999,46.159999,6.279999,0.000000,0.000000,0.000000,1.015588,0.631459,0.085909,0.000000,0.000000,1.647048,0.633923,0.000000,1.647048,0.796193,-0.000000,2.574698,3.343473,0.000000,91,533,0,87,531,0,94,536,0,531,89,0,23,5.112640,7.157696,0.210300,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6375.000000,25
9,58.000000,31915.000000,4009.000000,0.000000,550.258620,69.120689,0.000000,0.000000,284.155172,299.120689,-72.810344,0.000000,0.000000,0.000000,1.265663,1.332321,-0.324306,0.000000,0.000000,2.597985,1.581096,0.000000,2.597985,1.257416,-0.000000,4.949880,3.830174,0.000000,69,550,0,65,546,0,73,554,0,546,68,0,39,10.776269,10.776269,0.734192,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14790.000000,58
10,46.000000,26162.000000,15214.000000,0.000000,568.739130,330.739130,0.000000,0.000000,250.869565,260.869565,83.869565,0.000000,0.000000,0.000000,1.522080,1.582752,0.508854,0.000000,0.000000,3.104832,2.150142,0.000000,3.104832,1.466336,-0.000000,4.966888,3.531771,0.000000,331,569,0,326,564,0,337,573,0,564,331,0,38,12.365304,15.113150,-0.755625,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 11730.000000,46
11,91.000000,52583.000000,29557.000000,0.000000,577.835164,324.802197,0.000000,0.000000,458.439560,1740.527472,427.032967,0.000000,0.000000,0.000000,1.120022,4.252317,1.043292,0.000000,0.000000,5.372340,3.674233,0.000000,5.372340,1.916828,-0.000000,8.678775,3.641798,0.000000,325,578,0,321,568,0,330,585,0,568,323,0,59,9.402977,17.761180,-0.293823,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 23205.000000,91
12,169.000000,97251.000000,2226.000000,0.000000,575.449704,13.171597,0.000000,0.000000,9630.023668,935.822485,1135.958579,0.000000,0.000000,0.000000,10.306512,1.001562,1.215757,0.000000,0.000000,11.308074,8.844546,0.000000,11.308074,2.973978,-0.000000,4.111848,14.465872,0.000000,13,575,0,0,571,0,29,580,0,571,11,0,108,9.074000,29.238445,0.127799,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 43095.000000,169
13,367.000000,221643.000000,65623.000000,0.000000,603.931880,178.809264,0.000000,0.000000,39538.648501,21175.297002,19893.231607,0.000000,0.000000,0.000000,15.047594,8.058881,7.570953,0.000000,0.000000,23.106475,63.947435,0.000000,23.106475,7.996714,-0.000000,8.108938,20.170850,0.000000,179,604,0,164,584,0,202,614,0,584,170,0,185,35.615175,45.112555,0.569190,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 93585.000000,367
14,143.000000,85954.000000,56333.000000,0.000000,601.076923,393.937062,0.000000,0.000000,9238.433566,1128.153846,2392.692307,0.000000,0.000000,0.000000,12.354266,1.508644,3.199672,0.000000,0.000000,13.862910,8.400295,0.000000,13.862910,2.898326,-0.000000,3.392645,15.483920,0.000000,394,601,0,377,597,0,407,608,0,597,378,0,113,11.402624,31.098066,0.266531,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 36465.000000,143
15,83.000000,51386.000000,33641.000000,0.000000,619.108433,405.313253,0.000000,0.000000,591.855421,920.024096,401.180722,0.000000,0.000000,0.000000,1.634725,2.541138,1.108075,0.000000,0.000000,4.175864,2.926233,0.000000,4.175864,1.710623,-0.000000,7.343554,3.823942,0.000000,405,619,0,400,612,0,410,625,0,612,400,0,57,12.044855,15.658312,-0.591276,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 21165.000000,83
16,97.000000,60519.000000,479.000000,0.000000,623.907216,4.938144,0.000000,0.000000,1475.628865,862.164948,-545.556701,0.000000,0.000000,0.000000,3.310916,1.934467,-1.224083,0.000000,0.000000,5.245383,4.906479,0.000000,5.245383,2.215057,-0.000000,4.416046,8.028388,0.000000,5,624,0,0,618,0,13,631,0,618,10,0,55,15.060956,15.060956,-0.529303,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 24735.000000,97
17,131.000000,85480.000000,20792.000000,0.000000,652.519083,158.717557,0.000000,0.000000,7244.549618,2066.702290,-3502.793893,0.000000,0.000000,0.000000,10.888874,3.106343,-5.264852,0.000000,0.000000,13.995218,6.105919,0.000000,13.995218,2.471015,-0.000000,2.889090,15.836011,0.000000,159,653,0,146,644,0,173,660,0,644,169,0,96,17.920063,30.240106,-0.467153,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 33405.000000,131
18,251.000000,164733.000000,70696.000000,0.000000,656.306772,281.657370,0.000000,0.000000,14568.533864,4689.378486,4705.382470,0.000000,0.000000,0.000000,9.201335,2.961763,2.971871,0.000000,0.000000,12.163099,18.420159,0.000000,12.163099,4.291871,-0.000000,6.198553,15.006193,0.000000,282,656,0,269,644,0,299,664,0,644,269,0,125,21.541126,32.311690,0.380560,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 64005.000000,251
19,71.000000,46108.000000,32070.000000,0.000000,649.408450,451.690140,0.000000,0.000000,903.183098,251.154929,157.985915,0.000000,0.000000,0.000000,3.072071,0.854274,0.537370,0.000000,0.000000,3.926345,2.335624,0.000000,3.926345,1.528274,-0.000000,3.382213,7.071751,0.000000,452,649,0,445,646,0,458,654,0,646,446,0,47,8.208037,13.338061,0.225625,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 18105.000000,71
20,263.000000,173481.000000,105660.000000,0.000000,659.623574,401.749049,0.000000,0.000000,51213.437262,963.733840,877.155893,0.000000,0.000000,0.000000,30.393188,0.571938,0.520557,0.000000,0.000000,30.965126,17.112058,0.000000,30.965126,4.136672,-0.000000,3.580261,26.312958,0.000000,402,660,0,378,655,0,429,664,0,655,398,0,162,9.001370,51.007764,0.017448,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 67065.000000,263
21,55.000000,36310.000000,23972.000000,0.000000,660.181818,435.854545,0.000000,0.000000,784.836363,130.181818,17.454545,0.000000,0.000000,0.000000,3.752282,0.622395,0.083449,0.000000,0.000000,4.374678,2.328441,0.000000,4.374678,1.525923,-0.000000,2.862342,7.042739,0.000000,436,660,0,429,657,0,443,663,0,657,434,0,51,6.002129,14.004968,0.026636,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 14025.000000,55
22,20.000000,13288.000000,19.000000,0.000000,664.399999,0.949999,0.000000,0.000000,16.949999,70.799999,-1.600000,0.000000,0.000000,0.000000,0.312221,1.304147,-0.029472,0.000000,0.000000,1.616368,0.406314,0.000000,1.616368,0.637427,-0.000000,3.686424,1.800605,0.000000,1,664,0,0,661,0,3,668,0,661,0,0,13,3.001321,7.003083,0.029677,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  5100.000000,20
