Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,31.000000,9006.000000,9114.000000,0.000000,290.516129,294.000000,0.000000,0.000000,132.000000,131.741935,97.000000,0.000000,0.000000,0.000000,1.355475,1.352825,0.996069,0.000000,0.000000,2.708301,0.841568,0.000000,2.708301,0.917370,-0.000000,2.040338,5.227165,0.000000,294,291,0,290,287,0,298,295,0,287,291,0,29,11.306191,11.306191,0.784733,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  7905.000000,31
1,59.000000,19026.000000,25825.000000,0.000000,322.474576,437.711864,0.000000,0.000000,106.101694,1286.711864,-178.932203,0.000000,0.000000,0.000000,0.461940,5.602028,-0.779026,0.000000,0.000000,6.063968,1.980922,0.000000,6.063968,1.407452,-0.000000,9.078336,2.234774,0.000000,438,322,0,435,314,0,441,331,0,314,439,0,49,6.065557,17.185745,0.147157,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 15045.000000,59
2,173.000000,58366.000000,79431.000000,0.000000,337.375722,459.138728,0.000000,0.000000,2468.670520,2748.578034,451.982658,0.000000,0.000000,0.000000,2.560953,2.851324,0.468878,0.000000,0.000000,5.412277,7.082261,0.000000,5.412277,2.661251,-0.000000,8.285932,6.897430,0.000000,459,337,0,452,329,0,467,345,0,329,456,0,87,18.635419,19.877781,-0.635257,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 44115.000000,173
3,116.000000,41958.000000,65814.000000,0.000000,361.706896,567.362068,0.000000,0.000000,1262.793103,2086.034482,1038.310344,0.000000,0.000000,0.000000,2.232140,3.687320,1.835339,0.000000,0.000000,5.919460,4.862143,0.000000,5.919460,2.205026,-0.000000,9.443383,4.220264,0.000000,567,362,0,561,355,0,574,371,0,355,563,0,66,15.715605,19.342283,-0.596684,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 29580.000000,116
4,37.000000,13849.000000,5398.000000,0.000000,374.297297,145.891891,0.000000,0.000000,83.567567,587.729729,176.189189,0.000000,0.000000,0.000000,0.677800,4.766965,1.429037,0.000000,0.000000,5.444766,1.188905,0.000000,5.444766,1.090369,-0.000000,7.911758,1.653623,0.000000,146,374,0,143,367,0,149,381,0,367,144,0,36,6.290330,14.677437,-0.305006,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  9435.000000,37
5,39.000000,14754.000000,73.000000,0.000000,378.307692,1.871794,0.000000,0.000000,96.358974,244.307692,-65.461538,0.000000,0.000000,0.000000,0.728572,1.847215,-0.494956,0.000000,0.000000,2.575788,1.100848,0.000000,2.575788,1.049213,-0.000000,5.077197,2.618018,0.000000,2,378,0,0,374,0,5,384,0,374,2,0,24,5.346932,10.693864,0.362210,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  9945.000000,39
6,35.000000,13372.000000,20609.000000,0.000000,382.057142,588.828571,0.000000,0.000000,30.971428,405.885714,-5.657142,0.000000,0.000000,0.000000,0.270522,3.545245,-0.049412,0.000000,0.000000,3.815768,0.956628,0.000000,3.815768,0.978073,-0.000000,6.579498,1.814791,0.000000,589,382,0,587,376,0,590,388,0,376,588,0,29,3.000341,12.001365,0.015084,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  8925.000000,35
7,110.000000,42534.000000,59365.000000,0.000000,386.672727,539.681818,0.000000,0.000000,833.863636,1520.218181,-57.454545,0.000000,0.000000,0.000000,1.582115,2.884356,-0.109010,0.000000,0.000000,4.466472,4.551501,0.000000,4.466472,2.133424,-0.000000,7.163546,5.281947,0.000000,540,387,0,534,379,0,545,394,0,379,537,0,73,11.037943,15.051741,0.082940,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 28050.000000,110
8,244.000000,95570.000000,152718.000000,0.000000,391.680327,625.893442,0.000000,0.000000,12473.229508,6943.065573,2341.688524,0.000000,0.000000,0.000000,8.180737,4.553704,1.535828,0.000000,0.000000,12.734442,34.893892,0.000000,12.734442,5.907105,-0.000000,8.505654,12.590062,0.000000,626,392,0,614,382,0,639,402,0,382,616,0,175,21.301238,26.626548,0.351339,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 62220.000000,244
9,36.000000,14769.000000,18675.000000,0.000000,410.250000,518.750000,0.000000,0.000000,142.750000,116.750000,35.250000,0.000000,0.000000,0.000000,1.200897,0.982170,0.296543,0.000000,0.000000,2.183068,1.091548,0.000000,2.183068,1.044771,-0.000000,3.055070,4.116039,0.000000,519,410,0,515,407,0,523,413,0,407,518,0,31,7.313773,9.751698,0.608738,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  9180.000000,36
